"claim_id","layer","scientific_question","hypothesis","model_or_asset","numerical_experiment","gate_or_decision","status","result","allowed_claim","forbidden_claim","evidence_path","limitation_or_rerun_trigger"
"C10","e15_core","核心证据覆盖是否完整且存在安全候选","覆盖核算可区分缺证据和物理不满足","72例核心覆盖","刚体核心重算","P0_A_CORE_COVERAGE_PASS / REPEAT_CORE_NO_SAFE_CANDIDATE","REPEAT_NEGATIVE_RESULT","coverage通过但safe_candidate_count=0","核心覆盖完整且冻结条件下无安全候选","coverage PASS等于候选安全PASS","30_simulation/e15_core_coverage/results/core_gate_check.json","阈值为PROVISIONAL；next_stage_authorized=false"
"C11","e15_ANCF","候选级柔性证据能否通过跨解算器认证","最终候选真实幅值应小于5%差异","ANCF认证包","历史/低幅锚点与跨解算器诊断","REPEAT_ANCF_CERTIFICATION","REPEAT","最大跨解算器差5.637%>5%；最终候选不可用","低幅诊断可复核且认证负结果已记录","ANCF认证通过或用低幅锚替代最终候选","30_simulation/e15_ancf_certification/results/gate_summary.json","真实参数与最终候选幅值需新认证"
"C12","e16","同步捕获能否降低初始冲量并形成安全候选","速度匹配降低初始冲量但代价可转移到总角动量","刚体同步捕获alpha模型","216例；18动态；198上游拒绝","PASS_WITH_GEOMETRY_AND_FLEX_LIMITATIONS","PASS_WITH_LIMITATIONS_AND_NEGATIVE_RESULT","campaign完整可复现；18动态均CORE_UNSAFE；formal safe=0","同步可降低初始冲量但未形成formal safe","同步捕获安全；MPC/柔性/HIL已验证","30_simulation/e16_sync_capture/results/gate_check.json","柔性未运行；阈值继承PROVISIONAL"
"C13","sim_10","质量、角速度和资源如何划分任务可行域","四门fail-closed可稳定划分区域","刚体任务可行域网格","9002物理点","SIM10_GATES_PASS","PASS_WITH_PROVISIONAL_PARAMS","6323 wheels-only；1858 rate不可行；730需推力器；91资源不可行","冻结执行机构档与任务时限下的可行域和锚点","真实硬件可行域、柔性结论或飞行认证","30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json","执行机构档、3600s等为PROVISIONAL"
"C14","sim_10_X2","lambda边界是否严格单调","有利几何参数应单调改善边界","sim10过渡带扫描","X2精确二分检查","X2 PASS under sub-resolution criterion","PASS_WITH_REFUTED_SUBHYPOTHESIS","过渡质量比带有约1.079%浅非单调凹陷","总体标签在当前分辨率稳定且局部严格单调假设被证伪","lambda作用无条件单调有利","30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json","提高分辨率或改lambda定义需重做X2"
"C15","sim_11","刚柔模型是否守恒、收敛并与既有锚一致","有限带宽下FFR模型应通过守恒、回归、模态和解算器检查","B601+自由漂浮基座+FFR帆板+有限接触带宽","A1/A2、m加密、Radau/BDF","SIM11_GATES_PASS_WITH_PROVISIONAL_PARAMS","PASS_WITH_PROVISIONAL_PARAMS","G1-G5通过；理想冲量能量指标不适定被有限带宽修复","冻结provisional模型在有限带宽下数值闭合","真实帆板绝对响应、硬件预测或理想冲量能量已认证","30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json","n_modes/mode_shape/stiffness/zeta/contact_Tc待转正"
"C16","sim_12","策略优劣是否取决于当前绑定Gate","不存在无条件最优策略","16单元策略证明集","GS1守恒、GS2分化、GS3主张审计","SIM12_PHASE1_GATES_PASS","PASS","A低速选S1；C过渡带选S3a；B/D ABORT；B_anchor中S2使|J|下降、关于系统质心且在惯性系表达的|H|上升","16例内策略选择依赖active binding gate；|ΔH_vec|与|H|标量变化不得混用","动量整形总有利、无条件策略排序或柔性结论","30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json","仅Phase1/16单元；FLEX不在判据"
"C17","SAFE-00","运行时安全核能否fail-closed阻断UNKNOWN和绕过","冻结规则与案例应实现零UNKNOWN allow","安全规则引擎和16例","47项测试/合同审计","PASS","PASS_WITH_REVIEW_BOUNDARY","冻结合同下unknown_allow=0、bypass_success=0、provenance完整","冻结合同和案例下fail-closed行为通过","生产安全、覆盖所有攻击或自动授权下一阶段","30_simulation/safety_00_runtime_gate/results/safety_00_gate_check.json; 10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json","next_stage_authorized=false；生产密钥未资格化"
"C18","CTRL-01","末端跟踪与耦合控制是否满足全部精度/约束Gate","冻结控制方案应优于公平对照且满足限制","C0-C3与T1-T3","GC1_A-H","REPEAT","REPEAT_NEGATIVE_RESULT_CLOSED","实现缺陷已修；A2/D/E/F保留真实负结果，C3隔离效应约零","冻结增益与预注册轨迹下的真实负结果和设计边界","CTRL-01 PASS、通用控制已解决、调参后必过","30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json; 10_research/partner_requirement_closure/wave1_repeat/wave1_cp6_ruling.md","新场景/增益/轨迹必须另立实验"
"C19","CTRL-02","姿态稳定能否在动量和执行器约束下闭合","分层分账可区分内部重分配与外部消旋","基座姿态控制与provisional执行器","GC0-GC7；Stage-B 16例","PASS","PASS_WITH_PROVISIONAL_PARAMS","review_status=PENDING_REVIEW；7/16在R5 PROVISIONAL执行器及时窗模型下满足STABILIZED_WITHIN_WINDOW；9/16未满足；L0硬件有效稳定性NOT_EVALUATED_NO_ACTUATOR_DYNAMICS","冻结R5 provisional模型及时窗下的分层结果","reactionless、轮组消除总H、硬件稳定或扩大sim10可行域","30_simulation/control_02_base_attitude/results/control_02_gate_check.json","W1-R12/R13和硬件参数触发重跑"
"C20","Wave1","SAFE/CTRL组合是否授权下一波","必需模块Gate均满足才授权","Wave1联合证据包","模块聚合与独立复核","WAVE1_REPEAT","REPEAT_NEGATIVE_RESULT_CLOSED","SAFE PASS；CTRL-02 PASS；CTRL-01 REPEAT；next_wave_authorized=false","证据归档完整且真实负结果收口","Wave1 PASS或自动进入Wave2","10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json","治理关闭不改machine verdict"
"C21","Digital_Twin","当前孪生成熟度是什么","冻结证据可离线重放但无实时闭环","CAD+可执行模型+VIZ回放","6支MP4、44关键帧、45资产","VIZ_GATE_0_ACCEPTED","DT2_SCOPE_LIMITED_OFFLINE_REPLAY","DT0/DT1具备；旧campaign局部DT2具备；无DT3/DT4","已有DT0、DT1和旧campaign局部DT2","当前全模块实时孪生、DT3或DT4","40_evidence/artifacts/visualization/VIZ_GATE0_FREEZE_20260714.md; 40_evidence/artifacts/visualization/viz_gate0_acceptance_report.md","回放早于sim10-12/SAFE/CTRL/ASM当前状态"
"C22","ROM","多保真模型能否按误差在线选择","显式L0/L1/L2规则可降成本并保留边界","ROM计划与规则草案","未实现selector","DRAFT_PLAN_ONLY","NOT_EVALUATED","只有多保真层级、规则与认证门草案","层级与认证门已规划","ROM已训练、认证或可在线自动选模","10_research/rom/multifidelity_rom_plan.md; 10_research/rom/model_fidelity_selection_rules.yaml","需selector、误差估计和rom_gate_check.json"
"C23","Physics_Tools","物理工具能否只读Gate并fail-closed返回结论","工具应拒绝越权推断并携带provenance","工具合约草案","未实现","DRAFT_NOT_IMPLEMENTED","NOT_EVALUATED","只有工具合约、provenance与fail-closed设计意图；当前无授权令牌、请求ID、过期时间或相位绑定，scenario_hash由调用方自报","合约和边界设计意图已形成","工具可用、运行时不可绕过SAFE、自主决策、替代物理或输出安全力矩","10_research/vla/tool_contract_draft.yaml; 10_research/integration/system_interface_plan.md","需可信场景绑定、授权对象、版本绑定、实现、错误注入和T-Gate"
"C24","V2.5_VLA","智能层能否在安全Gate下泛化到离散技能","VLA只在候选/离散决策层可保留安全边界","捕获VLA协议与装配V3-vs-V2.5配对设计","未训练、未采数、未评估","PROTOCOL_DRAFT","NOT_EVALUATED","无数据、模型、消融或性能结果；装配规划有同工具V3-vs-V2.5配对，捕获协议仍缺同等对照","装配V2.5配对与负结果收口规则已规划","已泛化、已闭环、捕获阶段VLA净增益已可归因、AprilTag证明无标记泛化或直接控制力矩","10_research/vla/vla_generalization_plan.md; 10_research/on_orbit_assembly/vla_sequence_plan.md","先实现可信Tools+SAFE联锁；捕获协议补同工具确定性V2.5；再谈VLA价值"
"C25","B601_H0_H3","真实B601是否具备资格化、感知和Agent闭环","H0-H2与安全前置通过后才可进入H3","B601硬件链","未执行真实采集/控制","H0_H3_NOT_STARTED","NOT_EVALUATED","H0-H3均未执行","H0-H3依赖与边界已定义","B601已接通/标定/安全验收；固定基座等于自由漂浮","10_research/integration/system_interface_plan.md","H0未过禁止控制；缺实测和安全记录"
"C26","ASM-00","接口公差、捕获和锁紧链是否自洽","统一SSOT和公差链可形成可检验边界","接口SSOT草案","未实施","ASM00_NOT_STARTED / READY_WITH_INTERFACE_BLOCKERS","NOT_EVALUATED","全PROVISIONAL草案；RF-1/2/3开放","问题、红旗和AG0已定义","接口已验证、装配可行或锁紧成功","10_research/on_orbit_assembly/interface_ssot_draft.yaml; 10_research/on_orbit_assembly/waveA_task_cards/ASM-00.md","RF-1/2/3及实测参数未闭合"
"C27","ASM-01","持续接触/滑移/卡滞/锁定能否形成单源成功判据","KV+状态机可给筛选级装配窗口","连续接触规划","未执行AG2/AG4","ASM01_NOT_STARTED","NOT_EVALUATED","只有计划；无AG2/AG4结果；SSOT/gate_registry仍写八项而任务卡写八项加第九，单源success尚不存在","接触模型、状态机和候选成功判据已规划","success已单源冻结、接触稳定、装配成功或目标侧柔性有效","10_research/on_orbit_assembly/interface_ssot_draft.yaml; 10_research/on_orbit_assembly/gate_registry.yaml; 10_research/on_orbit_assembly/waveA_task_cards/ASM-01.md","HAG-A前先闭合8/9项冲突并版本/哈希绑定；目标侧FFR未建；Phase A上限SCREENING_ONLY"
"C28","ASM-02","5D接近—柔顺插接—6D锁紧是否优于全程6D","分阶段控制可能降低载荷/扰动","AC0-AC3规划","未执行AG1/AG3","ASM02_NOT_STARTED","NOT_EVALUATED","只有假设和计划；无AG1/AG3结果","形成可证伪的分阶段对照问题","分阶段普遍更优、自主在轨装配完成","10_research/on_orbit_assembly/waveA_task_cards/ASM-02.md","依赖AG0、ASM01模型冻结和W1-R12"
"C29","ASM-TWIN-00","组装证据能否形成标准时程与离线回放","真实ASM结果可被哈希绑定和回放","装配孪生概念","无ASM时序/结果/Gate","NOT_STARTED","NOT_EVALUATED","无ASM时序、结果或Gate","仅可定义未来离线回放要求","装配孪生已建立或实时同步","10_research/on_orbit_assembly/master_plan.md","必须等待ASM00-02真实结果和唯一集成"
"C30","External_CrossValidation","独立外部框架能否复现刚体/ADCS锚点","统一输入下独立框架应复现冻结锚点","SPART/Pinocchio/Basilisk/SpaceDyn/MuJoCo/Simulink候选","未执行","PLAN_OR_CATALOG_ONLY","NOT_EVALUATED","无外部运行结果或Gate","已识别外部对拍方向","任何外部工具已运行/一致/认证；外部工具是柔性真值","10_research/framework_convergence/tool_stack_decision.md","锁版本、映射、初值、指标和独立Gate后才可声明"
