part_number,quantity,classification,geometry_basis,part_STEP,manufacturing_status
WP01-MT-M3RB-REUSED,1,ONBOARD_HARDWARE_CANDIDATE,UNCHANGED_IMPORTED_NOMINAL_BREP,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-MT-WASHER6-ENVELOPE,8,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-MT-M6X40-ENVELOPE,4,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-MT-NUT6-ENVELOPE,4,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-MT-M5X25-ENVELOPE,8,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-MT-WASHER5-ENVELOPE,16,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-MT-NUT5-ENVELOPE,8,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-GSE-BASE-R2,1,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-GSE-BASE-R2.step,NOT_FOR_MANUFACTURE
WP01-GSE-FRAME-FOOT-R2,4,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-GSE-FRAME-FOOT-R2.step,NOT_FOR_MANUFACTURE
WP01-GSE-TOWER-R2,4,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-GSE-TOWER-R2.step,NOT_FOR_MANUFACTURE
WP01-GSE-TOWER-FOOT-R2,4,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-GSE-TOWER-FOOT-R2.step,NOT_FOR_MANUFACTURE
WP01-SA-FIXED-CROSSBEAM-R2,1,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-SA-FIXED-CROSSBEAM-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-LOWER-OFFSET-A-R2,1,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-LOWER-OFFSET-A-R2.step,NOT_FOR_MANUFACTURE
WP01-SA-ADJUSTABLE-SHOE-R2,1,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-SA-ADJUSTABLE-SHOE-R2.step,NOT_FOR_MANUFACTURE
WP01-SA-PAD-1-R2,1,GROUND_SUPPORT_EQUIPMENT,ACCEPTED_STL_LOCAL_PLANE_CANDIDATE_NOT_MEASURED,parts/WP01-SA-PAD-1-R2.step,NOT_FOR_MANUFACTURE
WP01-SA-PAD-2-R2,1,GROUND_SUPPORT_EQUIPMENT,ACCEPTED_STL_LOCAL_PLANE_CANDIDATE_NOT_MEASURED,parts/WP01-SA-PAD-2-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-Z-GUIDE6-R2,4,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-HR-Z-BUSH-R2,4,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-HR-Z-JACK10-R2,2,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-HR-Z-NUT-BLOCK-R2,2,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-SA-Y-LOCATOR-BRACKET-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-SA-Y-LOCATOR-BRACKET-R2.step,NOT_FOR_MANUFACTURE
WP01-MT-M4X12-ENVELOPE,2,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-HR-Y-RAIL-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-Y-RAIL-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-TOWER-COLLAR-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-TOWER-COLLAR-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-OVERHEAD-OFFSET-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-OVERHEAD-OFFSET-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-OVERHEAD-LONGITUDINAL-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-OVERHEAD-LONGITUDINAL-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-END-HANGER-A-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-END-HANGER-A-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-Y-CARRIER-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-Y-CARRIER-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-CANTILEVER-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-CANTILEVER-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-CARRIER-NECK-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-CARRIER-NECK-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-KEEPER-CROSSBAR-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-KEEPER-CROSSBAR-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-KEEPER-NECK-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-KEEPER-NECK-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-UPPER-PAD-R2,2,GROUND_SUPPORT_EQUIPMENT,WHOLE_FOLDED_ARM_LOCAL_MAX_TANGENCY; CONTACT_LINK3_UNQUALIFIED,parts/WP01-HR-UPPER-PAD-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-UPPER-GUIDE4-R2,4,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-HR-UPPER-JACK10-R2,2,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-HR-Y-ENDSTOP-R2,4,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-Y-ENDSTOP-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-LATCH-CLEVIS-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-LATCH-CLEVIS-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-LATCH-HANGER-A-R2,1,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-LATCH-HANGER-A-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-LATCH-TOP-BRIDGE-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-LATCH-TOP-BRIDGE-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-CAPTIVE-LOCK-PIN6-R2,2,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-HR-PIN-CAPTIVE-HOUSING-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-PIN-CAPTIVE-HOUSING-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-PIN-HOUSING-ENDCAP-R2,4,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-PIN-HOUSING-ENDCAP-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-PIN-HOUSING-SEAT-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-PIN-HOUSING-SEAT-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-MANUAL-LEADSCREW8-R2,2,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-HR-Y-DRIVE-NUT-R2,2,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-HR-DRIVE-NUT-LINK-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-DRIVE-NUT-LINK-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-SCREW-END-BEARING-R2,4,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-HR-SCREW-END-MOUNT-67-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-SCREW-END-MOUNT-67-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-SCREW-END-MOUNT-333-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-SCREW-END-MOUNT-333-R2.step,NOT_FOR_MANUFACTURE
WP01-HS-END-SWITCH-110-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HS-END-SWITCH-110-R2.step,NOT_FOR_MANUFACTURE
WP01-HS-END-SWITCH-290-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HS-END-SWITCH-290-R2.step,NOT_FOR_MANUFACTURE
WP01-HS-CARRIER-FLAG-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HS-CARRIER-FLAG-R2.step,NOT_FOR_MANUFACTURE
WP01-SB-FIXED-CROSSBEAM-R2,1,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-SB-FIXED-CROSSBEAM-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-LOWER-OFFSET-B-R2,1,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-LOWER-OFFSET-B-R2.step,NOT_FOR_MANUFACTURE
WP01-SB-ADJUSTABLE-SHOE-R2,1,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-SB-ADJUSTABLE-SHOE-R2.step,NOT_FOR_MANUFACTURE
WP01-SB-PAD-1-R2,1,GROUND_SUPPORT_EQUIPMENT,ACCEPTED_STL_LOCAL_PLANE_CANDIDATE_NOT_MEASURED,parts/WP01-SB-PAD-1-R2.step,NOT_FOR_MANUFACTURE
WP01-SB-PAD-2-R2,1,GROUND_SUPPORT_EQUIPMENT,ACCEPTED_STL_LOCAL_PLANE_CANDIDATE_NOT_MEASURED,parts/WP01-SB-PAD-2-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-END-HANGER-B-R2,2,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-END-HANGER-B-R2.step,NOT_FOR_MANUFACTURE
WP01-HR-LATCH-HANGER-B-R2,1,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HR-LATCH-HANGER-B-R2.step,NOT_FOR_MANUFACTURE
WP01-HB-SPLIT-CLAMP-LOWER-R2,1,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HB-SPLIT-CLAMP-LOWER-R2.step,NOT_FOR_MANUFACTURE
WP01-HB-SPLIT-CLAMP-UPPER-R2,1,GROUND_SUPPORT_EQUIPMENT,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HB-SPLIT-CLAMP-UPPER-R2.step,NOT_FOR_MANUFACTURE
WP01-HB-ROOT-OUTRIGGER-R2,1,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HB-ROOT-OUTRIGGER-R2.step,NOT_FOR_MANUFACTURE
WP01-HB-CLAMP-SPACER-R2,1,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HB-CLAMP-SPACER-R2.step,NOT_FOR_MANUFACTURE
WP01-HB-CONNECTOR-SLIDE-BRACKET-R2,1,ONBOARD_HARDWARE_CANDIDATE,ADJUSTABLE_INTERFACE_BLANK; OEM_TAIL_NOT_BOUND,parts/WP01-HB-CONNECTOR-SLIDE-BRACKET-R2.step,NOT_FOR_MANUFACTURE
WP01-HB-CONNECTOR-MAST-R2,1,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-HB-CONNECTOR-MAST-R2.step,NOT_FOR_MANUFACTURE
