class,path,bytes,sha256,role
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml,223714,3FD2557318E98748A37927977FA2925C18803668FE16391D824C184F646486BB,nine-configuration R2 design-model mass properties with uncertainty
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp11_cad_urdf_registration/receipt.json,23885,83E36583E370BD3A6563330C9B34E0CDB0400DC6952BFC91D9DA5C77536BCB9B,existing CAD/URDF registration audit
SOURCE_PIN,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,11321,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,accepted imported B601 kinematic and inertial artifact
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp5_mechanisms/GRIPPER_ENGINEERING_PACK_V2.yaml,13398,C31938668746C6B5D3C8C6879D8F2B14BDF8FE78000274ADD8411E7FBB58CEF6,active gripper geometry and velocity-unit interpretation pack
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_gripper_velocity_unit_authority/01_interface/GRIPPER_ACTIVE_CONSUMPTION_POINTER_V1.yaml,1010,B0DDADE5F5CCD6F6CFF2A9B0E7EA23908CE7558EBA002BE26A193D4DEC38A7D8,active-versus-historical gripper consumption selector
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_gripper_velocity_unit_authority/02_gate/GRIPPER_VELOCITY_UNIT_GATE_V1.json,2692,A93B08B56CB46623A0E8B96234B7FA48C1C59492F950A543BB164AD4CF4A0E7B,URDF velocity semantics and physical actuator/timing HOLD
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/checkpoint_b/ROUTE_C_CHECKPOINT_B_GATE_V1.json,14887,C9E7526D790E1FB7F5522A113EDF41F5913207C15A68E12468FD9EBA157349D1,Route-C admission and CAD prohibition
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/route_c_prep/ROUTE_C_C2_01_REGISTRY_SKELETON_V1.yaml,19773,6264A0A45F6A497787F3D96205CEF7799A19A225CD23CEA66D5AD31E335A3E8E,P01-P13 physical-input registry
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/terminal_decision_pack/TERMINAL_DECISION_PACK_GATE_V1.json,25452,0C9DC0353630A402745B3CE5235DC75A2FC51A65B189E2580A7FA5484A5F3325,current terminal decision and execution authority
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/terminal_decision_pack/P2_ROM_DIMENSION_AND_VALIDITY_DECISION_REQUEST_V1.yaml,23043,679DC5D2BA2B814F584379C28E47A9F487D03277F0F1EAA45DFB85D150367D25,pending ODR-GPT-07 approval request
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/terminal_decision_pack/LEGACY_R1_COMPARATOR_SEMANTICS_DECISION_REQUEST_V1.yaml,46441,5ED037AE057F7119678DECF890C9C0E64740C1443E5E9B9682FC09B8610046F6,pending ODR-GPT-08 approval request
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/09_downstream_rebind/SIM13_CURRENT_MECHANICAL_BINDING_AUDIT_GATE_V1.json,6345,7FD3C63AF46BE4BA3055CCF87EFD1A71C13517EC872B1F3EDC52304B070D9153,current Sim13 mechanical-binding invalidation
SOURCE_PIN,30_simulation/sim_13_physics_gated_embodied_grasping/config/sim13_bootstrap.json,647,4624C5BA2A016A002531FCF6FB6EFD661AA488D6C9420197789263D4B0E42B8D,current V1 bootstrap binding
SOURCE_PIN,30_simulation/sim_13_physics_gated_embodied_grasping/src/mechanical_asset_loader.py,23753,C0797E5786888E357784369F6601B380C4E94FAE76B3FBFCF4C46717A833E851,current mechanical consumer loader
PACKAGE_SOURCE,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/build_unified_r2_prebind.py,70633,9144971D0DEC3D18C6E48DBACAFC9A3EF9E5A62D17A09448145E012B2E1FBBA4,package builder
PACKAGE_SOURCE,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/validate_unified_r2_prebind.py,46654,7C114C49F4D5ED8914FA53D9F4CD2671469DB7C966799892842A0F294373F2C2,independent fail-closed validator
GENERATED_OUTPUT,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/UNIFIED_R2_CAD_BRIEF_V1.md,6657,83B03760A720346E75293000CBE98C4542288ABFB075425D7D53D265492EA479,documentation-only prebind output
GENERATED_OUTPUT,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/UNIFIED_R2_URDF_DESIGN_LEDGER_V1.yaml,42350,CF5803D1E0A4CDC37635009DD28F62D25E367270A45F54C02E66BF539382D294,documentation-only prebind output
GENERATED_OUTPUT,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/UNIFIED_R2_DIGITAL_PROTOTYPE_REBASE_CONTRACT_V1.yaml,36413,8B19BAADE666B2D81B772FE2827E80F67EA0D7715773BA2F6E22DE7848631CBF,documentation-only prebind output
GENERATED_OUTPUT,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/UNIFIED_R2_PREBIND_READINESS_V1.json,6375,92872D69E2C027E76A043BD531BEF6AB5C66B09513699C679691BCAEA456C512,documentation-only prebind output
GENERATED_OUTPUT,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/UNIFIED_R2_PREBIND_GATE_V1.json,3618,DA1F2661C3CCF641C9379CE50406A14510FABA9DC04B4E02F616768194F8CEAA,documentation-only prebind output
GENERATED_OUTPUT,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/UNIFIED_R2_PREBIND_RECEIPT_V1.md,1651,CDE77D5BF3158A1461B19BC9DE1FB5CAAFA788BAD8720E40D6577F7ED04F008C,documentation-only prebind output
