pattern,fastener_index,y_m,z_m,response,Fx,Fy,Fz,Mx_per_m,My_per_m,Mz_per_m
STAGE_A_TO_B_8XM5_R62P5MM,1,0.0625,0.0,Qz,0.0,0.0,0.125,2.0,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,2,0.04419417382415922,0.04419417382415922,N_axial,0.125,0.0,0.0,0.0,2.8284271247461903,-2.8284271247461903
STAGE_A_TO_B_8XM5_R62P5MM,2,0.04419417382415922,0.04419417382415922,Qy,0.0,0.125,0.0,-1.4142135623730951,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,2,0.04419417382415922,0.04419417382415922,Qz,0.0,0.0,0.125,1.4142135623730951,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,3,3.827021247335479e-18,0.0625,N_axial,0.125,0.0,0.0,0.0,4.0,-2.4492935982947064e-16
STAGE_A_TO_B_8XM5_R62P5MM,3,3.827021247335479e-18,0.0625,Qy,0.0,0.125,0.0,-2.0,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,3,3.827021247335479e-18,0.0625,Qz,0.0,0.0,0.125,1.2246467991473532e-16,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,4,-0.044194173824159216,0.04419417382415922,N_axial,0.125,0.0,0.0,0.0,2.8284271247461903,2.82842712474619
STAGE_A_TO_B_8XM5_R62P5MM,4,-0.044194173824159216,0.04419417382415922,Qy,0.0,0.125,0.0,-1.4142135623730951,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,4,-0.044194173824159216,0.04419417382415922,Qz,0.0,0.0,0.125,-1.414213562373095,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,5,-0.0625,7.654042494670958e-18,N_axial,0.125,0.0,0.0,0.0,4.898587196589413e-16,4.0
STAGE_A_TO_B_8XM5_R62P5MM,5,-0.0625,7.654042494670958e-18,Qy,0.0,0.125,0.0,-2.4492935982947064e-16,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,5,-0.0625,7.654042494670958e-18,Qz,0.0,0.0,0.125,-2.0,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,6,-0.04419417382415923,-0.044194173824159216,N_axial,0.125,0.0,0.0,0.0,-2.82842712474619,2.8284271247461907
STAGE_A_TO_B_8XM5_R62P5MM,6,-0.04419417382415923,-0.044194173824159216,Qy,0.0,0.125,0.0,1.414213562373095,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,6,-0.04419417382415923,-0.044194173824159216,Qz,0.0,0.0,0.125,-1.4142135623730954,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,7,-1.1481063742006436e-17,-0.0625,N_axial,0.125,0.0,0.0,0.0,-4.0,7.347880794884119e-16
STAGE_A_TO_B_8XM5_R62P5MM,7,-1.1481063742006436e-17,-0.0625,Qy,0.0,0.125,0.0,2.0,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,7,-1.1481063742006436e-17,-0.0625,Qz,0.0,0.0,0.125,-3.6739403974420594e-16,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,8,0.04419417382415921,-0.04419417382415923,N_axial,0.125,0.0,0.0,0.0,-2.8284271247461907,-2.8284271247461894
STAGE_A_TO_B_8XM5_R62P5MM,8,0.04419417382415921,-0.04419417382415923,Qy,0.0,0.125,0.0,1.4142135623730954,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,8,0.04419417382415921,-0.04419417382415923,Qz,0.0,0.0,0.125,1.4142135623730947,0.0,0.0
STAGE_B_TO_SPACECRAFT_4XM6_140MM,1,-0.07,-0.07,N_axial,0.25,0.0,0.0,0.0,-3.571428571428571,3.571428571428571
STAGE_B_TO_SPACECRAFT_4XM6_140MM,1,-0.07,-0.07,Qy,0.0,0.25,0.0,1.7857142857142856,0.0,0.0
STAGE_B_TO_SPACECRAFT_4XM6_140MM,1,-0.07,-0.07,Qz,0.0,0.0,0.25,-1.7857142857142856,0.0,0.0
STAGE_B_TO_SPACECRAFT_4XM6_140MM,2,-0.07,0.07,N_axial,0.25,0.0,0.0,0.0,3.571428571428571,3.571428571428571
STAGE_B_TO_SPACECRAFT_4XM6_140MM,2,-0.07,0.07,Qy,0.0,0.25,0.0,-1.7857142857142856,0.0,0.0
STAGE_B_TO_SPACECRAFT_4XM6_140MM,2,-0.07,0.07,Qz,0.0,0.0,0.25,-1.7857142857142856,0.0,0.0
STAGE_B_TO_SPACECRAFT_4XM6_140MM,3,0.07,-0.07,N_axial,0.25,0.0,0.0,0.0,-3.571428571428571,-3.571428571428571
STAGE_B_TO_SPACECRAFT_4XM6_140MM,3,0.07,-0.07,Qy,0.0,0.25,0.0,1.7857142857142856,0.0,0.0
STAGE_B_TO_SPACECRAFT_4XM6_140MM,3,0.07,-0.07,Qz,0.0,0.0,0.25,1.7857142857142856,0.0,0.0
STAGE_B_TO_SPACECRAFT_4XM6_140MM,4,0.07,0.07,N_axial,0.25,0.0,0.0,0.0,3.571428571428571,-3.571428571428571
STAGE_B_TO_SPACECRAFT_4XM6_140MM,4,0.07,0.07,Qy,0.0,0.25,0.0,-1.7857142857142856,0.0,0.0
STAGE_B_TO_SPACECRAFT_4XM6_140MM,4,0.07,0.07,Qz,0.0,0.0,0.25,1.7857142857142856,0.0,0.0
