t_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,wx_dps,wy_dps,wz_dps,H_mag_kgm2ps,E_rot_J
0.9606,0.99894615,0.00827903,0.04196355,0.01664657,1.03142,4.79340,1.95256,0.97636,5.01486,1.97255,3.39024118e-02,1.61607309e-03
1.0407,0.99876324,0.00895911,0.04546328,0.01802263,1.12394,5.19186,2.11853,0.97440,5.01608,1.97028,3.39024118e-02,1.61607309e-03
1.1207,0.99856571,0.00963761,0.04896318,0.01939692,1.21752,5.59016,2.28508,0.97244,5.01729,1.96802,3.39024118e-02,1.61607309e-03
1.2008,0.99835357,0.01031451,0.05246319,0.02076943,1.31215,5.98829,2.45222,0.97049,5.01849,1.96577,3.39024118e-02,1.61607309e-03
1.2809,0.99812682,0.01098980,0.05596326,0.02214015,1.40784,6.38624,2.61996,0.96853,5.01969,1.96352,3.39024118e-02,1.61607309e-03
1.3609,0.99788546,0.01166345,0.05946333,0.02350906,1.50460,6.78401,2.78833,0.96658,5.02089,1.96127,3.39024118e-02,1.61607309e-03
1.4410,0.99762950,0.01233547,0.06296336,0.02487615,1.60245,7.18159,2.95734,0.96463,5.02209,1.95903,3.39024118e-02,1.61607309e-03
1.5210,0.99735895,0.01300582,0.06646328,0.02624141,1.70139,7.57899,3.12701,0.96268,5.02328,1.95679,3.39024118e-02,1.61607309e-03
1.6011,0.99707380,0.01367450,0.06996304,0.02760483,1.80143,7.97620,3.29736,0.96074,5.02446,1.95456,3.39024118e-02,1.61607309e-03
1.6811,0.99677406,0.01434150,0.07346258,0.02896640,1.90258,8.37320,3.46839,0.95879,5.02565,1.95233,3.39024118e-02,1.61607309e-03
1.7612,0.99645973,0.01500679,0.07696186,0.03032610,2.00486,8.77001,3.64014,0.95685,5.02683,1.95010,3.39024118e-02,1.61607309e-03
1.8412,0.99613083,0.01567037,0.08046081,0.03168393,2.10827,9.16662,3.81261,0.95491,5.02800,1.94788,3.39024118e-02,1.61607309e-03
1.9213,0.99578735,0.01633222,0.08395939,0.03303987,2.21282,9.56301,3.98583,0.95297,5.02917,1.94566,3.39024118e-02,1.61607309e-03
2.0013,0.99542931,0.01699232,0.08745752,0.03439391,2.31853,9.95919,4.15981,0.95103,5.03034,1.94345,3.39024118e-02,1.61607309e-03
2.0814,0.99505670,0.01765066,0.09095517,0.03574605,2.42540,10.35515,4.33458,0.94910,5.03151,1.94124,3.39024118e-02,1.61607309e-03
2.1614,0.99466953,0.01830723,0.09445228,0.03709626,2.53346,10.75089,4.51014,0.94716,5.03267,1.93903,3.39024118e-02,1.61607309e-03
2.2415,0.99426782,0.01896202,0.09794879,0.03844454,2.64271,11.14641,4.68653,0.94523,5.03383,1.93683,3.39024118e-02,1.61607309e-03
2.3215,0.99385156,0.01961500,0.10144464,0.03979087,2.75316,11.54169,4.86375,0.94330,5.03498,1.93463,3.39024118e-02,1.61607309e-03
2.4016,0.99342076,0.02026617,0.10493979,0.04113525,2.86483,11.93673,5.04183,0.94137,5.03613,1.93243,3.39024118e-02,1.61607309e-03
2.4817,0.99297544,0.02091551,0.10843417,0.04247767,2.97773,12.33153,5.22079,0.93944,5.03728,1.93024,3.39024118e-02,1.61607309e-03
2.5617,0.99251559,0.02156301,0.11192773,0.04381811,3.09187,12.72609,5.40064,0.93752,5.03842,1.92806,3.39024118e-02,1.61607309e-03
2.6418,0.99204122,0.02220865,0.11542042,0.04515656,3.20728,13.12039,5.58141,0.93559,5.03956,1.92587,3.39024118e-02,1.61607309e-03
2.7218,0.99155235,0.02285242,0.11891219,0.04649301,3.32395,13.51444,5.76311,0.93367,5.04069,1.92369,3.39024118e-02,1.61607309e-03
2.8019,0.99104897,0.02349431,0.12240297,0.04782745,3.44192,13.90822,5.94578,0.93175,5.04183,1.92152,3.39024118e-02,1.61607309e-03
2.8819,0.99053110,0.02413431,0.12589272,0.04915986,3.56118,14.30174,6.12942,0.92983,5.04295,1.91935,3.39024118e-02,1.61607309e-03
2.9620,0.98999875,0.02477239,0.12938137,0.05049025,3.68177,14.69498,6.31405,0.92792,5.04408,1.91718,3.39024118e-02,1.61607309e-03
3.0420,0.98945192,0.02540856,0.13286888,0.05181859,3.80369,15.08795,6.49971,0.92600,5.04520,1.91502,3.39024118e-02,1.61607309e-03
3.1221,0.98889062,0.02604278,0.13635518,0.05314488,3.92696,15.48063,6.68642,0.92409,5.04632,1.91286,3.39024118e-02,1.61607309e-03
3.2021,0.98831486,0.02667506,0.13984023,0.05446910,4.05159,15.87303,6.87418,0.92218,5.04743,1.91071,3.39024118e-02,1.61607309e-03
3.2822,0.98772465,0.02730537,0.14332397,0.05579125,4.17761,16.26513,7.06303,0.92027,5.04854,1.90855,3.39024118e-02,1.61607309e-03
3.3622,0.98712000,0.02793371,0.14680635,0.05711131,4.30504,16.65692,7.25300,0.91836,5.04965,1.90641,3.39024118e-02,1.61607309e-03
3.4423,0.98650092,0.02856006,0.15028730,0.05842927,4.43388,17.04841,7.44409,0.91645,5.05075,1.90426,3.39024118e-02,1.61607309e-03
3.5223,0.98586742,0.02918441,0.15376678,0.05974513,4.56416,17.43959,7.63634,0.91455,5.05185,1.90212,3.39024118e-02,1.61607309e-03
3.6024,0.98521950,0.02980675,0.15724473,0.06105886,4.69589,17.83045,7.82976,0.91264,5.05295,1.89999,3.39024118e-02,1.61607309e-03
3.6825,0.98455718,0.03042706,0.16072110,0.06237047,4.82911,18.22098,8.02440,0.91074,5.05404,1.89786,3.39024118e-02,1.61607309e-03
3.7625,0.98388047,0.03104533,0.16419583,0.06367993,4.96381,18.61118,8.22025,0.90884,5.05513,1.89573,3.39024118e-02,1.61607309e-03
3.8426,0.98318938,0.03166155,0.16766886,0.06498724,5.10004,19.00104,8.41737,0.90694,5.05622,1.89361,3.39024118e-02,1.61607309e-03
3.9226,0.98248392,0.03227571,0.17114015,0.06629240,5.23779,19.39055,8.61575,0.90505,5.05730,1.89149,3.39024118e-02,1.61607309e-03
4.0027,0.98176409,0.03288779,0.17460964,0.06759538,5.37711,19.77972,8.81545,0.90315,5.05838,1.88937,3.39024118e-02,1.61607309e-03
4.0827,0.98102992,0.03349778,0.17807727,0.06889617,5.51800,20.16852,9.01647,0.90126,5.05945,1.88726,3.39024118e-02,1.61607309e-03
4.1628,0.98028141,0.03410567,0.18154299,0.07019478,5.66050,20.55696,9.21885,0.89937,5.06053,1.88515,3.39024118e-02,1.61607309e-03
4.2428,0.97951857,0.03471145,0.18500675,0.07149118,5.80461,20.94502,9.42261,0.89748,5.06159,1.88305,3.39024118e-02,1.61607309e-03
4.3229,0.97874142,0.03531510,0.18846849,0.07278536,5.95038,21.33270,9.62778,0.89559,5.06266,1.88095,3.39024118e-02,1.61607309e-03
4.4029,0.97794996,0.03591662,0.19192815,0.07407733,6.09781,21.72000,9.83439,0.89371,5.06372,1.87885,3.39024118e-02,1.61607309e-03
4.4830,0.97714422,0.03651598,0.19538568,0.07536706,6.24693,22.10690,10.04247,0.89182,5.06478,1.87676,3.39024118e-02,1.61607309e-03
4.5630,0.97632420,0.03711319,0.19884103,0.07665454,6.39778,22.49339,10.25204,0.88994,5.06584,1.87467,3.39024118e-02,1.61607309e-03
4.6431,0.97548991,0.03770822,0.20229415,0.07793977,6.55036,22.87947,10.46314,0.88806,5.06689,1.87259,3.39024118e-02,1.61607309e-03
4.7231,0.97464137,0.03830107,0.20574498,0.07922273,6.70472,23.26513,10.67579,0.88618,5.06794,1.87051,3.39024118e-02,1.61607309e-03
4.8032,0.97377858,0.03889173,0.20919346,0.08050342,6.86086,23.65036,10.89002,0.88430,5.06898,1.86843,3.39024118e-02,1.61607309e-03
4.8833,0.97290158,0.03948017,0.21263954,0.08178182,7.01884,24.03516,11.10588,0.88243,5.07002,1.86636,3.39024118e-02,1.61607309e-03
4.9633,0.97201036,0.04006640,0.21608317,0.08305792,7.17866,24.41951,11.32338,0.88055,5.07106,1.86429,3.39024118e-02,1.61607309e-03
5.0434,0.97110493,0.04065040,0.21952429,0.08433172,7.34035,24.80340,11.54256,0.87868,5.07209,1.86223,3.39024118e-02,1.61607309e-03
5.1234,0.97018533,0.04123215,0.22296285,0.08560321,7.50395,25.18683,11.76345,0.87681,5.07313,1.86017,3.39024118e-02,1.61607309e-03
5.2035,0.96925155,0.04181166,0.22639879,0.08687237,7.66949,25.56979,11.98608,0.87494,5.07415,1.85811,3.39024118e-02,1.61607309e-03
5.2835,0.96830361,0.04238889,0.22983207,0.08813919,7.83700,25.95227,12.21050,0.87307,5.07518,1.85606,3.39024118e-02,1.61607309e-03
5.3636,0.96734153,0.04296386,0.23326262,0.08940366,8.00649,26.33425,12.43673,0.87120,5.07620,1.85401,3.39024118e-02,1.61607309e-03
5.4436,0.96636533,0.04353654,0.23669039,0.09066578,8.17802,26.71573,12.66481,0.86934,5.07722,1.85197,3.39024118e-02,1.61607309e-03
5.5237,0.96537500,0.04410692,0.24011534,0.09192554,8.35161,27.09670,12.89477,0.86748,5.07823,1.84993,3.39024118e-02,1.61607309e-03
5.6037,0.96437058,0.04467499,0.24353740,0.09318292,8.52728,27.47714,13.12665,0.86562,5.07925,1.84789,3.39024118e-02,1.61607309e-03
5.6838,0.96335208,0.04524075,0.24695652,0.09443791,8.70508,27.85705,13.36049,0.86376,5.08025,1.84586,3.39024118e-02,1.61607309e-03
5.7638,0.96231951,0.04580418,0.25037265,0.09569051,8.88504,28.23642,13.59632,0.86190,5.08126,1.84383,3.39024118e-02,1.61607309e-03
5.8439,0.96127289,0.04636526,0.25378573,0.09694070,9.06720,28.61524,13.83419,0.86004,5.08226,1.84181,3.39024118e-02,1.61607309e-03
5.9239,0.96021223,0.04692400,0.25719572,0.09818848,9.25158,28.99348,14.07413,0.85819,5.08326,1.83978,3.39024118e-02,1.61607309e-03
6.0040,0.95913755,0.04748038,0.26060255,0.09943384,9.43823,29.37115,14.31618,0.85634,5.08426,1.83777,3.39024118e-02,1.61607309e-03
6.0841,0.95804886,0.04803439,0.26400618,0.10067676,9.62719,29.74823,14.56039,0.85449,5.08525,1.83575,3.39024118e-02,1.61607309e-03
6.1641,0.95694619,0.04858601,0.26740654,0.10191724,9.81848,30.12471,14.80679,0.85264,5.08624,1.83375,3.39024118e-02,1.61607309e-03
6.2442,0.95582955,0.04913524,0.27080359,0.10315526,10.01216,30.50058,15.05542,0.85079,5.08722,1.83174,3.39024118e-02,1.61607309e-03
6.3242,0.95469896,0.04968208,0.27419728,0.10439082,10.20825,30.87581,15.30634,0.84894,5.08821,1.82974,3.39024118e-02,1.61607309e-03
6.4043,0.95355443,0.05022650,0.27758755,0.10562391,10.40681,31.25041,15.55958,0.84710,5.08919,1.82774,3.39024118e-02,1.61607309e-03
6.4843,0.95239597,0.05076850,0.28097434,0.10685452,10.60786,31.62436,15.81519,0.84526,5.09016,1.82575,3.39024118e-02,1.61607309e-03
6.5644,0.95122362,0.05130806,0.28435761,0.10808263,10.81146,31.99764,16.07321,0.84342,5.09113,1.82376,3.39024118e-02,1.61607309e-03
6.6444,0.95003739,0.05184519,0.28773729,0.10930825,11.01765,32.37024,16.33369,0.84158,5.09210,1.82177,3.39024118e-02,1.61607309e-03
6.7245,0.94883728,0.05237987,0.29111335,0.11053136,11.22647,32.74214,16.59668,0.83974,5.09307,1.81979,3.39024118e-02,1.61607309e-03
6.8045,0.94762333,0.05291208,0.29448572,0.11175194,11.43797,33.11334,16.86222,0.83790,5.09403,1.81781,3.39024118e-02,1.61607309e-03
6.8846,0.94639555,0.05344183,0.29785435,0.11297000,11.65218,33.48382,17.13037,0.83607,5.09500,1.81584,3.39024118e-02,1.61607309e-03
6.9646,0.94515396,0.05396909,0.30121918,0.11418552,11.86917,33.85355,17.40117,0.83424,5.09595,1.81387,3.39024118e-02,1.61607309e-03
7.0447,0.94389858,0.05449387,0.30458018,0.11539850,12.08898,34.22253,17.67468,0.83240,5.09691,1.81191,3.39024118e-02,1.61607309e-03
7.1247,0.94262942,0.05501615,0.30793728,0.11660891,12.31165,34.59074,17.95094,0.83057,5.09786,1.80994,3.39024118e-02,1.61607309e-03
7.2048,0.94134651,0.05553592,0.31129042,0.11781677,12.53724,34.95817,18.23002,0.82875,5.09881,1.80799,3.39024118e-02,1.61607309e-03
7.2849,0.94004986,0.05605317,0.31463957,0.11902204,12.76579,35.32479,18.51196,0.82692,5.09975,1.80603,3.39024118e-02,1.61607309e-03
7.3649,0.93873950,0.05656790,0.31798466,0.12022474,12.99737,35.69059,18.79682,0.82510,5.10069,1.80408,3.39024118e-02,1.61607309e-03
7.4450,0.93741544,0.05708009,0.32132564,0.12142484,13.23202,36.05555,19.08465,0.82327,5.10163,1.80213,3.39024118e-02,1.61607309e-03
7.5250,0.93607771,0.05758974,0.32466246,0.12262234,13.46980,36.41966,19.37552,0.82145,5.10257,1.80019,3.39024118e-02,1.61607309e-03
7.6051,0.93472632,0.05809684,0.32799507,0.12381722,13.71076,36.78289,19.66948,0.81963,5.10350,1.79825,3.39024118e-02,1.61607309e-03
7.6851,0.93336129,0.05860137,0.33132341,0.12500949,13.95496,37.14523,19.96659,0.81781,5.10443,1.79632,3.39024118e-02,1.61607309e-03
7.7652,0.93198266,0.05910334,0.33464743,0.12619913,14.20245,37.50666,20.26692,0.81600,5.10536,1.79439,3.39024118e-02,1.61607309e-03
7.8452,0.93059042,0.05960273,0.33796709,0.12738613,14.45331,37.86715,20.57051,0.81418,5.10628,1.79246,3.39024118e-02,1.61607309e-03
7.9253,0.92918462,0.06009953,0.34128232,0.12857049,14.70758,38.22670,20.87744,0.81237,5.10720,1.79054,3.39024118e-02,1.61607309e-03
8.0053,0.92776526,0.06059373,0.34459308,0.12975219,14.96533,38.58527,21.18778,0.81056,5.10812,1.78862,3.39024118e-02,1.61607309e-03
8.0854,0.92633237,0.06108533,0.34789932,0.13093123,15.22662,38.94284,21.50157,0.80875,5.10903,1.78671,3.39024118e-02,1.61607309e-03
8.1654,0.92488597,0.06157432,0.35120097,0.13210759,15.49151,39.29940,21.81890,0.80694,5.10994,1.78479,3.39024118e-02,1.61607309e-03
8.2455,0.92342609,0.06206069,0.35449800,0.13328127,15.76008,39.65493,22.13983,0.80513,5.11085,1.78289,3.39024118e-02,1.61607309e-03
8.3256,0.92195274,0.06254443,0.35779034,0.13445226,16.03238,40.00939,22.46443,0.80332,5.11176,1.78098,3.39024118e-02,1.61607309e-03
8.4056,0.92046595,0.06302553,0.36107795,0.13562055,16.30848,40.36276,22.79277,0.80152,5.11266,1.77908,3.39024118e-02,1.61607309e-03
8.4857,0.91896573,0.06350399,0.36436078,0.13678614,16.58846,40.71503,23.12491,0.79972,5.11356,1.77719,3.39024118e-02,1.61607309e-03
8.5657,0.91745212,0.06397979,0.36763876,0.13794901,16.87238,41.06616,23.46095,0.79792,5.11445,1.77530,3.39024118e-02,1.61607309e-03
8.6458,0.91592514,0.06445294,0.37091186,0.13910915,17.16032,41.41613,23.80094,0.79612,5.11535,1.77341,3.39024118e-02,1.61607309e-03
8.7258,0.91438479,0.06492342,0.37418002,0.14026656,17.45234,41.76492,24.14496,0.79432,5.11624,1.77153,3.39024118e-02,1.61607309e-03
8.8059,0.91283112,0.06539122,0.37744319,0.14142122,17.74853,42.11249,24.49309,0.79252,5.11713,1.76965,3.39024118e-02,1.61607309e-03
8.8859,0.91126415,0.06585634,0.38070132,0.14257314,18.04895,42.45883,24.84541,0.79073,5.11801,1.76777,3.39024118e-02,1.61607309e-03
8.9660,0.90968389,0.06631877,0.38395435,0.14372230,18.35369,42.80390,25.20200,0.78894,5.11889,1.76590,3.39024118e-02,1.61607309e-03
9.0460,0.90809037,0.06677850,0.38720224,0.14486869,18.66283,43.14767,25.56294,0.78715,5.11977,1.76403,3.39024118e-02,1.61607309e-03
9.1261,0.90648362,0.06723552,0.39044493,0.14601230,18.97644,43.49012,25.92831,0.78536,5.12065,1.76217,3.39024118e-02,1.61607309e-03
9.2061,0.90486365,0.06768983,0.39368238,0.14715314,19.29460,43.83121,26.29819,0.78357,5.12152,1.76030,3.39024118e-02,1.61607309e-03
9.2862,0.90323050,0.06814143,0.39691452,0.14829117,19.61740,44.17091,26.67267,0.78178,5.12239,1.75845,3.39024118e-02,1.61607309e-03
9.3662,0.90158418,0.06859029,0.40014132,0.14942641,19.94492,44.50920,27.05184,0.78000,5.12326,1.75660,3.39024118e-02,1.61607309e-03
9.4463,0.89992473,0.06903642,0.40336272,0.15055884,20.27725,44.84603,27.43578,0.77821,5.12412,1.75475,3.39024118e-02,1.61607309e-03
9.5264,0.89825217,0.06947982,0.40657867,0.15168845,20.61447,45.18139,27.82458,0.77643,5.12498,1.75290,3.39024118e-02,1.61607309e-03
9.6064,0.89656651,0.06992046,0.40978912,0.15281524,20.95667,45.51522,28.21834,0.77465,5.12584,1.75106,3.39024118e-02,1.61607309e-03
9.6865,0.89486780,0.07035835,0.41299401,0.15393919,21.30394,45.84749,28.61714,0.77287,5.12670,1.74922,3.39024118e-02,1.61607309e-03
9.7665,0.89315604,0.07079348,0.41619331,0.15506030,21.65637,46.17818,29.02108,0.77110,5.12755,1.74739,3.39024118e-02,1.61607309e-03
9.8466,0.89143128,0.07122584,0.41938695,0.15617856,22.01406,46.50724,29.43024,0.76932,5.12840,1.74556,3.39024118e-02,1.61607309e-03
9.9266,0.88969352,0.07165543,0.42257490,0.15729397,22.37709,46.83464,29.84474,0.76755,5.12925,1.74374,3.39024118e-02,1.61607309e-03
10.0067,0.88794281,0.07208224,0.42575708,0.15840650,22.74556,47.16033,30.26465,0.76577,5.13009,1.74191,3.39024118e-02,1.61607309e-03
10.0867,0.88617916,0.07250626,0.42893347,0.15951617,23.11957,47.48428,30.69009,0.76400,5.13093,1.74010,3.39024118e-02,1.61607309e-03
10.1668,0.88440261,0.07292748,0.43210401,0.16062295,23.49920,47.80645,31.12114,0.76223,5.13177,1.73828,3.39024118e-02,1.61607309e-03
10.2468,0.88261318,0.07334591,0.43526864,0.16172684,23.88457,48.12678,31.55792,0.76047,5.13261,1.73647,3.39024118e-02,1.61607309e-03
10.3269,0.88081089,0.07376153,0.43842732,0.16282784,24.27576,48.44525,32.00051,0.75870,5.13344,1.73467,3.39024118e-02,1.61607309e-03
10.4069,0.87899577,0.07417435,0.44158000,0.16392592,24.67289,48.76181,32.44902,0.75693,5.13427,1.73286,3.39024118e-02,1.61607309e-03
10.4870,0.87716785,0.07458434,0.44472663,0.16502110,25.07603,49.07641,32.90356,0.75517,5.13510,1.73107,3.39024118e-02,1.61607309e-03
10.5670,0.87532716,0.07499151,0.44786715,0.16611335,25.48531,49.38900,33.36423,0.75341,5.13592,1.72927,3.39024118e-02,1.61607309e-03
10.6471,0.87347372,0.07539586,0.45100153,0.16720268,25.90082,49.69955,33.83112,0.75165,5.13675,1.72748,3.39024118e-02,1.61607309e-03
10.7272,0.87160757,0.07579736,0.45412971,0.16828907,26.32267,50.00799,34.30435,0.74989,5.13757,1.72569,3.39024118e-02,1.61607309e-03
10.8072,0.86972873,0.07619603,0.45725164,0.16937251,26.75094,50.31428,34.78403,0.74813,5.13838,1.72391,3.39024118e-02,1.61607309e-03
10.8873,0.86783722,0.07659185,0.46036727,0.17045301,27.18576,50.61837,35.27025,0.74638,5.13920,1.72213,3.39024118e-02,1.61607309e-03
10.9673,0.86593308,0.07698482,0.46347655,0.17153054,27.62723,50.92021,35.76312,0.74462,5.14001,1.72036,3.39024118e-02,1.61607309e-03
11.0474,0.86401633,0.07737494,0.46657944,0.17260510,28.07544,51.21975,36.26275,0.74287,5.14082,1.71859,3.39024118e-02,1.61607309e-03
11.1274,0.86208701,0.07776219,0.46967589,0.17367669,28.53050,51.51692,36.76924,0.74112,5.14162,1.71682,3.39024118e-02,1.61607309e-03
11.2075,0.86014514,0.07814658,0.47276584,0.17474530,28.99252,51.81168,37.28270,0.73937,5.14242,1.71505,3.39024118e-02,1.61607309e-03
11.2875,0.85819074,0.07852809,0.47584924,0.17581092,29.46159,52.10397,37.80324,0.73762,5.14322,1.71330,3.39024118e-02,1.61607309e-03
11.3676,0.85622386,0.07890673,0.47892606,0.17687354,29.93783,52.39373,38.33096,0.73588,5.14402,1.71154,3.39024118e-02,1.61607309e-03
11.4476,0.85424452,0.07928248,0.48199624,0.17793316,30.42133,52.68089,38.86596,0.73413,5.14482,1.70979,3.39024118e-02,1.61607309e-03
11.5277,0.85225275,0.07965535,0.48505973,0.17898976,30.91220,52.96541,39.40836,0.73239,5.14561,1.70804,3.39024118e-02,1.61607309e-03
11.6077,0.85024857,0.08002533,0.48811649,0.18004335,31.41053,53.24721,39.95824,0.73064,5.14640,1.70629,3.39024118e-02,1.61607309e-03
11.6878,0.84823202,0.08039240,0.49116647,0.18109390,31.91643,53.52623,40.51571,0.72890,5.14719,1.70455,3.39024118e-02,1.61607309e-03
11.7678,0.84620313,0.08075658,0.49420961,0.18214143,32.42998,53.80241,41.08088,0.72717,5.14797,1.70282,3.39024118e-02,1.61607309e-03
11.8479,0.84416193,0.08111785,0.49724587,0.18318591,32.95130,54.07569,41.65383,0.72543,5.14875,1.70108,3.39024118e-02,1.61607309e-03
11.9280,0.84210845,0.08147622,0.50027520,0.18422734,33.48046,54.34599,42.23467,0.72369,5.14953,1.69936,3.39024118e-02,1.61607309e-03
12.0080,0.84004271,0.08183166,0.50329756,0.18526571,34.01757,54.61325,42.82348,0.72196,5.15031,1.69763,3.39024118e-02,1.61607309e-03
12.0881,0.83796476,0.08218419,0.50631290,0.18630103,34.56271,54.87739,43.42036,0.72022,5.15108,1.69591,3.39024118e-02,1.61607309e-03
12.1681,0.83587461,0.08253380,0.50932117,0.18733327,35.11596,55.13835,44.02539,0.71849,5.15185,1.69419,3.39024118e-02,1.61607309e-03
12.2482,0.83377231,0.08288047,0.51232232,0.18836243,35.67740,55.39605,44.63865,0.71676,5.15262,1.69248,3.39024118e-02,1.61607309e-03
12.3282,0.83165788,0.08322422,0.51531631,0.18938851,36.24712,55.65042,45.26024,0.71503,5.15338,1.69077,3.39024118e-02,1.61607309e-03
12.4083,0.82953135,0.08356503,0.51830308,0.19041150,36.82519,55.90138,45.89021,0.71331,5.15415,1.68906,3.39024118e-02,1.61607309e-03
12.4883,0.82739276,0.08390290,0.52128259,0.19143139,37.41167,56.14886,46.52865,0.71158,5.15491,1.68736,3.39024118e-02,1.61607309e-03
12.5684,0.82524214,0.08423783,0.52425480,0.19244817,38.00663,56.39278,47.17562,0.70986,5.15567,1.68566,3.39024118e-02,1.61607309e-03
12.6484,0.82307952,0.08456981,0.52721966,0.19346184,38.61013,56.63306,47.83117,0.70813,5.15642,1.68397,3.39024118e-02,1.61607309e-03
12.7285,0.82090493,0.08489884,0.53017712,0.19447239,39.22222,56.86962,48.49537,0.70641,5.15717,1.68228,3.39024118e-02,1.61607309e-03
12.8085,0.81871840,0.08522492,0.53312713,0.19547981,39.84296,57.10239,49.16826,0.70469,5.15792,1.68059,3.39024118e-02,1.61607309e-03
12.8886,0.81651997,0.08554804,0.53606965,0.19648410,40.47236,57.33127,49.84989,0.70297,5.15867,1.67891,3.39024118e-02,1.61607309e-03
12.9686,0.81430967,0.08586820,0.53900463,0.19748525,41.11048,57.55619,50.54029,0.70126,5.15942,1.67723,3.39024118e-02,1.61607309e-03
13.0487,0.81208753,0.08618539,0.54193203,0.19848325,41.75734,57.77706,51.23948,0.69954,5.16016,1.67555,3.39024118e-02,1.61607309e-03
13.1288,0.80985358,0.08649962,0.54485179,0.19947810,42.41294,57.99381,51.94748,0.69783,5.16090,1.67388,3.39024118e-02,1.61607309e-03
13.2088,0.80760787,0.08681087,0.54776388,0.20046979,43.07731,58.20633,52.66431,0.69611,5.16164,1.67221,3.39024118e-02,1.61607309e-03
13.2889,0.80535041,0.08711915,0.55066825,0.20145831,43.75043,58.41456,53.38996,0.69440,5.16237,1.67055,3.39024118e-02,1.61607309e-03
13.3689,0.80308125,0.08742445,0.55356484,0.20244365,44.43230,58.61840,54.12443,0.69269,5.16310,1.66889,3.39024118e-02,1.61607309e-03
13.4490,0.80080042,0.08772678,0.55645363,0.20342581,45.12290,58.81776,54.86769,0.69099,5.16383,1.66723,3.39024118e-02,1.61607309e-03
13.5290,0.79850795,0.08802612,0.55933455,0.20440479,45.82219,59.01257,55.61972,0.68928,5.16456,1.66558,3.39024118e-02,1.61607309e-03
13.6091,0.79620388,0.08832247,0.56220757,0.20538057,46.53013,59.20273,56.38047,0.68757,5.16529,1.66393,3.39024118e-02,1.61607309e-03
13.6891,0.79388823,0.08861584,0.56507264,0.20635315,47.24667,59.38815,57.14989,0.68587,5.16601,1.66229,3.39024118e-02,1.61607309e-03
13.7692,0.79156105,0.08890621,0.56792971,0.20732252,47.97173,59.56875,57.92792,0.68417,5.16673,1.66065,3.39024118e-02,1.61607309e-03
13.8492,0.78922238,0.08919359,0.57077874,0.20828868,48.70525,59.74445,58.71448,0.68247,5.16745,1.65901,3.39024118e-02,1.61607309e-03
13.9293,0.78687223,0.08947798,0.57361969,0.20925162,49.44712,59.91515,59.50947,0.68077,5.16816,1.65738,3.39024118e-02,1.61607309e-03
14.0093,0.78451065,0.08975936,0.57645250,0.21021133,50.19724,60.08077,60.31280,0.67907,5.16887,1.65575,3.39024118e-02,1.61607309e-03
14.0894,0.78213768,0.09003775,0.57927714,0.21116781,50.95549,60.24123,61.12434,0.67737,5.16958,1.65412,3.39024118e-02,1.61607309e-03
14.1694,0.77975335,0.09031313,0.58209357,0.21212105,51.72174,60.39643,61.94397,0.67567,5.17029,1.65250,3.39024118e-02,1.61607309e-03
14.2495,0.77735768,0.09058551,0.58490172,0.21307104,52.49584,60.54631,62.77154,0.67398,5.17100,1.65088,3.39024118e-02,1.61607309e-03
