t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_L6,eta_L7,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,eta_R6,eta_R7,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.1000,19.246552,0.251302,19.244372,0.195490,1.594138,0.448265,1.834700,-1.255289,0.935781,-3.53899626e-04,2.46704836e-05,6.30810634e-06,-7.72977568e-07,8.22362779e-07,-1.89927819e-08,1.81339413e-07,2.66179089e-04,-1.46159841e-05,-3.62453051e-06,4.40762802e-07,-4.49503322e-07,1.12399332e-08,-9.72520393e-08,6.32105636e-01,9.33400622e-02,1.96338370e-02,2.99976213e+00,3.25272207e-07,1.079e-15,1.332e-15
0.1100,19.251371,0.273656,19.248769,0.214945,1.594231,0.447953,1.834704,-1.407144,1.042967,-3.83497385e-04,3.18197573e-05,2.64530360e-06,2.02373462e-06,-8.77338376e-07,-3.59122351e-07,-6.84423694e-08,2.88772188e-04,-1.91084226e-05,-1.52917181e-06,-1.12949116e-06,4.82415577e-07,1.95162233e-07,3.66368954e-08,6.32116430e-01,9.33401746e-02,1.95984326e-02,2.99978516e+00,3.47768194e-07,8.066e-16,4.441e-16
0.1200,19.256217,0.296014,19.253155,0.234402,1.594305,0.447632,1.834719,-1.514831,1.124235,-4.11518514e-04,3.41037026e-05,-3.85164699e-06,-1.46460052e-06,7.75187779e-07,-3.90369897e-07,-2.19642972e-07,3.10265172e-04,-2.06347827e-05,2.22767662e-06,8.20114009e-07,-4.24814434e-07,2.11550717e-07,1.17954758e-07,6.32121678e-01,9.33389952e-02,1.95911182e-02,2.99978798e+00,3.71331800e-07,1.013e-15,2.220e-15
0.1300,19.261090,0.318375,19.257532,0.253861,1.594341,0.447292,1.834758,-1.610423,1.196645,-4.37850674e-04,3.11937972e-05,-6.05814885e-06,-3.60401151e-07,-5.34765100e-07,-1.03429029e-07,-1.01463729e-07,3.30575522e-04,-1.89724657e-05,3.52695750e-06,2.10544268e-07,2.95715792e-07,5.58569147e-08,5.48376016e-08,6.32116263e-01,9.33353361e-02,1.96376320e-02,2.99975209e+00,3.86965831e-07,2.116e-16,1.332e-15
0.1400,19.265990,0.340738,19.261897,0.273324,1.594407,0.446969,1.834778,-1.657984,1.240051,-4.62390145e-04,2.35555518e-05,-1.61218208e-06,1.83771168e-06,2.09295893e-07,2.52591630e-07,1.27710076e-07,3.49624272e-04,-1.43877415e-05,9.77339002e-07,-1.02616167e-06,-1.15204859e-07,-1.36821684e-07,-6.81129113e-08,6.32119613e-01,9.33336915e-02,1.96404568e-02,2.99974746e+00,4.06856057e-07,7.876e-16,8.882e-16
0.1500,19.270917,0.363105,19.266253,0.292789,1.594459,0.446639,1.834806,-1.664537,1.258558,-4.85043502e-04,1.23736294e-05,4.55901705e-06,-1.66327347e-06,1.44972568e-07,3.85651538e-07,1.90323473e-07,3.67335533e-04,-7.59360965e-06,-2.59598073e-06,9.31836704e-07,-7.68394507e-08,-2.08347397e-07,-1.01972821e-07,6.32119241e-01,9.33311852e-02,1.96620093e-02,2.99972939e+00,4.33014694e-07,3.938e-16,4.885e-15
0.1600,19.275871,0.385474,19.270597,0.312256,1.594515,0.446313,1.834833,-1.694427,1.288798,-5.05721460e-04,-6.28751002e-07,5.69964010e-06,4.03924341e-08,-4.58122320e-07,1.99476289e-07,2.46700809e-08,3.83640851e-04,3.63382634e-07,-3.28054400e-06,-1.35971710e-08,2.51186293e-07,-1.07069286e-07,-1.33239219e-08,6.32119950e-01,9.33289127e-02,1.96785186e-02,2.99971484e+00,4.54041679e-07,6.054e-16,8.882e-16
0.1700,19.280852,0.407845,19.274932,0.331726,1.594564,0.445984,1.834863,-1.732139,1.322763,-5.24343673e-04,-1.34575059e-05,6.19600735e-07,1.59072227e-06,6.80573585e-07,-1.38480033e-07,-1.57981181e-07,3.98476635e-04,8.26266201e-06,-3.60727283e-07,-8.88834879e-07,-3.71475380e-07,7.59401690e-08,8.47665571e-08,6.32118946e-01,9.33262251e-02,1.97040731e-02,2.99969369e+00,4.76524088e-07,5.274e-16,1.776e-15
0.1800,19.285859,0.430220,19.279256,0.351199,1.594581,0.445642,1.834913,-1.763777,1.352434,-5.40837135e-04,-2.41525089e-05,-5.06674000e-06,-1.78334375e-06,-7.70272374e-07,-3.46393300e-07,-1.41517603e-07,4.11785583e-04,1.48975617e-05,2.93648140e-06,1.00012733e-06,4.23665003e-07,1.88155462e-07,7.62643931e-08,6.32109267e-01,9.33214981e-02,1.97739488e-02,2.99964057e+00,4.97616805e-07,3.053e-16,1.776e-15
0.1900,19.290893,0.452597,19.283569,0.370675,1.594575,0.445289,1.834977,-1.791050,1.378845,-5.55133283e-04,-3.10853927e-05,-5.14367865e-06,4.14933561e-07,7.21165542e-07,-2.62635301e-07,4.03663486e-08,4.23518989e-04,1.92609092e-05,3.00827490e-06,-2.22715656e-07,-3.94998867e-07,1.42221049e-07,-2.11956285e-08,6.32093022e-01,9.33152281e-02,1.98774224e-02,2.99956330e+00,5.09190690e-07,7.789e-16,3.997e-15
0.2000,19.295954,0.474976,19.287871,0.390153,1.594589,0.444947,1.835028,-1.813681,1.401788,-5.67178690e-04,-3.32123178e-05,4.10866152e-07,1.29639044e-06,-5.41420929e-07,2.98499750e-08,1.61848119e-07,4.33630411e-04,2.06941896e-05,-1.88677561e-07,-7.25028928e-07,2.99324097e-07,-1.63436122e-08,-8.65715018e-08,6.32082755e-01,9.33103395e-02,1.99509354e-02,2.99950751e+00,5.20739280e-07,2.966e-16,3.109e-15
0.2100,19.301041,0.497357,19.292163,0.409635,1.594612,0.444610,1.835074,-1.827466,1.419386,-5.76928416e-04,-3.02277487e-05,5.47086406e-06,-1.82556688e-06,2.73431124e-07,2.83151376e-07,8.43426240e-08,4.42080229e-04,1.89894438e-05,-3.12862916e-06,1.02459481e-06,-1.50332844e-07,-1.53201704e-07,-4.52831964e-08,6.32075052e-01,9.33060502e-02,2.00114514e-02,2.99946108e+00,5.32744627e-07,1.370e-15,3.553e-15
0.2200,19.306155,0.519742,19.296444,0.429119,1.594629,0.444269,1.835123,-1.891789,1.465177,-5.84345666e-04,-2.26079802e-05,4.51763656e-06,7.49152137e-07,3.70222269e-08,2.94044353e-07,-8.66845407e-08,4.48836012e-04,1.44194383e-05,-2.60486009e-06,-4.10208217e-07,-1.75258138e-08,-1.58549079e-07,4.64427643e-08,6.32065461e-01,9.33013371e-02,2.00812353e-02,2.99940814e+00,5.43406891e-07,5.742e-16,3.553e-15
0.2300,19.311296,0.542128,19.300715,0.448605,1.594671,0.443941,1.835158,-1.967702,1.517275,-5.89404095e-04,-1.15363824e-05,-1.34260822e-06,9.69351245e-07,-3.27242471e-07,6.63155574e-08,-1.43316421e-07,4.53871266e-04,7.69324717e-06,7.72540002e-07,-5.42833416e-07,1.79215632e-07,-3.48714132e-08,7.70997449e-08,6.32062919e-01,9.32982564e-02,2.01154912e-02,2.99938059e+00,5.60009626e-07,2.220e-16,1.776e-15
0.2400,19.316463,0.564517,19.304976,0.468095,1.594679,0.443594,1.835212,-2.021198,1.555962,-5.92084214e-04,1.28208133e-06,-5.65811489e-06,-1.79266860e-06,5.51165113e-07,-2.03110104e-07,-2.71515916e-08,4.57167842e-04,-1.52403828e-07,3.28533370e-06,1.00739997e-06,-3.00167639e-07,1.10867732e-07,1.50120656e-08,6.32050871e-01,9.32929801e-02,2.01976353e-02,2.99931889e+00,5.77514043e-07,1.665e-16,3.109e-15
0.2500,19.321657,0.586909,19.309225,0.487587,1.594703,0.443255,1.835258,-2.071277,1.591005,-5.92375541e-04,1.38824011e-05,-3.73417535e-06,1.03306665e-06,-6.65473525e-07,-2.93727571e-07,1.12745186e-07,4.58714712e-04,-7.91364274e-06,2.20005195e-06,-5.69502958e-07,3.65851934e-07,1.59401317e-07,-6.01303093e-08,6.32043014e-01,9.32886821e-02,2.02584914e-02,2.99927247e+00,5.92668402e-07,2.776e-16,1.332e-15
0.2600,19.326877,0.609303,19.313464,0.507082,1.594760,0.442933,1.835283,-2.073953,1.597653,-5.90280650e-04,2.43388056e-05,2.25980415e-06,6.24520516e-07,6.58805943e-07,-1.41423801e-07,1.10089724e-07,4.58505576e-04,-1.44055810e-05,-1.25947967e-06,-3.50640705e-07,-3.60699030e-07,7.64194388e-08,-5.90122992e-08,6.32044719e-01,9.32866224e-02,2.02705346e-02,2.99926102e+00,6.07816576e-07,6.800e-16,2.665e-15
0.2700,19.332124,0.631700,19.317693,0.526579,1.594818,0.442608,1.835308,-2.067324,1.596988,-5.85812005e-04,3.10604864e-05,5.73482035e-06,-1.69128901e-06,-5.31440734e-07,1.17810756e-07,-2.17437422e-08,4.56540784e-04,-1.86421230e-05,-3.29092964e-06,9.51351381e-07,2.93703580e-07,-6.39405572e-08,1.15837440e-08,6.32046185e-01,9.32845319e-02,2.02832707e-02,2.99924922e+00,6.17212232e-07,1.004e-15,1.776e-15
0.2800,19.337398,0.654100,19.321911,0.546079,1.594888,0.442290,1.835324,-2.068376,1.598830,-5.78988156e-04,3.30352479e-05,2.92492483e-06,1.25830629e-06,3.15581276e-07,2.68270946e-07,-1.18413560e-07,4.52829647e-04,-1.99844704e-05,-1.69208437e-06,-6.96324131e-07,-1.73547045e-07,-1.44991220e-07,6.36132159e-08,6.32051328e-01,9.32833011e-02,2.02772848e-02,2.99925082e+00,6.24648942e-07,5.187e-16,8.882e-16
0.2900,19.342698,0.676503,19.326119,0.565581,1.594948,0.441966,1.835348,-2.044696,1.584773,-5.69838941e-04,2.99792613e-05,-3.03371544e-06,2.76911293e-07,-4.80495564e-08,1.93748737e-07,-6.87049110e-08,4.47387011e-04,-1.82394133e-05,1.75149244e-06,-1.56458859e-07,2.91958441e-08,-1.04066502e-07,3.72276552e-08,6.32053294e-01,9.32813334e-02,2.02874071e-02,2.99924092e+00,6.35040002e-07,1.315e-15,3.553e-15
0.3000,19.348025,0.698908,19.330316,0.585086,1.594984,0.441631,1.835386,-1.982135,1.546429,-5.58399426e-04,2.23805583e-05,-5.60081163e-06,-1.52877803e-06,-2.16108308e-07,-3.37020913e-08,5.83860756e-08,4.40236959e-04,-1.36848236e-05,3.26068078e-06,8.61832058e-07,1.18158527e-07,1.93025647e-08,-3.09112042e-08,6.32048857e-01,9.32778656e-02,2.03302733e-02,2.99920755e+00,6.44792208e-07,7.702e-16,1.332e-15
0.3100,19.353378,0.721316,19.334503,0.604593,1.595016,0.441294,1.835426,-1.893437,1.490963,-5.44714029e-04,1.14192744e-05,-2.01047773e-06,1.41999917e-06,4.34832756e-07,-2.21844391e-07,1.07786778e-07,4.31410077e-04,-7.02695329e-06,1.20952288e-06,-7.87452441e-07,-2.36256062e-07,1.20815423e-07,-5.76644540e-08,6.32043221e-01,9.32741147e-02,2.03793428e-02,2.99916974e+00,6.59864369e-07,5.048e-16,1.776e-15
0.3200,19.358758,0.743727,19.338680,0.624103,1.595071,0.440971,1.835452,-1.775969,1.417213,-5.28840465e-04,-1.21748673e-06,3.74956122e-06,-5.98519458e-08,-5.65133822e-07,-2.20194946e-07,2.69822844e-08,4.20940780e-04,7.07617061e-07,-2.12413554e-06,3.17049007e-08,3.10586687e-07,1.19378790e-07,-1.45213412e-08,6.32044456e-01,9.32719539e-02,2.03937587e-02,2.99915664e+00,6.79214588e-07,7.095e-16,3.109e-15
0.3300,19.364165,0.766140,19.342845,0.643615,1.595109,0.440637,1.835489,-1.660367,1.343183,-5.10842190e-04,-1.35917736e-05,5.36734678e-06,-1.31621874e-06,5.91901237e-07,-4.00075262e-08,-7.96337515e-08,4.08871776e-04,8.33291321e-06,-3.08674193e-06,7.43839098e-07,-3.23724308e-07,2.14622036e-08,4.27401951e-08,6.32040411e-01,9.32685686e-02,2.04349154e-02,2.99912446e+00,6.94535837e-07,2.047e-16,8.882e-16
0.3400,19.369598,0.788555,19.347001,0.663130,1.595142,0.440303,1.835527,-1.586206,1.291563,-4.90791232e-04,-2.38134742e-05,1.12226122e-06,1.51537303e-06,-5.08731733e-07,1.63464967e-07,-8.47755129e-08,3.95251857e-04,1.46842147e-05,-6.53340390e-07,-8.41814713e-07,2.81085266e-07,-8.85224996e-08,4.57629342e-08,6.32035566e-01,9.32649883e-02,2.04803620e-02,2.99908917e+00,7.10883459e-07,6.106e-16,3.553e-15
0.3500,19.375057,0.810973,19.351145,0.682648,1.595166,0.439965,1.835572,-1.498443,1.231835,-4.68767313e-04,-3.03286762e-05,-4.28681480e-06,-3.72672394e-07,3.39757529e-07,2.24106797e-07,1.03145319e-08,3.80136117e-04,1.87961934e-05,2.48238415e-06,2.07178099e-07,-1.86578289e-07,-1.20818290e-07,-5.11563740e-09,6.32027967e-01,9.32607543e-02,2.05401249e-02,2.99904361e+00,7.25620644e-07,1.769e-16,2.220e-16
0.3600,19.380542,0.833394,19.355279,0.702168,1.595155,0.439609,1.835638,-1.411962,1.172028,-4.44856278e-04,-3.21551632e-05,-4.94135128e-06,-1.06461160e-06,-1.12857355e-07,1.00213568e-07,8.65786447e-08,3.63586529e-04,2.00501360e-05,2.88990045e-06,6.04233289e-07,6.48356373e-08,-5.32728682e-08,-4.61772979e-08,6.32010585e-01,9.32542473e-02,2.06495987e-02,2.99896265e+00,7.34694471e-07,2.515e-16,2.220e-15
0.3700,19.386054,0.855817,19.359403,0.721691,1.595175,0.439269,1.835685,-1.327625,1.112755,-4.19152912e-04,-2.90318663e-05,-1.78737684e-07,1.54498541e-06,-1.23553040e-07,-9.82542850e-08,5.56456786e-08,3.45669785e-04,1.82659440e-05,1.54386152e-07,-8.59442537e-07,6.72451226e-08,5.41561544e-08,-2.98357836e-08,6.32002021e-01,9.32497903e-02,2.07143203e-02,2.99891363e+00,7.48700022e-07,1.657e-15,2.665e-15
0.3800,19.391592,0.878242,19.363516,0.741217,1.595210,0.438935,1.835723,-1.234776,1.048338,-3.91762747e-04,-2.14570112e-05,4.74144683e-06,-6.51484372e-07,3.32154432e-07,-2.06563681e-07,-3.83875617e-08,3.26455690e-04,1.37271147e-05,-2.70389331e-06,3.63223446e-07,-1.79740523e-07,1.12343347e-07,2.05719823e-08,6.31997441e-01,9.32462836e-02,2.07582731e-02,2.99887953e+00,7.65980641e-07,7.078e-16,2.665e-15
0.3900,19.397156,0.900670,19.367618,0.760745,1.595252,0.438603,1.835757,-1.177018,1.003291,-3.62795793e-04,-1.06060612e-05,4.44583693e-06,-7.87058459e-07,-4.71127029e-07,-1.41630549e-07,-8.03718508e-08,3.06020482e-04,7.13780230e-06,-2.56333335e-06,4.49338524e-07,2.58824914e-07,7.66847947e-08,4.33076156e-08,6.31994724e-01,9.32432295e-02,2.07923338e-02,2.99885260e+00,7.83197863e-07,2.099e-16,3.109e-15
0.4000,19.402747,0.923100,19.371709,0.780275,1.595305,0.438275,1.835784,-1.138338,0.968782,-3.32367533e-04,1.84984790e-06,-6.85695374e-07,1.51167405e-06,5.23157996e-07,3.48840375e-08,-2.46674958e-08,2.84445591e-04,-4.87006263e-07,3.89706440e-07,-8.42035238e-07,-2.85841347e-07,-1.90722103e-08,1.36072744e-08,6.31994897e-01,9.32408645e-02,2.08113242e-02,2.99883648e+00,8.07360331e-07,2.776e-16,3.109e-15
0.4100,19.408364,0.945533,19.375791,0.799809,1.595353,0.437943,1.835814,-1.081941,0.923432,-3.00600254e-04,1.40003328e-05,-4.99827102e-06,-8.86701216e-07,-4.76742919e-07,1.74203240e-07,5.61963834e-08,2.61816155e-04,-7.97851114e-06,2.90029536e-06,4.95450424e-07,2.63385627e-07,-9.41402150e-08,-2.98152984e-08,6.31993441e-01,9.32381367e-02,2.08382699e-02,2.99881479e+00,8.31002805e-07,6.089e-16,8.882e-16
0.4200,19.414007,0.967968,19.379861,0.819344,1.595396,0.437608,1.835847,-0.998416,0.861412,-2.67618037e-04,2.39909077e-05,-3.79223693e-06,-4.95382625e-07,3.48952284e-07,1.65287031e-07,6.52634123e-08,2.38223580e-04,-1.41915687e-05,2.23289861e-06,2.86819412e-07,-1.91544924e-07,-8.88087373e-08,-3.49183258e-08,6.31990485e-01,9.32350770e-02,2.08724850e-02,2.99878803e+00,8.49696349e-07,5.464e-16,4.885e-15
0.4300,19.419676,0.990407,19.383921,0.838882,1.595467,0.437284,1.835863,-0.894228,0.786075,-2.33553518e-04,3.03025129e-05,1.55481586e-06,1.42067718e-06,-1.60325942e-07,2.31021807e-08,-2.96678886e-09,2.13760629e-04,-1.81823601e-05,-8.49343984e-07,-7.92509684e-07,9.06477587e-08,-1.15455320e-08,1.55600045e-09,6.31995107e-01,9.32338036e-02,2.08676018e-02,2.99878920e+00,8.70001573e-07,6.974e-16,3.109e-15
0.4400,19.425372,1.012848,19.387971,0.858422,1.595560,0.436971,1.835866,-0.759941,0.692273,-1.98544448e-04,3.19837905e-05,5.15934708e-06,-1.07226913e-06,-4.79957608e-08,-1.30205469e-07,-6.26770904e-08,1.88522897e-04,-1.93507129e-05,-2.95555231e-06,5.99744345e-07,2.57267422e-08,7.12868217e-08,3.37204630e-08,6.32006108e-01,9.32340324e-02,2.08298666e-02,2.99881385e+00,8.87261740e-07,3.660e-16,3.109e-15
0.4500,19.431094,1.035292,19.392010,0.877964,1.595640,0.436650,1.835876,-0.636508,0.603206,-1.62729367e-04,2.87961408e-05,3.10541898e-06,-2.02576926e-07,2.42841844e-07,-1.69842688e-07,-4.42436872e-08,1.62610727e-04,-1.75290489e-05,-1.79700239e-06,1.23109055e-07,-1.30686798e-07,9.22452196e-08,2.40471883e-08,6.32012998e-01,9.32333218e-02,2.08127165e-02,2.99882394e+00,9.03352037e-07,4.198e-16,2.220e-15
0.4600,19.436843,1.057739,19.396039,0.897509,1.595728,0.436333,1.835882,-0.512897,0.512785,-1.26250098e-04,2.12458444e-05,-2.30259977e-06,1.27954832e-06,-3.84735906e-07,-6.95737810e-08,2.50432572e-08,1.36126850e-04,-1.30074767e-05,1.32571687e-06,-7.14576509e-07,2.11213893e-07,3.75753937e-08,-1.30753424e-08,6.32022285e-01,9.32331630e-02,2.07835515e-02,2.99884255e+00,9.25833634e-07,3.747e-16,1.776e-15
0.4700,19.442617,1.080188,19.400057,0.917055,1.595787,0.436002,1.835905,-0.349824,0.398938,-8.92497035e-05,1.05045149e-05,-5.12358610e-06,-1.20322426e-06,4.55064988e-07,8.20621762e-08,6.00209270e-08,1.09176952e-04,-6.48707652e-06,2.98222914e-06,6.74317637e-07,-2.48195761e-07,-4.44933901e-08,-3.20136687e-08,6.32023401e-01,9.32311017e-02,2.07960094e-02,2.99883150e+00,9.49491689e-07,2.776e-16,8.882e-16
0.4800,19.448418,1.102640,19.404065,0.936605,1.595833,0.435664,1.835936,-0.179794,0.279788,-5.18723580e-05,-1.77277061e-06,-2.30562551e-06,8.02434740e-08,-4.38498824e-07,1.59527522e-07,2.20083096e-08,8.18690018e-05,1.02869558e-06,1.38063275e-06,-3.48564051e-08,2.42162580e-07,-8.60083487e-08,-1.17966311e-08,6.32020915e-01,9.32281996e-02,2.08268726e-02,2.99880734e+00,9.74574069e-07,2.082e-16,3.553e-15
0.4900,19.454245,1.125095,19.408063,0.956156,1.595901,0.435338,1.835953,0.005277,0.151557,-1.42661888e-05,-1.37040151e-05,3.01293640e-06,1.09674422e-06,3.46357605e-07,1.03878651e-07,-3.90401909e-08,5.43107635e-05,8.38725887e-06,-1.69494769e-06,-6.13299357e-07,-1.89992209e-07,-5.54463675e-08,2.09795818e-08,6.32024886e-01,9.32267995e-02,2.08249223e-02,2.99880652e+00,1.00203184e-06,9.315e-16,4.441e-16
0.5000,19.460098,1.147553,19.412049,0.975710,1.595963,0.435007,1.835975,0.179429,0.029391,2.34185030e-05,-2.34681791e-05,4.99790586e-06,-1.27867424e-06,-1.92618293e-07,-3.28221184e-08,-4.96394342e-08,2.66100885e-05,1.44640797e-05,-2.87104916e-06,7.17435276e-07,1.08340511e-07,1.87155123e-08,2.68725728e-08,6.32026738e-01,9.32249148e-02,2.08335836e-02,2.99879819e+00,1.02454484e-06,1.023e-15,5.329e-15
0.5100,19.465977,1.170013,19.416026,0.995266,1.596021,0.434676,1.835999,0.311528,-0.068588,6.10345118e-05,-2.95808798e-05,1.51922883e-06,3.42106216e-07,1.22677739e-08,-1.35630783e-07,-9.56449697e-10,-1.12260675e-06,1.83361726e-05,-8.84230756e-07,-1.81525175e-07,-7.26891198e-09,7.40649694e-08,8.71683650e-10,6.32027641e-01,9.32228059e-02,2.08471738e-02,2.99878633e+00,1.04450582e-06,7.373e-16,4.441e-16
0.5200,19.471882,1.192476,19.419991,1.014824,1.596072,0.434340,1.836026,0.425052,-0.155264,9.84336056e-05,-3.11222653e-05,-3.56541317e-06,8.82269929e-07,1.66589036e-07,-1.22971944e-07,4.54896946e-08,-2.87777566e-05,1.94205520e-05,2.06182859e-06,-4.94006740e-07,-8.87179962e-08,6.67366984e-08,-2.41428761e-08,6.32026599e-01,9.32202448e-02,2.08706769e-02,2.99876741e+00,1.06387477e-06,4.441e-16,4.441e-16
0.5300,19.477813,1.214941,19.423946,1.034385,1.596111,0.433999,1.836061,0.541110,-0.242794,1.35469258e-04,-2.78742804e-05,-4.68719796e-06,-1.29845202e-06,-3.06549694e-07,-1.10939662e-08,3.52248961e-08,-5.62456817e-05,1.75628231e-05,2.74056404e-06,7.29895475e-07,1.68287407e-07,5.93571745e-09,-1.88164237e-08,6.32022217e-01,9.32169105e-02,2.09111145e-02,2.99873646e+00,1.08075041e-06,3.261e-16,4.441e-16
0.5400,19.483770,1.237409,19.427891,1.053948,1.596154,0.433657,1.836094,0.648470,-0.324865,1.71996914e-04,-2.03513858e-05,-6.64564533e-07,5.74113003e-07,3.89227955e-07,1.04140078e-07,-1.56166489e-08,-8.34171681e-05,1.30589901e-05,4.36147661e-07,-3.11715322e-07,-2.11924986e-07,-5.63148419e-08,8.39540939e-09,6.32018693e-01,9.32137938e-02,2.09468000e-02,2.99870900e+00,1.10137825e-06,2.220e-16,3.553e-15
