t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_R1,eta_R2,eta_R3,eta_R4,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.1000,19.246552,0.251302,19.244372,0.195490,1.594141,0.448266,1.834698,-1.258755,0.937672,-3.53899759e-04,2.46704247e-05,6.30808356e-06,-7.73032146e-07,2.66179003e-04,-1.46160296e-05,-3.62454862e-06,4.40718941e-07,6.32106452e-01,9.33402500e-02,1.96297593e-02,2.99976505e+00,2.48967766e-07,8.778e-16,8.882e-16
0.1100,19.251371,0.273656,19.248769,0.214945,1.594231,0.447953,1.834704,-1.405156,1.041869,-3.83497218e-04,3.18198569e-05,2.64536672e-06,2.02382139e-06,2.88772296e-04,-1.91083455e-05,-1.52912166e-06,-1.12942135e-06,6.32116436e-01,9.33401761e-02,1.95984003e-02,2.99978519e+00,2.66062353e-07,9.992e-16,4.441e-16
0.1200,19.256217,0.296014,19.253155,0.234402,1.594303,0.447631,1.834721,-1.518036,1.125992,-4.11518559e-04,3.41036927e-05,-3.85167421e-06,-1.46464497e-06,3.10265144e-04,-2.06347899e-05,2.22765517e-06,8.20078402e-07,6.32120949e-01,9.33388277e-02,1.95947517e-02,2.99978538e+00,2.84264661e-07,8.483e-16,6.661e-16
0.1300,19.261090,0.318375,19.257532,0.253861,1.594343,0.447293,1.834757,-1.608618,1.195647,-4.37850582e-04,3.11938577e-05,-6.05813669e-06,-3.60376751e-07,3.30575581e-04,-1.89724189e-05,3.52696716e-06,2.10563928e-07,6.32116818e-01,9.33354637e-02,1.96348625e-02,2.99975407e+00,2.94966018e-07,7.321e-16,7.772e-16
0.1400,19.265990,0.340738,19.261897,0.273324,1.594403,0.446967,1.834780,-1.658270,1.240208,-4.62390219e-04,2.35555232e-05,-1.61220899e-06,1.83772272e-06,3.49624224e-04,-1.43877637e-05,9.77317635e-07,-1.02615281e-06,6.32118438e-01,9.33334212e-02,1.96463225e-02,2.99974326e+00,3.09937856e-07,7.147e-16,2.665e-15
0.1500,19.270917,0.363105,19.266253,0.292789,1.594463,0.446641,1.834804,-1.664366,1.258457,-4.85043590e-04,1.23735899e-05,4.55900522e-06,-1.66332431e-06,3.67335475e-04,-7.59364062e-06,-2.59599025e-06,9.31795627e-07,6.32120174e-01,9.33314003e-02,1.96573423e-02,2.99973274e+00,3.31207708e-07,1.220e-15,6.661e-16
0.1600,19.275871,0.385474,19.270597,0.312256,1.594513,0.446311,1.834834,-1.692282,1.287629,-5.05721426e-04,-6.28731409e-07,5.69967114e-06,4.04086885e-08,3.83640873e-04,3.63397579e-07,-3.28051941e-06,-1.35840795e-08,6.32119284e-01,9.33287594e-02,1.96818461e-02,2.99971246e+00,3.47584654e-07,1.455e-15,2.665e-15
0.1700,19.280852,0.407845,19.274932,0.331726,1.594567,0.445986,1.834861,-1.734379,1.323992,-5.24343741e-04,-1.34575442e-05,6.19580661e-07,1.59072457e-06,3.98476591e-04,8.26263246e-06,-3.60743189e-07,-8.88832976e-07,6.32119781e-01,9.33264171e-02,1.96999068e-02,2.99969667e+00,3.66066027e-07,3.123e-16,1.332e-15
0.1800,19.285859,0.430220,19.279256,0.351199,1.594582,0.445642,1.834912,-1.761861,1.351378,-5.40836979e-04,-2.41524339e-05,-5.06670417e-06,-1.78332476e-06,4.11785684e-04,1.48976196e-05,2.93650988e-06,1.00014259e-06,6.32109485e-01,9.33215477e-02,1.97728700e-02,2.99964134e+00,3.83448861e-07,1.207e-15,2.665e-15
0.1900,19.290893,0.452597,19.283569,0.370675,1.594574,0.445288,1.834977,-1.794521,1.380737,-5.55133362e-04,-3.10854421e-05,-5.14371936e-06,4.14914333e-07,4.23518938e-04,1.92608711e-05,3.00824268e-06,-2.22730953e-07,6.32092667e-01,9.33151461e-02,1.98792053e-02,2.99956202e+00,3.91213012e-07,6.800e-16,1.110e-16
0.2000,19.295954,0.474976,19.287871,0.390153,1.594590,0.444948,1.835027,-1.812294,1.401012,-5.67178639e-04,-3.32123001e-05,4.10886645e-07,1.29643240e-06,4.33630444e-04,2.06942030e-05,-1.88661327e-07,-7.24995317e-07,6.32082938e-01,9.33103819e-02,1.99500132e-02,2.99950817e+00,3.99397737e-07,1.719e-15,2.220e-15
0.2100,19.301041,0.497357,19.292163,0.409635,1.594608,0.444607,1.835076,-1.827719,1.419529,-5.76928499e-04,-3.02277995e-05,5.47085644e-06,-1.82562026e-06,4.42080174e-04,1.89894045e-05,-3.12863520e-06,1.02455184e-06,6.32073725e-01,9.33057452e-02,2.00180919e-02,2.99945635e+00,4.08038296e-07,6.141e-16,7.772e-16
0.2200,19.306155,0.519742,19.296444,0.429119,1.594632,0.444270,1.835121,-1.890625,1.464542,-5.84345702e-04,-2.26080037e-05,4.51764064e-06,7.49156557e-07,4.48835988e-04,1.44194200e-05,-2.60485696e-06,-4.10204663e-07,6.32066321e-01,9.33015353e-02,2.00769170e-02,2.99941122e+00,4.15040206e-07,1.898e-15,8.882e-16
0.2300,19.311296,0.542128,19.300715,0.448605,1.594670,0.443940,1.835158,-1.965883,1.516288,-5.89404048e-04,-1.15363588e-05,-1.34259577e-06,9.69383868e-07,4.53871296e-04,7.69326563e-06,7.72549869e-07,-5.42807202e-07,6.32062652e-01,9.32981944e-02,2.01168427e-02,2.99937962e+00,4.28486480e-07,7.893e-16,8.882e-16
0.2400,19.316463,0.564517,19.304976,0.468095,1.594683,0.443596,1.835210,-2.023662,1.557304,-5.92084270e-04,1.28205551e-06,-5.65815013e-06,-1.79271804e-06,4.57167805e-04,-1.52423595e-07,3.28530571e-06,1.00736022e-06,6.32051971e-01,9.32932329e-02,2.01921249e-02,2.99932282e+00,4.43140911e-07,8.379e-16,1.776e-15
0.2500,19.321657,0.586909,19.309225,0.487587,1.594702,0.443255,1.835258,-2.070400,1.590509,-5.92375431e-04,1.38824664e-05,-3.73414906e-06,1.03312144e-06,4.58714784e-04,-7.91359216e-06,2.20007287e-06,-5.69458836e-07,6.32042912e-01,9.32886584e-02,2.02590077e-02,2.99927210e+00,4.55452034e-07,7.164e-16,1.776e-15
0.2600,19.326877,0.609303,19.313464,0.507082,1.594758,0.442931,1.835284,-2.077038,1.599334,-5.90280741e-04,2.43387697e-05,2.25978331e-06,6.24501672e-07,4.58505517e-04,-1.44056086e-05,-1.25949609e-06,-3.50655861e-07,6.32044053e-01,9.32864696e-02,2.02738680e-02,2.99925865e+00,4.68095113e-07,1.041e-15,2.665e-15
0.2700,19.332124,0.631700,19.317693,0.526579,1.594817,0.442608,1.835308,-2.065050,1.595737,-5.85811947e-04,3.10605298e-05,5.73485911e-06,-1.69129568e-06,4.56540820e-04,-1.86420894e-05,-3.29089889e-06,9.51345961e-07,6.32046074e-01,9.32845070e-02,2.02838123e-02,2.99924883e+00,4.75122379e-07,9.125e-16,1.776e-15
0.2800,19.337398,0.654100,19.321911,0.546079,1.594885,0.442288,1.835326,-2.068135,1.598711,-5.78988223e-04,3.30352267e-05,2.92491335e-06,1.25830823e-06,4.52829603e-04,-1.99844867e-05,-1.69209350e-06,-6.96322466e-07,6.32050503e-01,9.32831111e-02,2.02814268e-02,2.99924787e+00,4.80073190e-07,1.164e-15,3.997e-15
0.2900,19.342698,0.676503,19.326119,0.565581,1.594952,0.441968,1.835346,-2.043644,1.584195,-5.69838955e-04,2.99792665e-05,-3.03372827e-06,2.76913285e-07,4.47387001e-04,-1.82394095e-05,1.75148210e-06,-1.56457397e-07,6.32054511e-01,9.32816134e-02,2.02813056e-02,2.99924526e+00,4.87968392e-07,2.030e-16,1.110e-16
0.3000,19.348025,0.698908,19.330316,0.585086,1.594983,0.441631,1.835386,-1.981714,1.546198,-5.58399402e-04,2.23805806e-05,-5.60081970e-06,-1.52879366e-06,4.40236974e-04,-1.36848065e-05,3.26067436e-06,8.61819512e-07,6.32048684e-01,9.32778250e-02,2.03311572e-02,2.99920692e+00,4.95416707e-07,5.655e-16,1.776e-15
0.3100,19.353378,0.721316,19.334503,0.604593,1.595018,0.441296,1.835424,-1.896028,1.492368,-5.44714079e-04,1.14192539e-05,-2.01049903e-06,1.42000692e-06,4.31410044e-04,-7.02696922e-06,1.20950602e-06,-7.87446150e-07,6.32043905e-01,9.32742723e-02,2.03759070e-02,2.99917219e+00,5.08389118e-07,1.140e-15,1.332e-15
0.3200,19.358758,0.743727,19.338680,0.624103,1.595069,0.440970,1.835453,-1.774891,1.416615,-5.28840367e-04,-1.21743478e-06,3.74960642e-06,-5.98212277e-08,4.20940843e-04,7.07657156e-07,-2.12409955e-06,3.17295416e-08,6.32043866e-01,9.32718183e-02,2.03967164e-02,2.99915453e+00,5.25697650e-07,3.660e-16,1.332e-15
0.3300,19.364165,0.766140,19.342845,0.643615,1.595107,0.440636,1.835490,-1.662238,1.344208,-5.10842264e-04,-1.35918151e-05,5.36734030e-06,-1.31626505e-06,4.08871729e-04,8.33288118e-06,-3.08674700e-06,7.43801967e-07,6.32039897e-01,9.32684506e-02,2.04374883e-02,2.99912263e+00,5.39218937e-07,5.673e-16,8.882e-16
0.3400,19.369598,0.788555,19.347001,0.663130,1.595143,0.440304,1.835527,-1.583641,1.290155,-4.90791176e-04,-2.38134514e-05,1.12228427e-06,1.51541941e-06,3.95251893e-04,1.46842321e-05,-6.53322197e-07,-8.41777423e-07,6.32035753e-01,9.32650313e-02,2.04794234e-02,2.99908984e+00,5.53931503e-07,1.043e-15,4.441e-16
0.3500,19.375057,0.810973,19.351145,0.682648,1.595165,0.439964,1.835573,-1.498870,1.232075,-4.68767391e-04,-3.03287251e-05,-4.28685229e-06,-3.72701544e-07,3.80136067e-04,1.87961554e-05,2.48235430e-06,2.07154588e-07,6.32027609e-01,9.32606716e-02,2.05419307e-02,2.99904233e+00,5.66848181e-07,1.662e-15,8.882e-16
0.3600,19.380542,0.833394,19.355279,0.702168,1.595159,0.439611,1.835636,-1.411534,1.171785,-4.44856286e-04,-3.21551768e-05,-4.94136791e-06,-1.06462908e-06,3.63586523e-04,2.00501252e-05,2.88988714e-06,6.04219182e-07,6.32011597e-01,9.32544806e-02,2.06444991e-02,2.99896627e+00,5.74147664e-07,1.348e-15,1.776e-15
0.3700,19.386054,0.855817,19.359403,0.721691,1.595174,0.439268,1.835686,-1.327728,1.112811,-4.19152892e-04,-2.90318639e-05,-1.78730113e-07,1.54501904e-06,3.45669798e-04,1.82659460e-05,1.54392273e-07,-8.59415437e-07,6.32001526e-01,9.32496763e-02,2.07168154e-02,2.99891185e+00,5.86543419e-07,1.712e-15,1.776e-15
0.3800,19.391592,0.878242,19.363516,0.741217,1.595212,0.438936,1.835722,-1.236472,1.049258,-3.91762769e-04,-2.14570282e-05,4.74145510e-06,-6.51504527e-07,3.26455675e-04,1.37271016e-05,-2.70388664e-06,3.63207191e-07,6.31997886e-01,9.32463863e-02,2.07560272e-02,2.99888113e+00,6.02192282e-07,1.110e-16,1.332e-15
0.3900,19.397156,0.900670,19.367618,0.760745,1.595251,0.438602,1.835758,-1.175629,1.002527,-3.62795706e-04,-1.06060176e-05,4.44587987e-06,-7.87043239e-07,3.06020538e-04,7.13783625e-06,-2.56329922e-06,4.49350862e-07,6.31994218e-01,9.32431130e-02,2.07948829e-02,2.99885079e+00,6.17938183e-07,8.899e-16,4.441e-16
0.4000,19.402747,0.923100,19.371709,0.780275,1.595305,0.438275,1.835784,-1.139909,0.969640,-3.32367610e-04,1.84981038e-06,-6.85722404e-07,1.51167469e-06,2.84445541e-04,-4.87035070e-07,3.89684932e-07,-8.42034664e-07,6.31994766e-01,9.32408344e-02,2.08119825e-02,2.99883601e+00,6.40850662e-07,5.725e-16,8.882e-16
0.4100,19.408364,0.945533,19.375791,0.799809,1.595354,0.437944,1.835814,-1.079925,0.922322,-3.00600216e-04,1.40003593e-05,-4.99827301e-06,-8.86700815e-07,2.61816179e-04,-7.97849069e-06,2.90029364e-06,4.95450584e-07,6.31993639e-01,9.32381821e-02,2.08372761e-02,2.99881550e+00,6.63249541e-07,1.390e-15,1.776e-15
0.4200,19.414007,0.967968,19.379861,0.819344,1.595395,0.437607,1.835848,-0.999260,0.861878,-2.67618113e-04,2.39908780e-05,-3.79227229e-06,-4.95412850e-07,2.38223531e-04,-1.41915915e-05,2.23287056e-06,2.86795185e-07,6.31990111e-01,9.32349908e-02,2.08743723e-02,2.99878669e+00,6.80666292e-07,4.042e-16,3.553e-15
0.4300,19.419676,0.990407,19.383921,0.838882,1.595469,0.437286,1.835862,-0.893596,0.785724,-2.33553500e-04,3.03025336e-05,1.55482755e-06,1.42070753e-06,2.13760640e-04,-1.81823441e-05,-8.49334677e-07,-7.92485333e-07,6.31995833e-01,9.32339710e-02,2.08639371e-02,2.99879180e+00,6.99725864e-07,9.957e-16,8.882e-16
0.4400,19.425372,1.012848,19.387971,0.858422,1.595559,0.436970,1.835867,-0.760007,0.692313,-1.98544421e-04,3.19838162e-05,5.15937227e-06,-1.07227984e-06,1.88522915e-04,-1.93506929e-05,-2.95553219e-06,5.99735733e-07,6.32005653e-01,9.32339272e-02,2.08321665e-02,2.99881221e+00,7.15775276e-07,9.142e-16,8.882e-16
0.4500,19.431094,1.035292,19.392010,0.877964,1.595642,0.436651,1.835875,-0.637757,0.603880,-1.62729378e-04,2.87961450e-05,3.10542450e-06,-2.02585355e-07,1.62610720e-04,-1.75290455e-05,-1.79699803e-06,1.23102377e-07,6.32013537e-01,9.32334460e-02,2.08100022e-02,2.99882586e+00,7.30665036e-07,6.332e-16,1.776e-15
0.4600,19.436843,1.057738,19.396039,0.897509,1.595726,0.436332,1.835883,-0.511914,0.512241,-1.26250039e-04,2.12458823e-05,-2.30258786e-06,1.27958914e-06,1.36126888e-04,-1.30074475e-05,1.32572627e-06,-7.14543695e-07,6.32021828e-01,9.32330575e-02,2.07858580e-02,2.99884091e+00,7.52060091e-07,2.198e-15,1.332e-15
0.4700,19.442617,1.080188,19.400057,0.917055,1.595786,0.436001,1.835906,-0.351291,0.399736,-8.92497825e-05,1.05044771e-05,-5.12362779e-06,-1.20326968e-06,1.09176900e-04,-6.48710585e-06,2.98219600e-06,6.74281055e-07,6.32023286e-01,9.32310754e-02,2.07965833e-02,2.99883110e+00,7.74804105e-07,6.922e-16,3.109e-15
0.4800,19.448418,1.102640,19.404065,0.936605,1.595833,0.435664,1.835936,-0.177842,0.278716,-5.18723176e-05,-1.77275063e-06,-2.30561867e-06,8.02605285e-08,8.18690276e-05,1.02871076e-06,1.38063817e-06,-3.48426715e-08,6.32020938e-01,9.32282051e-02,2.08267531e-02,2.99880742e+00,7.98974188e-07,1.110e-16,8.882e-16
0.4900,19.454245,1.125095,19.408063,0.956156,1.595900,0.435337,1.835954,0.004588,0.151942,-1.42662447e-05,-1.37040494e-05,3.01292791e-06,1.09674422e-06,5.43107276e-05,8.38723225e-06,-1.69495433e-06,-6.13299356e-07,6.32024643e-01,9.32267433e-02,2.08261512e-02,2.99880565e+00,8.25504404e-07,1.020e-15,4.441e-16
0.5000,19.460098,1.147553,19.412049,0.975710,1.595965,0.435009,1.835973,0.180139,0.028996,2.34185384e-05,-2.34681694e-05,4.99793274e-06,-1.27868513e-06,2.66101114e-05,1.44640870e-05,-2.87102784e-06,7.17426442e-07,6.32027476e-01,9.32250849e-02,2.08298672e-02,2.99880083e+00,8.47149834e-07,9.680e-16,1.776e-15
0.5100,19.465977,1.170013,19.416026,0.995266,1.596019,0.434675,1.835999,0.311030,-0.068315,6.10345269e-05,-2.95808827e-05,1.51923767e-06,3.42116084e-07,-1.12259652e-06,1.83361704e-05,-8.84223737e-07,-1.81517094e-07,6.32027290e-01,9.32227245e-02,2.08489544e-02,2.99878506e+00,8.66202087e-07,3.886e-16,1.332e-15
0.5200,19.471882,1.192476,19.419991,1.014824,1.596073,0.434341,1.836025,0.423917,-0.154655,9.84335928e-05,-3.11222833e-05,-3.56542942e-06,8.82279000e-07,-2.87777647e-05,1.94205381e-05,2.06181560e-06,-4.93999508e-07,6.32027001e-01,9.32203377e-02,2.08686465e-02,2.99876885e+00,8.84662880e-07,9.472e-16,5.551e-16
0.5300,19.477813,1.214941,19.423946,1.034385,1.596109,0.433997,1.836062,0.541991,-0.243280,1.35469300e-04,-2.78742685e-05,-4.68719897e-06,-1.29845994e-06,-5.62456542e-05,1.75628324e-05,2.74056326e-06,7.29889074e-07,6.32021614e-01,9.32167712e-02,2.09141597e-02,2.99873430e+00,9.00761276e-07,1.433e-15,8.882e-16
0.5400,19.483770,1.237409,19.427891,1.053948,1.596154,0.433657,1.836094,0.647556,-0.324366,1.71996851e-04,-2.03514261e-05,-6.64587285e-07,5.74102311e-07,-8.34172086e-05,1.30589591e-05,4.36129672e-07,-3.11723830e-07,6.32018635e-01,9.32137807e-02,2.09470864e-02,2.99870880e+00,9.20686015e-07,3.331e-16,2.220e-16
0.5500,19.489753,1.259879,19.431824,1.073513,1.596234,0.433333,1.836104,0.748833,-0.402319,2.07869709e-04,-9.72150370e-06,4.05376316e-06,6.46144166e-07,-1.10186938e-04,6.60660108e-06,-2.30352071e-06,-3.62873672e-07,6.32025368e-01,9.32130754e-02,2.09299969e-02,2.99871899e+00,9.43433523e-07,3.331e-16,1.332e-15
0.5600,19.495762,1.282352,19.435748,1.093081,1.596320,0.433010,1.836110,0.834026,-0.470463,2.42944694e-04,2.37788194e-06,4.30863176e-06,-1.26597266e-06,-1.36450531e-04,-8.01263759e-07,-2.48308977e-06,7.12591856e-07,6.32033584e-01,9.32127441e-02,2.09047321e-02,2.99873515e+00,9.65117582e-07,9.888e-16,1.776e-15
0.5700,19.501797,1.304828,19.439661,1.112650,1.596411,0.432688,1.836113,0.888080,-0.520421,2.77084048e-04,1.40920929e-05,-1.29224749e-07,7.68817868e-07,-1.62104403e-04,-8.02872404e-06,6.54437393e-08,-4.21442358e-07,6.32042969e-01,9.32127050e-02,2.08730967e-02,2.99875594e+00,9.88366772e-07,1.278e-15,2.220e-15
0.5800,19.507858,1.327307,19.443563,1.132222,1.596508,0.432368,1.836113,0.954708,-0.577115,3.10152895e-04,2.36321854e-05,-4.36366896e-06,3.99628700e-07,-1.87048051e-04,-1.39722639e-05,2.52977621e-06,-2.25376945e-07,6.32054003e-01,9.32130642e-02,2.08327851e-02,2.99878298e+00,1.00760024e-06,2.914e-16,1.776e-15
0.5900,19.513945,1.349789,19.447455,1.151795,1.596594,0.432041,1.836119,1.050012,-0.650243,3.42022072e-04,2.95491913e-05,-3.77396348e-06,-1.18508721e-06,-2.11182968e-04,-1.77283754e-05,2.22065174e-06,6.68619321e-07,6.32061780e-01,9.32126822e-02,2.08087051e-02,2.99879857e+00,1.02113798e-06,4.441e-16,8.882e-16
0.6000,19.520057,1.372274,19.451337,1.171371,1.596697,0.431721,1.836115,1.157600,-0.730774,3.72566808e-04,3.09532843e-05,9.43265110e-07,9.21038914e-07,-2.34414159e-04,-1.87315328e-05,-4.93971565e-07,-5.07537928e-07,6.32074105e-01,9.32133752e-02,2.07611627e-02,2.99883094e+00,1.03526751e-06,1.665e-16,1.332e-15
0.6100,19.526196,1.394761,19.455208,1.190948,1.596822,0.431412,1.836097,1.282369,-0.821175,4.01664827e-04,2.76463590e-05,4.59224196e-06,1.52661754e-07,-2.56652006e-04,-1.68401946e-05,-2.62463256e-06,-8.76970069e-08,6.32092776e-01,9.32155614e-02,2.06810710e-02,2.99888659e+00,1.04721098e-06,2.776e-16,1.332e-15
0.6200,19.532361,1.417252,19.459068,1.210528,1.596937,0.431096,1.836086,1.400472,-0.907778,4.29201836e-04,2.01521068e-05,3.20096710e-06,-1.06249053e-06,-2.77809520e-04,-1.23548689e-05,-1.85173177e-06,6.01028246e-07,6.32108120e-01,9.32169815e-02,2.06177911e-02,2.99893033e+00,1.05932256e-06,4.424e-16,2.220e-15
0.6300,19.538552,1.439746,19.462919,1.230109,1.597042,0.430776,1.836081,1.500233,-0.983704,4.55071588e-04,9.63295123e-06,-1.65603330e-06,1.02755688e-06,-2.97802977e-04,-5.97062550e-06,9.49398697e-07,-5.67991120e-07,6.32120930e-01,9.32178050e-02,2.05676027e-02,2.99896471e+00,1.07680402e-06,3.383e-16,5.551e-16
0.6400,19.544768,1.462242,19.466758,1.249692,1.597133,0.430450,1.836083,1.615968,-1.068127,4.79173759e-04,-2.29137216e-06,-4.63811775e-06,-8.43400663e-08,-3.16553811e-04,1.32971567e-06,2.69863499e-06,4.52075335e-08,6.32130165e-01,9.32177857e-02,2.05358531e-02,2.99898587e+00,1.09268481e-06,2.776e-16,9.992e-16
0.6500,19.551011,1.484742,19.470588,1.269278,1.597204,0.430114,1.836098,1.740297,-1.156907,5.01416396e-04,-1.37920946e-05,-2.50973882e-06,-9.05214802e-07,-3.33987577e-04,8.42771173e-06,1.49826284e-06,5.14297577e-07,6.32133590e-01,9.32164076e-02,2.05337641e-02,2.99898584e+00,1.10653005e-06,6.072e-16,8.882e-16
0.6600,19.557279,1.507244,19.474406,1.288865,1.597288,0.429785,1.836106,1.850371,-1.236707,5.21713367e-04,-2.31131609e-05,2.34960820e-06,1.08677210e-06,-3.50036032e-04,1.42396476e-05,-1.30882158e-06,-6.02226853e-07,6.32140642e-01,9.32158725e-02,2.05133376e-02,2.99899887e+00,1.12020037e-06,6.210e-16,7.772e-16
0.6700,19.563572,1.529748,19.478215,1.308454,1.597382,0.429461,1.836106,1.944034,-1.305648,5.39983915e-04,-2.88396861e-05,4.60448764e-06,-3.03356933e-07,-3.64637875e-04,1.78817153e-05,-2.64085597e-06,1.67842994e-07,6.32150726e-01,9.32160475e-02,2.04774737e-02,2.99902294e+00,1.12741241e-06,7.130e-16,7.772e-16
0.6800,19.569892,1.552256,19.482012,1.328046,1.597463,0.429130,1.836116,1.995133,-1.348634,5.56157690e-04,-3.01104542e-05,1.82191532e-06,-7.22140466e-07,-3.77736065e-04,1.88060739e-05,-1.05972167e-06,4.12680790e-07,6.32156827e-01,9.32152979e-02,2.04617924e-02,2.99903261e+00,1.13224831e-06,2.082e-15,1.776e-15
0.6900,19.576237,1.574766,19.485799,1.347639,1.597542,0.428798,1.836126,2.009042,-1.368490,5.70173169e-04,-2.67482876e-05,-2.90484064e-06,1.09949025e-06,-3.89279248e-04,1.68825224e-05,1.67669272e-06,-6.10396608e-07,6.32162594e-01,9.32144693e-02,2.04478701e-02,2.99904102e+00,1.13935988e-06,2.776e-16,1.776e-15
0.7000,19.582607,1.597279,19.489576,1.367235,1.597617,0.428464,1.836138,2.024109,-1.387033,5.81976393e-04,-1.92851839e-05,-4.39420635e-06,-4.96319851e-07,-3.99222848e-04,1.24162002e-05,2.56834978e-06,2.76439956e-07,6.32167204e-01,9.32133766e-02,2.04397326e-02,2.99904532e+00,1.14545536e-06,3.660e-16,8.882e-16
0.7100,19.589004,1.619795,19.493342,1.386832,1.597692,0.428129,1.836150,2.032590,-1.400316,5.91522929e-04,-8.87734571e-06,-1.05553266e-06,-5.21896892e-07,-4.07528104e-04,6.09993108e-06,6.62212537e-07,3.01294626e-07,6.32171623e-01,9.32122541e-02,2.04322672e-02,2.99904923e+00,1.15461446e-06,1.804e-15,8.882e-16
0.7200,19.595425,1.642313,19.497097,1.406432,1.597798,0.427808,1.836144,2.027105,-1.404175,5.98774957e-04,2.87240261e-06,3.41295915e-06,1.06774846e-06,-4.14164147e-04,-1.09435071e-06,-1.93038913e-06,-5.94106846e-07,6.32184684e-01,9.32131652e-02,2.03805205e-02,2.99908484e+00,1.16657446e-06,1.303e-15,1.332e-15
