path,sha256,role,status
30_simulation/current_r2_digital_host_capture_data_v1/02_frames_units/REFERENCE_POINT_CONTRACT.yaml,76afbe0b20f374be20c8f8b2ef04648dcdc764a20cbd1169e815d82ff9eaa036,BOUND_AUTHORITY_INPUT,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/02_frames_units/INERTIA_CONVENTION.yaml,ae761f205bf24d532176d8778efd7eb2a999c4ccd8ab872b585f946dfca387fb,BOUND_AUTHORITY_INPUT,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/08_control_safe/SAFE_PREBIND_CONFIG.yaml,87b4d6bfc7b3ce67d82a2e99aac8893a6d6c6c5d093a069f16d7b368952da340,BOUND_AUTHORITY_INPUT,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/00_authority/CURRENT_V2_STATUS_SNAPSHOT.json,ead7289f8fe51366fa74cab145de45a4b04a7db2e3b37abe861203cc6cb1dbd3,BOUND_AUTHORITY_INPUT,VERIFIED
20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/00_authority/V5_MEMORY_GATE_USER_OVERRIDE.json,2a752d124523398eb9efa2c1e5f3b4e32682d72c20001520c9d073cf2fc85999,OWNER_LOW_MEMORY_OPERATIONAL_OVERRIDE_SOURCE,VERIFIED_OPERATIONAL_AUTHORITY_NO_SCIENTIFIC_CREDIT
30_simulation/current_r2_digital_host_capture_data_v1/configs/gates/r5_momentum_gate_v1.yaml,d1da7b8715b5dbeb5cf2ab81fc6db68f02d04643a99c1a820f8b2aca9d745922,R5_CONFIG_GATE,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/configs/controllers/s03_pd_v1.yaml,9aa8b73d3b26a1027fd2c128ca61d3fdddf6e44ba1f0fb60a22e8e5a50c5741b,R5_CONFIG_CONTROLLER_S03,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/configs/controllers/c0_no_control_v1.yaml,1c533df0733887bd008728232f0d1c133ba17157bc3b8d26f6b41e07c067db8c,R5_CONFIG_CONTROLLER_C0,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/configs/scenarios/r5_s02_s03_v1.yaml,0f2e785388fc22914d7aefcfca019794472d3230e0333010a257bad15e06f845,R5_CONFIG_SCENARIOS,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/configs/plant/r5_plant_binding_v1.yaml,ebd509c5e5cdb516e1fc768227a1e99f4233efac7178e62d61bc0b11118efaad,R5_CONFIG_PLANT_BINDING,VERIFIED
identity:source_tree_canonical,183a461e0e2a540e9643a581f73b2bc76a0278eb5277abcae125a0da42fc84e1,SOURCE_TREE_CANONICAL_AGGREGATE,VERIFIED_CANONICAL_IDENTITY
identity:experiment_config_canonical,6f7e6e077eb3727059e1de8515949ebef1594e5ca2bc60221f975d4181bb2589,EXPERIMENT_CONFIG_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
identity:invocation_canonical,78cfbcbb7d291a11b03cd8097fe14d94f50fbf02243fb5aedb3990a1c0cdc174,INVOCATION_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
plant/ARM_ONLY_ACCEPTED.yaml,27e3adf37434250949b4c6e7ec9b379a3dc05f49dde08331e5d5ad25ed9b7d0a,GENERATED_PLANT_ARTIFACT_ARM_ONLY_ACCEPTED,VERIFIED_FILE
plant/SERVICER_ARM_TSM_PREBIND.yaml,374bf44b6bbec2d55b09f42f2426f182f89529346ae82fed1b2db7346545b668,GENERATED_PLANT_ARTIFACT_SERVICER_ARM_TSM_PREBIND,VERIFIED_FILE
identity:R5-S02-C02-D01:seed_schedule,b2484f6bcad74d7eb05096559f930992df5b2ffed488f4d98e98cdffa753427d,SEED_SCHEDULE_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
identity:R5-S02-C02-D01:initial_state,2ac3baad7422b6f9d7d53419fa6eb9da5ac78d266c5ef026b87fc16e1802bce7,INITIAL_STATE_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
identity:R5-S02-C02-D01:solver,23e2269be6914eb9d649862899ab4bd4f5d473bd7c819195337f9eb375f1f16a,SOLVER_EXECUTION_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
identity:R5-S02-C02-D01:preintegration_scales,f184f28e97321584714d8fb8bfcd7cb394538c1c8b3120e986ad9a78874bc310,PREINTEGRATION_SCALE_CONTRACT_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
identity:R5-S02-C02-D01:resolved_episode_config,7b1bcbb0f0e424bddefce68d8e69aa47481385ff416f7c6081c457c74167d8bb,RESOLVED_EPISODE_CONFIG_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
