id,category,row_class,active_in_current_pair_universe,path,hash_algorithm,hash,bytes,units,frame,state_selector,closed,operational_authority,representation_debit,readiness,blocker
C::SEG-00_BUS_FEEDTHROUGH_AND_RISER,C,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_HARNESS_CENTERLINE_V9F.json,SHA256,177B6C5B8E5640018220D9C6E29ACBD6A8E900E573B560D28462B4614AEDBFFB,24469,null,base_link,"{""active_when"":""ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED"",""container_selector"":""SEG-00_BUS_FEEDTHROUGH_AND_RISER"",""diameter_mm"":9.0,""pose_source"":""CENTERLINE_PLUS_ACCEPTED_URDF_FK_REQUIRES_SIDE_EFFECT_FREE_ADAPTER"",""selected_representation_role"":""centerline""}",false,false,RUNTIME_CAPSULE_CHAIN_AND_HAUSDORFF_DERATE_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,CAPSULE_CHAIN_HAUSDORFF_DERATE_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_HARNESS_CENTERLINE_V9F.json,SHA256,177B6C5B8E5640018220D9C6E29ACBD6A8E900E573B560D28462B4614AEDBFFB,24469,null,link1,"{""active_when"":""ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED"",""container_selector"":""SEG-01_J1_ANNULAR_SERVICE_LOOP"",""diameter_mm"":9.0,""pose_source"":""CENTERLINE_PLUS_ACCEPTED_URDF_FK_REQUIRES_SIDE_EFFECT_FREE_ADAPTER"",""selected_representation_role"":""centerline""}",false,false,RUNTIME_CAPSULE_CHAIN_AND_HAUSDORFF_DERATE_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,CAPSULE_CHAIN_HAUSDORFF_DERATE_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_HARNESS_CENTERLINE_V9F.json,SHA256,177B6C5B8E5640018220D9C6E29ACBD6A8E900E573B560D28462B4614AEDBFFB,24469,null,link2,"{""active_when"":""ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED"",""container_selector"":""SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL"",""diameter_mm"":9.0,""pose_source"":""CENTERLINE_PLUS_ACCEPTED_URDF_FK_REQUIRES_SIDE_EFFECT_FREE_ADAPTER"",""selected_representation_role"":""centerline""}",false,false,RUNTIME_CAPSULE_CHAIN_AND_HAUSDORFF_DERATE_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,CAPSULE_CHAIN_HAUSDORFF_DERATE_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
C::SEG-03_J3_CARRIER_HYBRID_WRAP,C,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_HARNESS_CENTERLINE_V9F.json,SHA256,177B6C5B8E5640018220D9C6E29ACBD6A8E900E573B560D28462B4614AEDBFFB,24469,null,link3,"{""active_when"":""ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED"",""container_selector"":""SEG-03_J3_CARRIER_HYBRID_WRAP"",""diameter_mm"":9.0,""pose_source"":""CENTERLINE_PLUS_ACCEPTED_URDF_FK_REQUIRES_SIDE_EFFECT_FREE_ADAPTER"",""selected_representation_role"":""centerline""}",false,false,RUNTIME_CAPSULE_CHAIN_AND_HAUSDORFF_DERATE_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,CAPSULE_CHAIN_HAUSDORFF_DERATE_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
C::SEG-04_J4_CHAINLESS_TROMBONE_EXTERNAL_ANNULAR_FOLLOWER,C,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_HARNESS_CENTERLINE_V9F.json,SHA256,177B6C5B8E5640018220D9C6E29ACBD6A8E900E573B560D28462B4614AEDBFFB,24469,null,link4,"{""active_when"":""ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED"",""container_selector"":""SEG-04_J4_CHAINLESS_TROMBONE_EXTERNAL_ANNULAR_FOLLOWER"",""diameter_mm"":9.0,""pose_source"":""CENTERLINE_PLUS_ACCEPTED_URDF_FK_REQUIRES_SIDE_EFFECT_FREE_ADAPTER"",""selected_representation_role"":""centerline""}",false,false,RUNTIME_CAPSULE_CHAIN_AND_HAUSDORFF_DERATE_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,CAPSULE_CHAIN_HAUSDORFF_DERATE_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
C::SEG-05_J5_WRIST_WRAP,C,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_HARNESS_CENTERLINE_V9F.json,SHA256,177B6C5B8E5640018220D9C6E29ACBD6A8E900E573B560D28462B4614AEDBFFB,24469,null,link5,"{""active_when"":""ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED"",""container_selector"":""SEG-05_J5_WRIST_WRAP"",""diameter_mm"":9.0,""pose_source"":""CENTERLINE_PLUS_ACCEPTED_URDF_FK_REQUIRES_SIDE_EFFECT_FREE_ADAPTER"",""selected_representation_role"":""centerline""}",false,false,RUNTIME_CAPSULE_CHAIN_AND_HAUSDORFF_DERATE_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,CAPSULE_CHAIN_HAUSDORFF_DERATE_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
C::SEG-06_J6_HELICAL_WRAP_AND_WRIST_RUN,C,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_HARNESS_CENTERLINE_V9F.json,SHA256,177B6C5B8E5640018220D9C6E29ACBD6A8E900E573B560D28462B4614AEDBFFB,24469,null,link6,"{""active_when"":""ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED"",""container_selector"":""SEG-06_J6_HELICAL_WRAP_AND_WRIST_RUN"",""diameter_mm"":9.0,""pose_source"":""CENTERLINE_PLUS_ACCEPTED_URDF_FK_REQUIRES_SIDE_EFFECT_FREE_ADAPTER"",""selected_representation_role"":""centerline""}",false,false,RUNTIME_CAPSULE_CHAIN_AND_HAUSDORFF_DERATE_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,CAPSULE_CHAIN_HAUSDORFF_DERATE_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
C::SEG-07A_WRIST_TAIL_DATA,C,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_HARNESS_CENTERLINE_V9F.json,SHA256,177B6C5B8E5640018220D9C6E29ACBD6A8E900E573B560D28462B4614AEDBFFB,24469,null,link6,"{""active_when"":""ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED"",""container_selector"":""SEG-07A_WRIST_TAIL_DATA"",""diameter_mm"":9.0,""pose_source"":""CENTERLINE_PLUS_ACCEPTED_URDF_FK_REQUIRES_SIDE_EFFECT_FREE_ADAPTER"",""selected_representation_role"":""centerline""}",false,false,RUNTIME_CAPSULE_CHAIN_AND_HAUSDORFF_DERATE_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,CAPSULE_CHAIN_HAUSDORFF_DERATE_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
C::SEG-07B_WRIST_TAIL_POWER,C,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_HARNESS_CENTERLINE_V9F.json,SHA256,177B6C5B8E5640018220D9C6E29ACBD6A8E900E573B560D28462B4614AEDBFFB,24469,null,link6,"{""active_when"":""ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED"",""container_selector"":""SEG-07B_WRIST_TAIL_POWER"",""diameter_mm"":9.0,""pose_source"":""CENTERLINE_PLUS_ACCEPTED_URDF_FK_REQUIRES_SIDE_EFFECT_FREE_ADAPTER"",""selected_representation_role"":""centerline""}",false,false,RUNTIME_CAPSULE_CHAIN_AND_HAUSDORFF_DERATE_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,CAPSULE_CHAIN_HAUSDORFF_DERATE_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
F::BUS,F,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/04_MASTER_GEOMETRY.step,SHA256,8C85585E9C051AEBB849E48F56354B48BF4204F61103B550BD92FC77BA99EA9E,1373004,null,S,"{""active_when"":""ALWAYS_IN_M01"",""container_selector"":null,""pose_source"":""IDENTITY_IN_S"",""selected_representation_role"":""container""}",false,false,CONSERVATIVE_PROXY_ONLY__NARROWPHASE_AND_EXTERNAL_PROTRUSIONS_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,CONSERVATIVE_BROADPHASE_CONTEXT_ONLY__OPERATIONAL_NARROWPHASE_HOLD,BUS_OPERATIONAL_NARROWPHASE_AND_EXTERNAL_PROTRUSIONS_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
F::LOAD_BRIDGE,F,ACTIVE_OBJECT,true,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp1_load_bridge/LOAD_BRIDGE_CANDIDATE_V1.step,SHA256,545FE62ADE0E4891FCC84179D18F63B2A6C77F19AD1C96723B3C7208EA13221B,24855,null,S,"{""active_when"":""ALWAYS_IN_M01"",""container_selector"":""ROOT_CANDIDATE"",""pose_source"":{""bytes"":9037,""path"":""20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp1_load_bridge/LOAD_BRIDGE_DATUMS_V1.yaml"",""sha256"":""0F9B413E7B6CD451E2724AD25CA4DA41E52E02C86F1D2874460274EADBAA47A2""},""selected_representation_role"":""narrowphase""}",false,false,DESIGN_CANDIDATE_ONLY__OPERATIONAL_PROMOTION_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,PINNED_DESIGN_CANDIDATE__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_SELECTOR_PATCH_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
F::M3R_STAGE_A,F,ACTIVE_OBJECT,true,20_engineering/F3R2_MECHANICAL_DETAILED_DESIGN_V1/06_parameterized_parts/m3r/M3R_STAGE_A_REVB_WORKING.step,SHA256,359E304879C254BE54450AA9BAB4C614308CE2C9CD47CE1F79A741722098D36C,35879,null,S,"{""active_when"":""ALWAYS_IN_M01"",""container_selector"":""M3R_STAGE_A_INTERFACE_RING_REVB_WORKING"",""pose_source"":{""bytes"":1246,""path"":""20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_TSM_PHYSICAL_STACK.yaml"",""sha256"":""172F3603E458F670323925E644BC68623EE9C85FCA7AF1200FAE2576EB43C68B""},""selected_representation_role"":""narrowphase_candidate""}",false,false,DESIGN_CANDIDATE_ONLY__OPERATIONAL_PROMOTION_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,PINNED_DESIGN_CANDIDATE__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_SELECTOR_PATCH_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
F::M3R_STAGE_B,F,ACTIVE_OBJECT,true,20_engineering/F3R2_MECHANICAL_DETAILED_DESIGN_V1/06_parameterized_parts/m3r/M3R_STAGE_B_REVB2_WORKING.step,SHA256,44BED33AEE41CFD170E744BBEEB2BD0B10BBD649C913ECA90D16FC4840A1126B,37779,null,S,"{""active_when"":""ALWAYS_IN_M01"",""container_selector"":""M3R_STAGE_B_LOAD_ADAPTER_REVB2_WORKING"",""pose_source"":{""bytes"":1246,""path"":""20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_TSM_PHYSICAL_STACK.yaml"",""sha256"":""172F3603E458F670323925E644BC68623EE9C85FCA7AF1200FAE2576EB43C68B""},""selected_representation_role"":""narrowphase_candidate""}",false,false,DESIGN_CANDIDATE_ONLY__OPERATIONAL_PROMOTION_ABSENT__ASSET_UNITS_NOT_EXPLICIT_IN_SOURCE_REGISTRY,PINNED_DESIGN_CANDIDATE__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_SELECTOR_PATCH_AND_RUNTIME_POSE_UNBOUND__ASSET_UNITS_REQUIRE_AUTHORITY_BINDING
R::RC-BRK-BASE-COLLAR,R,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_SWEEP_MESH_PACK_V9F/rc_RC_BRK_BASE_COLLAR_tris.npy,SHA256,E06E065A7FA0C3906354C839CE54B6A157EE6AEC2EF9FE9F19EB6D97B81016C6,72704,mm,base_link,"{""active_when"":""ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED"",""pose_source"":""PINNED_V9F_HOST_AND_MOTION_CLASS_LOGIC_REQUIRES_INDEPENDENT_ADAPTER"",""selected_representation_role"":""narrowphase_candidate""}",false,false,V9F_DESIGN_CANDIDATE_ONLY__OPERATIONAL_PROMOTION_AND_INTERFACE_PATCHES_ABSENT,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,INDEPENDENT_ADAPTER_INTERFACE_PATCH_AND_PAIR_EVALUATION_UNBOUND
R::RC-BRK-BUS-FLANGE,R,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_SWEEP_MESH_PACK_V9F/rc_RC_BRK_BUS_FLANGE_tris.npy,SHA256,CDC159B18815EC68A53EE71F02AE672E79489211A03C16141E538BC9E9AEA2D7,992,mm,bus,"{""active_when"":""ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED"",""pose_source"":""PINNED_V9F_HOST_AND_MOTION_CLASS_LOGIC_REQUIRES_INDEPENDENT_ADAPTER"",""selected_representation_role"":""narrowphase_candidate""}",false,false,V9F_DESIGN_CANDIDATE_ONLY__OPERATIONAL_PROMOTION_AND_INTERFACE_PATCHES_ABSENT,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,INDEPENDENT_ADAPTER_INTERFACE_PATCH_AND_PAIR_EVALUATION_UNBOUND
