alternative_id,concept_status,geometry_evidence_grade,criterion_id,assessment,metric_status,mode_applicability,evidence_or_reason,blocking_gate,veto,weighted_score,score_authority
B,CONCEPT_ONLY,E1_CONCEPT,H10_28_ROW_CLOSURE,BLOCKER,NO_ROW_GEOMETRY,MODE_A_AND_MODE_B,no comparable B geometry or row evidence,G2,true,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,PRIMARY_STRUCTURE_6DOF_LOAD_PATH,FAVOURABLE_HYPOTHESIS,UNPROVED,MODE_A_AND_MODE_B,front rear frame span may distribute root load but has no model,G2_G4,true,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,D100_PASSAGE_PRESERVED,UNKNOWN,NOT_RUN,MODE_A_AND_MODE_B,no geometry or probe,G2_G6,true,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,MODE_A_PACKAGING,UNKNOWN,UNKNOWN,MODE_A,H9 not decided and span may enter equipment region,H9,false,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,MODE_B_PACKAGING,UNKNOWN,UNKNOWN,MODE_B,H9 not decided and span may enter equipment region,H9,false,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,SOLAR_CONTINUOUS_SWEEP,UNKNOWN,NOT_RUN,MODE_A_AND_MODE_B,no geometry,G6,false,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,B601_RELEASE_SWEEP,UNKNOWN,NOT_RUN,MODE_A_AND_MODE_B,no geometry,G6,false,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,HARNESS_AND_TOOL_ACCESS,RISK_HYPOTHESIS,UNKNOWN,MODE_A_AND_MODE_B,long span may obstruct equipment and access,G4,false,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,STRUCTURAL_INTRUSION,RISK_HYPOTHESIS,UNKNOWN,MODE_A_AND_MODE_B,front rear frame attachment extent is undefined,G2_G4,false,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,MASS_TREND,UNKNOWN,NOT_RUN,MODE_A_AND_MODE_B,longer span is not numeric mass evidence,G5,false,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,UNIT_LOAD_FEA_INTERPRETABILITY,FAVOURABLE_HYPOTHESIS,NOT_RUN,MODE_A_AND_MODE_B,frame span could provide a readable load path but inputs are absent,G5,false,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,MAINTENANCE_REMOVAL,RISK_HYPOTHESIS,UNKNOWN,MODE_A_AND_MODE_B,long span may increase removal scope,G4,false,,DISABLED
B,CONCEPT_ONLY,E1_CONCEPT,CANONICAL_STRUCTURE_MODIFICATION_AUTHORITY,UNKNOWN,NOT_GRANTED,MODE_A_AND_MODE_B,frame attachment modifications require approval,G2_G4,true,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,H10_28_ROW_CLOSURE,BLOCKER,NO_ROW_GEOMETRY,MODE_A_AND_MODE_B,no comparable C geometry or row evidence,G2,true,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,PRIMARY_STRUCTURE_6DOF_LOAD_PATH,FAVOURABLE_HYPOTHESIS,UNPROVED,MODE_A_AND_MODE_B,local reinforced load path may be explicit but has no model,G2_G4,true,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,D100_PASSAGE_PRESERVED,RISK_HYPOTHESIS,NOT_RUN,MODE_A_AND_MODE_B,local tube or frame may compete with central passage,G2_G6,true,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,MODE_A_PACKAGING,UNKNOWN,UNKNOWN,MODE_A,H9 not decided,H9,false,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,MODE_B_PACKAGING,UNKNOWN,UNKNOWN,MODE_B,H9 not decided,H9,false,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,SOLAR_CONTINUOUS_SWEEP,UNKNOWN,NOT_RUN,MODE_A_AND_MODE_B,no geometry,G6,false,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,B601_RELEASE_SWEEP,UNKNOWN,NOT_RUN,MODE_A_AND_MODE_B,no geometry,G6,false,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,HARNESS_AND_TOOL_ACCESS,UNKNOWN,UNKNOWN,MODE_A_AND_MODE_B,compactness is only a hypothesis,G4,false,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,STRUCTURAL_INTRUSION,BLOCKER,STRUCTURE_MODIFICATION_REQUIRED,MODE_A_AND_MODE_B,largest direct intrusion into canonical primary structure,G2_G4,false,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,MASS_TREND,UNKNOWN,NOT_RUN,MODE_A_AND_MODE_B,compactness is not numeric mass evidence,G5,false,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,UNIT_LOAD_FEA_INTERPRETABILITY,FAVOURABLE_HYPOTHESIS,NOT_RUN,MODE_A_AND_MODE_B,local load introduction may be interpretable but inputs are absent,G5,false,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,MAINTENANCE_REMOVAL,UNKNOWN,UNKNOWN,MODE_A_AND_MODE_B,serviceability not designed,G4,false,,DISABLED
C,CONCEPT_ONLY_REQUIRES_STRUCTURE_MOD_AUTHORITY,E1_CONCEPT,CANONICAL_STRUCTURE_MODIFICATION_AUTHORITY,BLOCKER,NOT_GRANTED,MODE_A_AND_MODE_B,explicit independent authority required,G2_G4,true,,DISABLED
