wire_id,from_endpoint,to_endpoint,signal,wire_or_mate,status,source,build_approved,physical_test,cut_length_mm,active
BP08,BPX.PBAT2.8,DOCK.P4.4,VBAT_DIRECT_RAW,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; 4 pins total current shared; raw battery no short-circuit protection,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
BP09,BPX.PBAT2.9,DOCK.P5.2,I2C_SCL,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
BP10,BPX.PBAT2.10,DOCK.P5.4,BPX_ENABLE_ACTIVE_HIGH,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
BP11,BPX.PBAT2.11,DOCK.P5.3,I2C_SDA,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
BP12,BPX.PBAT2.12,DOCK.P5.1,EPS_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
PV0_1,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.1,PV0+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV0_3,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.3,PV0+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV0_RET2,PV_BRANCH_0.RET,ACU.X1.TFM.2,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV0_RET4,PV_BRANCH_0.RET,ACU.X1.TFM.4,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV1_5,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.5,PV1+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV1_7,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.7,PV1+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV1_RET6,PV_BRANCH_1.RET,ACU.X1.TFM.6,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV1_RET8,PV_BRANCH_1.RET,ACU.X1.TFM.8,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV2_9,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.9,PV2+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV2_11,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.11,PV2+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV2_RET10,PV_BRANCH_2.RET,ACU.X1.TFM.10,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV2_RET12,PV_BRANCH_2.RET,ACU.X1.TFM.12,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV3_13,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.13,PV3+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV3_15,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.15,PV3+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV3_RET14,PV_BRANCH_3.RET,ACU.X1.TFM.14,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV3_RET16,PV_BRANCH_3.RET,ACU.X1.TFM.16,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV4_17,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.17,PV4+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV4_19,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.19,PV4+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV4_21,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.21,PV4+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV4_23,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.23,PV4+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV4_RET18,PV_BRANCH_4.RET,ACU.X1.TFM.18,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV4_RET20,PV_BRANCH_4.RET,ACU.X1.TFM.20,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV4_RET22,PV_BRANCH_4.RET,ACU.X1.TFM.22,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV4_RET24,PV_BRANCH_4.RET,ACU.X1.TFM.24,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV5_25,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.25,PV5+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV5_27,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.27,PV5+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV5_29,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.29,PV5+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV5_RET26,PV_BRANCH_5.RET,ACU.X1.TFM.26,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV5_RET28,PV_BRANCH_5.RET,ACU.X1.TFM.28,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
PV5_RET30,PV_BRANCH_5.RET,ACU.X1.TFM.30,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,,true
RBF,FPP.RBF_JUMPER,DOCK.P14.6,RBF_ACTIVE_LOW,COTS external interface / pin-defined requirement; no cut length,INTERFACE_DEFINED_SWITCH_PART_UNBOUND; Grounded=inhibit; 2Mohm pull-up to VBAT at FPP and 220ohm series near Dock per3.1 §5.1; floating exposed forbidden,Dock3.1 §3–5,False,NOT_EXECUTED,,true
DEARM,FPP.DEARM_JUMPER,DOCK.P14.7,DEARM_ACTIVE_LOW,COTS external interface / pin-defined requirement; no cut length,INTERFACE_DEFINED_SWITCH_PART_UNBOUND; Grounded=antenna release inhibited; all deployment commands remain disabled,Dock3.1 §3–5,False,NOT_EXECUTED,,true
K1_COILP,STOPBOARD.J104.1,K1.X1(+),COIL24,COTS external interface / pin-defined requirement; no cut length,WP10_ACTUAL_STOP_SUPPLY_DRIVER_REVISION; connector_MPN_and_harness_unbound,GX11 Rev6 10/23/15 p3–4; electrical_delta/STOP_PIN_NET_MAP.csv; WP10 electrical/STOP_PIN_NET_MAP.csv,False,NOT_EXECUTED,,true
K1_COILR,K1.X2(-),STOPBOARD.J104.2,COIL_SWITCHED_RETURN,COTS external interface / pin-defined requirement; no cut length,WP10_ACTUAL_STOP_SUPPLY_DRIVER_REVISION; connector_MPN_and_harness_unbound,GX11 Rev6 10/23/15 p3–4; electrical_delta/STOP_PIN_NET_MAP.csv; WP10 electrical/STOP_PIN_NET_MAP.csv,False,NOT_EXECUTED,,true
K1_FB1,K1.T1,STOPBOARD.J105.2,AUX_RETURN,COTS external interface / pin-defined requirement; no cut length,WP10_ACTUAL_STOP_SUPPLY_DRIVER_REVISION; connector_MPN_and_harness_unbound,GX11 Rev6 10/23/15 p3–4; electrical_delta/STOP_PIN_NET_MAP.csv; WP10 electrical/STOP_PIN_NET_MAP.csv,False,NOT_EXECUTED,,true
K1_FB2,STOPBOARD.J105.1,K1.T2,AUX_FEED,COTS external interface / pin-defined requirement; no cut length,WP10_ACTUAL_STOP_SUPPLY_DRIVER_REVISION; connector_MPN_and_harness_unbound,GX11 Rev6 10/23/15 p3–4; electrical_delta/STOP_PIN_NET_MAP.csv; WP10 electrical/STOP_PIN_NET_MAP.csv,False,NOT_EXECUTED,,true
SC_PWR24,U202.4,STOPBOARD.J101.3,STOP_24V,PROJECT_CONNECTION; contact/MPN/cut length NOT released,INTEGRATED_DESIGN_CANDIDATE; dynamic/protection/thermal gates OPEN,WP10 power/POWER_LOOP_PARTS.json; ecad/POWER_LOOP_PIN_NET.csv,False,NOT_EXECUTED,,true
SC_RET,U202.6,STOPBOARD.J101.4,ARM_RETURN,PROJECT_CONNECTION; contact/MPN/cut length NOT released,INTEGRATED_DESIGN_CANDIDATE; dynamic/protection/thermal gates OPEN,WP10 power/POWER_LOOP_PARTS.json; ecad/POWER_LOOP_PIN_NET.csv,False,NOT_EXECUTED,,true
