path,snapshot_path,bytes,sha256,identity
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/integrators.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/integrators.py,3276,3901899669744bc911d5fcf961c05fe858411c33a799039c68286d8de13709b1,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/momentum_ledger_r5.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/momentum_ledger_r5.py,22815,a38cd601a6fbb8c95ea1e51797cbb66a188a1350a8d3e610b3a11d9066ed3dc5,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/plant.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/plant.py,12585,627c194d7fb38679d20d24dfe0c1b7aff8333dae9dce227e287369af470eca5f,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/safe_prebind.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/safe_prebind.py,4279,2fa015fd8365838d802d6e3c58ae08835ba02bfdd7b261be960c1b013649db36,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/scen_dynamics.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/scen_dynamics.py,15140,263369437fb05e3ad54b98c9a8f0d3717d77d836b0d767e32768437075d2c36e,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/scen_dynamics_r5.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/scen_dynamics_r5.py,30220,d005719662c869b6506be486b382c5ad776ce0aaff898080bf6a3f50fe2daef9,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/scen_safety.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/scen_safety.py,9348,25d25e660ae92c263e91b5b8e3bc382ba5412eccb29da1553016d8b1803cfe24,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/scen_static.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/scen_static.py,13573,d488f7eb0e4b0338f3a195d7648068b9ad18f04a9552c83c176634939a550b40,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/spatial.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/spatial.py,2196,3ce0595de80ec48f490a026b210fc97c47c01f09d7e9cc2474faec4822647069,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/units.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/units.py,4503,00ed0da6b6888a00ee0cd04a4853711df84a6ddc1cfef26157b254c4222f38e0,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/urdf_extract.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/urdf_extract.py,6799,cf49b7b15b9e35fbb20dad8b5fdea4b5be08f39368ec43461121654588f53b22,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/tests/test_contracts_and_safety.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/tests/test_contracts_and_safety.py,5889,de5ae80424e6ffe116f5c8d0ab93dde9035f78b44d41f7752db4069e52221ed7,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/tests/test_plant_physics.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/tests/test_plant_physics.py,4758,3a1a6ffc5a698c6bd2c418d1e8b2c0212032f1c46ebe04f1c5ddb8b0e2a7c30c,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/tests/test_r5_momentum_and_runner.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/tests/test_r5_momentum_and_runner.py,23600,2bb0fc8b613f84b30ca058127423d7c5b89cea72c1a0e395dd6f84ec32d4dfc7,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/tests/test_scenarios_dynamics.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/tests/test_scenarios_dynamics.py,4981,94c1f993f09b173595e486220bbfb07bb20c239efae4d09a3f0788a65eaba982,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
