sample_index,t_s,target_x_m,target_y_m,target_z_m,target_q_x,target_q_y,target_q_z,target_q_w,target_wx_rad_s,target_wy_rad_s,target_wz_rad_s,analytic_phase_deg,quaternion_norm_error,analytic_quaternion_error,collision_detected_backend_field,collision_safety_interpretation,action,released_for_mission_gate
18,0.9000000000000002,1.0,0.0,0.0,0.0,0.0,0.003926980723806001,0.9999922893814707,0.0,0.0,0.008726646259971648,0.4500000000000001,0.0,1.1102230246251565e-16,false,PROHIBITED,ABORT,false
19,0.9500000000000003,1.0,0.0,0.0,0.0,0.0,0.004145145102923427,0.999991408849134,0.0,0.0,0.008726646259971648,0.4750000000000002,0.0,8.673617379884035e-19,false,PROHIBITED,ABORT,false
20,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.004363309284746571,0.9999904807207346,0.0,0.0,0.008726646259971648,0.5000000000000001,0.0,1.1102569054260746e-16,false,PROHIBITED,ABORT,false
21,1.0500000000000003,1.0,0.0,0.0,0.0,0.0,0.004581473258891588,0.9999895049963164,0.0,0.0,0.008726646259971648,0.5250000000000001,0.0,1.734723475976807e-18,false,PROHIBITED,ABORT,false
22,1.1000000000000003,1.0,0.0,0.0,0.0,0.0,0.004799637014974643,0.9999884816759264,0.0,0.0,0.008726646259971648,0.5500000000000002,0.0,2.6020852139652106e-18,false,PROHIBITED,ABORT,false
23,1.1500000000000004,1.0,0.0,0.0,0.0,0.0,0.005017800542611911,0.9999874107596128,0.0,0.0,0.008726646259971648,0.5750000000000002,0.0,3.469446951953614e-18,false,PROHIBITED,ABORT,false
24,1.2000000000000004,1.0,0.0,0.0,0.0,0.0,0.005235963831419579,0.9999862922474269,0.0,0.0,0.008726646259971648,0.6000000000000002,0.0,1.1107649934270853e-16,false,PROHIBITED,ABORT,false
25,1.2500000000000004,1.0,0.0,0.0,0.0,0.0,0.005454126871013842,0.9999851261394216,0.0,0.0,0.008726646259971648,0.6250000000000002,0.0,2.6020852139652106e-18,false,PROHIBITED,ABORT,false
26,1.3000000000000005,1.0,0.0,0.0,0.0,0.0,0.005672289651010911,0.9999839124356527,0.0,0.0,0.008726646259971648,0.6500000000000002,0.0,2.6020852139652106e-18,false,PROHIBITED,ABORT,false
27,1.3500000000000005,1.0,0.0,0.0,0.0,0.0,0.005890452161027005,0.9999826511361778,0.0,0.0,0.008726646259971648,0.6750000000000003,0.0,2.6020852139652106e-18,false,PROHIBITED,ABORT,false
28,1.4000000000000006,1.0,0.0,0.0,0.0,0.0,0.00610861439067836,0.9999813422410571,0.0,0.0,0.008726646259971648,0.7000000000000003,0.0,3.469446951953614e-18,false,PROHIBITED,ABORT,false
29,1.4500000000000006,1.0,0.0,0.0,0.0,0.0,0.006326776329581224,0.9999799857503526,0.0,0.0,0.008726646259971648,0.7250000000000003,0.0,3.469446951953614e-18,false,PROHIBITED,ABORT,false
30,1.5000000000000007,1.0,0.0,0.0,0.0,0.0,0.006544937967351858,0.9999785816641292,0.0,0.0,0.008726646259971648,0.7500000000000003,0.0,3.469446951953614e-18,false,PROHIBITED,ABORT,false
31,1.5500000000000007,1.0,0.0,0.0,0.0,0.0,0.006763099293606537,0.9999771299824536,0.0,0.0,0.008726646259971648,0.7750000000000004,0.0,3.469446951953614e-18,false,PROHIBITED,ABORT,false
32,1.6000000000000008,1.0,0.0,0.0,0.0,0.0,0.006981260297961553,0.9999756307053949,0.0,0.0,0.008726646259971648,0.8000000000000004,0.0,1.1105279146216472e-16,false,PROHIBITED,ABORT,false
33,1.6500000000000008,1.0,0.0,0.0,0.0,0.0,0.0071994209700332115,0.9999740838330243,0.0,0.0,0.008726646259971648,0.8250000000000004,0.0,1.1102569054260746e-16,false,PROHIBITED,ABORT,false
34,1.7000000000000008,1.0,0.0,0.0,0.0,0.0,0.007417581299437833,0.9999724893654156,0.0,0.0,0.008726646259971648,0.8500000000000004,0.0,8.673617379884035e-19,false,PROHIBITED,ABORT,false
35,1.7500000000000009,1.0,0.0,0.0,0.0,0.0,0.007635741275791756,0.9999708473026447,0.0,0.0,0.008726646259971648,0.8750000000000004,0.0,8.673617379884035e-19,false,PROHIBITED,ABORT,false
36,1.800000000000001,1.0,0.0,0.0,0.0,0.0,0.007853900888711336,0.9999691576447898,0.0,0.0,0.008726646259971648,0.9000000000000005,0.0,1.1103585416259206e-16,false,PROHIBITED,ABORT,false
37,1.850000000000001,1.0,0.0,0.0,0.0,0.0,0.008072060127812945,0.9999674203919311,0.0,0.0,0.008726646259971648,0.9250000000000005,0.0,1.734723475976807e-18,false,PROHIBITED,ABORT,false
38,1.900000000000001,1.0,0.0,0.0,0.0,0.0,0.008290218982712974,0.9999656355441515,0.0,0.0,0.008726646259971648,0.9500000000000005,0.0,1.1103585416259206e-16,false,PROHIBITED,ABORT,false
39,1.950000000000001,1.0,0.0,0.0,0.0,0.0,0.008508377443027829,0.9999638031015359,0.0,0.0,0.008726646259971648,0.9750000000000005,0.0,1.1103585416259206e-16,false,PROHIBITED,ABORT,false
40,2.000000000000001,1.0,0.0,0.0,0.0,0.0,0.008726535498373938,0.9999619230641714,0.0,0.0,0.008726646259971648,1.0000000000000004,0.0,1.1102230246251565e-16,false,PROHIBITED,ABORT,false
41,2.0500000000000007,1.0,0.0,0.0,0.0,0.0,0.008944693138367748,0.9999599954321476,0.0,0.0,0.008726646259971648,1.0250000000000004,0.0,1.1102230246251565e-16,false,PROHIBITED,ABORT,false
42,2.1000000000000005,1.0,0.0,0.0,0.0,0.0,0.009162850352625726,0.9999580202055562,0.0,0.0,0.008726646259971648,1.0500000000000003,0.0,1.1103585416259206e-16,false,PROHIBITED,ABORT,false
43,2.1500000000000004,1.0,0.0,0.0,0.0,0.0,0.009381007130764354,0.9999559973844911,0.0,0.0,0.008726646259971648,1.0750000000000002,1.1102230246251565e-16,3.469446951953614e-18,false,PROHIBITED,ABORT,false
44,2.2,1.0,0.0,0.0,0.0,0.0,0.009599163462400143,0.999953926969049,0.0,0.0,0.008726646259971648,1.1,0.0,1.734723475976807e-18,false,PROHIBITED,ABORT,false
45,2.25,1.0,0.0,0.0,0.0,0.0,0.009817319337149622,0.999951808959328,0.0,0.0,0.008726646259971648,1.125,0.0,5.204170427930421e-18,false,PROHIBITED,ABORT,false
46,2.3,1.0,0.0,0.0,0.0,0.0,0.010035474744629338,0.9999496433554291,0.0,0.0,0.008726646259971648,1.1500000000000001,0.0,5.204170427930421e-18,false,PROHIBITED,ABORT,false
47,2.3499999999999996,1.0,0.0,0.0,0.0,0.0,0.010253629674455866,0.9999474301574554,0.0,0.0,0.008726646259971648,1.1749999999999998,0.0,6.938893903907228e-18,false,PROHIBITED,ABORT,false
48,2.3999999999999995,1.0,0.0,0.0,0.0,0.0,0.010471784116245799,0.9999451693655121,0.0,0.0,0.008726646259971648,1.1999999999999997,0.0,8.673617379884035e-18,false,PROHIBITED,ABORT,false
49,2.4499999999999993,1.0,0.0,0.0,0.0,0.0,0.010689938059615756,0.999942860979707,0.0,0.0,0.008726646259971648,1.2249999999999996,0.0,8.673617379884035e-18,false,PROHIBITED,ABORT,false
50,2.499999999999999,1.0,0.0,0.0,0.0,0.0,0.01090809149418238,0.9999405050001497,0.0,0.0,0.008726646259971648,1.2499999999999996,0.0,1.0408340855860843e-17,false,PROHIBITED,ABORT,false
51,2.549999999999999,1.0,0.0,0.0,0.0,0.0,0.01112624440956234,0.9999381014269527,0.0,0.0,0.008726646259971648,1.2749999999999995,0.0,1.5612511283791264e-17,false,PROHIBITED,ABORT,false
52,2.5999999999999988,1.0,0.0,0.0,0.0,0.0,0.011344396795372318,0.9999356502602301,0.0,0.0,0.008726646259971648,1.2999999999999994,0.0,1.5612511283791264e-17,false,PROHIBITED,ABORT,false
53,2.6499999999999986,1.0,0.0,0.0,0.0,0.0,0.011562548641229037,0.9999331515000988,0.0,0.0,0.008726646259971648,1.3249999999999993,0.0,1.1236938283130691e-16,false,PROHIBITED,ABORT,false
54,2.6999999999999984,1.0,0.0,0.0,0.0,0.0,0.011780699936749238,0.9999306051466774,0.0,0.0,0.008726646259971648,1.3499999999999994,0.0,1.1236938283130691e-16,false,PROHIBITED,ABORT,false
55,2.7499999999999982,1.0,0.0,0.0,0.0,0.0,0.011998850671549686,0.9999280112000873,0.0,0.0,0.008726646259971648,1.3749999999999991,0.0,1.1236938283130691e-16,false,PROHIBITED,ABORT,false
56,2.799999999999998,1.0,0.0,0.0,0.0,0.0,0.01221700083524718,0.9999253696604521,0.0,0.0,0.008726646259971648,1.399999999999999,0.0,1.1265022314309467e-16,false,PROHIBITED,ABORT,false
57,2.849999999999998,1.0,0.0,0.0,0.0,0.0,0.012435150417458539,0.9999226805278972,0.0,0.0,0.008726646259971648,1.424999999999999,0.0,1.9081958235744878e-17,false,PROHIBITED,ABORT,false
58,2.8999999999999977,1.0,0.0,0.0,0.0,0.0,0.012653299407800614,0.9999199438025509,0.0,0.0,0.008726646259971648,1.4499999999999988,0.0,2.0816681711721685e-17,false,PROHIBITED,ABORT,false
59,2.9499999999999975,1.0,0.0,0.0,0.0,0.0,0.012871447795890284,0.9999171594845434,0.0,0.0,0.008726646259971648,1.4749999999999988,0.0,1.1364755910069911e-16,false,PROHIBITED,ABORT,false
60,2.9999999999999973,1.0,0.0,0.0,0.0,0.0,0.013089595571344452,0.9999143275740071,0.0,0.0,0.008726646259971648,1.4999999999999987,0.0,1.1328952961336746e-16,false,PROHIBITED,ABORT,false
61,3.049999999999997,1.0,0.0,0.0,0.0,0.0,0.013307742723780056,0.9999114480710768,0.0,0.0,0.008726646259971648,1.5249999999999986,0.0,2.42861286636753e-17,false,PROHIBITED,ABORT,false
62,3.099999999999997,1.0,0.0,0.0,0.0,0.0,0.013525889242814062,0.9999085209758897,0.0,0.0,0.008726646259971648,1.5499999999999987,0.0,2.6020852139652106e-17,false,PROHIBITED,ABORT,false
63,3.149999999999997,1.0,0.0,0.0,0.0,0.0,0.013744035118063462,0.999905546288585,0.0,0.0,0.008726646259971648,1.5749999999999984,0.0,2.6020852139652106e-17,false,PROHIBITED,ABORT,false
64,3.1999999999999966,1.0,0.0,0.0,0.0,0.0,0.013962180339145284,0.9999025240093043,0.0,0.0,0.008726646259971648,1.5999999999999983,0.0,1.1443916996305594e-16,false,PROHIBITED,ABORT,false
65,3.2499999999999964,1.0,0.0,0.0,0.0,0.0,0.014180324895676583,0.9998994541381914,0.0,0.0,0.008726646259971648,1.6249999999999982,0.0,2.42861286636753e-17,false,PROHIBITED,ABORT,false
66,3.2999999999999963,1.0,0.0,0.0,0.0,0.0,0.014398468777274452,0.9998963366753926,0.0,0.0,0.008726646259971648,1.6499999999999981,0.0,1.140308571841497e-16,false,PROHIBITED,ABORT,false
67,3.349999999999996,1.0,0.0,0.0,0.0,0.0,0.014616611973556012,0.9998931716210561,0.0,0.0,0.008726646259971648,1.674999999999998,0.0,1.1443916996305594e-16,false,PROHIBITED,ABORT,false
68,3.399999999999996,1.0,0.0,0.0,0.0,0.0,0.014834754474138413,0.9998899589753325,0.0,0.0,0.008726646259971648,1.699999999999998,0.0,2.6020852139652106e-17,false,PROHIBITED,ABORT,false
69,3.4499999999999957,1.0,0.0,0.0,0.0,0.0,0.015052896268638843,0.9998866987383749,0.0,0.0,0.008726646259971648,1.7249999999999979,0.0,2.7755575615628914e-17,false,PROHIBITED,ABORT,false
70,3.4999999999999956,1.0,0.0,0.0,0.0,0.0,0.015271037346674524,0.9998833909103384,0.0,0.0,0.008726646259971648,1.749999999999998,0.0,1.1443916996305594e-16,false,PROHIBITED,ABORT,false
71,3.5499999999999954,1.0,0.0,0.0,0.0,0.0,0.015489177697862708,0.9998800354913804,0.0,0.0,0.008726646259971648,1.7749999999999977,0.0,2.949029909160572e-17,false,PROHIBITED,ABORT,false
72,3.599999999999995,1.0,0.0,0.0,0.0,0.0,0.015707317311820686,0.9998766324816606,0.0,0.0,0.008726646259971648,1.7999999999999978,0.0,3.122502256758253e-17,false,PROHIBITED,ABORT,false
73,3.649999999999995,1.0,0.0,0.0,0.0,0.0,0.015925456178165782,0.9998731818813411,0.0,0.0,0.008726646259971648,1.8249999999999975,0.0,1.1631705747361534e-16,false,PROHIBITED,ABORT,false
74,3.699999999999995,1.0,0.0,0.0,0.0,0.0,0.016143594286515354,0.999869683690586,0.0,0.0,0.008726646259971648,1.8499999999999974,0.0,1.1739862079479962e-16,false,PROHIBITED,ABORT,false
75,3.7499999999999947,1.0,0.0,0.0,0.0,0.0,0.016361731626486797,0.9998661379095619,0.0,0.0,0.008726646259971648,1.8749999999999976,0.0,1.1739862079479962e-16,false,PROHIBITED,ABORT,false
76,3.7999999999999945,1.0,0.0,0.0,0.0,0.0,0.016579868187697546,0.9998625445384375,0.0,0.0,0.008726646259971648,1.899999999999997,0.0,1.1983411512519015e-16,false,PROHIBITED,ABORT,false
77,3.8499999999999943,1.0,0.0,0.0,0.0,0.0,0.01679800395976507,0.9998589035773837,0.0,0.0,0.008726646259971648,1.9249999999999972,0.0,1.1983411512519015e-16,false,PROHIBITED,ABORT,false
78,3.899999999999994,1.0,0.0,0.0,0.0,0.0,0.01701613893230687,0.999855215026574,0.0,0.0,0.008726646259971648,1.9499999999999973,0.0,1.1983411512519015e-16,false,PROHIBITED,ABORT,false
79,3.949999999999994,1.0,0.0,0.0,0.0,0.0,0.017234273094940498,0.999851478886184,0.0,0.0,0.008726646259971648,1.9749999999999968,0.0,1.2118257228641695e-16,false,PROHIBITED,ABORT,false
80,3.999999999999994,1.0,0.0,0.0,0.0,0.0,0.017452406437283532,0.9998476951563913,0.0,0.0,0.008726646259971648,1.999999999999997,0.0,4.85722573273506e-17,false,PROHIBITED,ABORT,false
81,4.049999999999994,1.0,0.0,0.0,0.0,0.0,0.0176705389489536,0.9998438638373761,0.0,0.0,0.008726646259971648,2.024999999999997,0.0,4.5102810375396984e-17,false,PROHIBITED,ABORT,false
82,4.099999999999993,1.0,0.0,0.0,0.0,0.0,0.01788867061956836,0.9998399849293209,0.0,0.0,0.008726646259971648,2.0499999999999967,0.0,4.5102810375396984e-17,false,PROHIBITED,ABORT,false
83,4.149999999999993,1.0,0.0,0.0,0.0,0.0,0.01810680143874552,0.9998360584324102,0.0,0.0,0.008726646259971648,2.0749999999999966,0.0,1.22614398128331e-16,false,PROHIBITED,ABORT,false
84,4.199999999999993,1.0,0.0,0.0,0.0,0.0,0.01832493139610282,0.9998320843468309,0.0,0.0,0.008726646259971648,2.0999999999999965,0.0,1.2412670766236366e-16,false,PROHIBITED,ABORT,false
85,4.249999999999993,1.0,0.0,0.0,0.0,0.0,0.018543060481258037,0.9998280626727719,0.0,0.0,0.008726646259971648,2.1249999999999964,1.1102230246251565e-16,5.204170427930421e-17,false,PROHIBITED,ABORT,false
86,4.299999999999993,1.0,0.0,0.0,0.0,0.0,0.018761188683829005,0.9998239934104252,0.0,0.0,0.008726646259971648,2.1499999999999964,0.0,1.2571659638300646e-16,false,PROHIBITED,ABORT,false
87,4.3499999999999925,1.0,0.0,0.0,0.0,0.0,0.018979315993433585,0.9998198765599839,0.0,0.0,0.008726646259971648,2.1749999999999963,0.0,1.2571659638300646e-16,false,PROHIBITED,ABORT,false
88,4.399999999999992,1.0,0.0,0.0,0.0,0.0,0.019197442399689697,0.9998157121216443,0.0,0.0,0.008726646259971648,2.199999999999996,0.0,1.2738115944464653e-16,false,PROHIBITED,ABORT,false
89,4.449999999999992,1.0,0.0,0.0,0.0,0.0,0.01941556789221528,0.9998115000956045,0.0,0.0,0.008726646259971648,2.224999999999996,0.0,1.2911750880923164e-16,false,PROHIBITED,ABORT,false
90,4.499999999999992,1.0,0.0,0.0,0.0,0.0,0.019633692460628332,0.9998072404820649,0.0,0.0,0.008726646259971648,2.249999999999996,0.0,1.2911750880923164e-16,false,PROHIBITED,ABORT,false
91,4.549999999999992,1.0,0.0,0.0,0.0,0.0,0.0198518160945469,0.9998029332812284,0.0,0.0,0.008726646259971648,2.274999999999996,0.0,1.2738115944464653e-16,false,PROHIBITED,ABORT,false
92,4.599999999999992,1.0,0.0,0.0,0.0,0.0,0.020069938783589068,0.9997985784932998,0.0,0.0,0.008726646259971648,2.299999999999996,0.0,6.938893903907228e-17,false,PROHIBITED,ABORT,false
93,4.6499999999999915,1.0,0.0,0.0,0.0,0.0,0.02028806051737296,0.9997941761184866,0.0,0.0,0.008726646259971648,2.3249999999999957,0.0,6.938893903907228e-17,false,PROHIBITED,ABORT,false
94,4.699999999999991,1.0,0.0,0.0,0.0,0.0,0.020506181285516758,0.9997897261569982,0.0,0.0,0.008726646259971648,2.3499999999999956,0.0,6.938893903907228e-17,false,PROHIBITED,ABORT,false
95,4.749999999999991,1.0,0.0,0.0,0.0,0.0,0.02072430107763868,0.9997852286090465,0.0,0.0,0.008726646259971648,2.374999999999996,0.0,6.938893903907228e-17,false,PROHIBITED,ABORT,false
96,4.799999999999991,1.0,0.0,0.0,0.0,0.0,0.020942419883356996,0.9997806834748455,0.0,0.0,0.008726646259971648,2.3999999999999955,0.0,7.632783294297951e-17,false,PROHIBITED,ABORT,false
97,4.849999999999991,1.0,0.0,0.0,0.0,0.0,0.021160537692290014,0.9997760907546116,0.0,0.0,0.008726646259971648,2.4249999999999954,0.0,1.3472894910096233e-16,false,PROHIBITED,ABORT,false
98,4.899999999999991,1.0,0.0,0.0,0.0,0.0,0.0213786544940561,0.9997714504485632,0.0,0.0,0.008726646259971648,2.4499999999999953,0.0,7.632783294297951e-17,false,PROHIBITED,ABORT,false
99,4.94999999999999,1.0,0.0,0.0,0.0,0.0,0.02159677027827366,0.9997667625569213,0.0,0.0,0.008726646259971648,2.474999999999995,0.0,7.979727989493313e-17,false,PROHIBITED,ABORT,false
100,4.99999999999999,1.0,0.0,0.0,0.0,0.0,0.021814885034561155,0.9997620270799091,0.0,0.0,0.008726646259971648,2.499999999999995,0.0,7.632783294297951e-17,false,PROHIBITED,ABORT,false
101,5.04999999999999,1.0,0.0,0.0,0.0,0.0,0.022032998752537097,0.9997572440177519,0.0,0.0,0.008726646259971648,2.524999999999995,0.0,7.632783294297951e-17,false,PROHIBITED,ABORT,false
102,5.09999999999999,1.0,0.0,0.0,0.0,0.0,0.02225111142182004,0.9997524133706774,0.0,0.0,0.008726646259971648,2.549999999999995,0.0,1.3877787807814457e-16,false,PROHIBITED,ABORT,false
103,5.14999999999999,1.0,0.0,0.0,0.0,0.0,0.022469223032028588,0.9997475351389156,0.0,0.0,0.008726646259971648,2.574999999999995,0.0,1.3877787807814457e-16,false,PROHIBITED,ABORT,false
104,5.1999999999999895,1.0,0.0,0.0,0.0,0.0,0.022687333572781396,0.9997426093226984,0.0,0.0,0.008726646259971648,2.5999999999999948,0.0,1.3877787807814457e-16,false,PROHIBITED,ABORT,false
105,5.249999999999989,1.0,0.0,0.0,0.0,0.0,0.022905443033697175,0.9997376359222605,0.0,0.0,0.008726646259971648,2.6249999999999947,0.0,1.3877787807814457e-16,false,PROHIBITED,ABORT,false
106,5.299999999999989,1.0,0.0,0.0,0.0,0.0,0.023123551404394684,0.9997326149378385,0.0,0.0,0.008726646259971648,2.6499999999999946,0.0,1.3877787807814457e-16,false,PROHIBITED,ABORT,false
107,5.349999999999989,1.0,0.0,0.0,0.0,0.0,0.023341658674492734,0.9997275463696714,0.0,0.0,0.008726646259971648,2.6749999999999945,0.0,8.326672684688674e-17,false,PROHIBITED,ABORT,false
108,5.399999999999989,1.0,0.0,0.0,0.0,0.0,0.02355976483361019,0.9997224302180006,0.0,0.0,0.008726646259971648,2.6999999999999944,0.0,9.020562075079397e-17,false,PROHIBITED,ABORT,false
109,5.449999999999989,1.0,0.0,0.0,0.0,0.0,0.02377786987136597,0.9997172664830695,0.0,0.0,0.008726646259971648,2.7249999999999943,0.0,1.4304896245381993e-16,false,PROHIBITED,ABORT,false
110,5.4999999999999885,1.0,0.0,0.0,0.0,0.0,0.023995973777379036,0.9997120551651237,0.0,0.0,0.008726646259971648,2.7499999999999942,0.0,9.020562075079397e-17,false,PROHIBITED,ABORT,false
111,5.549999999999988,1.0,0.0,0.0,0.0,0.0,0.024214076541268417,0.9997067962644116,0.0,0.0,0.008726646259971648,2.7749999999999946,0.0,1.4088688899021424e-16,false,PROHIBITED,ABORT,false
112,5.599999999999988,1.0,0.0,0.0,0.0,0.0,0.02443217815265319,0.9997014897811832,0.0,0.0,0.008726646259971648,2.799999999999994,0.0,1.4304896245381993e-16,false,PROHIBITED,ABORT,false
113,5.649999999999988,1.0,0.0,0.0,0.0,0.0,0.02465027860115249,0.9996961357156912,0.0,0.0,0.008726646259971648,2.824999999999994,0.0,9.020562075079397e-17,false,PROHIBITED,ABORT,false
114,5.699999999999988,1.0,0.0,0.0,0.0,0.0,0.0248683778763855,0.9996907340681904,0.0,0.0,0.008726646259971648,2.849999999999994,0.0,1.4304896245381993e-16,false,PROHIBITED,ABORT,false
115,5.749999999999988,1.0,0.0,0.0,0.0,0.0,0.02508647596797147,0.9996852848389379,0.0,0.0,0.008726646259971648,2.874999999999994,0.0,9.367506770274758e-17,false,PROHIBITED,ABORT,false
116,5.799999999999987,1.0,0.0,0.0,0.0,0.0,0.025304572865529697,0.9996797880281931,0.0,0.0,0.008726646259971648,2.8999999999999937,0.0,9.367506770274758e-17,false,PROHIBITED,ABORT,false
117,5.849999999999987,1.0,0.0,0.0,0.0,0.0,0.02552266855867954,0.9996742436362176,0.0,0.0,0.008726646259971648,2.9249999999999936,0.0,9.020562075079397e-17,false,PROHIBITED,ABORT,false
118,5.899999999999987,1.0,0.0,0.0,0.0,0.0,0.02574076303704041,0.9996686516632753,0.0,0.0,0.008726646259971648,2.9499999999999935,0.0,9.367506770274758e-17,false,PROHIBITED,ABORT,false
119,5.949999999999987,1.0,0.0,0.0,0.0,0.0,0.025958856290231782,0.9996630121096324,0.0,0.0,0.008726646259971648,2.9749999999999934,0.0,9.367506770274758e-17,false,PROHIBITED,ABORT,false
120,5.999999999999987,1.0,0.0,0.0,0.0,0.0,0.02617694830787319,0.9996573249755574,0.0,0.0,0.008726646259971648,2.9999999999999933,0.0,1.4752290795525882e-16,false,PROHIBITED,ABORT,false
121,6.0499999999999865,1.0,0.0,0.0,0.0,0.0,0.026395039079584216,0.9996515902613207,0.0,0.0,0.008726646259971648,3.0249999999999932,0.0,1.4752290795525882e-16,false,PROHIBITED,ABORT,false
122,6.099999999999986,1.0,0.0,0.0,0.0,0.0,0.026613128594984516,0.9996458079671955,0.0,0.0,0.008726646259971648,3.049999999999993,0.0,1.4752290795525882e-16,false,PROHIBITED,ABORT,false
123,6.149999999999986,1.0,0.0,0.0,0.0,0.0,0.026831216843693793,0.9996399780934568,0.0,0.0,0.008726646259971648,3.074999999999993,0.0,1.4752290795525882e-16,false,PROHIBITED,ABORT,false
124,6.199999999999986,1.0,0.0,0.0,0.0,0.0,0.027049303815331816,0.9996341006403824,0.0,0.0,0.008726646259971648,3.0999999999999934,0.0,1.4526172914154867e-16,false,PROHIBITED,ABORT,false
125,6.249999999999986,1.0,0.0,0.0,0.0,0.0,0.02726738949951842,0.9996281756082518,0.0,0.0,0.008726646259971648,3.124999999999993,0.0,1.4752290795525882e-16,false,PROHIBITED,ABORT,false
126,6.299999999999986,1.0,0.0,0.0,0.0,0.0,0.027485473885873486,0.9996222029973468,0.0,0.0,0.008726646259971648,3.149999999999993,1.1102230246251565e-16,9.020562075079397e-17,false,PROHIBITED,ABORT,false
127,6.349999999999985,1.0,0.0,0.0,0.0,0.0,0.027703556964016978,0.9996161828079523,0.0,0.0,0.008726646259971648,3.174999999999993,0.0,9.020562075079397e-17,false,PROHIBITED,ABORT,false
128,6.399999999999985,1.0,0.0,0.0,0.0,0.0,0.02792163872356891,0.9996101150403544,0.0,0.0,0.008726646259971648,3.1999999999999926,0.0,9.367506770274758e-17,false,PROHIBITED,ABORT,false
