[b4_1_acceptance] SW_CONNECT: {"mode": "launched"}
[b4_1_acceptance] SW_VERSION: {"revision": "32.5.0", "year": 2024}
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\02_Equipment_Decks\\parts\\DECK_MID_FRONT.SLDPRT", "read_only": true}
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\02_Equipment_Decks\\parts\\DECK_REAR_MID.SLDPRT", "read_only": true}
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\03_Removable_Panels\\parts\\PNL_BOTTOM.SLDPRT", "read_only": true}
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\03_Removable_Panels\\parts\\PNL_LEFT_AFT.SLDPRT", "read_only": true}
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\03_Removable_Panels\\parts\\PNL_LEFT_FWD.SLDPRT", "read_only": true}
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\03_Removable_Panels\\parts\\PNL_RIGHT_AFT.SLDPRT", "read_only": true}
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\03_Removable_Panels\\parts\\PNL_RIGHT_FWD.SLDPRT", "read_only": true}
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\03_Removable_Panels\\parts\\PNL_TOP.SLDPRT", "read_only": true}
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\05_Robot_Mount_Module\\parts\\SV21_MNT_ADAPTER_BOSS.SLDPRT", "read_only":
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\05_Robot_Mount_Module\\parts\\SV21_MNT_ADAPTER_PLATE.SLDPRT", "read_only"
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\05_Robot_Mount_Module\\parts\\SV21_MNT_RIB_SET.SLDPRT", "read_only": true
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\05_Robot_Mount_Module\\parts\\SV21_MNT_SERVICER_FLANGE.SLDPRT", "read_onl
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\07_Solar_Array_Root_Module_L\\parts\\FLEX_HARNESS_REF_L.SLDPRT", "read_on
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\07_Solar_Array_Root_Module_L\\parts\\HDRM_MID2_REF_L.SLDPRT", "read_only"
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\07_Solar_Array_Root_Module_L\\parts\\HDRM_REAR_REF_L.SLDPRT", "read_only"
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\07_Solar_Array_Root_Module_L\\parts\\HINGE_BLOCK_A_REF_L.SLDPRT", "read_o
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\07_Solar_Array_Root_Module_L\\parts\\HINGE_BLOCK_B_REF_L.SLDPRT", "read_o
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\07_Solar_Array_Root_Module_L\\parts\\MECH_STOP_REF_L.SLDPRT", "read_only"
[b4_1_acceptance] DOC_OPEN: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\cad\\Space_Embodied_Robot_CAD_V2_1\\07_Solar_Array_Root_Module_L\\parts\\ROOT_BRACKET_REF_L.SLDPRT", "read_on
