wire_id,old_from,old_to,new_from,new_to,active,change
BP05,BPX.PBAT2.5,DOCK.P4.1,BPX.PBAT2.5,DOCK.P4.1,true,UNCHANGED
BP06,BPX.PBAT2.6,DOCK.P4.2,BPX.PBAT2.6,DOCK.P4.2,true,UNCHANGED
BP07,BPX.PBAT2.7,DOCK.P4.3,BPX.PBAT2.7,DOCK.P4.3,true,UNCHANGED
BP08,BPX.PBAT2.8,DOCK.P4.4,BPX.PBAT2.8,DOCK.P4.4,true,UNCHANGED
BP09,BPX.PBAT2.9,DOCK.P5.2,BPX.PBAT2.9,DOCK.P5.2,true,UNCHANGED
BP10,BPX.PBAT2.10,DOCK.P5.4,BPX.PBAT2.10,DOCK.P5.4,true,UNCHANGED
BP11,BPX.PBAT2.11,DOCK.P5.3,BPX.PBAT2.11,DOCK.P5.3,true,UNCHANGED
BP12,BPX.PBAT2.12,DOCK.P5.1,BPX.PBAT2.12,DOCK.P5.1,true,UNCHANGED
PV0_1,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.1,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.1,true,UNCHANGED
PV0_3,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.3,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.3,true,UNCHANGED
PV0_RET2,PV_BRANCH_0.RET,ACU.X1.TFM.2,PV_BRANCH_0.RET,ACU.X1.TFM.2,true,UNCHANGED
PV0_RET4,PV_BRANCH_0.RET,ACU.X1.TFM.4,PV_BRANCH_0.RET,ACU.X1.TFM.4,true,UNCHANGED
PV1_5,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.5,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.5,true,UNCHANGED
PV1_7,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.7,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.7,true,UNCHANGED
PV1_RET6,PV_BRANCH_1.RET,ACU.X1.TFM.6,PV_BRANCH_1.RET,ACU.X1.TFM.6,true,UNCHANGED
PV1_RET8,PV_BRANCH_1.RET,ACU.X1.TFM.8,PV_BRANCH_1.RET,ACU.X1.TFM.8,true,UNCHANGED
PV2_9,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.9,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.9,true,UNCHANGED
PV2_11,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.11,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.11,true,UNCHANGED
PV2_RET10,PV_BRANCH_2.RET,ACU.X1.TFM.10,PV_BRANCH_2.RET,ACU.X1.TFM.10,true,UNCHANGED
PV2_RET12,PV_BRANCH_2.RET,ACU.X1.TFM.12,PV_BRANCH_2.RET,ACU.X1.TFM.12,true,UNCHANGED
PV3_13,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.13,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.13,true,UNCHANGED
PV3_15,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.15,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.15,true,UNCHANGED
PV3_RET14,PV_BRANCH_3.RET,ACU.X1.TFM.14,PV_BRANCH_3.RET,ACU.X1.TFM.14,true,UNCHANGED
PV3_RET16,PV_BRANCH_3.RET,ACU.X1.TFM.16,PV_BRANCH_3.RET,ACU.X1.TFM.16,true,UNCHANGED
PV4_17,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.17,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.17,true,UNCHANGED
PV4_19,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.19,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.19,true,UNCHANGED
PV4_21,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.21,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.21,true,UNCHANGED
PV4_23,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.23,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.23,true,UNCHANGED
PV4_RET18,PV_BRANCH_4.RET,ACU.X1.TFM.18,PV_BRANCH_4.RET,ACU.X1.TFM.18,true,UNCHANGED
PV4_RET20,PV_BRANCH_4.RET,ACU.X1.TFM.20,PV_BRANCH_4.RET,ACU.X1.TFM.20,true,UNCHANGED
PV4_RET22,PV_BRANCH_4.RET,ACU.X1.TFM.22,PV_BRANCH_4.RET,ACU.X1.TFM.22,true,UNCHANGED
PV4_RET24,PV_BRANCH_4.RET,ACU.X1.TFM.24,PV_BRANCH_4.RET,ACU.X1.TFM.24,true,UNCHANGED
PV5_25,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.25,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.25,true,UNCHANGED
PV5_27,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.27,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.27,true,UNCHANGED
PV5_29,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.29,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.29,true,UNCHANGED
PV5_RET26,PV_BRANCH_5.RET,ACU.X1.TFM.26,PV_BRANCH_5.RET,ACU.X1.TFM.26,true,UNCHANGED
PV5_RET28,PV_BRANCH_5.RET,ACU.X1.TFM.28,PV_BRANCH_5.RET,ACU.X1.TFM.28,true,UNCHANGED
PV5_RET30,PV_BRANCH_5.RET,ACU.X1.TFM.30,PV_BRANCH_5.RET,ACU.X1.TFM.30,true,UNCHANGED
RBF,FPP.RBF_JUMPER,DOCK.P14.6,FPP.RBF_JUMPER,DOCK.P14.6,true,UNCHANGED
DEARM,FPP.DEARM_JUMPER,DOCK.P14.7,FPP.DEARM_JUMPER,DOCK.P14.7,true,UNCHANGED
K1_COILP,STOPBOARD.J104.1,K1.X1(+),STOPBOARD.J104.1,K1.X1(+),true,UNCHANGED
K1_COILR,K1.X2(-),STOPBOARD.J104.2,K1.X2(-),STOPBOARD.J104.2,true,UNCHANGED
K1_FB1,K1.T1,STOPBOARD.J105.2,K1.T1,STOPBOARD.J105.2,true,UNCHANGED
K1_FB2,STOPBOARD.J105.1,K1.T2,STOPBOARD.J105.1,K1.T2,true,UNCHANGED
SC_PWR24,Q1.2,STOPBOARD.J101.3,U202.4,STOPBOARD.J101.3,true,REVISED
SC_RET,PS1.TB2.1,STOPBOARD.J101.4,U202.6,STOPBOARD.J101.4,true,REVISED
