object_id,category,motion_class,active_when,frame_registration_present,frame_relationship_bound,operational_asset_ready,registration_runtime_pose_bound,accepted_urdf_q_domain_available,design_candidate_bound_emitted,preexisting_system_certificate_observed,batch_system_certificate_emitted,batch_system_motion_authority_credit,system_certificate_eligible_in_this_batch,readiness,blockers,disposition
C::SEG-00_BUS_FEEDTHROUGH_AND_RISER,C,C_SECTION_CAPSULE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,C_SECTION_CAPSULE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,C_SECTION_CAPSULE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
C::SEG-03_J3_CARRIER_HYBRID_WRAP,C,C_SECTION_CAPSULE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
C::SEG-04_J4_CHAINLESS_TROMBONE_EXTERNAL_ANNULAR_FOLLOWER,C,C_SECTION_CAPSULE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
C::SEG-05_J5_WRIST_WRAP,C,C_SECTION_CAPSULE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
C::SEG-06_J6_HELICAL_WRAP_AND_WRIST_RUN,C,C_SECTION_CAPSULE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
C::SEG-07A_WRIST_TAIL_DATA,C,C_SECTION_CAPSULE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
C::SEG-07B_WRIST_TAIL_POWER,C,C_SECTION_CAPSULE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,CENTERLINE_PINNED__OPERATIONAL_CAPSULE_CHAIN_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
F::BUS,F,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,false,false,false,false,false,false,false,false,0,false,CONSERVATIVE_BROADPHASE_CONTEXT_ONLY__OPERATIONAL_NARROWPHASE_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
F::LOAD_BRIDGE,F,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,false,false,false,false,false,false,false,false,0,false,PINNED_DESIGN_CANDIDATE__OPERATIONAL_PROMOTION_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
F::M3R_STAGE_A,F,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,false,false,false,false,false,false,false,false,0,false,PINNED_DESIGN_CANDIDATE__OPERATIONAL_PROMOTION_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
F::M3R_STAGE_B,F,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,false,false,false,false,false,false,false,false,0,false,PINNED_DESIGN_CANDIDATE__OPERATIONAL_PROMOTION_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-BASE-COLLAR,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-BUS-FLANGE,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J1-RISER,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-MAIN-SPINE,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-ROOT-NECK,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-SPINE-HUB,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-SUPPORT-LOWER-ARM,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-SUPPORT-LOWER-POST,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-SUPPORT-LOWER-SADDLE,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-SUPPORT-MID-ARM,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-SUPPORT-MID-POST,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-SUPPORT-MID-SADDLE,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-SUPPORT-UPPER-ARM,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-SUPPORT-UPPER-POST,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-ANN-SUPPORT-UPPER-SADDLE,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-RAIL-PAD-1,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-RAIL-PAD-2,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-RAIL-PAD-3,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J4-RAIL-SPINE,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J6-GUIDE-A,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-J6-GUIDE-B,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-BRK-L1-01,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-CAR-J3-CARRIAGE,R,J3_HIDDEN_TRANSLATION,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-CAR-J4-FOLLOWER-TROLLEY,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-CAR-J4-TROMBONE,R,J4_TRAVEL_TRANSLATION,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-CHN-BUS-FT-BASE,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
R::RC-CHN-BUS-FT-LINER,R,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01_IF_ROUTE_C_CANDIDATE_IS_SELECTED,false,false,false,false,false,false,false,false,0,false,PINNED_V9F_TRIANGLES__OPERATIONAL_AND_PAIR_HOLD,COLLISION_ASSET_FRAME_REGISTRATION_ABSENT;OPERATIONAL_COLLISION_ASSET_NOT_READY;OUTSIDE_B601_ACCEPTED_URDF_RIGID_KINEMATIC_BATCH_SCOPE,NO_CANDIDATE_BOUND_EMITTED__BLOCKED_OR_OUT_OF_SCOPE
