component_id,group,asset_classification,design_state,integration_state,verification_state,configuration_scope,source_asset_absolute,source_evidence_absolute,a3_missing_geometry,next_required_evidence
BUS_INTERNAL_F4R1,SYSTEM,已存在但未接入,CA-A-R1 V2 32 Part::Feature：三设备板、肋、机架导轨/端板、臂背板/角撑、翼根支架、适配块、电池板、飞轮支架,独立 FCStd/STEP；冻结主 STEP 未改；40 设备只是解析用于布局，不是 40 真实设备原生装配,C3 PASS_WITH_DECLARED_OPEN_ITEM；结构 1244.9 g；非注册干涉阈值 >1000 mm3，低体积冲突可能为 CONTACT_NOTE；收拢/墙穿支架路径等 deferred,F4R1 展开态/冻结 340.5 mm 母线坐标,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\CA_A_R1_INTERNAL_STRUCTURE_V2.FCStd,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\BUILD_RECEIPT_V2.json | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\GATE_C3_CHECK_V2.json | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\INTERFERENCE_REPORT_V2.json,False,与真实臂/翼/线束统一装配和零件身份；C3 零 violation 不等于零接触或制造合格
AVIONICS_EQUIPMENT,SYSTEM,只有文档或分析账本,F4R1 EQUIPMENT_LIST 多文档 YAML；含 FRZ 冻结参考和 EQ 候选设备，质量/包络/安装面/电力/来源,有三舱布置和设备盒比较，未证明原型设备、连接器和全部安装孔装入总装,C1/C3 设计研究局部检查；power UNKNOWN 等字段保留；不能视为采购 BOM,F4R1 50_c1_layout,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\50_c1_layout\EQUIPMENT_LIST_V1.yaml,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\50_c1_layout\GATE_C1_CHECK.json | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\50_c1_layout\LAYOUT_SCHEME_V1.md,False,确认航电型号/实际包络/热接口/插拔空间/紧固件与维护通道
SOLAR_R2,SYSTEM,已存在但身份/版本不符,R2 候选独立 FCStd 23 Part::Feature；机构/锁闩/展开力矩账本存在,11_SOLAR_R2_MECHANISM 锁定候选；主 FCStd 实际仍是 v0 两平板代理，未证明装入 R2 候选,候选冻结和分析并不证明当前系统根部/收拢/展开路径安全,独立 Solar R2 候选 vs R2 主几何差异,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\11_SOLAR_R2_MECHANISM.yaml | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml,False,绑定对应版本两翼、铰链、HDRM、锁闩/止挡及展开路径
SOLAR_HARNESS,SYSTEM,只有文档或分析账本,H-RUN-02/03 逻辑路由及太阳翼相关设计账本存在,无当前 R2 全翼展开线束几何与绑定证明,连续展开缆线/根部转动/连接器与失效态验证 UNKNOWN,R2 产品树与早期路由,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp1_structure_cad\HARNESS_ROUTING_V1.yaml,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\11_SOLAR_R2_MECHANISM.yaml,False,翼根电缆服务环/插头/包络与铰链统一建模后验证
B601_ACCEPTED_ARM,SYSTEM,已存在但身份/版本不符,accepted URDF + 10 link meshes 是 A3 来源；6R+1F+2P；臂夹爪质量独立账本,A3 加载 fullarm 10 links；R2 master 使用 FRAME_AXIS_WITNESS，历史 B51 native 与 accepted meshes 版本不同,A3 子模型范围可复用；不能等同完整总装碰撞/接触/发射收拢验证,A3 accepted URDF vs R2 master witness,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\05_ACCEPTED_B601_URDF_REF.yaml,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_native_design_r1\03_a3_4\A3_43_COMPONENT_TRUTH_TABLE.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml,False,统一 arm 身份、坐标变换、装配消费版本和适用质量/碰撞模型
GRIPPER_R1,SYSTEM,已存在但身份/版本不符,R2 主装配有 R1 palm；accepted URDF 有两指，ODR60 有操作代理候选,主装配 SLOT_GRIPPER_R1_FINGERS_UNRESOLVED；后续 M01 操作几何不等于主 CAD 更新,有限接触合同/局部代理证据不能证明当前整星抓持和收拢,R2 master vs ODR60/M01 vs A3,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\10_GRIPPER_INTERFACE.yaml | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\claude_takeover_closure_v1\03_m01\M01_OPERATIONAL_ASSET_MANIFEST_V1.json,False,选择掌/指/滑轨真实几何和接口，核查同一构型 2P 行程与接触
MID_BACKUP_SUPPORT,SYSTEM,已存在但未接入,V5 MID_BACKUP_SUPPORT_V2 原生支承子装配存在,R2 未接入；非 A3 八项的一一指定槽位,历史子装配 mate/cold PASS；不能继承新姿态支承/载荷,V5 子系统候选,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE\02_native_subassemblies\MID_BACKUP_SUPPORT_V2.SLDASM,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE\13_validation\V5_LOOP1A_CHECKPOINT_MID_BACKUP_SUPPORT_V2.json | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp1_structure_cad\SUPPORT_AND_BRACKET_CANDIDATES_V1.yaml,False,定义是否需中间支撑、间隙、故障承载和当前 arm 对偶面
LOAD_BRIDGE,PRODUCT_CHAIN,已存在且已接入当前装配,M6 load bridge 中性 B-rep 被 R2 INST_SPACECRAFT_LOAD_BRIDGE 嵌入,当前 R2 7 实例之一；不要混同 V2_2 的 Load_Bridge_Left/Right,物理实配/锚固孔/预紧/结构连续性仍 HOLD,R2 默认主装配,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp9_release_package\DRAWING_SET_INDEX_V1.csv,False,臂载荷→两级→桥接件→母线锚点的紧固/预紧/接触/承载链
FASTENERS_TOLERANCES,PRODUCT_CHAIN,只有文档或分析账本,M3R fastener design/schedule 与 tolerance 文件存在,R2 M3R.FASTENER_SET/LOCATOR_SET DEFINED_NOT_MODELLED,实配计量、公差、等级/预紧与滑移/强度验证未完成,M7/R2,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp4_fastener_design\M3R_FASTENER_DESIGN_V1.yaml,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp4_fastener_design\FASTENER_SCHEDULE_V1.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\09_M3R_ICD.yaml | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml,False,紧固件/销/螺纹啮合与实际对偶面、检验尺寸和载荷绑定
DRAWINGS_BOM_MANUFACTURING,PRODUCT_CHAIN,只有文档或分析账本,M7 8 项图纸/表索引与 BOM V3、装配程序、检验计划存在,制造链为候选与计划；非同一实际整星配置完备图纸包,8 项 manufacturing_use=PROHIBITED；BOM release_effect=NONE_NOT_A_PROCUREMENT_BOM；无试制/验收完成证据,M7 工程候选包,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp9_release_package\DRAWING_SET_INDEX_V1.csv,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp9_release_package\BOM_V3_DESIGN.meta.yaml | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp9_release_package\ASSEMBLY_PROCEDURE_V1.md | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp9_release_package\INSPECTION_PLAN_V1.csv,False,按选定配置建立图纸/材料/公差/制造/装配可达/检验记录闭环
FULL_CURRENT_ASSEMBLY,SYSTEM,已存在但身份/版本不符,多代原生总装、neutral master、结构/线束/翼候选存在,没有证明同一总装同时消费 accepted arm、两级 M3R、真实 restraint/support、Solar R2、Route-C、航电和母线,UNKNOWN：没有当前完整配置 native cold-open + references + interference + motion + restraint 的统一证据,本次只读审计，不运行 CAD/生产检查,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\01_BASELINE_MANIFEST.json | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\08_CONFIGURATION_LIBRARY.yaml,False,先建立配置消费/产品身份绑定，再申请适用的集成验证；不自动换线
