document,object_name,object_type,label,source_path,shape_file
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SRC_SPACECRAFT_LOAD_BRIDGE,Part::Feature,SRC_SPACECRAFT_LOAD_BRIDGE__M6_DESIGN_CANDIDATE,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp1_load_bridge/LOAD_BRIDGE_CANDIDATE_V1.step,SRC_SPACECRAFT_LOAD_BRIDGE.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,CAND_CAMERA_CAM_A,Part::Feature,CAND_CAMERA_CAM_A__FRONT_FACE_UPPER_CORNER_BRACKET_POSE,M7_WP1_CAMERA_RELOCATION_CANDIDATE_A,CAND_CAMERA_CAM_A.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,CAND_CAMERA_BRACKET_A,Part::Feature,CAND_CAMERA_BRACKET_A__DECK_RISER_PLUS_FORWARD_ARM_STUB,M7_WP1_CAMERA_RELOCATION_CANDIDATE_A_BRACKET_STUB,CAND_CAMERA_BRACKET_A.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,CAND_CAMERA_CAM_B,Part::Feature,CAND_CAMERA_CAM_B__DECK_FLUSH_FORWARD_POSE,M7_WP1_CAMERA_RELOCATION_CANDIDATE_B,CAND_CAMERA_CAM_B.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,CAND_CAMERA_BRACKET_B,Part::Feature,CAND_CAMERA_BRACKET_B__DECK_BASE_PLATE_STUB,M7_WP1_CAMERA_RELOCATION_CANDIDATE_B_BRACKET_STUB,CAND_CAMERA_BRACKET_B.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_BUS_12U_CORE,App::Link,INST_BUS_12U_CORE,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_SOLAR_ARRAY_LEFT_DEPLOYED,App::Link,INST_SOLAR_ARRAY_LEFT_DEPLOYED,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_SOLAR_ARRAY_RIGHT_DEPLOYED,App::Link,INST_SOLAR_ARRAY_RIGHT_DEPLOYED,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_B601_ARM_CORE_Q0,App::Link,INST_B601_ARM_CORE_Q0,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_M3R_INTERFACE_ASSEMBLY,App::Link,INST_M3R_INTERFACE_ASSEMBLY,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_GRIPPER_R1_PALM,App::Link,INST_GRIPPER_R1_PALM,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_SPACECRAFT_LOAD_BRIDGE,App::Link,INST_SPACECRAFT_LOAD_BRIDGE,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SLOT_SENSOR_PACKAGE__RELOCATION_CANDIDATES_PRESENT,App::FeaturePython,SLOT_SENSOR_PACKAGE__RELOCATION_CANDIDATES_PRESENT,20_engineering/cad/spacecraft_layout/model_specs_v0.json::camera_payload,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SLOT_ARM_HDRM__UNRESOLVED,App::FeaturePython,SLOT_ARM_HDRM__UNRESOLVED,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/07_hdrm/F3R2_ARM_HDRM_DEFINITION.json,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SLOT_TARGET_INTERFACE__UNRESOLVED,App::FeaturePython,SLOT_TARGET_INTERFACE__UNRESOLVED,20_engineering/config/geometry/capture_interface_v1.yaml,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SLOT_GRIPPER_R1_FINGERS__UNRESOLVED,App::FeaturePython,SLOT_GRIPPER_R1_FINGERS__UNRESOLVED,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/gripper_r1/B601_GRIPPER_PALM_RAIL_SLOT_R1.step,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SLOT_SOLAR_STOW_AND_HINGE__UNRESOLVED,App::FeaturePython,SLOT_SOLAR_STOW_AND_HINGE__UNRESOLVED,20_engineering/cad/spacecraft_layout/model_specs_v0.json::servicer_12U_v0,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SLOT_STOW_SUPPORTS__CANDIDATE_REF,App::FeaturePython,SLOT_STOW_SUPPORTS__CANDIDATE_REF,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/06_supports/F3R2_SUPPORT_V2_DEFINITION.json,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,CONFIGURATION_REGISTER,App::FeaturePython,CONFIGURATION_REGISTER__NINE_REQUIRED_STATES,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,STEP_EXPORT_AGGREGATE,Part::Feature,STEP_EXPORT_AGGREGATE__DEFAULT_CONFIGURATION_INSTALLED_SET_ONLY,,STEP_EXPORT_AGGREGATE.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_DETAILED_DESIGN_V1\06_parameterized_parts\m3r\M3R_STAGE_A_REVB_WORKING.FCStd,M3R_STAGE_A_INTERFACE_RING_REVB_WORKING,PartDesign::Feature,M3R_STAGE_A_INTERFACE_RING_REVB_WORKING,,M3R_STAGE_A_INTERFACE_RING_REVB_WORKING.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_DETAILED_DESIGN_V1\06_parameterized_parts\m3r\M3R_STAGE_B_REVB2_WORKING.FCStd,M3R_STAGE_B_LOAD_ADAPTER_REVB2_WORKING,PartDesign::Feature,M3R_STAGE_B_LOAD_ADAPTER_REVB2_WORKING,,M3R_STAGE_B_LOAD_ADAPTER_REVB2_WORKING.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_DETAILED_DESIGN_V1\06_parameterized_parts\m3r\M3R_INTERFACE_ASSEMBLY_V2_WORKING.FCStd,M3R_PARAMETER_AUTHORITY,App::FeaturePython,M3R_PARAMETER_AUTHORITY,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_DETAILED_DESIGN_V1\06_parameterized_parts\m3r\M3R_INTERFACE_ASSEMBLY_V2_WORKING.FCStd,M3R_STAGE_B_LOAD_ADAPTER_REVB2_WORKING,PartDesign::Feature,M3R_STAGE_B_LOAD_ADAPTER_REVB2_WORKING,,M3R_STAGE_B_LOAD_ADAPTER_REVB2_WORKING.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_DETAILED_DESIGN_V1\06_parameterized_parts\m3r\M3R_INTERFACE_ASSEMBLY_V2_WORKING.FCStd,M3R_STAGE_A_INTERFACE_RING_REVB_WORKING,PartDesign::Feature,M3R_STAGE_A_INTERFACE_RING_REVB_WORKING,,M3R_STAGE_A_INTERFACE_RING_REVB_WORKING.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,STOWED,App::DocumentObjectGroup,STOWED,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,DEPLOYED,App::DocumentObjectGroup,DEPLOYED,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,KEEPOUT,App::DocumentObjectGroup,KEEPOUT,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,WITNESS,App::DocumentObjectGroup,WITNESS,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_LEFT_LEAF1_STOWED,Part::Feature,R2_LEFT_LEAF1_STOWED,,R2_LEFT_LEAF1_STOWED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_LEFT_LEAF2_STOWED,Part::Feature,R2_LEFT_LEAF2_STOWED,,R2_LEFT_LEAF2_STOWED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_LEFT_LEAF3_STOWED,Part::Feature,R2_LEFT_LEAF3_STOWED,,R2_LEFT_LEAF3_STOWED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_RIGHT_LEAF1_STOWED,Part::Feature,R2_RIGHT_LEAF1_STOWED,,R2_RIGHT_LEAF1_STOWED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_RIGHT_LEAF2_STOWED,Part::Feature,R2_RIGHT_LEAF2_STOWED,,R2_RIGHT_LEAF2_STOWED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_RIGHT_LEAF3_STOWED,Part::Feature,R2_RIGHT_LEAF3_STOWED,,R2_RIGHT_LEAF3_STOWED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_LEFT_LEAF1_DEPLOYED,Part::Feature,R2_LEFT_LEAF1_DEPLOYED,,R2_LEFT_LEAF1_DEPLOYED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_LEFT_LEAF2_DEPLOYED,Part::Feature,R2_LEFT_LEAF2_DEPLOYED,,R2_LEFT_LEAF2_DEPLOYED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_LEFT_LEAF3_DEPLOYED,Part::Feature,R2_LEFT_LEAF3_DEPLOYED,,R2_LEFT_LEAF3_DEPLOYED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_RIGHT_LEAF1_DEPLOYED,Part::Feature,R2_RIGHT_LEAF1_DEPLOYED,,R2_RIGHT_LEAF1_DEPLOYED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_RIGHT_LEAF2_DEPLOYED,Part::Feature,R2_RIGHT_LEAF2_DEPLOYED,,R2_RIGHT_LEAF2_DEPLOYED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_RIGHT_LEAF3_DEPLOYED,Part::Feature,R2_RIGHT_LEAF3_DEPLOYED,,R2_RIGHT_LEAF3_DEPLOYED.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_LEFT_ROOT_HINGE_KEEPOUT,Part::Feature,R2_LEFT_ROOT_HINGE_KEEPOUT,,R2_LEFT_ROOT_HINGE_KEEPOUT.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_LEFT_INTER_HINGE2_KEEPOUT,Part::Feature,R2_LEFT_INTER_HINGE2_KEEPOUT,,R2_LEFT_INTER_HINGE2_KEEPOUT.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,R2_LEFT_INTER_HINGE3_KEEPOUT,Part::Feature,R2_LEFT_INTER_HINGE3_KEEPOUT,,R2_LEFT_INTER_HINGE3_KEEPOUT.Shape.brp
