station_mm,Y_min,Y_max,Z_min,Z_max,width_Y,width_Z,Y_outside_fixed_box,Z_outside_fixed_box,any_outside_fixed_box
-66.0,-75.083,-8.323,63.995,64.037,66.76,0.042,False,False,False
-65.0,-141.641,58.359,-39.78,65.902,200.0,105.682,True,False,True
-64.0,-141.65,81.755,-74.998,1.416,223.405,76.414,True,False,True
-63.0,-19.012,81.705,-75.71,-6.449,100.717,69.261,False,False,False
-62.0,-50.105,81.685,-75.623,2.146,131.79,77.769,False,False,False
-61.0,-140.889,133.301,-65.125,1.978,274.19,67.103,True,False,True
-60.0,-65.107,134.198,-65.251,2.878,199.305,68.129,True,False,True
-59.0,-19.359,134.674,-65.455,-8.701,154.032,56.753,True,False,True
-58.0,-138.713,55.429,-74.085,-5.694,194.142,68.39,True,False,True
-57.0,-138.722,55.42,-74.374,-7.865,194.142,66.51,True,False,True
-56.0,-135.469,71.99,-65.478,-4.121,207.458,61.358,True,False,True
-55.0,-135.478,140.7,-65.698,3.062,276.178,68.76,True,False,True
-54.0,-131.651,141.65,-75.629,-8.682,273.301,66.947,True,False,True
-53.0,-10.055,140.702,-75.359,-5.703,150.757,69.656,True,False,True
-52.0,-67.758,52.017,-74.19,-65.105,119.775,9.086,False,False,False
-51.0,-17.274,-17.274,-9.071,-9.071,0.0,0.0,False,False,False
-50.0,-52.778,-8.379,-74.13,-9.37,44.399,64.76,False,False,False
-49.0,-19.157,133.994,-64.97,-9.292,153.151,55.678,True,False,True
-48.0,-10.079,133.517,-68.221,-4.341,143.597,63.88,True,False,True
-47.0,-67.78,132.848,-73.567,-4.248,200.628,69.319,True,False,True
-46.0,-19.447,83.898,-63.993,-4.468,103.345,59.525,False,False,False
-45.0,-57.79,83.86,-72.612,-5.637,141.649,66.975,False,False,False
-43.0,-67.781,-8.105,-71.51,-7.988,59.676,63.523,False,False,False
-42.0,-47.793,-8.568,-72.182,-12.068,39.226,60.114,False,False,False
-41.0,-19.127,-8.304,-61.511,-12.632,10.823,48.879,False,False,False
-40.0,-75.077,-19.915,-71.031,54.098,55.162,125.128,False,False,False
-39.0,-10.048,-10.048,-64.514,-64.514,0.0,0.0,False,False,False
-38.0,-67.761,-8.69,-70.056,-14.559,59.07,55.497,False,False,False
-37.0,-19.074,35.269,-129.684,-15.276,54.343,114.408,False,True,True
-36.0,65.251,82.805,-130.691,-34.234,17.554,96.457,False,True,True
-35.0,-19.309,68.587,-69.547,-17.633,87.896,51.915,False,False,False
-34.0,-67.719,51.489,-80.892,-18.483,119.208,62.409,False,False,False
-32.0,-19.217,51.256,-87.795,-21.208,70.473,66.586,False,False,False
-31.0,-18.899,57.111,-91.285,-22.17,76.01,69.115,False,False,False
-30.0,-75.057,57.107,-91.306,22.974,132.165,114.28,False,False,False
-29.0,-75.058,-8.875,-54.252,23.758,66.183,78.01,False,False,False
-28.0,-75.058,81.709,-64.914,51.784,156.767,116.698,False,False,False
-27.0,-75.074,81.774,-63.918,48.989,156.848,112.907,False,False,False
-26.0,-75.058,59.046,-17.355,50.854,134.105,68.209,False,False,False
-25.0,-75.058,57.04,-91.539,23.806,132.097,115.345,False,False,False
-24.0,-75.073,6.46,-20.732,47.784,81.533,68.516,False,False,False
-23.0,-75.072,-8.312,-25.104,49.348,66.76,74.452,False,False,False
-22.0,-75.07,-8.31,-27.317,43.809,66.76,71.126,False,False,False
-21.0,-75.042,57.042,-90.226,-0.755,132.084,89.471,False,False,False
-20.0,-75.399,57.052,-90.004,96.722,132.45,186.726,False,False,False
-19.0,-75.4,58.169,-89.238,97.773,133.569,187.012,False,False,False
-18.0,-75.4,58.129,-42.345,97.77,133.528,140.115,False,False,False
-17.0,-57.591,65.261,-124.427,-18.151,122.852,106.276,False,True,True
-16.0,-70.314,-12.485,-49.388,-21.343,57.829,28.045,False,False,False
-15.0,-70.048,-15.049,-49.014,-25.582,54.999,23.432,False,False,False
-14.0,-75.394,-8.044,-43.879,89.438,67.35,133.317,False,False,False
-13.0,-75.394,-8.044,-48.715,89.077,67.35,137.792,False,False,False
-12.0,-75.394,-8.044,-49.563,88.996,67.35,138.559,False,False,False
-11.0,-72.009,-11.259,-46.12,-37.887,60.749,8.233,False,False,False
-10.0,-67.887,-15.261,-49.935,-49.187,52.626,0.748,False,False,False
-9.0,-63.242,-19.805,-53.151,-52.534,43.437,0.617,False,False,False
-8.0,-58.169,-24.798,-57.539,-55.229,33.371,2.311,False,False,False
-7.0,-47.151,-35.721,-58.932,-58.461,11.43,0.472,False,False,False
-5.0,-75.032,-8.272,-16.256,-16.214,66.76,0.042,False,False,False
-4.0,-75.033,-8.272,-42.971,-15.604,66.76,27.367,False,False,False
-3.0,-72.01,-72.01,-43.834,-43.834,0.0,0.0,False,False,False
-2.0,-67.888,-15.263,-47.649,-46.901,52.626,0.748,False,False,False
-1.0,-63.244,-19.806,-50.865,-50.247,43.437,0.617,False,False,False
8.0,-75.405,-8.055,105.488,105.53,67.35,0.043,False,False,False
20.0,-50.986,-32.372,25.363,27.424,18.614,2.061,False,False,False
25.0,-65.416,-17.922,-53.177,9.472,47.494,62.649,False,False,False
26.0,-68.396,-14.937,5.579,5.613,53.459,0.034,False,False,False
27.0,-70.698,-12.629,1.312,1.349,58.07,0.037,False,False,False
29.0,-72.266,-11.056,-3.251,-3.212,61.21,0.039,False,False,False
30.0,-73.058,-10.258,-15.35,-7.954,62.8,7.395,False,False,False
32.0,-73.055,-10.255,-12.798,-12.758,62.8,0.04,False,False,False
33.0,-75.391,-8.041,-50.891,84.727,67.35,135.618,False,False,False
34.0,-70.684,-12.614,-22.101,-22.064,58.07,0.037,False,False,False
36.0,-68.375,-14.917,-26.365,-26.331,53.459,0.034,False,False,False
37.0,-65.391,-17.896,-30.224,-30.194,47.494,0.03,False,False,False
42.0,-50.94,-32.327,-48.176,-46.115,18.614,2.061,False,False,False
101.0,-75.404,-8.041,84.042,104.649,67.363,20.607,False,False,False
115.0,-81.317,-1.065,42.224,46.559,80.253,4.335,False,False,False
116.0,-81.32,-1.062,38.056,50.772,80.258,12.716,False,False,False
118.0,-81.322,-1.059,34.186,54.73,80.263,20.544,False,False,False
119.0,-1.067,-1.065,42.853,46.379,0.002,3.526,False,False,False
120.0,-1.067,-1.065,42.443,46.779,0.003,4.336,False,False,False
121.0,-81.307,-1.057,30.784,30.835,80.25,0.051,False,False,False
124.0,-81.305,-1.055,27.999,28.05,80.25,0.051,False,False,False
126.0,-81.332,-1.082,69.971,70.022,80.25,0.051,False,False,False
128.0,-81.304,-1.054,25.951,26.002,80.25,0.051,False,False,False
132.0,-81.303,-1.053,24.731,24.782,80.25,0.051,False,False,False
133.0,-1.076,-1.076,61.131,61.131,0.0,0.0,False,False,False
134.0,-1.077,-1.056,28.462,61.708,0.021,33.245,False,False,False
135.0,-1.077,-1.055,28.027,61.93,0.021,33.904,False,False,False
136.0,-81.303,-1.053,22.394,61.898,80.25,39.504,False,False,False
137.0,-1.077,-1.056,28.074,61.552,0.021,33.478,False,False,False
138.0,-1.056,-1.056,28.567,28.933,0.0,0.366,False,False,False
139.0,-81.348,-1.098,94.569,94.62,80.25,0.051,False,False,False
140.0,-81.304,-1.054,24.949,24.999,80.25,0.051,False,False,False
141.0,-79.302,-3.052,23.005,23.053,76.25,0.048,False,False,False
144.0,-81.304,-1.054,26.376,26.427,80.25,0.051,False,False,False
147.0,-81.357,-1.107,109.457,109.508,80.25,0.051,False,False,False
148.0,-81.306,-1.056,28.613,28.664,80.25,0.051,False,False,False
150.0,-81.359,-1.109,112.987,113.038,80.25,0.051,False,False,False
151.0,-81.308,-1.058,31.561,31.612,80.25,0.051,False,False,False
152.0,-1.068,-1.065,43.285,47.61,0.003,4.325,False,False,False
153.0,-81.361,-1.066,44.713,115.986,80.295,71.273,False,True,True
154.0,-81.31,-1.06,35.091,35.142,80.25,0.051,False,False,False
157.0,-81.363,-1.064,40.887,118.223,80.299,77.336,False,True,True
160.0,-79.365,-3.115,121.546,121.594,76.25,0.048,False,True,True
161.0,-81.363,-1.114,119.6,119.65,80.25,0.051,False,True,True
165.0,-81.364,-1.114,71.17,122.205,80.25,51.035,False,True,True
166.0,-74.619,-8.833,71.173,128.207,65.786,57.034,False,True,True
167.0,-60.019,-11.933,71.264,128.16,48.086,56.897,False,True,True
168.0,-71.319,-11.969,71.264,128.11,59.35,56.846,False,True,True
169.0,-81.364,-1.114,119.817,119.868,80.25,0.051,False,True,True
170.0,-79.365,-3.115,71.496,127.84,76.25,56.344,False,True,True
171.0,-74.583,-8.833,71.652,127.695,65.75,56.043,False,True,True
172.0,-71.318,-18.818,127.276,127.427,52.5,0.151,False,True,True
173.0,-81.363,-1.113,72.129,127.243,80.25,55.114,False,True,True
174.0,-79.364,-3.114,72.552,120.494,76.25,47.942,False,True,True
175.0,-74.618,-8.834,72.881,126.607,65.784,53.726,False,True,True
176.0,-66.518,-11.934,73.106,126.344,54.584,53.238,False,True,True
177.0,-81.362,-1.112,116.55,125.802,80.25,9.253,False,True,True
178.0,-79.363,-3.113,73.879,125.489,76.25,51.61,False,True,True
179.0,-74.617,-8.835,74.825,124.711,65.782,49.886,False,True,True
180.0,-81.36,-1.11,74.93,124.293,80.25,49.362,False,True,True
181.0,-71.316,-18.786,75.744,123.616,52.53,47.871,False,True,True
182.0,-79.361,-3.111,76.459,122.906,76.25,46.447,False,True,True
183.0,-81.358,-1.095,77.435,122.147,80.263,44.712,False,True,True
184.0,-66.514,-11.937,78.038,121.558,54.577,43.52,False,True,True
185.0,-81.355,-1.097,78.892,120.826,80.258,41.933,False,True,True
186.0,-81.353,-1.1,79.734,119.577,80.253,39.843,False,True,True
187.0,-79.356,-3.106,80.639,118.218,76.25,37.578,False,True,True
188.0,-79.353,-3.103,81.698,117.488,76.25,35.79,False,True,True
189.0,-74.611,-8.841,83.259,116.237,65.77,32.977,False,True,True
190.0,-71.31,-18.792,85.936,113.689,52.518,27.754,False,True,True
191.0,-74.608,-8.858,86.412,112.971,65.75,26.559,False,False,False
192.0,-76.305,-6.055,26.82,111.131,70.25,84.311,False,False,False
193.0,-76.305,-6.055,27.039,108.254,70.25,81.216,False,False,False
194.0,-76.306,-6.055,27.607,104.25,70.251,76.643,False,False,False
