t_s,q2_deg,q3_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_dev_angle_deg,base_pos_x_m,base_pos_y_m,base_pos_z_m,Hbm_qdot_lin_kgmps,Hbm_qdot_ang_kgm2ps
1.9600,5.89876,-3.93251,0.001473,1.308130,-0.000661,1.308131,-0.0008311,0.0000008,0.0002911,0.0530324,0.0322525
1.9800,6.05379,-4.03586,0.001516,1.344882,-0.000677,1.344883,-0.0008507,0.0000008,0.0002974,0.0539271,0.0328259
2.0000,6.21094,-4.14062,0.001560,1.382257,-0.000693,1.382258,-0.0008704,0.0000008,0.0003038,0.0548268,0.0334029
2.0200,6.37019,-4.24680,0.001605,1.420257,-0.000710,1.420258,-0.0008903,0.0000009,0.0003102,0.0557312,0.0339836
2.0400,6.53155,-4.35437,0.001651,1.458886,-0.000726,1.458887,-0.0009103,0.0000009,0.0003166,0.0566404,0.0345679
2.0600,6.69501,-4.46334,0.001698,1.498147,-0.000743,1.498148,-0.0009304,0.0000009,0.0003230,0.0575543,0.0351556
2.0800,6.86055,-4.57370,0.001745,1.538042,-0.000760,1.538043,-0.0009506,0.0000009,0.0003294,0.0584729,0.0357468
2.1000,7.02816,-4.68544,0.001794,1.578574,-0.000777,1.578576,-0.0009709,0.0000010,0.0003359,0.0593961,0.0363413
2.1200,7.19785,-4.79857,0.001843,1.619746,-0.000794,1.619747,-0.0009913,0.0000010,0.0003423,0.0603238,0.0369391
2.1400,7.36960,-4.91306,0.001893,1.661560,-0.000811,1.661562,-0.0010118,0.0000010,0.0003487,0.0612560,0.0375401
2.1600,7.54339,-5.02893,0.001944,1.704019,-0.000829,1.704020,-0.0010323,0.0000010,0.0003552,0.0621925,0.0381442
2.1800,7.71923,-5.14615,0.001996,1.747125,-0.000846,1.747126,-0.0010529,0.0000011,0.0003616,0.0631334,0.0387514
2.2000,7.89709,-5.26473,0.002048,1.790880,-0.000864,1.790881,-0.0010736,0.0000011,0.0003681,0.0640786,0.0393615
2.2200,8.07698,-5.38465,0.002102,1.835287,-0.000882,1.835288,-0.0010943,0.0000011,0.0003745,0.0650279,0.0399744
2.2400,8.25887,-5.50591,0.002157,1.880347,-0.000899,1.880348,-0.0011151,0.0000011,0.0003810,0.0659814,0.0405902
2.2600,8.44276,-5.62850,0.002212,1.926062,-0.000917,1.926064,-0.0011359,0.0000012,0.0003874,0.0669388,0.0412085
2.2800,8.62863,-5.75242,0.002268,1.972435,-0.000935,1.972436,-0.0011567,0.0000012,0.0003938,0.0679003,0.0418295
2.3000,8.81647,-5.87765,0.002326,2.019467,-0.000953,2.019468,-0.0011775,0.0000012,0.0004002,0.0688655,0.0424529
2.3200,9.00627,-6.00418,0.002384,2.067159,-0.000972,2.067161,-0.0011984,0.0000012,0.0004065,0.0698346,0.0430787
2.3400,9.19802,-6.13201,0.002443,2.115514,-0.000990,2.115516,-0.0012192,0.0000013,0.0004129,0.0708073,0.0437067
2.3600,9.39170,-6.26113,0.002503,2.164532,-0.001008,2.164534,-0.0012400,0.0000013,0.0004192,0.0717837,0.0443368
2.3800,9.58730,-6.39153,0.002564,2.214215,-0.001026,2.214217,-0.0012608,0.0000013,0.0004255,0.0727635,0.0449690
2.4000,9.78480,-6.52320,0.002626,2.264564,-0.001045,2.264566,-0.0012815,0.0000013,0.0004318,0.0737467,0.0456030
2.4200,9.98419,-6.65613,0.002689,2.315580,-0.001063,2.315582,-0.0013022,0.0000014,0.0004380,0.0747333,0.0462388
2.4400,10.18546,-6.79031,0.002753,2.367264,-0.001082,2.367266,-0.0013228,0.0000014,0.0004442,0.0757230,0.0468763
2.4600,10.38859,-6.92573,0.002818,2.419617,-0.001100,2.419619,-0.0013434,0.0000014,0.0004504,0.0767158,0.0475153
2.4800,10.59356,-7.06237,0.002884,2.472639,-0.001119,2.472641,-0.0013638,0.0000015,0.0004566,0.0777116,0.0481557
2.5000,10.80036,-7.20024,0.002951,2.526331,-0.001137,2.526333,-0.0013842,0.0000015,0.0004627,0.0787102,0.0487973
2.5200,11.00898,-7.33932,0.003019,2.580694,-0.001156,2.580696,-0.0014045,0.0000015,0.0004687,0.0797116,0.0494400
2.5400,11.21939,-7.47959,0.003088,2.635727,-0.001175,2.635729,-0.0014247,0.0000015,0.0004747,0.0807156,0.0500837
2.5600,11.43158,-7.62105,0.003157,2.691430,-0.001193,2.691432,-0.0014447,0.0000016,0.0004807,0.0817221,0.0507282
2.5800,11.64553,-7.76369,0.003228,2.747804,-0.001212,2.747806,-0.0014646,0.0000016,0.0004866,0.0827309,0.0513734
2.6000,11.86123,-7.90748,0.003300,2.804848,-0.001230,2.804851,-0.0014843,0.0000016,0.0004925,0.0837420,0.0520191
2.6200,12.07865,-8.05243,0.003373,2.862563,-0.001249,2.862565,-0.0015039,0.0000017,0.0004983,0.0847552,0.0526652
2.6400,12.29779,-8.19852,0.003447,2.920947,-0.001267,2.920949,-0.0015234,0.0000017,0.0005041,0.0857703,0.0533115
2.6600,12.51861,-8.34574,0.003522,2.980000,-0.001286,2.980003,-0.0015426,0.0000017,0.0005098,0.0867873,0.0539578
2.6800,12.74111,-8.49407,0.003597,3.039721,-0.001304,3.039724,-0.0015617,0.0000018,0.0005154,0.0878059,0.0546040
2.7000,12.96526,-8.64351,0.003674,3.100110,-0.001323,3.100112,-0.0015805,0.0000018,0.0005210,0.0888261,0.0552500
2.7200,13.19105,-8.79403,0.003752,3.161165,-0.001341,3.161167,-0.0015991,0.0000018,0.0005265,0.0898476,0.0558954
2.7400,13.41845,-8.94564,0.003831,3.222884,-0.001359,3.222887,-0.0016175,0.0000019,0.0005320,0.0908703,0.0565403
2.7600,13.64745,-9.09830,0.003911,3.285268,-0.001378,3.285270,-0.0016357,0.0000019,0.0005374,0.0918940,0.0571844
2.7800,13.87803,-9.25202,0.003992,3.348313,-0.001396,3.348315,-0.0016536,0.0000019,0.0005427,0.0929187,0.0578274
2.8000,14.11016,-9.40678,0.004074,3.412018,-0.001414,3.412021,-0.0016712,0.0000020,0.0005480,0.0939440,0.0584694
2.8200,14.34383,-9.56255,0.004157,3.476382,-0.001432,3.476385,-0.0016886,0.0000020,0.0005532,0.0949699,0.0591100
2.8400,14.57901,-9.71934,0.004241,3.541402,-0.001450,3.541405,-0.0017056,0.0000020,0.0005583,0.0959962,0.0597490
2.8600,14.81569,-9.87713,0.004326,3.607076,-0.001468,3.607079,-0.0017224,0.0000021,0.0005634,0.0970226,0.0603864
2.8800,15.05384,-10.03589,0.004412,3.673401,-0.001485,3.673404,-0.0017389,0.0000021,0.0005684,0.0980491,0.0610218
2.9000,15.29344,-10.19563,0.004500,3.740376,-0.001503,3.740379,-0.0017550,0.0000021,0.0005733,0.0990753,0.0616552
2.9200,15.53447,-10.35631,0.004588,3.807997,-0.001520,3.808000,-0.0017708,0.0000022,0.0005781,0.1001012,0.0622863
2.9400,15.77691,-10.51794,0.004677,3.876262,-0.001537,3.876265,-0.0017862,0.0000022,0.0005829,0.1011265,0.0629149
2.9600,16.02073,-10.68049,0.004767,3.945167,-0.001555,3.945170,-0.0018013,0.0000022,0.0005876,0.1021510,0.0635408
2.9800,16.26592,-10.84395,0.004859,4.014709,-0.001571,4.014712,-0.0018160,0.0000023,0.0005922,0.1031745,0.0641639
3.0000,16.51245,-11.00830,0.004951,4.084884,-0.001588,4.084888,-0.0018304,0.0000023,0.0005967,0.1041969,0.0647838
3.0200,16.76030,-11.17353,0.005044,4.155690,-0.001605,4.155694,-0.0018443,0.0000023,0.0006012,0.1052179,0.0654005
3.0400,17.00944,-11.33963,0.005139,4.227122,-0.001621,4.227126,-0.0018578,0.0000024,0.0006055,0.1062373,0.0660137
3.0600,17.25986,-11.50657,0.005234,4.299176,-0.001638,4.299180,-0.0018709,0.0000024,0.0006098,0.1072548,0.0666233
3.0800,17.51152,-11.67435,0.005330,4.371849,-0.001654,4.371853,-0.0018836,0.0000025,0.0006140,0.1082703,0.0672289
3.1000,17.76441,-11.84294,0.005428,4.445135,-0.001670,4.445139,-0.0018958,0.0000025,0.0006182,0.1092836,0.0678305
3.1200,18.01850,-12.01233,0.005526,4.519031,-0.001685,4.519035,-0.0019076,0.0000025,0.0006222,0.1102944,0.0684277
3.1400,18.27377,-12.18251,0.005626,4.593531,-0.001701,4.593535,-0.0019189,0.0000026,0.0006262,0.1113025,0.0690204
3.1600,18.53019,-12.35346,0.005726,4.668631,-0.001716,4.668635,-0.0019298,0.0000026,0.0006301,0.1123076,0.0696085
3.1800,18.78774,-12.52516,0.005828,4.744326,-0.001731,4.744330,-0.0019401,0.0000026,0.0006339,0.1133095,0.0701915
3.2000,19.04640,-12.69760,0.005930,4.820611,-0.001746,4.820615,-0.0019499,0.0000027,0.0006376,0.1143080,0.0707695
3.2200,19.30614,-12.87076,0.006034,4.897480,-0.001760,4.897484,-0.0019593,0.0000027,0.0006412,0.1153029,0.0713421
3.2400,19.56693,-13.04462,0.006139,4.974927,-0.001775,4.974931,-0.0019681,0.0000028,0.0006448,0.1162939,0.0719091
3.2600,19.82875,-13.21917,0.006244,5.052947,-0.001789,5.052951,-0.0019763,0.0000028,0.0006483,0.1172807,0.0724704
3.2800,20.09157,-13.39438,0.006351,5.131534,-0.001802,5.131538,-0.0019841,0.0000028,0.0006517,0.1182631,0.0730257
3.3000,20.35538,-13.57025,0.006458,5.210682,-0.001816,5.210686,-0.0019913,0.0000029,0.0006550,0.1192408,0.0735749
3.3200,20.62014,-13.74676,0.006567,5.290385,-0.001829,5.290389,-0.0019979,0.0000029,0.0006582,0.1202137,0.0741176
3.3400,20.88583,-13.92389,0.006676,5.370635,-0.001842,5.370640,-0.0020039,0.0000030,0.0006613,0.1211814,0.0746537
3.3600,21.15242,-14.10161,0.006786,5.451427,-0.001854,5.451432,-0.0020094,0.0000030,0.0006644,0.1221437,0.0751831
3.3800,21.41989,-14.27993,0.006898,5.532754,-0.001866,5.532758,-0.0020142,0.0000030,0.0006674,0.1231003,0.0757054
3.4000,21.68821,-14.45881,0.007010,5.614608,-0.001878,5.614613,-0.0020185,0.0000031,0.0006703,0.1240509,0.0762205
3.4200,21.95735,-14.63823,0.007124,5.696983,-0.001890,5.696988,-0.0020221,0.0000031,0.0006731,0.1249954,0.0767282
3.4400,22.22729,-14.81820,0.007238,5.779871,-0.001901,5.779876,-0.0020251,0.0000032,0.0006759,0.1259333,0.0772283
3.4600,22.49801,-14.99867,0.007353,5.863265,-0.001912,5.863270,-0.0020275,0.0000032,0.0006786,0.1268646,0.0777205
3.4800,22.76947,-15.17965,0.007469,5.947157,-0.001923,5.947162,-0.0020293,0.0000032,0.0006812,0.1277888,0.0782048
3.5000,23.04165,-15.36110,0.007586,6.031539,-0.001933,6.031544,-0.0020304,0.0000033,0.0006837,0.1287057,0.0786808
3.5200,23.31452,-15.54301,0.007704,6.116403,-0.001943,6.116408,-0.0020308,0.0000033,0.0006861,0.1296151,0.0791485
3.5400,23.58806,-15.72537,0.007823,6.201741,-0.001952,6.201746,-0.0020306,0.0000034,0.0006885,0.1305166,0.0796075
3.5600,23.86223,-15.90815,0.007942,6.287545,-0.001961,6.287551,-0.0020297,0.0000034,0.0006908,0.1314100,0.0800577
3.5800,24.13702,-16.09134,0.008063,6.373807,-0.001970,6.373812,-0.0020281,0.0000034,0.0006931,0.1322950,0.0804990
3.6000,24.41239,-16.27493,0.008184,6.460517,-0.001978,6.460522,-0.0020258,0.0000035,0.0006952,0.1331714,0.0809311
3.6200,24.68831,-16.45888,0.008307,6.547666,-0.001986,6.547672,-0.0020229,0.0000035,0.0006973,0.1340388,0.0813539
3.6400,24.96477,-16.64318,0.008430,6.635247,-0.001994,6.635253,-0.0020192,0.0000036,0.0006994,0.1348970,0.0817671
3.6600,25.24173,-16.82782,0.008554,6.723250,-0.002001,6.723256,-0.0020148,0.0000036,0.0007013,0.1357457,0.0821707
3.6800,25.51916,-17.01278,0.008679,6.811665,-0.002008,6.811671,-0.0020097,0.0000037,0.0007032,0.1365846,0.0825644
3.7000,25.79704,-17.19803,0.008804,6.900483,-0.002014,6.900489,-0.0020039,0.0000037,0.0007050,0.1374134,0.0829481
3.7200,26.07534,-17.38356,0.008931,6.989695,-0.002020,6.989701,-0.0019974,0.0000037,0.0007068,0.1382319,0.0833215
3.7400,26.35404,-17.56936,0.009058,7.079291,-0.002025,7.079297,-0.0019901,0.0000038,0.0007085,0.1390398,0.0836846
3.7600,26.63309,-17.75539,0.009186,7.169261,-0.002030,7.169268,-0.0019821,0.0000038,0.0007102,0.1398368,0.0840372
3.7800,26.91248,-17.94166,0.009315,7.259596,-0.002035,7.259602,-0.0019733,0.0000039,0.0007118,0.1406225,0.0843791
3.8000,27.19218,-18.12812,0.009444,7.350284,-0.002039,7.350291,-0.0019638,0.0000039,0.0007133,0.1413968,0.0847102
3.8200,27.47217,-18.31478,0.009574,7.441316,-0.002042,7.441323,-0.0019535,0.0000040,0.0007148,0.1421594,0.0850303
3.8400,27.75240,-18.50160,0.009705,7.532682,-0.002046,7.532689,-0.0019425,0.0000040,0.0007162,0.1429099,0.0853393
3.8600,28.03286,-18.68857,0.009837,7.624371,-0.002048,7.624378,-0.0019307,0.0000040,0.0007176,0.1436481,0.0856370
3.8800,28.31351,-18.87567,0.009969,7.716373,-0.002051,7.716379,-0.0019182,0.0000041,0.0007190,0.1443738,0.0859233
3.9000,28.59434,-19.06289,0.010102,7.808676,-0.002052,7.808683,-0.0019049,0.0000041,0.0007203,0.1450866,0.0861982
3.9200,28.87530,-19.25020,0.010236,7.901270,-0.002054,7.901277,-0.0018908,0.0000042,0.0007215,0.1457862,0.0864614
3.9400,29.15638,-19.43758,0.010370,7.994144,-0.002054,7.994151,-0.0018759,0.0000042,0.0007227,0.1464724,0.0867128
3.9600,29.43754,-19.62502,0.010505,8.087287,-0.002055,8.087295,-0.0018603,0.0000043,0.0007239,0.1471450,0.0869523
3.9800,29.71875,-19.81250,0.010641,8.180688,-0.002055,8.180696,-0.0018439,0.0000043,0.0007250,0.1478036,0.0871799
4.0000,30.00000,-20.00000,0.010777,8.274336,-0.002054,8.274343,-0.0018267,0.0000043,0.0007261,0.1484480,0.0873954
4.0200,30.28125,-20.18750,0.010914,8.368218,-0.002053,8.368226,-0.0018087,0.0000044,0.0007271,0.1490778,0.0875987
