pair_index,object_a,category_a,object_b,category_b,pair_class,policy,status,reason
92,A::base_link,A,R::RC-CONN-WR-D1,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
93,A::base_link,A,R::RC-CONN-WR-P1,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
94,A::base_link,A,R::RC-GDE-J1-ANNULUS-LOW,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
95,A::base_link,A,R::RC-GDE-J1-ANNULUS-UP,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
96,A::base_link,A,R::RC-GDE-J1-ANNULUS-WALL,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
97,A::base_link,A,R::RC-GDE-J1-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
98,A::base_link,A,R::RC-GDE-J2-MANDREL,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
99,A::base_link,A,R::RC-GDE-J2-MANDREL-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
100,A::base_link,A,R::RC-GDE-J3-SADDLE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
101,A::base_link,A,R::RC-GDE-J3-SADDLE-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
102,A::base_link,A,R::RC-GDE-J4-ANNULAR-FOLLOWER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
103,A::base_link,A,R::RC-GDE-J4-ANNULAR-FOLLOWER-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
104,A::base_link,A,R::RC-GDE-J4-B-TO-ANNULUS,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
105,A::base_link,A,R::RC-GDE-J4-B-TO-ANNULUS-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
106,A::base_link,A,R::RC-GDE-J4-FIXED-APPROACH,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
107,A::base_link,A,R::RC-GDE-J4-FIXED-APPROACH-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
108,A::base_link,A,R::RC-GDE-J4-TROMBONE-U,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
109,A::base_link,A,R::RC-GDE-J4-TROMBONE-U-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
110,A::base_link,A,R::RC-GDE-J5-HIGH-BYPASS,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
111,A::base_link,A,R::RC-GDE-J5-HIGH-BYPASS-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
112,A::base_link,A,R::RC-GDE-J5-HIGH-RETURN,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
113,A::base_link,A,R::RC-GDE-J5-HIGH-RETURN-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
114,A::base_link,A,R::RC-GDE-J5-WRAP,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
115,A::base_link,A,R::RC-GDE-J5-WRAP-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
116,A::base_link,A,R::RC-GDE-J6-RING-0,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
117,A::base_link,A,R::RC-GDE-J6-RING-1,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
118,A::base_link,A,R::RC-GDE-J6-RING-2,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
119,A::base_link,A,R::RC-GDE-J6-RING-3,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
120,A::base_link,A,R::RC-GSP-J5-HIGH-A6,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
121,A::base_link,A,R::RC-GSP-J5-HIGH-W2,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
122,A::base_link,A,R::RC-GSP-J5-HIGH-W3,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
123,A::base_link,A,R::RC-GSP-L4-HIGH-E1,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
124,A::base_link,A,R::RC-GSP-L4-HIGH-E2,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
125,A::base_link,A,R::RC-PLT-BASE-CONN,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
126,A::base_link,A,R::RC-PLT-BUS-CONN,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
127,A::base_link,A,R::RC-PLT-WRIST-SPLIT,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
128,A::base_link,A,R::RC-SR-WRIST,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
129,A::base_link,A,R::RC-SR-WRIST-BOOT,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
130,A::base_link,A,R::RC-TEL-J4-A-STAGE-1,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
131,A::base_link,A,R::RC-TEL-J4-A-STAGE-2,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
132,A::base_link,A,R::RC-TEL-J4-A-STAGE-3,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
133,A::base_link,A,R::RC-TEL-J4-A-STAGE-4,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
134,A::base_link,A,R::RC-TEL-J4-B-STAGE-1,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
135,A::base_link,A,R::RC-TEL-J4-B-STAGE-2,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
136,A::base_link,A,R::RC-TEL-J4-B-STAGE-3,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
137,A::base_link,A,R::RC-TEL-J4-B-STAGE-4,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
138,A::base_link,A,R::RC-TRK-J3-RAIL,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
139,A::base_link,A,R::RC-TRK-J3-STOP-A,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
140,A::base_link,A,R::RC-TRK-J3-STOP-B,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
141,A::base_link,A,R::RC-TRK-J4-STOP-NEG,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
142,A::base_link,A,R::RC-TRK-J4-STOP-POS,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
143,A::base_link,A,R::RC-TRK-J4-TROMBONE-RAIL,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
144,A::base_link,A,S::LEFT_LEAF_1,S,A-S,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
145,A::base_link,A,S::LEFT_LEAF_2,S,A-S,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
146,A::base_link,A,S::LEFT_LEAF_3,S,A-S,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
147,A::base_link,A,S::RIGHT_LEAF_1,S,A-S,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
148,A::base_link,A,S::RIGHT_LEAF_2,S,A-S,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
149,A::base_link,A,S::RIGHT_LEAF_3,S,A-S,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
150,A::gripper_left,A,A::gripper_link,A,A-A,EXCEPT_ADJACENT_JOINT,EXCEPTED,ONLY_LEGAL_PAIR_WIDE_EXCLUSION_FROM_PINNED_MECHANICAL_CONTRACT
151,A::gripper_left,A,A::gripper_right,A,A-A,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
152,A::gripper_left,A,A::link1,A,A-A,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
153,A::gripper_left,A,A::link2,A,A-A,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
