ref,value,footprint,sheet,source_revision,MPN,manufacturer,datasheet,placement_scope,selection_scope
F201,1025HC30-RTR,WP10_PASSIVES:Fuse_Eaton_1025HC_20to30A_3p25x3p43_P9p35,/Power detail 1/,V35,,,,MAIN_INPUT_PCB,MPN field absent; value may contain part code or system module alias
R206,TNPW060310K0BEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 1/,V35,,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,MPN field absent; value may contain part code or system module alias
R207,TNPW060330K1BEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 1/,V35,,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,MPN field absent; value may contain part code or system module alias
U201,LM5069MM-1,WP10_INPUT:LM5069_DGS10_P0p5_NoEP,/Power detail 1/,V35,LM5069MM-1,Texas Instruments,https://www.ti.com/lit/ds/symlink/lm5069.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
C201,MKP2C041001N00JSSD,WP10_TIMING:C201_MKP2_1uF_P5_Slot2,/Power detail 2/,V35,,WIMA,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf,MAIN_INPUT_PCB,MPN field absent; value may contain part code or system module alias
C202,MKP2D031001F00JSSD,WP10_INPUT:MKP2_D031001F00_P5_Slot2,/Power detail 2/,V35,MKP2D031001F00JSSD,WIMA,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
D201,SMBJ30A-13-F,WP10_INPUT:SMBJ30A_A1K2,/Power detail 2/,V35,SMBJ30A-13-F,Diodes Incorporated,https://www.diodes.com/datasheet/download/SMBJ5.0%28C%29A-SMBJ170%28C%29A.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
D202,STPS3H100U,WP10_INPUT:STPS3H100U_A1K2,/Power detail 2/,V35,STPS3H100U,STMicroelectronics,https://www.st.com/resource/en/datasheet/stps3h100.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
Q204,2N7002K-7,Package_TO_SOT_SMD:SOT-23,/Power detail 3/,V35,2N7002K-7,DiodesInc,https://www.diodes.com/assets/datasheets/ds30896.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
U205,LT3013EDE#PBF,WP10_INPUT:LT3013_DE12_EP13_3x4_Pin1LeftTop,/Power detail 3/,V35,LT3013EDE#PBF,Analog Devices,https://www.analog.com/media/en/technical-documentation/data-sheets/3013fe.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
U206,TPS3808G01DBVR,Package_TO_SOT_SMD:SOT-23-6,/Power detail 3/,V35,TPS3808G01DBVR,Texas Instruments,https://www.ti.com/lit/ds/symlink/tps3808.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
C211,MKS2D041501M00JSSD,WP10_INPUT:MKS2_D041501M00_P5_Slot2,/Power detail 4/,V35,MKS2D041501M00JSSD,WIMA,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R211,TNPW060338K3BEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 4/,V35,TNPW060338K3BEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R212,TNPW060310K0BEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 4/,V35,TNPW060310K0BEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R213,TNPW06034K70FEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 4/,V35,TNPW06034K70FEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R214,TNPW06033K48BEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 4/,V35,TNPW06033K48BEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R215,TNPW0805374KBEEA,Resistor_SMD:R_0805_2012Metric,/Power detail 4/,V35,TNPW0805374KBEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R216,TNPW060310K0BEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 4/,V35,TNPW060310K0BEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R217,TNPW060333K0FEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 4/,V35,TNPW060333K0FEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R218,TNPW12102M20FEEA,Resistor_SMD:R_1210_3225Metric,/Power detail 4/,V35,TNPW12102M20FEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R219,TNPW0603100KFEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 4/,V35,TNPW0603100KFEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R220,TNPW060310K0FEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 4/,V35,TNPW060310K0FEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R221,TNPW0603100RFEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 4/,V35,TNPW0603100RFEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
C212,MKS2D044701O00JSSD,WP10_INPUT:MKS2_D044701O00_P5_Slot2,/Power detail 5/,V35,MKS2D044701O00JSSD,WIMA,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
C213,MKP2D031001F00JSSD,WP10_INPUT:MKP2_D031001F00_P5_Slot2,/Power detail 5/,V35,MKP2D031001F00JSSD,WIMA,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
