delta_id,net,from_endpoint,to_endpoint,scope,physical_test
SC061,START_RC,U105.3,C103.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC062,STOP_24V,R105.1,J101.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC063,STOP_24V,R105.1,J104.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC064,STOP_3V3,U101.1,U101.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC065,STOP_3V3,U101.1,U102.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC066,STOP_3V3,U101.1,U102.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC067,STOP_3V3,U101.1,U102.6,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC068,STOP_3V3,U101.1,U103.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC069,STOP_3V3,U101.1,U103.6,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC070,STOP_3V3,U101.1,U104.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC071,STOP_3V3,U101.1,U104.6,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC072,STOP_3V3,U101.1,U105.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC073,STOP_3V3,U101.1,U106.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC074,STOP_3V3,U101.1,U107.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC075,STOP_3V3,U101.1,U107.10,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC076,STOP_3V3,U101.1,U107.14,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC077,STOP_3V3,U101.1,U108.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC078,STOP_3V3,U101.1,U108.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC079,STOP_3V3,U101.1,U108.10,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC080,STOP_3V3,U101.1,U108.14,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC081,STOP_3V3,U101.1,U109.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC082,STOP_3V3,U101.1,U110.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC083,STOP_3V3,U101.1,U111.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC084,STOP_3V3,U101.1,R101.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC085,STOP_3V3,U101.1,C110.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC086,STOP_3V3,U101.1,C111.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC087,STOP_3V3,U101.1,C112.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC088,STOP_3V3,U101.1,C113.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC089,STOP_3V3,U101.1,C114.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC090,STOP_3V3,U101.1,C115.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC091,STOP_3V3,U101.1,C116.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC092,STOP_3V3,U101.1,C117.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC093,STOP_3V3,U101.1,C118.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC094,STOP_3V3,U101.1,C119.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC095,STOP_3V3,U101.1,C120.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC096,STOP_3V3,U101.1,J101.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC097,STOP_3V3,U101.1,J103.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC098,STOP_3V3,U101.1,J103.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC099,STOP_3V3,U101.1,U115.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC100,STOP_3V3,U101.1,C125.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC101,STOP_3V3,U101.1,U113.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC102,STOP_3V3,U101.1,U114.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC103,STOP_3V3,U101.1,C123.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC104,STOP_3V3,U101.1,C124.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC105,STOP_3V3,U101.1,U116.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC106,STOP_3V3,U101.1,C126.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC107,STOP_3V3,U101.1,U117.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC108,STOP_3V3,U101.1,C127.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC109,STOP_3V3,U101.1,U118.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC110,STOP_3V3,U101.1,C128.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC111,STOP_5V,U103.5,U112.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC112,STOP_5V,U103.5,C121.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC113,STOP_5V,U103.5,C122.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC114,STOP_5V,U103.5,J101.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC115,STOP_5V,U103.5,J105.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC116,STOP_5V,U103.5,U119.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC117,STOP_5V,U103.5,C129.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC118,STOP_GND,U101.4,U101.9,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC119,STOP_GND,U101.4,U102.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC120,STOP_GND,U101.4,U103.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC121,STOP_GND,U101.4,U104.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC122,STOP_GND,U101.4,U105.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC123,STOP_GND,U101.4,U106.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC124,STOP_GND,U101.4,U107.7,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC125,STOP_GND,U101.4,U108.7,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC126,STOP_GND,U101.4,U108.11,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC127,STOP_GND,U101.4,U108.12,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC128,STOP_GND,U101.4,U108.13,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC129,STOP_GND,U101.4,U109.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC130,STOP_GND,U101.4,U110.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC131,STOP_GND,U101.4,U111.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC132,STOP_GND,U101.4,U112.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC133,STOP_GND,U101.4,U112.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC134,STOP_GND,U101.4,Q101.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC135,STOP_GND,U101.4,C101.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC136,STOP_GND,U101.4,R102.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC137,STOP_GND,U101.4,R103.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC138,STOP_GND,U101.4,R106.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC139,STOP_GND,U101.4,R109.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC140,STOP_GND,U101.4,R110.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC141,STOP_GND,U101.4,R112.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC142,STOP_GND,U101.4,R114.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC143,STOP_GND,U101.4,C102.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC144,STOP_GND,U101.4,C103.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC145,STOP_GND,U101.4,C110.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC146,STOP_GND,U101.4,C111.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC147,STOP_GND,U101.4,C112.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC148,STOP_GND,U101.4,C113.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC149,STOP_GND,U101.4,C114.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC150,STOP_GND,U101.4,C115.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC151,STOP_GND,U101.4,C116.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC152,STOP_GND,U101.4,C117.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC153,STOP_GND,U101.4,C118.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC154,STOP_GND,U101.4,C119.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC155,STOP_GND,U101.4,C120.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC156,STOP_GND,U101.4,C121.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC157,STOP_GND,U101.4,C122.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC158,STOP_GND,U101.4,J101.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC159,STOP_GND,U101.4,J102.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC160,STOP_GND,U101.4,U115.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC161,STOP_GND,U101.4,R119.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC162,STOP_GND,U101.4,C125.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC163,STOP_GND,U101.4,U113.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC164,STOP_GND,U101.4,R115.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC165,STOP_GND,U101.4,U114.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC166,STOP_GND,U101.4,R117.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC167,STOP_GND,U101.4,R118.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC168,STOP_GND,U101.4,C123.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC169,STOP_GND,U101.4,C124.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC170,STOP_GND,U101.4,U119.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC171,STOP_GND,U101.4,U119.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC172,STOP_GND,U101.4,R123.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC173,STOP_GND,U101.4,C129.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC174,STOP_GND,U101.4,U116.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC175,STOP_GND,U101.4,C126.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC176,STOP_GND,U101.4,U117.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC177,STOP_GND,U101.4,C127.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC178,STOP_GND,U101.4,U118.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC179,STOP_GND,U101.4,C128.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC180,WDI,U101.6,U110.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC181,WDI,U101.6,R103.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC182,WDI,U101.6,U115.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC183,WDI_FALL,U108.3,U110.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
