owner,instance_count,numeric_coverage_unresolved,full_COM_and_inertia_unresolved_instances,action_ZH,full_physical_ready
HARNESS_RESTRAINT_HARDWARE,38,26,38,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
INTERNAL_AND_ARM_EXTERNAL_HARNESS,11,11,11,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
LAUNCH_RESERVED_SPACE,1,0,0,保留非质量预留空间；明确最终飞行构型是否需要真实发射接口零件。,False
NAVIGATION_CAMERA_ASSEMBLY,2,2,2,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
P60_MODULE_STACK,1,1,1,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
P60_MOUNTING_KIT,25,20,25,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
PRIMARY_STRUCTURE_FASTENER_KIT,60,60,60,逐连接选定受控料号/材料/长度；从已绑定实体抽取体积/质心/二阶矩后做候选模型，实物抽样核对。,False
PRIMARY_STRUCTURE_METAL,31,0,31,质量候选模型已有；可由绑定几何与同一材料模型抽取局部 COM/二阶矩并验证坐标转换，但本次未加载 CAD，完整惯量保持 null。,False
PROPULSION_MOUNTING_KIT,21,16,21,将当前 MiPS 包络/支架与最终推进总成精确映射；取得供货型式、干/湿质量、COM/惯量、安装与推进剂状态，未绑定 C-POD 不替换为其质量。,False
R01_EQUIPMENT_FASTENER_KIT,128,0,128,质量候选模型已有；可由绑定几何与同一材料模型抽取局部 COM/二阶矩并验证坐标转换，但本次未加载 CAD，完整惯量保持 null。,False
R07_ROOT_AND_RETENTION_FASTENER_KIT,92,92,92,逐连接选定受控料号/材料/长度；从已绑定实体抽取体积/质心/二阶矩后做候选模型，实物抽样核对。,False
R07_ROOT_METAL_CAPS,4,0,4,质量候选模型已有；可由绑定几何与同一材料模型抽取局部 COM/二阶矩并验证坐标转换，但本次未加载 CAD，完整惯量保持 null。,False
RETENTION_ACTUATION_AND_SENSORS_0,8,8,8,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
RETENTION_ACTUATION_AND_SENSORS_1,8,8,8,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
RETENTION_CONTACT_PADS,6,6,6,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
RETENTION_GUIDE_FASTENER_KIT,8,8,8,逐连接选定受控料号/材料/长度；从已绑定实体抽取体积/质心/二阶矩后做候选模型，实物抽样核对。,False
RETENTION_GUIDE_RODS,4,4,4,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
RETENTION_LOWER_COLLARS,4,4,4,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
RETENTION_LOWER_FASTENER_KIT,16,16,16,逐连接选定受控料号/材料/长度；从已绑定实体抽取体积/质心/二阶矩后做候选模型，实物抽样核对。,False
RETENTION_ORIGINAL_METAL,22,0,22,质量候选模型已有；可由绑定几何与同一材料模型抽取局部 COM/二阶矩并验证坐标转换，但本次未加载 CAD，完整惯量保持 null。,False
RETENTION_REVISED_MASTS,2,2,2,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
ROOT_FRAME_FASTENER_KIT,72,72,72,逐连接选定受控料号/材料/长度；从已绑定实体抽取体积/质心/二阶矩后做候选模型，实物抽样核对。,False
ROOT_FRAME_METAL,37,0,37,质量候选模型已有；可由绑定几何与同一材料模型抽取局部 COM/二阶矩并验证坐标转换，但本次未加载 CAD，完整惯量保持 null。,False
SOLAR_CIC_WHOLE_VENDOR_REFERENCE,84,0,84,84 个 3.6 g 平均重量参考可继承；完整 CIC/成形互联几何及局部 COM/惯量仍需资料或测量，不能按玻璃包络赋密度。,False
SOLAR_CURRENT_FRAMES_AND_HINGES,28,0,28,质量候选模型已有；可由绑定几何与同一材料模型抽取局部 COM/二阶矩并验证坐标转换，但本次未加载 CAD，完整惯量保持 null。,False
SOLAR_CURRENT_LEAF_LAMINATES,6,6,6,冻结 6 片实际铺层、材料、质量与刚度；既有 1.08 kg 为非加和规划预算，不能转成真值或旧模态参数。,False
SOLAR_PANEL_BONDLINE,84,84,84,已有 84 个正体积胶层；先选定固化后的胶种/密度/适配工艺，再计算设计质量；温度、厚度公差不自动当概率分布。,False
SOLAR_RELEASE_KITS,2,2,2,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
SOLAR_WIRING_KITS,2,2,2,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
THERMAL_INTERFACE_KIT,6,6,6,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
THERMAL_SPREADER,1,0,1,质量候选模型已有；可由绑定几何与同一材料模型抽取局部 COM/二阶矩并验证坐标转换，但本次未加载 CAD，完整惯量保持 null。,False
