sample_index,t_s,joint1_q_rad,joint2_q_rad,joint3_q_rad,joint4_q_rad,joint5_q_rad,joint6_q_rad,joint1_dq_rad_s,joint2_dq_rad_s,joint3_dq_rad_s,joint4_dq_rad_s,joint5_dq_rad_s,joint6_dq_rad_s,joint1_ddq_rad_s2,joint2_ddq_rad_s2,joint3_ddq_rad_s2,joint4_ddq_rad_s2,joint5_ddq_rad_s2,joint6_ddq_rad_s2,segment_id,candidate_state,authority_class,released_for_mission_gate
10,0.1,2.540684317562711,-2.932147563203881,-0.9948451357924718,-0.7180831358698193,-0.365717024612933,-0.05235966019943138,-0.0007969714972169754,0.0001623903954354204,-0.0002131373213192647,-6.379579756268429e-05,-3.060392476410907e-05,1.014942394462197e-05,-0.01579961038342425,0.003219318365649562,-0.004225353913873141,-0.00126472370606725,-0.000606709385674443,0.0002012078782004004,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
11,0.11,2.540675532266225,-2.932145773117567,-0.9948474852799585,-0.718083839113283,-0.3657173619707352,-0.05235954831876962,-0.0009626444369703283,0.0001961478062003515,-0.0002574439078376331,-7.705754828153368e-05,-3.696581123227722e-05,1.225926715429802e-05,-0.01733359286299833,0.003531881640897062,-0.00463559307272488,-0.001387515595204246,-0.0006656147349350898,0.0002207431295402373,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
12,0.12,2.540665013679627,-2.932143629857183,-0.994850298308253,-0.7180846811027689,-0.3657177658873546,-0.05235941436467584,-0.001143615684921729,0.0002330223903227352,-0.0003058417829923388,-9.154389458035336e-05,-4.391515694427796e-05,1.456393416392134e-05,-0.0188592744760086,0.003842753536956647,-0.005043612297149582,-0.001509643018416489,-0.0007242013286358668,0.0002401726694284627,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
13,0.13,2.540652609234633,-2.932141102335515,-0.9948536156793105,-0.7180856740510293,-0.3657182422214552,-0.05235925639419448,-0.001339802305994783,0.0002729972490051889,-0.0003583087671193812,-0.0001072481976905512,-5.144877717035978e-05,1.706236879613408e-05,-0.02037666994030358,0.004151937052727588,-0.005449415523201197,-0.001631107153835053,-0.0007824697319462064,0.0002594966852967283,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
14,0.14,2.540638167191573,-2.932138159634187,-0.9948574779734866,-0.7180868301044875,-0.3657187967998821,-0.05235907247492239,-0.001551121512291579,0.0003160555134393225,-0.0004148227199152991,-0.0001241638306248458,-5.956349283246543e-05,1.975351674789489e-05,-0.02188579397373178,0.004459435187109152,-0.00585300668693367,-0.001751909179591007,-0.0008404205100355406,0.0002787153645766859,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
15,0.15,2.540621536637921,-2.93213477100336,-0.9948619255499302,-0.7180881613433558,-0.3657194354177179,-0.05235886068499009,-0.001777490663092691,0.0003621803448057382,-0.0004753615404371705,-0.0001422841781772662,-6.825613050423199e-05,2.263632559047894e-05,-0.02338666129414171,0.004765250939000609,-0.006254389724400951,-0.001872050273815426,-0.000898054228073302,0.0002978288946999871,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
16,0.16,2.540602567486824,-2.932130905861434,-0.9948669985469781,-0.7180896797817536,-0.365720163838339,-0.052358619113043,-0.00201882726485718,0.0004113549342740318,-0.0005399031671026139,-0.0001616026369231527,-7.752352241099098e-05,2.570974476947795e-05,-0.02487928661938192,0.00506938730730123,-0.006653568571656992,-0.001991531614639382,-0.0009553714512289234,0.0003168374630982842,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
17,0.17,2.540581110475626,-2.932126533794747,-0.9948727368825476,-0.7180913973678249,-0.3657209877934725,-0.05235834585822272,-0.002275048971222592,0.000463562503002791,-0.0006084255776897862,-0.0001821126152191559,-8.736250642976812e-05,2.897272560480012e-05,-0.02636368466730089,0.005371847290910283,-0.007050547164755738,-0.002110354380193946,-0.001012372744671837,0.0003357412572032286,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
18,0.18,2.540557017164398,-2.932121624557276,-0.994879180254531,-0.7180933259838558,-0.3657219129832525,-0.05235803903014828,-0.002546073583004955,0.0005187863021395962,-0.0006809067893373839,-0.0002038075332032372,-9.776992608928343e-05,3.242422129067017e-05,-0.02783987015574716,0.005672633888727036,-0.007445329439751137,-0.002228519748610191,-0.001069058673571474,0.0003545404644464721,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
19,0.19,2.54053013993447,-2.932116148070336,-0.9948863681411886,-0.718095477446393,-0.3657229450762764,-0.05235769674889738,-0.002831819048198788,0.0005770096128210216,-0.0007573248585446442,-0.0002266808227946689,-0.0001087426305699514,3.606318689562939e-05,-0.02930785780256924,0.005971750099650761,-0.007837919332697141,-0.002346028898019189,-0.001125429803097268,0.0003732352722596667,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
20,0.2,2.540500331986955,-2.932110074422281,-0.9948943398015423,-0.7180978635063613,-0.3657240897096621,-0.0523573171449877,-0.003132203461977089,0.0006382157461726326,-0.0008376578811713422,-0.0002507259276940338,-0.0001202774747038808,3.988857936253553e-05,-0.03076766232561564,0.006269198922580726,-0.008228320779647696,-0.002462883006552013,-0.001181486698418652,0.000391825868074464,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
21,0.21,2.540467447341277,-2.932103373868203,-0.9949031342757697,-0.7181004958491816,-0.3657253524891037,-0.05235689835935808,-0.003447145066691342,0.0007023880433089876,-0.0009218839924377927,-0.0002759363033832254,-0.0001323713189748745,4.389935750856284e-05,-0.03221929844273489,0.0065649833564162,-0.008616537716656752,-0.002579083252339734,-0.001237229924705057,0.0004103124393225158,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
22,0.22,2.540431340833702,-2.932096016829635,-0.9949127903855974,-0.7181033860948879,-0.3657267389889285,-0.05235643854334984,-0.003776562251871523,0.000769509875333639,-0.001009981366924852,-0.0003023054171254483,-0.0001450210295184301,4.809448202520219e-05,-0.03366278087177552,0.006859106400056456,-0.00900257407977826,-0.002694630813513427,-0.001292660047125917,0.0004286951734354742,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
23,0.23,2.540391868115865,-2.932087973894246,-0.9949233467346944,-0.7181065457982464,-0.3657282547521536,-0.05235593585868799,-0.004120373554226086,0.0008395646433391303,-0.001101928218573913,-0.0003298267479652175,-0.0001582234781217392,5.247291547826086e-05,-0.035098124330586,0.007151571052400755,-0.009386433805066161,-0.002809526868204159,-0.001347777630850662,0.0004469742578449905,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
24,0.24,2.540348885653298,-2.932079215815548,-0.9949348417090661,-0.7181099864488723,-0.3657299052905419,-0.05235538847746256,-0.004478497657641971,0.0009125357784069984,-0.001197702800686909,-0.0003584937867283585,-0.0001719755422236877,5.703362230786269e-05,-0.03652534353701489,0.007442380312348374,-0.009768120828574409,-0.002923772594543007,-0.001402583241048726,0.0004651498799827168,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
25,0.25,2.540302250723955,-2.932069713512588,-0.9949473134774475,-0.7181137194713481,-0.3657316960846594,-0.05235479458210975,-0.004850853393184606,0.0009884067416077731,-0.001297283405926315,-0.0003883000360220082,-0.0001862741049148562,6.177556882844806e-05,-0.03794445320891071,0.007731537178798582,-0.01014763908635696,-0.003037369170661042,-0.001457077442889542,0.000483222227280305,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
26,0.26,2.540251821416749,-2.932059438069655,-0.9949607999916974,-0.7181177562253411,-0.3657336325839308,-0.05235415236539327,-0.005237359739097905,0.001067161024000977,-0.001400648366315143,-0.0004192390102346137,-0.0002011160549375192,6.669772322877385e-05,-0.03935546806412195,0.008019044650650646,-0.01052499251446775,-0.003150317774689336,-0.001511260801542541,0.0005011914871694066,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
27,0.27,2.54019745663007,-2.932048360735977,-0.9949753389871913,-0.7181221080057217,-0.3657357202066966,-0.05235346003038557,-0.005637935820804262,0.001148782146635124,-0.001507776053236945,-0.0004513042355359329,-0.0002164982866856458,7.179905557191345e-05,-0.04075840282049713,0.008304905726803832,-0.01090018504896073,-0.003262619584758961,-0.001565133882177156,0.0005190578470816734,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
28,0.28,2.540139016070321,-2.932036452925421,-0.9949909679832153,-0.7181267860426807,-0.3657379643402697,-0.0523527157904491,-0.006052500910904557,0.001233253660547721,-0.001618644877435812,-0.0004844892498770344,-0.0002324177002048992,7.707853779525673e-05,-0.04215327219588481,0.008589123406157417,-0.01127322062588985,-0.00337427577900099,-0.00161869724996282,0.0005368214944487577,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
29,0.29,2.540076360250441,-2.932023686216195,-0.9950077242833602,-0.7181318015018472,-0.3657403703409917,-0.05235191786921756,-0.006480974429178158,0.00132055914676527,-0.001733233289016375,-0.0005187876029902974,-0.0002488712011926371,8.253514371051012e-05,-0.04354009090813343,0.008871700687610663,-0.01164410318130906,-0.003485287535546494,-0.001671951470068964,0.0005544826167023106,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
30,0.3,2.540009350488437,-2.932010032350545,-0.9950256449759141,-0.7181371654844068,-0.365742943534289,-0.05235106450057717,-0.006923275942582921,0.001410682216303264,-0.001851519777443806,-0.0005541928563894125,-0.0002658557009979114,8.816784900369665e-05,-0.04491887367509157,0.009152640570062842,-0.01201283665127231,-0.003595656032526545,-0.001724897107665021,0.0005720414012739842,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
31,0.31,2.539937848905908,-2.931995463234458,-0.9950447669342569,-0.718142889027219,-0.3657456892147304,-0.05235015392864791,-0.007379325165255184,0.001503606510166188,-0.001973482871543814,-0.0005906985833693804,-0.0002833681166214687,9.397563123515573e-05,-0.04628963521460774,0.00943194605241323,-0.01237942497183355,-0.003705382448072219,-0.001777534727920424,0.0005894980355954305,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
32,0.32,2.53986171842658,-2.931979950937361,-0.9950651268172535,-0.7181489831029351,-0.3657486126460824,-0.05234918440776477,-0.007849041958509766,0.00159931569934752,-0.00209910113950265,-0.0006282983690065126,-0.0003014053707157493,9.995746983954336e-05,-0.04765239024453045,0.009709620133561086,-0.01274387207904673,-0.003814467960314584,-0.001829864896004605,0.000606852707098301,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
33,0.33,2.539780822774825,-2.93196346769182,-0.9950867610696473,-0.7181554586201162,-0.3657517190613666,-0.05234815420245905,-0.008332346330839978,0.001697793484829733,-0.002228353188867103,-0.0006669858101584315,-0.0003199643915848882,0.000106112346125832,-0.0490071534827082,0.009985665812405684,-0.01310618190896578,-0.003922913747384713,-0.001881888177086995,0.0006241056032142476,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
34,0.34,2.539695026474197,-2.931945985893243,-0.9951097059224542,-0.7181623264233508,-0.3657550136629159,-0.05234706158743958,-0.008829158437917612,0.001799023597584288,-0.002361217666544499,-0.0007067545154640699,-0.0003390421131847147,0.0001124392432773108,-0.05035393964698952,0.01026008608784629,-0.01346635839764467,-0.00403072098741368,-0.001933605136337029,0.000641256911374922,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
35,0.35,2.539604194845957,-2.931927478099578,-0.9951339973933557,-0.7181695972933727,-0.3657585016224308,-0.05234590484757397,-0.009339398582592941,0.001902989798571643,-0.002497673258802708,-0.0007475981053436714,-0.0003586354751227523,0.0001189371463515851,-0.05169276345522295,0.01053288395878219,-0.01382440548113735,-0.004137890858532557,-0.001985016338924138,0.0006583068190119763,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
36,0.36,2.539508194007603,-2.931907917031011,-0.9951596712870932,-0.7181772819471789,-0.3657621880810364,-0.0523446822778699,-0.009862987214894732,0.002009675878741246,-0.002637698691270137,-0.0007895102119987905,-0.000378741422658219,0.000125605042280577,-0.05302363962525695,0.01080406242411262,-0.01418032709549775,-0.004244424538872413,-0.002036122350017754,0.0006752555135570617,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
37,0.37,2.539406890871393,-2.931887275569672,-0.9951867631958607,-0.7181853910381473,-0.3657660781493384,-0.05234339218345636,-0.01039984493203024,0.002119065659031541,-0.002781272728935736,-0.0008324844794122932,-0.0003993569067020272,0.0001324419198705252,-0.05434658287494011,0.01107362448273688,-0.01453412717677983,-0.004350323206564326,-0.002086923734787311,0.0006921031824418308,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
38,0.38,2.539300153142881,-2.93186552675933,-0.9952153084996994,-0.7181939351561543,-0.36577017690748,-0.0523420328795649,-0.01094989247838519,0.00223114299036996,-0.002928374176148986,-0.0008765145633483542,-0.0004204788838167831,0.0001394467698019847,-0.05566160792212089,0.01134157313355423,-0.01488580966103754,-0.004455588039739363,-0.002137421058402239,0.0007088500130979346,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
39,0.39,2.539187849319439,-2.931842643805095,-0.9952453423668902,-0.7182029248276931,-0.3657744894051984,-0.05234060269151088,-0.01151305074552381,0.002345891753672933,-0.003078981876619918,-0.0009215941313524609,-0.0004421043162167879,0.0001466185846298272,-0.05696872948464785,0.01160791137546394,-0.01523537848432483,-0.004560220216528599,-0.002187614886031973,0.0007254961929570255,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
40,0.4,2.539069848688788,-2.931818600073117,-0.9952768997543485,-0.7182123705159913,-0.3657790206618809,-0.05233909995467476,-0.0120892407721888,0.002463295859845878,-0.003233074713419095,-0.0009677168627514107,-0.0004642301717680368,0.0001539563587832407,-0.05826796228036945,0.01187264220736527,-0.01558283758269564,-0.004664220915063104,-0.002237505782845943,0.0007420419094507548,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
41,0.41,2.538946021327527,-2.931793369090289,-0.9953100154080168,-0.7182222826211285,-0.365783775666622,-0.05233752301448332,-0.01267838374430135,0.002583339249783209,-0.003390631608977623,-0.001014876448653311,-0.0004868534239882192,0.00016145908856573,-0.05955932102713427,0.0121357686281575,-0.01592819089220392,-0.004767591313473954,-0.002287094314013582,0.0007584873500107747,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
42,0.42,2.538816238099657,-2.931766924543943,-0.9953447238632588,-0.7182326714801543,-0.3657887593782795,-0.05233587022639096,-0.01328040099496112,0.002706005894368328,-0.003551631525087144,-0.001063066591947581,-0.0005099710520467186,0.000169125772155116,-0.06084282044279078,0.01239729363673989,-0.01627144234890363,-0.004870332589892217,-0.002336381044704324,0.0007748327020687367,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
43,0.43,2.538680370655114,-2.931739240281553,-0.9953810594452531,-0.7182435473672064,-0.3657939767255312,-0.0523341399558609,-0.0138952140044463,0.002831279794473638,-0.003716053462899846,-0.00111228100730495,-0.0005335800407646141,0.0001769554096035367,-0.06211847524518754,0.01265722023201172,-0.01661259588884871,-0.004972445922448969,-0.0023853665400876,0.0007910781530562929,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
44,0.44,2.538538291428297,-2.931710290310436,-0.9954190562693865,-0.7182549204936276,-0.3657994326069313,-0.05233233057834648,-0.0145227444002135,0.002959144980960525,-0.003883876462928449,-0.001162513421177459,-0.0005576773806146772,0.000184947002837446,-0.06338630015217304,0.01291555141287226,-0.0169516554480931,-0.005073932489275281,-0.002434051365332843,0.0008072238904050948,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
45,0.45,2.53838987363659,-2.931680048797447,-0.9954587482416476,-0.7182668010080845,-0.365805131890967,-0.05233044047927241,-0.01516291395689789,0.003089585514679377,-0.004055079605046221,-0.001213757571798458,-0.0005822600677213757,0.000193099555657615,-0.06464630988159581,0.01317229017822077,-0.01728862496269077,-0.005174793468502224,-0.002482436085609485,0.0008232701015467946,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
46,0.46,2.538234991278899,-2.931648490068685,-0.9955001690590208,-0.7182791989966848,-0.3658110794161152,-0.052328468054016,-0.01581564459631304,0.003222585486469565,-0.004229642008486956,-0.001266007209182609,-0.0006073251038608698,0.0002014120737391304,-0.06589851915130435,0.01342743952695652,-0.01762350836869565,-0.005275030038260872,-0.002530521266086958,0.0008392169739130436,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
47,0.47,2.538073519134175,-2.931615588609191,-0.9955433522098794,-0.7182921244830953,-0.3658172799908985,-0.05232641170788846,-0.01648085838745109,0.003358129017159463,-0.004407542831845005,-0.001319256095125885,-0.0006328694964610158,0.0002098835646313965,-0.06714294267914719,0.01368100245797879,-0.0179563096021617,-0.005374643376682296,-0.002578307471934695,0.0008550646949354937,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
48,0.48,2.53790533275994,-2.931581319062646,-0.9955883309743796,-0.7183055874286598,-0.3658237383939422,-0.05232426985611613,-0.01715847754648259,0.003496200257566427,-0.00458876127307524,-0.001373498003205568,-0.0006588902586013625,0.0002185130377581331,-0.06837959518297285,0.01393298197018684,-0.01828703259914286,-0.005473634661897568,-0.002625795268322128,0.0008708134520457969,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
49,0.49,2.537730308490823,-2.931545656231074,-0.9956351384248538,-0.7183195977325164,-0.3658304593740308,-0.05232204092382173,-0.01784842443675664,0.003636783388496815,-0.00477327656949309,-0.001428726718780252,-0.0006853844090131552,0.0002272995044173774,-0.06960849138062983,0.01418338106247994,-0.01861568129569309,-0.005572005072037761,-0.002672985220418689,0.0008864634326756049,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
50,0.5,2.537548323437082,-2.931508575074542,-0.9956838074262045,-0.7183341652317162,-0.3658374476501641,-0.05231972334600564,-0.01855062156880079,0.003779862620745973,-0.004961067997774512,-0.001484936038989843,-0.0007123489720793315,0.0002362419777814824,-0.07082964598996665,0.01443220273375735,-0.01894225962786632,-0.005669755785233946,-0.002719877893393812,0.0009020148242565692,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
51,0.51,2.537359255483132,-2.931470050710856,-0.9957343706362979,-0.7183492997013401,-0.3658447079116141,-0.05231731556752714,-0.01926499160032108,0.003925422195098242,-0.005152114873956008,-0.001542119772755555,-0.0007397809778345249,0.0002453394728971182,-0.07204307372883186,0.01467944998291836,-0.01926677153171651,-0.005766887979617197,-0.002766473852416928,0.0009174678142203421,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
52,0.52,2.537162983286077,-2.931430058415267,-0.995786860506357,-0.7183650108546175,-0.3658522448179814,-0.05231481604308567,-0.01999145733620202,0.00407344638232695,-0.005346396553434613,-0.001600271740779914,-0.0007676774619650617,0.0002545910066852708,-0.07324878931507395,0.01492512580886223,-0.01958922094329762,-0.005863402833318586,-0.002812773662657469,0.0009328225899985752,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
53,0.53,2.536959386274237,-2.931388573620167,-0.9958413092813557,-0.7183813083430436,-0.3658600629992518,-0.05231222323720208,-0.02072994172850664,0.004223919483194426,-0.005543892430967909,-0.001659385775546757,-0.0007960354658089636,0.0002639955979412433,-0.07444680746654143,0.01516923321048823,-0.01990961179866358,-0.005959301524469185,-0.00285877788928487,0.0009480793390229203,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
54,0.54,2.536748344645671,-2.931345571914791,-0.9958977490004126,-0.7183982017564972,-0.3658681670558526,-0.05230953562419993,-0.02148036787647643,0.004376825828451988,-0.005744581940674015,-0.001719455721321233,-0.0008248520363559468,0.0002735522673346552,-0.07563714290108285,0.01541177518669563,-0.02022794803386835,-0.006054585231200067,-0.00290448709746856,0.000963238248725029,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
55,0.55,2.536529739366717,-2.931301029044918,-0.9959562114971837,-0.7184157006233588,-0.3658765615587094,-0.05230675168818666,-0.02224265902653137,0.004532149778839941,-0.005948444556031584,-0.001780475434149797,-0.0008541242262474206,0.0002832600374094419,-0.07681981033654671,0.01565275473638369,-0.02054423358496588,-0.006149255131642304,-0.002949901852377975,0.0009782995065365536,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
56,0.5600000000000001,2.536303452170505,-2.931254920912565,-0.9960167284002571,-0.7184338144106285,-0.3658852510493024,-0.05230386992303494,-0.02301673857226994,0.004689875725087595,-0.006155459789879822,-0.001842438781860221,-0.0008838490937764904,0.0002931179325838565,-0.0779948244907815,0.01589217485845169,-0.0208584723880101,-0.006243312403926966,-0.002995022719182543,0.0009932632998891451,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
