id,module_solid,structure_solid,legacy_aabb_overlap_mm3,parent_class,root_cause_cluster,responsible_r1_part,geometry_change_preliminary,pre_exact_common_volume_mm3,pre_minimum_distance_mm,pre_local_evidence,post_exact_common_volume_mm3,post_minimum_distance_mm,post_local_evidence,replacement_part,replacement_sha256,closure_status,closure_credit
V14-17,SUP_MAIN_CROSSBEAM,STRUCT_FRAME_MID1_PZ,11778.0,INTENDED_BOLTED_LAP,RC-H10-C-G07_UNDEFINED_LAP,G07_SADDLE,REBUILD_G07_LOAD_INTRODUCTION_TO_NAMED_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-18,SUP_MAIN_CROSSBEAM,STRUCT_LONGERON_NY_PZ,5625.0,INTENDED_BOLTED_LAP,RC-H10-C-G07_UNDEFINED_LAP,G07_SADDLE,REBUILD_G07_LOAD_INTRODUCTION_TO_NAMED_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-19,SUP_MAIN_CROSSBEAM,STRUCT_LONGERON_PY_PZ,5625.0,INTENDED_BOLTED_LAP,RC-H10-C-G07_UNDEFINED_LAP,G07_SADDLE,REBUILD_G07_LOAD_INTRODUCTION_TO_NAMED_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-20,SUP_MAIN_CROSSBEAM,STRUCT_DECK_MID1_WITH_D30_PASSAGE,8833.5,UNACCEPTABLE_COLLISION,RC-H10-D-G07_DECK_PANEL_INTRUSION,G07_SADDLE,REROUTE_G07_AND_PRESERVE_DECK_PANEL_CLEARANCE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-21,SUP_MAIN_CROSSBEAM,FIDELITY_PANEL_TOP_FWD,21130.0,UNACCEPTABLE_COLLISION,RC-H10-D-G07_DECK_PANEL_INTRUSION,G07_SADDLE,REROUTE_G07_AND_PRESERVE_DECK_PANEL_CLEARANCE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-22,SUP_GRIP_CROSSBEAM,STRUCT_FRAME_MID2_NY_CASSETTE_POCKET_REVISED,1350.0,INTENDED_BOLTED_LAP,RC-H10-E-G08_UNDEFINED_LAP,G08_SADDLE,REBUILD_G08_LOAD_INTRODUCTION_TO_NAMED_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-23,SUP_GRIP_CROSSBEAM,STRUCT_FRAME_MID2_PZ,28267.2,INTENDED_BOLTED_LAP,RC-H10-E-G08_UNDEFINED_LAP,G08_SADDLE,REBUILD_G08_LOAD_INTRODUCTION_TO_NAMED_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-24,SUP_GRIP_CROSSBEAM,STRUCT_FRAME_MID2_PY_CASSETTE_POCKET_REVISED,1350.0,INTENDED_BOLTED_LAP,RC-H10-E-G08_UNDEFINED_LAP,G08_SADDLE,REBUILD_G08_LOAD_INTRODUCTION_TO_NAMED_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-25,SUP_GRIP_CROSSBEAM,STRUCT_LONGERON_NY_PZ,6750.0,INTENDED_BOLTED_LAP,RC-H10-E-G08_UNDEFINED_LAP,G08_SADDLE,REBUILD_G08_LOAD_INTRODUCTION_TO_NAMED_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-26,SUP_GRIP_CROSSBEAM,STRUCT_LONGERON_PY_PZ,6750.0,INTENDED_BOLTED_LAP,RC-H10-E-G08_UNDEFINED_LAP,G08_SADDLE,REBUILD_G08_LOAD_INTRODUCTION_TO_NAMED_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-27,SUP_GRIP_CROSSBEAM,STRUCT_DECK_MID2_WITH_D30_PASSAGE,23556.0,UNACCEPTABLE_COLLISION,RC-H10-F-G08_DECK_PANEL_INTRUSION,G08_SADDLE,REROUTE_G08_AND_PRESERVE_DECK_PANEL_CLEARANCE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-28,SUP_GRIP_CROSSBEAM,FIDELITY_PANEL_TOP_AFT,25356.0,UNACCEPTABLE_COLLISION,RC-H10-F-G08_DECK_PANEL_INTRUSION,G08_SADDLE,REROUTE_G08_AND_PRESERVE_DECK_PANEL_CLEARANCE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
