chain_id,row_kind,item,unit,nominal,allocated_value,allocation_class,standard_or_basis,requirement_limit,wc_value,wc_margin,wc_pass,rss_standard_uncertainty,rss_k3_bound,rss_k3_pass,status
M7-TC-02,FEATURE_ALLOCATION,STAGE_B_POCKET_DEPTH_5P595,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-02,FEATURE_ALLOCATION,ANNULAR_FACE_FLATNESS_EACH,mm,,0.02,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-02,FEATURE_ALLOCATION,ANNULAR_FACE_PARALLELISM,mm,,0.02,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-03,FUNCTIONAL_CHECK,skirt_minimum_radial_clearance_after_coaxiality,mm,,,INTERFACE_PASS_THROUGH_DESIGN_FLOOR,annular pocket radial location and load-seat compatibility; 0.10 mm anti-fretting design floor,0.1,0.182,0.082,True,0.006808389,0.177824832,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-03,FEATURE_ALLOCATION,STAGE_B_POCKET_OUTER_150P4,mm,150.4,ISO286_H7,CANDIDATE_FIT_ISO286_H7,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-03,FEATURE_ALLOCATION,STAGE_A_SKIRT_OUTER_150P0,mm,150.0,ISO286_g6,CANDIDATE_FIT_ISO286_G6,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-03,FEATURE_ALLOCATION,SKIRT_COAXIALITY,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-04,FUNCTIONAL_CHECK,m5_minimum_radial_clearance,mm,,,INTERFACE_PASS_THROUGH_DESIGN_FLOOR,"eight M5 fasteners must pass the transition pattern at WC; 0.05 mm design assembly guard; residual margin also sets the clocking-dowel budget (M7-TC-05, CROSS_CHAIN_DERIVED)",0.05,0.15,0.1,True,0.040877867,0.127366399,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-04,FEATURE_ALLOCATION,STAGE_B_M5_CLEARANCE_HOLE_5P5,mm,5.5,ISO286_H7,CANDIDATE_FIT_ISO286_H7,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-04,FEATURE_ALLOCATION,M5_FASTENER_MAJOR_DIAMETER_PROXY,mm,5.0,ISO286_h6_ON_5P000_MAJOR,CANDIDATE_FIT_ISO286_H6_THREAD_MAJOR_PROXY,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-04,FEATURE_ALLOCATION,M5_PATTERN_POSITION_EACH_SIDE,mm,,0.05,PROCESS_CAP_ASSUMED,"radius 62.5 mm pattern, 8 places",,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-05,FUNCTIONAL_CHECK,clocking_error,rad,,,CROSS_CHAIN_DERIVED,clocking-induced hole offset at M5 radius 62.5 mm must stay inside the M7-TC-04 WC margin 0.15 mm -> theta <= 2.4e-3 rad,0.0024,0.001890909,0.000509091,True,0.00037306,0.001119179,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-05,FUNCTIONAL_CHECK,locator_press_seat_diametral_fit,mm,,,DESIGN_ALLOCATED_REQUIREMENT,press seat may interfere down to -0.02 mm (retained fit) and must not exceed slip fit on the press side,-0.02,-0.012,0.008,True,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-05,FEATURE_ALLOCATION,CLOCKING_DOWEL_PIN_4P0,mm,4.0,ISO286_m6,CANDIDATE_FIT_ISO286_M6_DOWEL_PIN,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-05,FEATURE_ALLOCATION,STAGE_B_BLIND_HOLE_4P0_PRESS_SEAT,mm,4.0,ISO286_H7,CANDIDATE_FIT_ISO286_H7,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-05,FEATURE_ALLOCATION,STAGE_A_DOWEL_CLEARANCE_4P1_SLIP_SEAT,mm,4.1,ISO286_H7,CANDIDATE_FIT_ISO286_H7,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-05,FEATURE_ALLOCATION,DOWEL_HOLE_POSITION_EACH_SIDE,mm,,0.025,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-06,FUNCTIONAL_CHECK,cobore_minimum_radial_clearance,mm,,,INTERFACE_PASS_THROUGH_DESIGN_FLOOR,"four M6 through-bolts share the 4x dia 6.6 co-bore at (+-70,+-70) between load bridge and bus +X face (x=185.25); 0.10 mm design floor",0.1,0.2,0.1,True,0.043060036,0.200819893,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-06,FUNCTIONAL_CHECK,seating_tilt,rad,,,DESIGN_ALLOCATED_REQUIREMENT,planar abutment D_BRIDGE_BUS flatness pair over 140 mm pattern span,0.0015,0.000714286,0.000785714,True,0.000291606,0.000874818,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-06,FEATURE_ALLOCATION,LOAD_BRIDGE_HOLE_6P6,mm,6.6,ISO286_H11,CANDIDATE_FIT_ISO286_H11,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-06,FEATURE_ALLOCATION,BUS_CIBORE_HOLE_6P6,mm,6.6,ISO286_H11,CANDIDATE_FIT_ISO286_H11,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-06,FEATURE_ALLOCATION,M6_FASTENER_SHAFT_PROXY,mm,6.0,ISO286_h9_ON_6P000,CANDIDATE_FIT_ISO286_H9_SHAFT_PROXY,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-06,FEATURE_ALLOCATION,BRIDGE_HOLE_PATTERN_POSITION,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-06,FEATURE_ALLOCATION,BUS_CIBORE_PATTERN_POSITION,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-06,FEATURE_ALLOCATION,BUS_MATE_FACE_FLATNESS,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-06,FEATURE_ALLOCATION,BRIDGE_BUS_FACE_FLATNESS,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-07,FUNCTIONAL_CHECK,m6_minimum_radial_clearance_both_plates,mm,,,INTERFACE_PASS_THROUGH_DESIGN_FLOOR,4x M6 primary fasteners pass Stage B (H7) and bridge (H11) holes at WC; 0.10 mm design floor,0.1,0.2,0.1,True,0.041110877,0.18791737,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-07,FUNCTIONAL_CHECK,edge_ligament_minimum_both_sides,mm,,,GEOMETRIC_DESIGN_FLOOR,geometric ligament floor only; structural adequacy delegated to WP7 operational FEA PENDING_SIBLING_HASH,6.0,6.605,0.605,True,0.0316557,6.5825329,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-07,FUNCTIONAL_CHECK,interface_seating_tilt,rad,,,DESIGN_ALLOCATED_REQUIREMENT,Stage B + bridge mate-face flatness pair over 140 mm pattern span,0.0015,0.000714286,0.000785714,True,0.000291606,0.000874818,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-07,FEATURE_ALLOCATION,STAGE_B_M6_CLEARANCE_HOLE_6P6,mm,6.6,ISO286_H7,CANDIDATE_FIT_ISO286_H7,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-07,FEATURE_ALLOCATION,LOAD_BRIDGE_HOLE_6P6,mm,6.6,ISO286_H11,CANDIDATE_FIT_ISO286_H11,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-07,FEATURE_ALLOCATION,M6_FASTENER_SHAFT_PROXY,mm,6.0,ISO286_h9_ON_6P000,CANDIDATE_FIT_ISO286_H9_SHAFT_PROXY,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-07,FEATURE_ALLOCATION,STAGE_B_HOLE_PATTERN_POSITION,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-07,FEATURE_ALLOCATION,BRIDGE_HOLE_PATTERN_POSITION,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-07,FEATURE_ALLOCATION,STAGE_B_MATE_FACE_FLATNESS,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-07,FEATURE_ALLOCATION,BRIDGE_M3R_FACE_FLATNESS,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-07,FEATURE_ALLOCATION,HOLE_EDGE_LIGAMENT,mm,,6.0,DESIGN_ALLOCATED_REQUIREMENT,WC ligament Stage B 6.6425 mm / bridge 6.605 mm; structural check WP7 PENDING_SIBLING_HASH,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-08,FUNCTIONAL_CHECK,guarded_minimum_functional_clearance,mm,,,DESIGN_ALLOCATED_REQUIREMENT,"no rail-palm contact over stroke 0..71.5 mm (144-sample neutral witness, consumption 0); strictly positive guarded clearance at WC after all allocated consumption terms and the 0.02 mm guard band",0.0,0.06,0.06,True,0.029154759,0.092535722,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-08,FEATURE_ALLOCATION,RAIL_PALM_NOMINAL_ADDITIONAL_CLEARANCE,mm,,0.2,DESIGN_ALLOCATED_REQUIREMENT,requirement flowed down to WP1/WP5 geometry owners; NOT taken from the M4 owner example grid (that grid stays non-requirement); neutral sweep witness covers 0-overlap for the R1 slot envelope,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-08,FEATURE_ALLOCATION,SLOT_WIDTH,mm,,0.03,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-08,FEATURE_ALLOCATION,RAIL_WIDTH,mm,,0.03,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-08,FEATURE_ALLOCATION,SLOT_STRAIGHTNESS,mm,,0.01,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-08,FEATURE_ALLOCATION,RAIL_STRAIGHTNESS,mm,,0.01,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-08,FEATURE_ALLOCATION,GUIDE_PAIR_PARALLELISM,mm,,0.01,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-08,FEATURE_ALLOCATION,ASSEMBLY_DATUM_SHIFT,mm,,0.02,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-08,FEATURE_ALLOCATION,COATING_THICKNESS_EACH_SIDE,mm,,0.005,PROCESS_CAP_ASSUMED,thin hard-coat allowance; final coating selection WP6 DESIGN_MATERIAL_SELECTION_V1 PENDING_SIBLING_HASH,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-08,FEATURE_ALLOCATION,GUARD_BAND,mm,,0.02,DESIGN_ALLOCATED_REQUIREMENT,covers inspection uncertainty decision rule at conformity assessment,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-09,FUNCTIONAL_CHECK,fingertip_symmetry_error,mm,,,DESIGN_ALLOCATED_REQUIREMENT,two-finger symmetric capture: fingertip centre offset from the palm centre plane must keep the capture centre within 0.5 mm for the 22 kg / 150 kg block-model targets,0.5,0.25,0.25,True,0.076376262,0.229128785,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-09,FEATURE_ALLOCATION,PALM_SLOT_POSITION_SYMMETRY,mm,,0.05,PROCESS_CAP_ASSUMED,left/right rail slots in the single palm part; WC relative 0.10 mm,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-09,FEATURE_ALLOCATION,FINGER_RAIL_POSITION,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-09,FEATURE_ALLOCATION,DRIVE_SYNCHRONISM_ERROR,mm,,0.1,PROCESS_CAP_ASSUMED,left/right stroke synchronism allocation; drive topology to WP5 GRIPPER_ENGINEERING_PACK_V1 PENDING_SIBLING_HASH,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-10,FUNCTIONAL_CHECK,hinge_line_angular_misalignment,rad,,,DESIGN_ALLOCATED_REQUIREMENT,two lug bore axes of one hinge must stay aligned so the pin is not moment-loaded and the deployed-angle budget (M7-TC-11) holds; 1.0 mrad design ceiling,0.001,0.000528634,0.000471366,True,0.0001869,0.000560701,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-10,FEATURE_ALLOCATION,LUG_BORE_POSITION_EACH,mm,,0.05,PROCESS_CAP_ASSUMED,evaluated over 227.0 mm hinge reference span (frozen panel chord),,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-10,FEATURE_ALLOCATION,HINGE_BRACKET_MOUNT_FLATNESS,mm,,0.02,PROCESS_CAP_ASSUMED,over 227.0 mm reference span,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-11,FUNCTIONAL_CHECK,deployed_angle_deviation,rad,,,DESIGN_ALLOCATED_REQUIREMENT,"panel deployed-angle accuracy at the hard stop; 1.0 deg design ceiling (no mission-level pointing requirement is authorized — this is a WP3 design allocation, not a flight requirement)",0.017453292519943295,0.009255281,0.008198012,True,0.005041797,0.015125391,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-11,FUNCTIONAL_CHECK,tip_lateral_displacement_at_span,mm,,,DESIGN_ALLOCATED_REQUIREMENT,consequence metric at the 200 mm frozen span tip; 5 mm design ceiling protects the deployed keep-out envelope,5.0,1.851029685,3.148970315,True,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-11,FEATURE_ALLOCATION,STOP_ANGLE_REPEATABILITY,deg,,0.5,PROCESS_CAP_ASSUMED,"consolidated stop-chain term (stop contact geometry, contact flatness, pin freeplay at the stop) — single controllable drawing requirement; decomposition to hardware features needs WP5 hinge hardware nominals",,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-11,FEATURE_ALLOCATION,HINGE_LINE_MISALIGNMENT_CONTRIBUTION,rad,,,CROSS_CHAIN_REFERENCE,M7-TC-10 WC misalignment 5.286343e-4 rad carried into this stack,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-12,FUNCTIONAL_CHECK,wing_root_axis_position_error,mm,,,DESIGN_ALLOCATED_REQUIREMENT,panel root (hinge axis) station relative to the bus must hold the frozen deployed envelope 440.5x626.3x276.3 mm and the mass/CoM model validity; 0.5 mm design ceiling,0.5,0.15,0.35,True,0.05,0.15,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-12,FEATURE_ALLOCATION,HINGE_BRACKET_HOLE_POSITION,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-12,FEATURE_ALLOCATION,BUS_SEAT_POSITION,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-12,FEATURE_ALLOCATION,PANEL_ROOT_FITTING_HOLE_POSITION,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
