solid,assigned_body,volume_mm3,faces,s_on_jaw_axis_mm,u_min_mm,u_max_mm,urdf_enclosure_best,urdf_enclosure_score
B51_REF_gripper_detail_LINKLOCAL004,gripper_right,3135.677,140,-19.8073,-37.3215,-2.2931,gripper_right,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 2}"
B51_REF_gripper_detail_LINKLOCAL009,gripper_left,3135.677,140,19.7927,2.2785,37.307,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 2, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL051,gripper_link,2401.218,72,-0.0072,-21.1461,21.1316,gripper_link,"{""gripper_link"": 3, ""gripper_left"": 1, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL013,gripper_link,2096.062,140,-0.0072,-16.2712,16.2567,gripper_left,"{""gripper_link"": 2, ""gripper_left"": 3, ""gripper_right"": 1}"
B51_REF_gripper_detail_LINKLOCAL010,gripper_left,234.393,16,79.9927,66.5563,93.4291,gripper_link,"{""gripper_link"": 1, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL029,gripper_left,234.393,16,39.9927,26.5563,53.4291,gripper_link,"{""gripper_link"": 3, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL030,gripper_right,234.393,16,-40.0072,-53.4436,-26.5708,gripper_link,"{""gripper_link"": 4, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL039,gripper_right,234.393,16,-80.0073,-93.4436,-66.5709,gripper_link,"{""gripper_link"": 3, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL045,gripper_left,234.393,16,59.9927,46.5564,73.4291,gripper_link,"{""gripper_link"": 3, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL047,gripper_right,234.393,16,-60.0072,-73.4436,-46.5709,gripper_link,"{""gripper_link"": 3, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL015,gripper_left,134.234,18,24.8436,15.7153,33.972,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 6, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL016,gripper_right,134.234,18,-14.8582,-23.9866,-5.7298,gripper_right,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 7}"
B51_REF_gripper_detail_LINKLOCAL017,gripper_right,134.234,18,-14.8583,-23.9867,-5.73,gripper_right,"{""gripper_link"": 1, ""gripper_left"": 0, ""gripper_right"": 6}"
B51_REF_gripper_detail_LINKLOCAL019,gripper_left,134.234,18,14.8435,5.7152,23.9719,gripper_left,"{""gripper_link"": 1, ""gripper_left"": 6, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL021,gripper_right,134.234,18,-24.8582,-33.9866,-15.7298,gripper_right,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 5}"
B51_REF_gripper_detail_LINKLOCAL022,gripper_right,134.234,18,-24.8583,-33.9867,-15.7299,gripper_right,"{""gripper_link"": 1, ""gripper_left"": 0, ""gripper_right"": 4}"
B51_REF_gripper_detail_LINKLOCAL025,gripper_left,134.234,18,24.8435,15.7151,33.9719,gripper_left,"{""gripper_link"": 1, ""gripper_left"": 5, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL026,gripper_left,134.234,18,14.8436,5.7153,23.972,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 7, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL018,gripper_right,100.089,16,-9.2693,-15.4282,-3.1104,gripper_right,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 7}"
B51_REF_gripper_detail_LINKLOCAL020,gripper_left,100.089,16,9.2547,3.0958,15.4137,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 5, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL023,gripper_right,100.089,16,-27.245,-33.4039,-21.086,gripper_right,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 5}"
B51_REF_gripper_detail_LINKLOCAL024,gripper_left,100.089,16,27.2304,21.0715,33.3894,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 5, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL027,gripper_right,97.293,24,-11.007,-18.6033,-3.4107,gripper_link,"{""gripper_link"": 4, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL035,gripper_right,97.293,24,-11.0074,-18.6038,-3.4111,gripper_link,"{""gripper_link"": 4, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL037,gripper_left,97.293,24,10.9925,3.3963,18.5888,gripper_link,"{""gripper_link"": 6, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL038,gripper_left,97.293,24,10.993,3.3967,18.5892,gripper_link,"{""gripper_link"": 5, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL014,gripper_left,70.617,18,6.7427,1.0615,12.4239,gripper_link,"{""gripper_link"": 6, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL028,gripper_left,70.617,18,21.6433,15.9621,27.3245,gripper_link,"{""gripper_link"": 5, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL031,gripper_right,70.617,18,-6.7571,-12.4383,-1.0759,gripper_link,"{""gripper_link"": 4, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL032,gripper_link,70.617,18,-0.007,-5.6882,5.6742,gripper_link,"{""gripper_link"": 5, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL033,gripper_left,70.617,18,21.6435,15.9623,27.3247,gripper_link,"{""gripper_link"": 4, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL034,gripper_left,70.617,18,13.4928,7.8116,19.174,gripper_link,"{""gripper_link"": 7, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL036,gripper_link,70.617,18,-0.0074,-5.6886,5.6738,gripper_link,"{""gripper_link"": 5, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL040,gripper_left,70.617,18,6.7429,1.0617,12.4241,gripper_link,"{""gripper_link"": 7, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL042,gripper_right,70.617,18,-13.5072,-19.1884,-7.826,gripper_link,"{""gripper_link"": 4, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL043,gripper_right,70.617,18,-6.7573,-12.4385,-1.0761,gripper_link,"{""gripper_link"": 6, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL044,gripper_right,70.617,18,-21.6577,-27.3389,-15.9766,gripper_link,"{""gripper_link"": 7, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL046,gripper_right,70.617,18,-21.6579,-27.3391,-15.9768,gripper_link,"{""gripper_link"": 5, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL011,gripper_link,46.832,13,5.851,1.8189,9.8831,gripper_link,"{""gripper_link"": 1, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL041,gripper_link,46.832,13,-0.0073,-3.5394,3.5248,gripper_link,"{""gripper_link"": 1, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL002,gripper_right,27.105,41,-24.8072,-28.5774,-21.037,gripper_right,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 9}"
B51_REF_gripper_detail_LINKLOCAL007,gripper_left,27.105,41,24.7926,21.0224,28.5628,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 9, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL001,gripper_right,27.105,41,-24.8071,-28.5773,-21.0369,gripper_right,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 9}"
B51_REF_gripper_detail_LINKLOCAL006,gripper_left,27.105,41,24.7925,21.0223,28.5627,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 9, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL003,gripper_right,27.104,41,-14.8071,-18.5773,-11.0369,gripper_right,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 9}"
B51_REF_gripper_detail_LINKLOCAL008,gripper_left,27.104,41,14.7925,11.0223,18.5626,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 9, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL,gripper_right,27.104,41,-14.8072,-18.5774,-11.037,gripper_right,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 9}"
B51_REF_gripper_detail_LINKLOCAL005,gripper_left,27.104,41,14.7926,11.0224,18.5627,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 9, ""gripper_right"": 0}"
