t_s,q1_deg,q2_deg,base_theta_deg,base_omega_dps,H_reaction_kgm2ps,ee_x_m,ee_z_m,clearance_min_m
0.3242,0.03753,-0.02502,-0.00909,-0.07808,-0.00050,0.73525,0.00013,0.56525
0.3362,0.04176,-0.02784,-0.01010,-0.08371,-0.00053,0.73525,0.00015,0.56525
0.3482,0.04629,-0.03086,-0.01117,-0.08951,-0.00057,0.73525,0.00017,0.56525
0.3602,0.05113,-0.03408,-0.01232,-0.09549,-0.00061,0.73525,0.00018,0.56525
0.3722,0.05628,-0.03752,-0.01354,-0.10165,-0.00065,0.73525,0.00020,0.56525
0.3842,0.06176,-0.04117,-0.01483,-0.10797,-0.00069,0.73525,0.00022,0.56525
0.3962,0.06757,-0.04505,-0.01621,-0.11446,-0.00073,0.73525,0.00024,0.56525
0.4082,0.07373,-0.04916,-0.01766,-0.12112,-0.00077,0.73525,0.00027,0.56525
0.4202,0.08025,-0.05350,-0.01920,-0.12794,-0.00082,0.73525,0.00029,0.56525
0.4322,0.08712,-0.05808,-0.02082,-0.13493,-0.00086,0.73525,0.00032,0.56525
0.4442,0.09436,-0.06291,-0.02252,-0.14208,-0.00091,0.73525,0.00034,0.56525
0.4562,0.10198,-0.06799,-0.02432,-0.14939,-0.00095,0.73525,0.00037,0.56525
0.4682,0.10999,-0.07332,-0.02620,-0.15685,-0.00100,0.73525,0.00040,0.56525
0.4802,0.11839,-0.07893,-0.02818,-0.16447,-0.00105,0.73525,0.00043,0.56525
0.4922,0.12719,-0.08479,-0.03024,-0.17225,-0.00110,0.73525,0.00046,0.56525
0.5043,0.13641,-0.09094,-0.03241,-0.18017,-0.00115,0.73525,0.00050,0.56525
0.5163,0.14604,-0.09736,-0.03467,-0.18825,-0.00120,0.73525,0.00053,0.56525
0.5283,0.15610,-0.10406,-0.03703,-0.19648,-0.00126,0.73525,0.00057,0.56525
0.5403,0.16659,-0.11106,-0.03948,-0.20485,-0.00131,0.73525,0.00061,0.56525
0.5523,0.17752,-0.11835,-0.04205,-0.21337,-0.00136,0.73525,0.00065,0.56525
0.5643,0.18891,-0.12594,-0.04471,-0.22203,-0.00142,0.73525,0.00069,0.56525
0.5763,0.20075,-0.13383,-0.04748,-0.23083,-0.00147,0.73525,0.00073,0.56525
0.5883,0.21305,-0.14204,-0.05036,-0.23977,-0.00153,0.73525,0.00078,0.56525
0.6003,0.22583,-0.15055,-0.05335,-0.24885,-0.00159,0.73525,0.00083,0.56525
0.6123,0.23908,-0.15939,-0.05645,-0.25806,-0.00165,0.73525,0.00088,0.56525
0.6243,0.25282,-0.16855,-0.05966,-0.26741,-0.00171,0.73525,0.00093,0.56525
0.6363,0.26705,-0.17803,-0.06298,-0.27689,-0.00177,0.73525,0.00098,0.56525
0.6483,0.28178,-0.18785,-0.06642,-0.28650,-0.00183,0.73525,0.00103,0.56525
0.6603,0.29702,-0.19801,-0.06998,-0.29624,-0.00189,0.73525,0.00109,0.56525
0.6723,0.31277,-0.20851,-0.07365,-0.30610,-0.00196,0.73525,0.00115,0.56525
0.6843,0.32904,-0.21936,-0.07745,-0.31609,-0.00202,0.73525,0.00121,0.56525
0.6963,0.34583,-0.23055,-0.08137,-0.32621,-0.00208,0.73525,0.00127,0.56525
0.7084,0.36316,-0.24210,-0.08540,-0.33645,-0.00215,0.73525,0.00133,0.56525
0.7204,0.38102,-0.25401,-0.08957,-0.34680,-0.00222,0.73525,0.00140,0.56525
0.7324,0.39943,-0.26629,-0.09386,-0.35728,-0.00228,0.73525,0.00147,0.56525
0.7444,0.41839,-0.27893,-0.09827,-0.36787,-0.00235,0.73524,0.00154,0.56524
0.7564,0.43791,-0.29194,-0.10282,-0.37857,-0.00242,0.73524,0.00161,0.56524
0.7684,0.45799,-0.30532,-0.10749,-0.38939,-0.00249,0.73524,0.00168,0.56524
0.7804,0.47864,-0.31909,-0.11230,-0.40032,-0.00256,0.73524,0.00176,0.56524
0.7924,0.49986,-0.33324,-0.11724,-0.41136,-0.00263,0.73524,0.00184,0.56524
0.8044,0.52166,-0.34777,-0.12231,-0.42251,-0.00270,0.73524,0.00192,0.56524
0.8164,0.54405,-0.36270,-0.12752,-0.43377,-0.00277,0.73524,0.00200,0.56524
0.8284,0.56703,-0.37802,-0.13286,-0.44513,-0.00284,0.73524,0.00209,0.56524
0.8404,0.59061,-0.39374,-0.13835,-0.45659,-0.00292,0.73524,0.00218,0.56524
0.8524,0.61479,-0.40986,-0.14397,-0.46815,-0.00299,0.73524,0.00227,0.56524
0.8644,0.63958,-0.42638,-0.14973,-0.47982,-0.00307,0.73524,0.00236,0.56524
0.8764,0.66498,-0.44332,-0.15563,-0.49158,-0.00314,0.73524,0.00245,0.56524
0.8884,0.69099,-0.46066,-0.16167,-0.50344,-0.00322,0.73524,0.00255,0.56524
0.9005,0.71763,-0.47842,-0.16786,-0.51539,-0.00329,0.73524,0.00265,0.56524
0.9125,0.74490,-0.49660,-0.17419,-0.52744,-0.00337,0.73523,0.00275,0.56523
0.9245,0.77280,-0.51520,-0.18067,-0.53957,-0.00345,0.73523,0.00285,0.56523
0.9365,0.80134,-0.53422,-0.18730,-0.55180,-0.00353,0.73523,0.00296,0.56523
0.9485,0.83051,-0.55368,-0.19407,-0.56412,-0.00360,0.73523,0.00307,0.56523
0.9605,0.86034,-0.57356,-0.20099,-0.57652,-0.00368,0.73523,0.00318,0.56523
0.9725,0.89082,-0.59388,-0.20806,-0.58901,-0.00376,0.73523,0.00329,0.56523
0.9845,0.92195,-0.61463,-0.21529,-0.60158,-0.00384,0.73523,0.00341,0.56523
0.9965,0.95374,-0.63583,-0.22266,-0.61423,-0.00392,0.73522,0.00352,0.56522
1.0085,0.98619,-0.65746,-0.23019,-0.62696,-0.00401,0.73522,0.00364,0.56522
1.0205,1.01932,-0.67954,-0.23787,-0.63977,-0.00409,0.73522,0.00377,0.56522
1.0325,1.05311,-0.70207,-0.24570,-0.65266,-0.00417,0.73522,0.00389,0.56522
1.0445,1.08758,-0.72505,-0.25370,-0.66563,-0.00425,0.73522,0.00402,0.56522
1.0565,1.12273,-0.74849,-0.26184,-0.67866,-0.00434,0.73521,0.00415,0.56521
1.0685,1.15857,-0.77238,-0.27015,-0.69178,-0.00442,0.73521,0.00428,0.56521
1.0805,1.19509,-0.79673,-0.27861,-0.70496,-0.00450,0.73521,0.00442,0.56521
1.0925,1.23230,-0.82154,-0.28724,-0.71821,-0.00459,0.73521,0.00456,0.56521
1.1046,1.27021,-0.84681,-0.29602,-0.73153,-0.00467,0.73520,0.00470,0.56520
1.1166,1.30882,-0.87255,-0.30496,-0.74491,-0.00476,0.73520,0.00484,0.56520
1.1286,1.34813,-0.89875,-0.31407,-0.75836,-0.00485,0.73520,0.00499,0.56520
1.1406,1.38814,-0.92543,-0.32333,-0.77188,-0.00493,0.73519,0.00514,0.56519
1.1526,1.42887,-0.95258,-0.33276,-0.78545,-0.00502,0.73519,0.00529,0.56519
1.1646,1.47030,-0.98020,-0.34236,-0.79909,-0.00511,0.73519,0.00544,0.56519
1.1766,1.51245,-1.00830,-0.35212,-0.81278,-0.00519,0.73518,0.00560,0.56518
1.1886,1.55532,-1.03688,-0.36204,-0.82653,-0.00528,0.73518,0.00576,0.56518
1.2006,1.59891,-1.06594,-0.37213,-0.84034,-0.00537,0.73518,0.00592,0.56518
1.2126,1.64322,-1.09548,-0.38238,-0.85420,-0.00546,0.73517,0.00609,0.56517
1.2246,1.68826,-1.12551,-0.39281,-0.86811,-0.00555,0.73517,0.00625,0.56517
1.2366,1.73403,-1.15602,-0.40340,-0.88208,-0.00564,0.73516,0.00642,0.56516
1.2486,1.78053,-1.18702,-0.41416,-0.89609,-0.00573,0.73516,0.00660,0.56516
1.2606,1.82776,-1.21851,-0.42508,-0.91015,-0.00582,0.73515,0.00677,0.56515
1.2726,1.87574,-1.25049,-0.43618,-0.92426,-0.00591,0.73515,0.00695,0.56515
1.2846,1.92445,-1.28297,-0.44745,-0.93842,-0.00600,0.73514,0.00713,0.56514
1.2966,1.97390,-1.31593,-0.45888,-0.95262,-0.00609,0.73514,0.00732,0.56514
1.3087,2.02410,-1.34940,-0.47049,-0.96686,-0.00618,0.73513,0.00750,0.56513
1.3207,2.07504,-1.38336,-0.48227,-0.98114,-0.00627,0.73513,0.00769,0.56513
1.3327,2.12674,-1.41782,-0.49422,-0.99547,-0.00636,0.73512,0.00789,0.56512
1.3447,2.17918,-1.45279,-0.50635,-1.00983,-0.00645,0.73511,0.00808,0.56511
1.3567,2.23238,-1.48825,-0.51864,-1.02423,-0.00654,0.73511,0.00828,0.56511
1.3687,2.28633,-1.52422,-0.53111,-1.03866,-0.00664,0.73510,0.00848,0.56510
1.3807,2.34103,-1.56069,-0.54376,-1.05313,-0.00673,0.73509,0.00868,0.56509
1.3927,2.39650,-1.59767,-0.55658,-1.06763,-0.00682,0.73508,0.00889,0.56508
1.4047,2.45272,-1.63515,-0.56957,-1.08216,-0.00691,0.73508,0.00910,0.56508
1.4167,2.50971,-1.67314,-0.58274,-1.09672,-0.00701,0.73507,0.00931,0.56507
1.4287,2.56746,-1.71164,-0.59608,-1.11131,-0.00710,0.73506,0.00953,0.56506
1.4407,2.62597,-1.75065,-0.60960,-1.12592,-0.00719,0.73505,0.00974,0.56505
1.4527,2.68525,-1.79017,-0.62329,-1.14057,-0.00729,0.73504,0.00996,0.56504
1.4647,2.74530,-1.83020,-0.63716,-1.15523,-0.00738,0.73503,0.01019,0.56503
1.4767,2.80612,-1.87074,-0.65120,-1.16992,-0.00748,0.73502,0.01041,0.56502
1.4887,2.86770,-1.91180,-0.66543,-1.18463,-0.00757,0.73501,0.01064,0.56501
1.5008,2.93006,-1.95337,-0.67983,-1.19936,-0.00766,0.73500,0.01088,0.56500
1.5128,2.99319,-1.99546,-0.69440,-1.21411,-0.00776,0.73499,0.01111,0.56499
1.5248,3.05709,-2.03806,-0.70916,-1.22888,-0.00785,0.73498,0.01135,0.56498
1.5368,3.12177,-2.08118,-0.72409,-1.24367,-0.00795,0.73497,0.01159,0.56497
1.5488,3.18722,-2.12481,-0.73920,-1.25846,-0.00804,0.73496,0.01183,0.56496
1.5608,3.25344,-2.16896,-0.75449,-1.27328,-0.00814,0.73494,0.01208,0.56494
1.5728,3.32045,-2.21363,-0.76995,-1.28810,-0.00823,0.73493,0.01233,0.56493
1.5848,3.38823,-2.25882,-0.78559,-1.30294,-0.00833,0.73492,0.01258,0.56492
1.5968,3.45679,-2.30452,-0.80141,-1.31778,-0.00842,0.73491,0.01284,0.56491
1.6088,3.52612,-2.35075,-0.81741,-1.33263,-0.00852,0.73489,0.01310,0.56489
1.6208,3.59624,-2.39749,-0.83359,-1.34749,-0.00861,0.73488,0.01336,0.56488
1.6328,3.66713,-2.44475,-0.84995,-1.36236,-0.00870,0.73486,0.01362,0.56486
1.6448,3.73881,-2.49254,-0.86648,-1.37723,-0.00880,0.73485,0.01389,0.56485
1.6568,3.81126,-2.54084,-0.88320,-1.39210,-0.00890,0.73483,0.01416,0.56483
1.6688,3.88449,-2.58966,-0.90009,-1.40698,-0.00899,0.73481,0.01443,0.56481
1.6808,3.95850,-2.63900,-0.91716,-1.42186,-0.00909,0.73480,0.01471,0.56480
1.6928,4.03330,-2.68887,-0.93441,-1.43673,-0.00918,0.73478,0.01499,0.56478
1.7049,4.10887,-2.73925,-0.95184,-1.45160,-0.00928,0.73476,0.01527,0.56476
1.7169,4.18523,-2.79015,-0.96944,-1.46647,-0.00937,0.73474,0.01555,0.56474
1.7289,4.26236,-2.84157,-0.98723,-1.48134,-0.00947,0.73473,0.01584,0.56473
1.7409,4.34027,-2.89352,-1.00519,-1.49620,-0.00956,0.73471,0.01613,0.56471
1.7529,4.41897,-2.94598,-1.02333,-1.51105,-0.00965,0.73469,0.01642,0.56469
1.7649,4.49844,-2.99896,-1.04165,-1.52590,-0.00975,0.73467,0.01672,0.56467
1.7769,4.57869,-3.05246,-1.06015,-1.54073,-0.00984,0.73464,0.01702,0.56464
1.7889,4.65972,-3.10648,-1.07883,-1.55556,-0.00994,0.73462,0.01732,0.56462
1.8009,4.74153,-3.16102,-1.09768,-1.57037,-0.01003,0.73460,0.01762,0.56460
1.8129,4.82412,-3.21608,-1.11671,-1.58517,-0.01013,0.73458,0.01793,0.56458
1.8249,4.90748,-3.27165,-1.13592,-1.59996,-0.01022,0.73455,0.01824,0.56455
1.8369,4.99162,-3.32775,-1.15531,-1.61473,-0.01032,0.73453,0.01856,0.56453
1.8489,5.07653,-3.38436,-1.17487,-1.62948,-0.01041,0.73451,0.01887,0.56451
1.8609,5.16222,-3.44148,-1.19461,-1.64422,-0.01051,0.73448,0.01919,0.56448
1.8729,5.24869,-3.49912,-1.21453,-1.65894,-0.01060,0.73445,0.01951,0.56445
1.8849,5.33592,-3.55728,-1.23462,-1.67363,-0.01069,0.73443,0.01984,0.56443
1.8969,5.42393,-3.61596,-1.25489,-1.68831,-0.01079,0.73440,0.02017,0.56440
1.9090,5.51271,-3.67514,-1.27534,-1.70296,-0.01088,0.73437,0.02050,0.56437
1.9210,5.60226,-3.73484,-1.29596,-1.71759,-0.01097,0.73434,0.02083,0.56434
1.9330,5.69258,-3.79505,-1.31676,-1.73219,-0.01107,0.73431,0.02117,0.56431
1.9450,5.78367,-3.85578,-1.33773,-1.74677,-0.01116,0.73428,0.02151,0.56428
1.9570,5.87552,-3.91701,-1.35888,-1.76132,-0.01125,0.73425,0.02185,0.56425
1.9690,5.96814,-3.97876,-1.38020,-1.77585,-0.01135,0.73422,0.02219,0.56422
1.9810,6.06152,-4.04102,-1.40169,-1.79034,-0.01144,0.73419,0.02254,0.56419
1.9930,6.15567,-4.10378,-1.42336,-1.80480,-0.01153,0.73416,0.02289,0.56416
2.0050,6.25057,-4.16705,-1.44520,-1.81924,-0.01162,0.73412,0.02324,0.56412
2.0170,6.34624,-4.23083,-1.46722,-1.83363,-0.01172,0.73409,0.02360,0.56409
2.0290,6.44266,-4.29511,-1.48940,-1.84800,-0.01181,0.73405,0.02396,0.56405
2.0410,6.53984,-4.35989,-1.51176,-1.86233,-0.01190,0.73401,0.02432,0.56401
2.0530,6.63778,-4.42518,-1.53429,-1.87662,-0.01199,0.73398,0.02469,0.56398
2.0650,6.73646,-4.49098,-1.55700,-1.89088,-0.01208,0.73394,0.02505,0.56394
2.0770,6.83590,-4.55727,-1.57987,-1.90510,-0.01217,0.73390,0.02542,0.56390
2.0890,6.93609,-4.62406,-1.60291,-1.91928,-0.01226,0.73386,0.02580,0.56386
2.1011,7.03702,-4.69135,-1.62612,-1.93341,-0.01235,0.73382,0.02617,0.56382
2.1131,7.13870,-4.75914,-1.64951,-1.94751,-0.01244,0.73378,0.02655,0.56378
2.1251,7.24113,-4.82742,-1.67306,-1.96156,-0.01253,0.73373,0.02693,0.56373
2.1371,7.34429,-4.89620,-1.69677,-1.97558,-0.01262,0.73369,0.02732,0.56369
2.1491,7.44820,-4.96547,-1.72066,-1.98954,-0.01271,0.73365,0.02770,0.56365
2.1611,7.55284,-5.03523,-1.74471,-2.00346,-0.01280,0.73360,0.02809,0.56360
2.1731,7.65822,-5.10548,-1.76893,-2.01733,-0.01289,0.73355,0.02848,0.56355
2.1851,7.76433,-5.17622,-1.79332,-2.03116,-0.01298,0.73351,0.02888,0.56351
2.1971,7.87116,-5.24744,-1.81787,-2.04494,-0.01306,0.73346,0.02928,0.56346
2.2091,7.97873,-5.31915,-1.84259,-2.05866,-0.01315,0.73341,0.02968,0.56341
2.2211,8.08703,-5.39135,-1.86747,-2.07234,-0.01324,0.73336,0.03008,0.56336
2.2331,8.19604,-5.46403,-1.89251,-2.08596,-0.01333,0.73331,0.03048,0.56331
2.2451,8.30578,-5.53719,-1.91772,-2.09953,-0.01341,0.73326,0.03089,0.56326
2.2571,8.41623,-5.61082,-1.94309,-2.11305,-0.01350,0.73320,0.03130,0.56320
2.2691,8.52740,-5.68494,-1.96862,-2.12651,-0.01359,0.73315,0.03172,0.56315
2.2811,8.63929,-5.75953,-1.99431,-2.13992,-0.01367,0.73309,0.03213,0.56309
2.2931,8.75188,-5.83459,-2.02016,-2.15327,-0.01376,0.73304,0.03255,0.56304
2.3052,8.86518,-5.91012,-2.04618,-2.16656,-0.01384,0.73298,0.03297,0.56298
2.3172,8.97919,-5.98613,-2.07235,-2.17979,-0.01393,0.73292,0.03339,0.56292
2.3292,9.09390,-6.06260,-2.09868,-2.19296,-0.01401,0.73286,0.03382,0.56286
2.3412,9.20930,-6.13953,-2.12516,-2.20608,-0.01409,0.73280,0.03425,0.56280
2.3532,9.32541,-6.21694,-2.15180,-2.21913,-0.01418,0.73274,0.03468,0.56274
2.3652,9.44220,-6.29480,-2.17860,-2.23211,-0.01426,0.73267,0.03512,0.56267
2.3772,9.55969,-6.37312,-2.20556,-2.24504,-0.01434,0.73261,0.03555,0.56261
2.3892,9.67786,-6.45191,-2.23267,-2.25790,-0.01442,0.73254,0.03599,0.56254
2.4012,9.79672,-6.53114,-2.25993,-2.27069,-0.01451,0.73248,0.03643,0.56248
2.4132,9.91625,-6.61084,-2.28734,-2.28342,-0.01459,0.73241,0.03688,0.56241
2.4252,10.03647,-6.69098,-2.31491,-2.29608,-0.01467,0.73234,0.03732,0.56234
2.4372,10.15736,-6.77157,-2.34263,-2.30867,-0.01475,0.73227,0.03777,0.56227
2.4492,10.27892,-6.85261,-2.37050,-2.32119,-0.01483,0.73220,0.03822,0.56220
2.4612,10.40115,-6.93410,-2.39851,-2.33365,-0.01491,0.73212,0.03868,0.56212
2.4732,10.52404,-7.01603,-2.42668,-2.34603,-0.01499,0.73205,0.03913,0.56205
2.4852,10.64759,-7.09840,-2.45499,-2.35834,-0.01507,0.73197,0.03959,0.56197
2.4972,10.77180,-7.18120,-2.48345,-2.37058,-0.01514,0.73190,0.04005,0.56190
2.5093,10.89667,-7.26445,-2.51206,-2.38274,-0.01522,0.73182,0.04051,0.56182
2.5213,11.02219,-7.34812,-2.54081,-2.39483,-0.01530,0.73174,0.04098,0.56174
2.5333,11.14835,-7.43223,-2.56971,-2.40684,-0.01537,0.73166,0.04145,0.56166
2.5453,11.27515,-7.51677,-2.59875,-2.41878,-0.01545,0.73158,0.04192,0.56158
2.5573,11.40260,-7.60173,-2.62793,-2.43064,-0.01553,0.73149,0.04239,0.56149
2.5693,11.53068,-7.68712,-2.65726,-2.44243,-0.01560,0.73141,0.04286,0.56141
2.5813,11.65939,-7.77293,-2.68672,-2.45413,-0.01568,0.73132,0.04334,0.56132
2.5933,11.78874,-7.85916,-2.71633,-2.46576,-0.01575,0.73123,0.04382,0.56123
2.6053,11.91870,-7.94580,-2.74607,-2.47730,-0.01582,0.73114,0.04430,0.56114
2.6173,12.04929,-8.03286,-2.77595,-2.48877,-0.01590,0.73105,0.04478,0.56105
2.6293,12.18050,-8.12033,-2.80596,-2.50015,-0.01597,0.73096,0.04527,0.56096
2.6413,12.31232,-8.20821,-2.83612,-2.51145,-0.01604,0.73087,0.04576,0.56087
2.6533,12.44474,-8.29649,-2.86640,-2.52267,-0.01611,0.73077,0.04625,0.56077
2.6653,12.57777,-8.38518,-2.89682,-2.53380,-0.01618,0.73068,0.04674,0.56068
2.6773,12.71141,-8.47427,-2.92738,-2.54484,-0.01625,0.73058,0.04723,0.56058
2.6893,12.84564,-8.56376,-2.95806,-2.55581,-0.01632,0.73048,0.04773,0.56048
2.7014,12.98046,-8.65364,-2.98888,-2.56668,-0.01639,0.73038,0.04823,0.56038
2.7134,13.11587,-8.74391,-3.01982,-2.57747,-0.01646,0.73028,0.04873,0.56028
2.7254,13.25187,-8.83458,-3.05090,-2.58817,-0.01653,0.73017,0.04923,0.56017
2.7374,13.38844,-8.92563,-3.08210,-2.59878,-0.01660,0.73007,0.04974,0.56007
2.7494,13.52560,-9.01706,-3.11343,-2.60930,-0.01667,0.72996,0.05024,0.55996
2.7614,13.66332,-9.10888,-3.14488,-2.61973,-0.01673,0.72985,0.05075,0.55985
2.7734,13.80161,-9.20108,-3.17646,-2.63007,-0.01680,0.72974,0.05126,0.55974
2.7854,13.94047,-9.29365,-3.20815,-2.64032,-0.01686,0.72963,0.05178,0.55963
2.7974,14.07988,-9.38659,-3.23998,-2.65048,-0.01693,0.72952,0.05229,0.55952
2.8094,14.21985,-9.47990,-3.27192,-2.66054,-0.01699,0.72941,0.05281,0.55941
2.8214,14.36037,-9.57358,-3.30398,-2.67051,-0.01706,0.72929,0.05333,0.55929
2.8334,14.50143,-9.66762,-3.33616,-2.68039,-0.01712,0.72917,0.05385,0.55917
2.8454,14.64304,-9.76202,-3.36846,-2.69017,-0.01718,0.72905,0.05437,0.55905
2.8574,14.78518,-9.85679,-3.40087,-2.69985,-0.01724,0.72893,0.05489,0.55893
2.8694,14.92785,-9.95190,-3.43340,-2.70944,-0.01730,0.72881,0.05542,0.55881
2.8814,15.07105,-10.04737,-3.46605,-2.71893,-0.01736,0.72869,0.05594,0.55869
2.8934,15.21477,-10.14318,-3.49880,-2.72832,-0.01742,0.72856,0.05647,0.55856
2.9055,15.35901,-10.23934,-3.53167,-2.73762,-0.01748,0.72843,0.05701,0.55843
2.9175,15.50377,-10.33584,-3.56465,-2.74682,-0.01754,0.72830,0.05754,0.55830
2.9295,15.64903,-10.43268,-3.59774,-2.75591,-0.01760,0.72817,0.05807,0.55817
2.9415,15.79479,-10.52986,-3.63093,-2.76491,-0.01766,0.72804,0.05861,0.55804
2.9535,15.94106,-10.62737,-3.66424,-2.77381,-0.01771,0.72791,0.05915,0.55791
2.9655,16.08781,-10.72521,-3.69764,-2.78260,-0.01777,0.72777,0.05969,0.55777
2.9775,16.23506,-10.82337,-3.73116,-2.79130,-0.01782,0.72763,0.06023,0.55763
2.9895,16.38279,-10.92186,-3.76477,-2.79989,-0.01788,0.72750,0.06077,0.55750
3.0015,16.53100,-11.02067,-3.79849,-2.80837,-0.01793,0.72735,0.06132,0.55735
3.0135,16.67969,-11.11979,-3.83231,-2.81676,-0.01799,0.72721,0.06186,0.55721
3.0255,16.82884,-11.21923,-3.86622,-2.82504,-0.01804,0.72707,0.06241,0.55707
3.0375,16.97846,-11.31898,-3.90024,-2.83321,-0.01809,0.72692,0.06296,0.55692
3.0495,17.12854,-11.41903,-3.93435,-2.84128,-0.01814,0.72677,0.06351,0.55677
3.0615,17.27908,-11.51938,-3.96856,-2.84925,-0.01819,0.72662,0.06406,0.55662
3.0735,17.43006,-11.62004,-4.00286,-2.85711,-0.01824,0.72647,0.06462,0.55647
3.0855,17.58149,-11.72099,-4.03726,-2.86486,-0.01829,0.72632,0.06517,0.55632
3.0975,17.73335,-11.82223,-4.07174,-2.87250,-0.01834,0.72617,0.06573,0.55617
3.1096,17.88565,-11.92377,-4.10632,-2.88004,-0.01839,0.72601,0.06628,0.55601
3.1216,18.03838,-12.02559,-4.14099,-2.88747,-0.01844,0.72585,0.06684,0.55585
3.1336,18.19153,-12.12769,-4.17574,-2.89478,-0.01848,0.72569,0.06740,0.55569
3.1456,18.34511,-12.23007,-4.21059,-2.90199,-0.01853,0.72553,0.06797,0.55553
3.1576,18.49909,-12.33273,-4.24551,-2.90910,-0.01857,0.72537,0.06853,0.55537
3.1696,18.65348,-12.43565,-4.28052,-2.91609,-0.01862,0.72520,0.06909,0.55520
3.1816,18.80828,-12.53885,-4.31562,-2.92297,-0.01866,0.72503,0.06966,0.55503
3.1936,18.96347,-12.64231,-4.35079,-2.92973,-0.01870,0.72486,0.07023,0.55486
3.2056,19.11905,-12.74604,-4.38604,-2.93639,-0.01875,0.72469,0.07080,0.55469
3.2176,19.27503,-12.85002,-4.42138,-2.94294,-0.01879,0.72452,0.07136,0.55452
3.2296,19.43138,-12.95425,-4.45679,-2.94937,-0.01883,0.72435,0.07194,0.55435
3.2416,19.58811,-13.05874,-4.49227,-2.95569,-0.01887,0.72417,0.07251,0.55417
3.2536,19.74521,-13.16347,-4.52783,-2.96190,-0.01891,0.72399,0.07308,0.55399
3.2656,19.90267,-13.26845,-4.56347,-2.96800,-0.01895,0.72381,0.07365,0.55381
3.2776,20.06049,-13.37366,-4.59917,-2.97398,-0.01899,0.72363,0.07423,0.55363
3.2896,20.21867,-13.47911,-4.63495,-2.97984,-0.01902,0.72345,0.07481,0.55345
3.3017,20.37720,-13.58480,-4.67079,-2.98560,-0.01906,0.72326,0.07538,0.55326
3.3137,20.53607,-13.69071,-4.70671,-2.99123,-0.01909,0.72307,0.07596,0.55307
3.3257,20.69527,-13.79685,-4.74269,-2.99675,-0.01913,0.72289,0.07654,0.55289
3.3377,20.85481,-13.90321,-4.77873,-3.00216,-0.01916,0.72269,0.07712,0.55269
3.3497,21.01468,-14.00979,-4.81484,-3.00745,-0.01920,0.72250,0.07770,0.55250
3.3617,21.17487,-14.11658,-4.85101,-3.01263,-0.01923,0.72231,0.07828,0.55231
3.3737,21.33537,-14.22358,-4.88724,-3.01769,-0.01926,0.72211,0.07887,0.55211
