fastener_instance,pair_id,layer,thread_candidate,underhead_length_mm,nominal_grip_mm,head_diameter_mm,washer_outer_diameter_max_mm,stack_from_head,direction,material_grade,effective_thread_engagement,preload,locking,identity
upper_deck_fastener_-1_50,DA_upper_s-1_x50,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(upper_deck_angle_-1_1:2.995+upper_equipment_deck:2.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_deck_fastener_-1_140,DA_upper_s-1_x140,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(upper_deck_angle_-1_1:2.995+upper_equipment_deck:2.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_deck_fastener_1_-150,DA_upper_s+1_x-150,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(upper_deck_angle_1_0:2.995+upper_equipment_deck:2.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_deck_fastener_1_-50,DA_upper_s+1_x-50,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(upper_deck_angle_1_0:2.995+upper_equipment_deck:2.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_deck_fastener_1_50,DA_upper_s+1_x50,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(upper_deck_angle_1_1:2.995+upper_equipment_deck:2.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_deck_fastener_1_140,DA_upper_s+1_x140,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(upper_deck_angle_1_1:2.995+upper_equipment_deck:2.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_angle_web_fastener_-1_0_-130,AW_lower_s-1_seg0_x-130,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(lower_deck_angle_-1_0:2.995+shear_web_-1:2.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_angle_web_fastener_-1_0_-70,AW_lower_s-1_seg0_x-70,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(lower_deck_angle_-1_0:2.995+shear_web_-1:2.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_angle_web_fastener_-1_1_60,AW_lower_s-1_seg1_x60,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(lower_deck_angle_-1_1:2.995+shear_web_-1:2.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_angle_web_fastener_-1_1_130,AW_lower_s-1_seg1_x130,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(lower_deck_angle_-1_1:2.995+shear_web_-1:2.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_angle_web_fastener_1_0_-130,AW_lower_s+1_seg0_x-130,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(lower_deck_angle_1_0:2.995+shear_web_1:1.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_angle_web_fastener_1_0_-70,AW_lower_s+1_seg0_x-70,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(lower_deck_angle_1_0:2.995+shear_web_1:1.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_angle_web_fastener_1_1_60,AW_lower_s+1_seg1_x60,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(lower_deck_angle_1_1:2.995+shear_web_1:2.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_angle_web_fastener_1_1_130,AW_lower_s+1_seg1_x130,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(lower_deck_angle_1_1:2.995+shear_web_1:2.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_angle_web_fastener_-1_0_-130,AW_upper_s-1_seg0_x-130,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(upper_deck_angle_-1_0:2.995+shear_web_-1:1.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_angle_web_fastener_-1_0_-70,AW_upper_s-1_seg0_x-70,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(upper_deck_angle_-1_0:2.995+shear_web_-1:2.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_angle_web_fastener_-1_1_60,AW_upper_s-1_seg1_x60,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(upper_deck_angle_-1_1:2.995+shear_web_-1:2.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_angle_web_fastener_-1_1_130,AW_upper_s-1_seg1_x130,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(upper_deck_angle_-1_1:2.995+shear_web_-1:2.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_angle_web_fastener_1_0_-130,AW_upper_s+1_seg0_x-130,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(upper_deck_angle_1_0:2.995+shear_web_1:1.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_angle_web_fastener_1_0_-70,AW_upper_s+1_seg0_x-70,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(upper_deck_angle_1_0:2.995+shear_web_1:1.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_angle_web_fastener_1_1_60,AW_upper_s+1_seg1_x60,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(upper_deck_angle_1_1:2.995+shear_web_1:2.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_angle_web_fastener_1_1_130,AW_upper_s+1_seg1_x130,angle_to_shear_web,M3_UNSELECTED,10,5,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_5mm(upper_deck_angle_1_1:2.995+shear_web_1:2.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,从剪力板外侧向内，侧盖安装前,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
