t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_R1,eta_R2,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.1100,19.251371,0.273657,19.248769,0.214945,1.594215,0.447945,1.834713,-1.407265,1.043222,-3.83498305e-04,3.18196526e-05,2.88771630e-04,-1.91084952e-05,6.32111847e-01,9.33391057e-02,1.96216380e-02,2.99976846e+00,1.91362297e-07,4.163e-16,3.553e-15
0.1200,19.256217,0.296014,19.253155,0.234402,1.594285,0.447622,1.834731,-1.509948,1.121222,-4.11517463e-04,3.41047491e-05,3.10265793e-04,-2.06340073e-05,6.32116001e-01,9.33376742e-02,1.96197801e-02,2.99976737e+00,1.99619706e-07,2.619e-16,3.553e-15
0.1300,19.261090,0.318375,19.257532,0.253862,1.594353,0.447298,1.834750,-1.589311,1.184409,-4.37849166e-04,3.11950738e-05,3.30576405e-04,-1.89715263e-05,6.32119693e-01,9.33361305e-02,1.96203855e-02,2.99976447e+00,2.07132220e-07,1.613e-16,8.882e-16
0.1400,19.265990,0.340738,19.261897,0.273324,1.594415,0.446973,1.834773,-1.646581,1.233418,-4.62390281e-04,2.35558146e-05,3.49624153e-04,-1.43875581e-05,6.32121990e-01,9.33342526e-02,1.96282767e-02,2.99975627e+00,2.16408273e-07,4.441e-16,3.109e-15
0.1500,19.270917,0.363105,19.266253,0.292789,1.594470,0.446644,1.834800,-1.685452,1.270410,-4.85044530e-04,1.23732184e-05,3.67334906e-04,-7.59391432e-06,6.32122118e-01,9.33318569e-02,1.96474329e-02,2.99973989e+00,2.28385535e-07,4.025e-16,4.441e-16
0.1600,19.275871,0.385474,19.270597,0.312256,1.594514,0.446312,1.834833,-1.711460,1.298698,-5.05722939e-04,-6.29556731e-07,3.83639958e-04,3.62788250e-07,6.32119591e-01,9.33288278e-02,1.96803687e-02,2.99971350e+00,2.41902556e-07,1.422e-16,8.882e-16
0.1700,19.280852,0.407845,19.274932,0.331726,1.594547,0.445976,1.834873,-1.731089,1.322202,-5.24344291e-04,-1.34579284e-05,3.98476243e-04,8.26234575e-06,6.32114285e-01,9.33251353e-02,1.97277372e-02,2.99967665e+00,2.54413976e-07,6.418e-16,4.441e-16
0.1800,19.285859,0.430220,19.279256,0.351199,1.594571,0.445637,1.834919,-1.750733,1.344818,-5.40835565e-04,-2.41518182e-05,4.11786518e-04,1.48980740e-05,6.32106460e-01,9.33208412e-02,1.97882147e-02,2.99963031e+00,2.63519630e-07,7.251e-16,1.332e-15
0.1900,19.290893,0.452597,19.283569,0.370675,1.594588,0.445295,1.834969,-1.775683,1.369791,-5.55132336e-04,-3.10851031e-05,4.23519521e-04,1.92611149e-05,6.32096723e-01,9.33160896e-02,1.98586838e-02,2.99957674e+00,2.68403548e-07,4.996e-16,7.772e-16
0.2000,19.295954,0.474976,19.287871,0.390153,1.594600,0.444952,1.835021,-1.809293,1.399195,-5.67179120e-04,-3.32128464e-05,4.33630125e-04,2.06937955e-05,6.32085937e-01,9.33110861e-02,1.99346875e-02,2.99951919e+00,2.70338728e-07,4.007e-16,4.441e-16
0.2100,19.301041,0.497357,19.292163,0.409634,1.594612,0.444610,1.835073,-1.852443,1.433602,-5.76929650e-04,-3.02287237e-05,4.42079480e-04,1.89887294e-05,6.32075096e-01,9.33060671e-02,2.00110863e-02,2.99946138e+00,2.71968219e-07,4.927e-16,3.553e-15
0.2200,19.306155,0.519742,19.296445,0.429119,1.594628,0.444269,1.835124,-1.903395,1.471978,-5.84347067e-04,-2.26089389e-05,4.48835158e-04,1.44187351e-05,6.32065175e-01,9.33012647e-02,2.00828193e-02,2.99940697e+00,2.75793235e-07,3.886e-16,5.551e-16
0.2300,19.311296,0.542128,19.300715,0.448605,1.594650,0.443930,1.835171,-1.958049,1.511831,-5.89404025e-04,-1.15363607e-05,4.53871291e-04,7.69326827e-06,6.32056985e-01,9.32968726e-02,2.01456541e-02,2.99935899e+00,2.82760832e-07,6.210e-16,4.441e-16
0.2400,19.316463,0.564517,19.304975,0.468095,1.594680,0.443595,1.835212,-2.010563,1.549586,-5.92082724e-04,1.28305135e-06,4.57168715e-04,-1.51683665e-07,6.32051056e-01,9.32930178e-02,2.01968087e-02,2.99931945e+00,2.91778177e-07,4.111e-16,8.882e-16
0.2500,19.321657,0.586909,19.309225,0.487587,1.594719,0.443263,1.835248,-2.054246,1.581125,-5.92374863e-04,1.38830509e-05,4.58715089e-04,-7.91316364e-06,6.32047563e-01,9.32897427e-02,2.02353487e-02,2.99928902e+00,3.00430221e-07,1.353e-16,8.882e-16
0.2600,19.326877,0.609303,19.313464,0.507082,1.594766,0.442935,1.835279,-2.082581,1.602412,-5.90281551e-04,2.43386582e-05,4.58505009e-04,-1.44056906e-05,6.32046303e-01,9.32869998e-02,2.02622987e-02,2.99926696e+00,3.06469279e-07,1.046e-15,1.332e-15
0.2700,19.332124,0.631700,19.317693,0.526579,1.594820,0.442609,1.835306,-2.090216,1.610110,-5.85813180e-04,3.10602201e-05,4.56540080e-04,-1.86423109e-05,6.32046735e-01,9.32846613e-02,2.02804501e-02,2.99925124e+00,3.09195452e-07,4.372e-16,2.220e-15
0.2800,19.337398,0.654100,19.321911,0.546079,1.594877,0.442284,1.835331,-2.073785,1.602083,-5.78989283e-04,3.30350611e-05,4.52828955e-04,-1.99846079e-05,6.32048067e-01,9.32825396e-02,2.02938983e-02,2.99923893e+00,3.09917811e-07,8.153e-16,8.882e-16
0.2900,19.342698,0.676503,19.326119,0.565581,1.594934,0.441959,1.835357,-2.032427,1.577729,-5.69838392e-04,2.99799956e-05,4.47387323e-04,-1.82388725e-05,6.32049386e-01,9.32804175e-02,2.03073816e-02,2.99922660e+00,3.11231948e-07,1.020e-15,3.997e-15
0.3000,19.348025,0.698908,19.330316,0.585086,1.594987,0.441633,1.835384,-1.967916,1.538070,-5.58397910e-04,2.23817424e-05,4.40237850e-04,-1.36839525e-05,6.32049797e-01,9.32780830e-02,2.03255272e-02,2.99921094e+00,3.15546157e-07,9.003e-16,1.332e-15
0.3100,19.353378,0.721316,19.334503,0.604593,1.595035,0.441304,1.835414,-1.884405,1.485601,-5.44713984e-04,1.14195039e-05,4.31410068e-04,-7.02679515e-06,6.32048573e-01,9.32753625e-02,2.03521196e-02,2.99918920e+00,3.23725947e-07,1.017e-15,2.220e-15
0.3200,19.358758,0.743727,19.338680,0.624103,1.595075,0.440972,1.835450,-1.787801,1.423919,-5.28841397e-04,-1.21799160e-06,4.20940212e-04,7.07242505e-07,6.32045262e-01,9.32721489e-02,2.03895015e-02,2.99915972e+00,3.34650440e-07,2.394e-16,2.220e-15
0.3300,19.364165,0.766140,19.342845,0.643615,1.595106,0.440636,1.835490,-1.684886,1.357187,-5.10843449e-04,-1.35926067e-05,4.08871019e-04,8.33229924e-06,6.32039765e-01,9.32684183e-02,2.04381990e-02,2.99912211e+00,3.45932963e-07,1.665e-16,4.441e-16
0.3400,19.369598,0.788555,19.347001,0.663130,1.595131,0.440298,1.835534,-1.582309,1.289517,-4.90791818e-04,-2.38140094e-05,3.95251495e-04,1.46838181e-05,6.32032352e-01,9.32642346e-02,2.04968222e-02,2.99907739e+00,3.55373134e-07,1.874e-16,1.776e-15
0.3500,19.375057,0.810973,19.351145,0.682648,1.595151,0.439957,1.835582,-1.485605,1.224367,-4.68766386e-04,-3.03284114e-05,3.80136657e-04,1.87963864e-05,6.32023622e-01,9.32597409e-02,2.05622588e-02,2.99902781e+00,3.62282046e-07,1.077e-15,1.332e-15
0.3600,19.380542,0.833394,19.355279,0.702168,1.595169,0.439616,1.835630,-1.398395,1.164041,-4.44855011e-04,-3.21547326e-05,3.63587269e-04,2.00504513e-05,6.32014419e-01,9.32551377e-02,2.06301290e-02,2.99897652e+00,3.67903433e-07,2.776e-16,1.332e-15
0.3700,19.386054,0.855817,19.359403,0.721691,1.595189,0.439275,1.835677,-1.321887,1.109377,-4.19153231e-04,-2.90323006e-05,3.45669569e-04,1.82656196e-05,6.32005702e-01,9.32506535e-02,2.06954346e-02,2.99892711e+00,3.74690319e-07,1.232e-16,2.665e-15
0.3800,19.391592,0.878242,19.363516,0.741217,1.595214,0.438936,1.835721,-1.254746,1.059650,-3.91763896e-04,-2.14578592e-05,3.26454998e-04,1.37264941e-05,6.31998402e-01,9.32465108e-02,2.07533037e-02,2.99888309e+00,3.84870251e-07,7.477e-16,1.332e-15
0.3900,19.397156,0.900670,19.367618,0.760745,1.595247,0.438600,1.835760,-1.193362,1.012735,-3.62796719e-04,-1.06066655e-05,3.06019936e-04,7.13736712e-06,6.31993285e-01,9.32428924e-02,2.07997175e-02,2.99884733e+00,3.99146309e-07,6.540e-16,1.332e-15
0.4000,19.402747,0.923100,19.371709,0.780275,1.595291,0.438268,1.835793,-1.132464,0.965466,-3.32367770e-04,1.84981133e-06,2.84445436e-04,-4.87030505e-07,6.31990839e-01,9.32399153e-02,2.08321067e-02,2.99882167e+00,4.16294934e-07,8.483e-16,3.553e-15
0.4100,19.408364,0.945533,19.375790,0.799809,1.595345,0.437939,1.835819,-1.065992,0.914173,-3.00598907e-04,1.40013165e-05,2.61816957e-04,-7.97778022e-06,6.31991203e-01,9.32376133e-02,2.08497241e-02,2.99880663e+00,4.33889540e-07,3.331e-16,4.441e-16
0.4200,19.414007,0.967968,19.379861,0.819344,1.595409,0.437614,1.835839,-0.988089,0.855284,-2.67617173e-04,2.39917203e-05,2.38224079e-04,-1.41909707e-05,6.31994150e-01,9.32359331e-02,2.08537377e-02,2.99880138e+00,4.49716674e-07,2.776e-16,2.220e-16
0.4300,19.419676,0.990407,19.383921,0.838882,1.595481,0.437291,1.835855,-0.894053,0.785915,-2.33554187e-04,3.03025050e-05,2.13760213e-04,-1.81823687e-05,6.31999126e-01,9.32347435e-02,2.08470276e-02,2.99880387e+00,4.63048624e-07,1.077e-15,1.776e-15
0.4400,19.425372,1.012848,19.387971,0.858422,1.595558,0.436970,1.835867,-0.781125,0.704358,-1.98545521e-04,3.19835336e-05,1.88522265e-04,-1.93508973e-05,6.32005338e-01,9.32338562e-02,2.08337227e-02,2.99881112e+00,4.75027320e-07,3.105e-16,4.441e-16
0.4500,19.431094,1.035292,19.392010,0.877964,1.595636,0.436648,1.835879,-0.648968,0.610385,-1.62730115e-04,2.87960378e-05,1.62610287e-04,-1.75291226e-05,6.32011880e-01,9.32330555e-02,2.08185498e-02,2.99881975e+00,4.87941763e-07,3.331e-16,1.221e-15
0.4600,19.436843,1.057738,19.396039,0.897509,1.595712,0.436325,1.835892,-0.499776,0.505327,-1.26249715e-04,2.12463146e-05,1.36127079e-04,-1.30071325e-05,6.32017872e-01,9.32321318e-02,2.08060971e-02,2.99882647e+00,5.03832244e-07,6.158e-16,2.220e-15
0.4700,19.442617,1.080188,19.400057,0.917056,1.595784,0.436000,1.835907,-0.338006,0.391917,-8.92483394e-05,1.05054109e-05,1.09177764e-04,-6.48642093e-06,6.32022596e-01,9.32309141e-02,2.08001056e-02,2.99882859e+00,5.23246313e-07,2.776e-16,5.551e-16
0.4800,19.448418,1.102640,19.404065,0.936605,1.595849,0.435672,1.835926,-0.169757,0.273920,-5.18717899e-05,-1.77247868e-06,8.18693337e-05,1.02890273e-06,6.32025609e-01,9.32292960e-02,2.08028966e-02,2.99882443e+00,5.44876029e-07,1.204e-15,8.882e-16
0.4900,19.454245,1.125095,19.408063,0.956156,1.595908,0.435341,1.835949,-0.001906,0.155607,-1.42671718e-05,-1.37047464e-05,5.43101680e-05,8.38671134e-06,6.32026804e-01,9.32272523e-02,2.08150194e-02,2.99881361e+00,5.66283245e-07,6.106e-16,3.553e-15
0.5000,19.460098,1.147553,19.412049,0.975710,1.595962,0.435007,1.835976,0.158871,0.041156,2.34175714e-05,-2.34690158e-05,2.66095506e-05,1.44634653e-05,6.32026435e-01,9.32248424e-02,2.08351714e-02,2.99879705e+00,5.85279721e-07,1.804e-16,2.665e-15
0.5100,19.465977,1.170013,19.416026,0.995266,1.596011,0.434671,1.836004,0.307042,-0.065934,6.10341338e-05,-2.95814447e-05,-1.12282097e-06,1.83357571e-05,6.32025068e-01,9.32222014e-02,2.08604007e-02,2.99877688e+00,6.01148074e-07,6.505e-16,1.332e-15
0.5200,19.471882,1.192476,19.419991,1.014824,1.596061,0.434335,1.836033,0.438990,-0.163314,9.84343452e-05,-3.11221903e-05,-2.87773121e-05,1.94206061e-05,6.32023500e-01,9.32195187e-02,2.08865610e-02,2.99875608e+00,6.14989365e-07,7.598e-16,1.776e-15
0.5300,19.477813,1.214941,19.423946,1.034385,1.596112,0.433999,1.836060,0.553477,-0.250091,1.35470703e-04,-2.78737835e-05,-5.62448096e-05,1.75631915e-05,6.32022632e-01,9.32170091e-02,2.09089496e-02,2.99873801e+00,6.29001207e-07,1.665e-16,3.109e-15
0.5400,19.483770,1.237409,19.427891,1.053948,1.596170,0.433666,1.836084,0.651754,-0.326900,1.71996947e-04,-2.03516050e-05,-8.34171556e-05,1.30588256e-05,6.32023332e-01,9.32148795e-02,2.09230312e-02,2.99872594e+00,6.45119323e-07,3.261e-16,1.332e-15
0.5500,19.489753,1.259879,19.431825,1.073513,1.596237,0.433335,1.836102,0.737286,-0.395744,2.07868667e-04,-9.72222944e-06,-1.10187554e-04,6.60606915e-06,6.32026300e-01,9.32132973e-02,2.09251381e-02,2.99872247e+00,6.63825561e-07,1.447e-15,1.332e-15
0.5600,19.495762,1.282352,19.435748,1.093080,1.596314,0.433008,1.836114,0.815136,-0.459635,2.42943949e-04,2.37744051e-06,-1.36450951e-04,-8.01579040e-07,6.32031964e-01,9.32123647e-02,2.09130369e-02,2.99872923e+00,6.83821395e-07,6.228e-16,4.441e-16
0.5700,19.501797,1.304828,19.439661,1.112650,1.596401,0.432684,1.836119,0.891122,-0.522071,2.77084034e-04,1.40922157e-05,-1.62104398e-04,-8.02862824e-06,6.32040409e-01,9.32121028e-02,2.08862750e-02,2.99874653e+00,7.02752551e-07,3.331e-16,2.220e-15
0.5800,19.507858,1.327307,19.443563,1.132222,1.596498,0.432363,1.836119,0.970849,-0.586450,3.10153975e-04,2.36330347e-05,-1.87047396e-04,-1.39716357e-05,6.32051369e-01,9.32124482e-02,2.08462527e-02,2.99877338e+00,7.18552157e-07,1.280e-15,1.332e-15
0.5900,19.513945,1.349789,19.447455,1.151795,1.596603,0.432045,1.836114,1.058785,-0.655502,3.42023279e-04,2.95501517e-05,-2.11182236e-04,-1.77276671e-05,6.32064263e-01,9.32132628e-02,2.07960110e-02,2.99880762e+00,7.30610212e-07,3.955e-16,8.882e-16
0.6000,19.520057,1.372274,19.451337,1.171371,1.596712,0.431728,1.836106,1.157523,-0.730821,3.72566502e-04,3.09533874e-05,-2.34414339e-04,-1.87314619e-05,6.32078285e-01,9.32143544e-02,2.07397686e-02,2.99884621e+00,7.40085187e-07,6.974e-16,1.332e-15
0.6100,19.526196,1.394761,19.455208,1.190948,1.596822,0.431411,1.836098,1.267323,-0.812580,4.01663793e-04,2.76459874e-05,-2.56652606e-04,-1.68404693e-05,6.32092524e-01,9.32155058e-02,2.06822842e-02,2.99888574e+00,7.49182222e-07,1.839e-16,2.220e-15
0.6200,19.532361,1.417252,19.459068,1.210528,1.596929,0.431092,1.836091,1.386024,-0.899468,4.29201371e-04,2.01519676e-05,-2.77809768e-04,-1.23549694e-05,6.32106102e-01,9.32165073e-02,2.06281407e-02,2.99892293e+00,7.59829974e-07,2.307e-16,4.441e-16
0.6300,19.538552,1.439746,19.462919,1.230109,1.597032,0.430771,1.836086,1.509326,-0.988846,4.55071938e-04,9.63318585e-06,-2.97802752e-04,-5.97045677e-06,6.32118305e-01,9.32171877e-02,2.05810646e-02,2.99895507e+00,7.72537536e-07,2.776e-16,3.553e-15
0.6400,19.544768,1.462242,19.466758,1.249692,1.597128,0.430447,1.836086,1.631400,-1.077117,4.79175024e-04,-2.29074980e-06,-3.16553041e-04,1.33016894e-06,6.32128686e-01,9.32174402e-02,2.05433817e-02,2.99898049e+00,7.86100893e-07,2.793e-16,5.551e-16
0.6500,19.551011,1.484741,19.470588,1.269278,1.597217,0.430120,1.836091,1.745736,-1.160240,5.01417279e-04,-1.37918298e-05,-3.33987038e-04,8.42790072e-06,6.32137133e-01,9.32172366e-02,2.05156900e-02,2.99899876e+00,7.98324585e-07,4.736e-16,4.441e-15
0.6600,19.557279,1.507244,19.474406,1.288865,1.597300,0.429790,1.836099,1.846092,-1.234312,5.21712726e-04,-2.31138635e-05,-3.50036408e-04,1.42391226e-05,6.32143876e-01,9.32166313e-02,2.04967978e-02,2.99901071e+00,8.07327103e-07,3.227e-16,3.331e-16
0.6700,19.563572,1.529748,19.478215,1.308454,1.597378,0.429458,1.836109,1.927404,-1.296130,5.39982992e-04,-2.88406211e-05,-3.64638401e-04,1.78810276e-05,6.32149449e-01,9.32157511e-02,2.04839344e-02,2.99901833e+00,8.12659355e-07,1.665e-16,1.332e-15
0.6800,19.569892,1.552256,19.482012,1.328046,1.597455,0.429126,1.836120,1.986514,-1.343644,5.56157527e-04,-3.01109581e-05,-3.77736133e-04,1.88057075e-05,6.32154604e-01,9.32147747e-02,2.04732001e-02,2.99902444e+00,8.15581094e-07,1.665e-16,1.776e-15
0.6900,19.576237,1.574766,19.485799,1.347639,1.597533,0.428794,1.836131,2.022613,-1.376239,5.70173832e-04,-2.67482541e-05,-3.89278837e-04,1.68825482e-05,6.32160188e-01,9.32139041e-02,2.04601890e-02,2.99903220e+00,8.18339366e-07,8.327e-17,1.776e-15
0.7000,19.582607,1.597279,19.489576,1.367235,1.597616,0.428464,1.836138,2.037320,-1.394798,5.81977688e-04,-1.92847146e-05,-3.99222058e-04,1.24165484e-05,6.32167013e-01,9.32133326e-02,2.04406881e-02,2.99904464e+00,8.22879660e-07,3.886e-16,8.882e-16
0.7100,19.589004,1.619795,19.493342,1.386832,1.597706,0.428136,1.836141,2.034400,-1.401538,5.91523409e-04,-8.87723882e-06,-4.07527805e-04,6.10001143e-06,6.32175722e-01,9.32132140e-02,2.04113475e-02,2.99906418e+00,8.29749871e-07,4.406e-16,8.882e-16
0.7200,19.595425,1.642313,19.497097,1.406432,1.597805,0.427811,1.836139,2.019157,-1.399647,5.98774081e-04,2.87186347e-06,-4.14164658e-04,-1.09474630e-06,6.32186693e-01,9.32136383e-02,2.03702165e-02,2.99909223e+00,8.37837980e-07,3.331e-16,8.882e-16
0.7300,19.601873,1.664834,19.500842,1.426033,1.597912,0.427490,1.836132,1.997600,-1.392779,6.03701807e-04,1.41615279e-05,-4.19107836e-04,-8.06504649e-06,6.32199971e-01,9.32146169e-02,2.03170637e-02,2.99912895e+00,8.45090055e-07,1.908e-16,4.441e-16
0.7400,19.608346,1.687359,19.504576,1.445636,1.598027,0.427172,1.836120,1.975507,-1.384476,6.06287919e-04,2.32679999e-05,-4.22339234e-04,-1.37468302e-05,6.32215265e-01,9.32160799e-02,2.02534311e-02,2.99917326e+00,8.49778779e-07,1.129e-15,2.220e-15
0.7500,19.614845,1.709886,19.508300,1.465241,1.598147,0.426855,1.836105,1.957532,-1.377624,6.06523149e-04,2.88079971e-05,-4.23847436e-04,-1.72770755e-05,6.32231980e-01,9.32178861e-02,2.01824145e-02,2.99922292e+00,8.51572974e-07,8.847e-17,4.441e-15
0.7600,19.621369,1.732416,19.512014,1.484847,1.598270,0.426539,1.836088,1.946499,-1.374007,6.04407742e-04,2.99487965e-05,-4.23627719e-04,-1.81248627e-05,6.32249315e-01,9.32198433e-02,2.01082064e-02,2.99927494e+00,8.51781222e-07,7.945e-16,2.220e-16
0.7700,19.627919,1.754949,19.515717,1.504456,1.598391,0.426223,1.836072,1.942972,-1.374034,5.99951497e-04,2.65333465e-05,-4.21682041e-04,-1.61711865e-05,6.32266371e-01,9.32217372e-02,2.00354741e-02,2.99932592e+00,8.52632160e-07,1.615e-15,3.997e-15
0.7800,19.634495,1.777485,19.519410,1.524066,1.598508,0.425904,1.836059,1.945188,-1.376686,5.93173726e-04,1.91016127e-05,-4.18019027e-04,-1.17255211e-05,6.32282291e-01,9.32233623e-02,1.99686704e-02,2.99937266e+00,8.56020331e-07,5.725e-16,3.109e-15
0.7900,19.641096,1.800024,19.523092,1.543678,1.598619,0.425584,1.836049,1.949341,-1.379680,5.84103136e-04,8.80530635e-06,-4.12653956e-04,-5.47685712e-06,6.32296385e-01,9.32245529e-02,1.99113822e-02,2.99941255e+00,8.62456701e-07,1.374e-15,3.553e-15
0.8000,19.647722,1.822566,19.526764,1.563291,1.598720,0.425260,1.836045,1.950189,-1.379832,5.72777640e-04,-2.77055547e-06,-4.05608728e-04,1.61305362e-06,6.32308225e-01,9.32252061e-02,1.98658163e-02,2.99944396e+00,8.70837072e-07,7.494e-16,4.441e-16
0.8100,19.654374,1.845111,19.530425,1.582907,1.598813,0.424932,1.836046,1.941879,-1.373555,5.59244099e-04,-1.38516149e-05,-3.96911834e-04,8.45770652e-06,6.32317711e-01,9.32252971e-02,1.98324976e-02,2.99946652e+00,8.79156953e-07,2.776e-16,1.776e-15
0.8200,19.661051,1.867658,19.534076,1.602524,1.598898,0.424602,1.836052,1.918867,-1.357430,5.43558026e-04,-2.27461188e-05,-3.86598286e-04,1.40123323e-05,6.32325077e-01,9.32248808e-02,1.98102223e-02,2.99948107e+00,8.85745160e-07,9.333e-16,8.882e-16
0.8300,19.667754,1.890208,19.537716,1.622143,1.598977,0.424270,1.836061,1.876791,-1.328738,5.25783262e-04,-2.81031691e-05,-3.74709534e-04,1.74333554e-05,6.32330849e-01,9.32240821e-02,1.97962729e-02,2.99948958e+00,8.90287472e-07,3.903e-16,4.441e-16
0.8400,19.674482,1.912761,19.541345,1.641765,1.599052,0.423936,1.836073,1.813167,-1.285898,5.05991634e-04,-2.91178589e-05,-3.61293335e-04,1.82064874e-05,6.32335761e-01,9.32230757e-02,1.97868612e-02,2.99949478e+00,8.94040640e-07,6.991e-16,1.332e-15
0.8500,19.681235,1.935316,19.544964,1.661388,1.599127,0.423603,1.836085,1.727797,-1.228729,4.84262626e-04,-2.56521510e-05,-3.46403580e-04,1.62240093e-05,6.32340636e-01,9.32220579e-02,1.97777320e-02,2.99949977e+00,8.99116928e-07,2.776e-16,2.665e-15
0.8600,19.688013,1.957874,19.548572,1.681013,1.599204,0.423271,1.836095,1.622830,-1.158494,4.60683050e-04,-1.82533523e-05,-3.30100085e-04,1.17996335e-05,6.32346257e-01,9.32212154e-02,1.97648369e-02,2.99950745e+00,9.07265746e-07,7.633e-17,1.776e-15
0.8700,19.694816,1.980434,19.552170,1.700640,1.599286,0.422942,1.836102,1.502467,-1.077740,4.35346741e-04,-8.06776566e-06,-3.12448324e-04,5.61892013e-06,6.32353241e-01,9.32206962e-02,1.97449743e-02,2.99952016e+00,9.18870774e-07,2.220e-16,2.220e-15
0.8800,19.701645,2.002997,19.555757,1.720269,1.599375,0.422615,1.836105,1.372362,-0.989930,4.08354250e-04,3.33687234e-06,-2.93519131e-04,-1.36692302e-06,6.32361946e-01,9.32205856e-02,1.97162982e-02,2.99953923e+00,9.32749009e-07,2.776e-16,2.220e-15
0.8900,19.708498,2.025563,19.559334,1.739900,1.599470,0.422292,1.836104,1.238800,-0.898947,3.79812541e-04,1.42126686e-05,-2.73388368e-04,-8.08741085e-06,6.32372410e-01,9.32208930e-02,1.96786148e-02,2.99956481e+00,9.46863154e-07,3.036e-16,8.882e-16
0.9000,19.715377,2.048131,19.562900,1.759532,1.599570,0.421970,1.836101,1.107788,-0.808540,3.49834671e-04,2.28994376e-05,-2.52136566e-04,-1.35167999e-05,6.32384343e-01,9.32215498e-02,1.96334234e-02,2.99959582e+00,9.59522083e-07,3.123e-16,2.665e-15
0.9100,19.722281,2.070702,19.566455,1.779167,1.599673,0.421650,1.836095,0.984200,-0.721791,3.18539437e-04,2.80781068e-05,-2.29848551e-04,-1.68306283e-05,6.32397175e-01,9.32224193e-02,1.95836939e-02,2.99963011e+00,9.70361214e-07,1.251e-15,7.772e-16
