t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_R1,eta_R2,eta_R3,eta_R4,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.1400,19.270880,0.363060,19.266216,0.292787,1.594527,0.446359,1.834888,-1.667665,1.259093,-4.85026884e-04,1.22138943e-05,4.04390969e-06,-1.02858394e-06,3.66909172e-04,-7.52752282e-06,-2.28056260e-06,5.67232399e-07,6.32069244e-01,9.33233521e-02,1.96575029e-02,2.99979825e+00,2.59646913e-07,1.100e-15,2.220e-15
0.1500,19.275831,0.385430,19.270558,0.312256,1.594580,0.446031,1.834916,-1.694345,1.287636,-5.05688029e-04,-5.94160040e-07,5.07084407e-06,1.93789698e-08,3.83229342e-04,3.06237911e-07,-2.91096430e-06,-6.02257137e-10,6.32068962e-01,9.33208535e-02,1.96790368e-02,2.99978007e+00,2.74314550e-07,5.551e-16,8.882e-16
0.1600,19.280809,0.407803,19.274890,0.331726,1.594629,0.445702,1.834947,-1.733124,1.322139,-5.24293618e-04,-1.32346641e-05,5.64812359e-07,9.92731366e-07,3.98081553e-04,8.09147939e-06,-3.41066156e-07,-5.46338557e-07,6.32068054e-01,9.33181865e-02,1.97042630e-02,2.99975911e+00,2.90470611e-07,3.938e-16,4.441e-16
0.1700,19.285814,0.430179,19.279211,0.351200,1.594646,0.445360,1.834996,-1.763270,1.351119,-5.40770013e-04,-2.37758803e-05,-4.49383405e-06,-1.10430206e-06,4.11408892e-04,1.46392008e-05,2.58873035e-06,6.10375766e-07,6.32058242e-01,9.33134329e-02,1.97748242e-02,2.99970550e+00,3.04568337e-07,5.655e-16,4.441e-15
0.1800,19.290845,0.452556,19.283521,0.370677,1.594643,0.445008,1.835058,-1.793363,1.379121,-5.55050358e-04,-3.06136278e-05,-4.57563945e-06,2.52439148e-07,4.23161552e-04,1.89548240e-05,2.67660640e-06,-1.28812764e-07,6.32042971e-01,9.33073939e-02,1.98733839e-02,2.99963174e+00,3.10730891e-07,4.996e-16,2.220e-15
0.1900,19.295903,0.474936,19.287821,0.390156,1.594656,0.444666,1.835110,-1.812183,1.400126,-5.67080024e-04,-3.27177436e-05,3.54027089e-07,8.10801626e-07,4.33293812e-04,2.03874525e-05,-1.42297835e-07,-4.46976425e-07,6.32032384e-01,9.33024321e-02,1.99486010e-02,2.99957471e+00,3.16933688e-07,1.046e-15,8.882e-16
0.2000,19.300987,0.497319,19.292110,0.409638,1.594674,0.444326,1.835158,-1.833256,1.421948,-5.76814434e-04,-2.97860467e-05,4.85804614e-06,-1.13190067e-06,4.41765758e-04,1.87289178e-05,-2.75898629e-06,6.26558407e-07,6.32023378e-01,9.32978443e-02,2.00157262e-02,2.99952354e+00,3.22860968e-07,5.568e-16,1.776e-15
0.2100,19.306098,0.519704,19.296388,0.429123,1.594700,0.443990,1.835203,-1.891973,1.464553,-5.84216893e-04,-2.22864776e-05,4.02392461e-06,4.60577286e-07,4.48544856e-04,1.42447260e-05,-2.31906751e-06,-2.44103374e-07,6.32016298e-01,9.32937103e-02,2.00730118e-02,2.99947948e+00,3.28079131e-07,1.891e-15,3.553e-15
0.2200,19.311236,0.542092,19.300656,0.448611,1.594733,0.443657,1.835242,-1.964138,1.514527,-5.89260751e-04,-1.13835897e-05,-1.17946115e-06,6.08259334e-07,4.53604738e-04,7.63081947e-06,6.63452080e-07,-3.36177805e-07,6.32011355e-01,9.32900749e-02,2.01194697e-02,2.99944318e+00,3.39385426e-07,8.760e-16,3.109e-15
0.2300,19.316400,0.564482,19.304914,0.468101,1.594750,0.443315,1.835292,-2.023152,1.556320,-5.91926921e-04,1.24345541e-06,-5.02342885e-06,-1.11268643e-06,4.56926946e-04,-9.34673639e-08,2.90478227e-06,6.17318928e-07,6.32001667e-01,9.32853466e-02,2.01897788e-02,2.99938991e+00,3.51550031e-07,7.407e-16,2.220e-15
0.2400,19.321591,0.586874,19.309161,0.487594,1.594773,0.442975,1.835338,-2.066343,1.587643,-5.92205190e-04,1.36588816e-05,-3.32608210e-06,6.37730489e-07,4.58500234e-04,-7.74291885e-06,1.96641581e-06,-3.42278622e-07,6.31993572e-01,9.32809978e-02,2.02518527e-02,2.99934261e+00,3.61770696e-07,7.130e-16,5.551e-16
0.2500,19.326809,0.609269,19.313397,0.507090,1.594824,0.442650,1.835366,-2.075260,1.597951,-5.90098177e-04,2.39651502e-05,1.99821917e-06,3.94353747e-07,4.58318173e-04,-1.41496982e-05,-1.09279060e-06,-2.19074021e-07,6.31993588e-01,9.32785481e-02,2.02725231e-02,2.99932497e+00,3.72316436e-07,7.563e-16,2.665e-15
0.2600,19.332053,0.631667,19.317623,0.526588,1.594885,0.442327,1.835389,-2.067145,1.596709,-5.85617586e-04,3.05946602e-05,5.09661157e-06,-1.05093468e-06,4.56381516e-04,-1.83403127e-05,-2.91017766e-06,5.84166546e-07,6.31995909e-01,9.32766550e-02,2.02810750e-02,2.99931611e+00,3.77519245e-07,7.251e-16,2.220e-15
0.2700,19.337324,0.654068,19.321838,0.546088,1.594952,0.442007,1.835408,-2.065229,1.596912,-5.78782994e-04,3.25485819e-05,2.61085492e-06,7.78468561e-07,4.52698842e-04,-1.96832037e-05,-1.51537364e-06,-4.20832807e-07,6.32000115e-01,9.32752077e-02,2.02799327e-02,2.99931423e+00,3.80484853e-07,5.551e-16,3.109e-15
0.2800,19.342622,0.676472,19.326043,0.565591,1.595014,0.441685,1.835430,-2.039929,1.582059,-5.69623308e-04,2.95464790e-05,-2.68419713e-06,1.78601338e-07,4.47285501e-04,-1.79845228e-05,1.53358360e-06,-1.00412279e-07,6.32003019e-01,9.32734550e-02,2.02854887e-02,2.99930754e+00,3.86415468e-07,1.089e-15,3.109e-15
0.2900,19.347946,0.698878,19.330238,0.585097,1.595051,0.441349,1.835467,-1.979734,1.545248,-5.58174207e-04,2.20675688e-05,-4.97656680e-06,-9.50970887e-07,4.40165111e-04,-1.35150883e-05,2.89036474e-06,5.30510592e-07,6.31998468e-01,9.32699662e-02,2.03289239e-02,2.99927376e+00,3.92416619e-07,1.178e-15,8.882e-16
0.3000,19.353296,0.721287,19.334422,0.604605,1.595087,0.441015,1.835505,-1.892186,1.490580,-5.44480682e-04,1.12731527e-05,-1.79615753e-06,8.79965744e-07,4.31367809e-04,-6.96818932e-06,1.09263731e-06,-4.77558712e-07,6.31994088e-01,9.32665081e-02,2.03717242e-02,2.99924039e+00,4.03117802e-07,9.819e-16,4.441e-16
0.3100,19.358674,0.743698,19.338595,0.624116,1.595134,0.440687,1.835535,-1.775758,1.417722,-5.28599457e-04,-1.17483517e-06,3.32459460e-06,-3.06663847e-08,4.20928528e-04,6.47041353e-07,-1.86267317e-06,1.47848131e-08,6.31993033e-01,9.32638187e-02,2.03977879e-02,2.99921896e+00,4.18218717e-07,2.776e-16,5.551e-16
0.3200,19.364077,0.766112,19.342758,0.643629,1.595174,0.440355,1.835571,-1.665851,1.346995,-5.10594710e-04,-1.33677241e-05,4.77399865e-06,-8.19857633e-07,4.08889409e-04,8.16263122e-06,-2.73656017e-06,4.59204136e-07,6.31989625e-01,9.32605822e-02,2.04358158e-02,2.99918898e+00,4.30480604e-07,2.776e-16,8.882e-16
0.3300,19.369507,0.788529,19.346911,0.663144,1.595209,0.440021,1.835609,-1.582470,1.290246,-4.90538086e-04,-2.34428904e-05,1.01018385e-06,9.40319339e-07,3.95299398e-04,1.44307462e-05,-5.97676282e-07,-5.11857451e-07,6.31985083e-01,9.32570719e-02,2.04798525e-02,2.99915467e+00,4.42934368e-07,7.494e-16,1.776e-15
0.3400,19.374964,0.810948,19.351053,0.682663,1.595229,0.439681,1.835656,-1.498406,1.232628,-4.68509450e-04,-2.98687379e-05,-3.80052641e-06,-2.25261179e-07,3.80213387e-04,1.84986173e-05,2.18600394e-06,1.22449392e-07,6.31976439e-01,9.32525985e-02,2.05449549e-02,2.99910528e+00,4.53858265e-07,1.351e-15,2.220e-15
0.3500,19.380446,0.833369,19.355184,0.702184,1.595228,0.439330,1.835716,-1.411772,1.172840,-4.44594751e-04,-3.16765250e-05,-4.39416668e-06,-6.64188939e-07,3.63693197e-04,1.97540906e-05,2.56888338e-06,3.74591184e-07,6.31962009e-01,9.32467784e-02,2.06395257e-02,2.99903492e+00,4.60347160e-07,6.106e-16,9.992e-16
0.3600,19.385955,0.855793,19.359304,0.721708,1.595243,0.438987,1.835766,-1.326254,1.112995,-4.18889187e-04,-2.86079613e-05,-1.68807214e-07,9.59788352e-07,3.45805152e-04,1.80165025e-05,1.59371004e-07,-5.23733882e-07,6.31951935e-01,9.32419749e-02,2.07119353e-02,2.99898040e+00,4.70656471e-07,6.106e-16,1.332e-15
0.3700,19.391491,0.878219,19.363414,0.741234,1.595279,0.438653,1.835804,-1.239265,1.051953,-3.91497659e-04,-2.11523003e-05,4.20922959e-06,-3.99000250e-07,3.26619321e-04,1.35622867e-05,-2.38188204e-06,2.18358600e-07,6.31947550e-01,9.32385121e-02,2.07550440e-02,2.99894687e+00,4.84330232e-07,1.063e-15,8.882e-16
0.3800,19.397052,0.900647,19.367514,0.760763,1.595320,0.438321,1.835838,-1.177853,1.004898,-3.62530268e-04,-1.04665778e-05,3.95848021e-06,-4.92338581e-07,3.06211786e-04,7.08248867e-06,-2.27928850e-06,2.80324255e-07,6.31944491e-01,9.32353808e-02,2.07909110e-02,2.99891863e+00,4.99168668e-07,5.551e-16,8.882e-16
0.3900,19.402640,0.923079,19.371602,0.780295,1.595371,0.437992,1.835865,-1.136616,0.968842,-3.32102937e-04,1.80327943e-06,-5.96700440e-07,9.40088130e-07,2.84663583e-04,-4.24908231e-07,3.26050818e-07,-5.14184670e-07,6.31944370e-01,9.32329475e-02,2.08115183e-02,2.99890132e+00,5.19860935e-07,8.899e-16,2.665e-15
0.4000,19.408254,0.945513,19.375681,0.799828,1.595420,0.437661,1.835895,-1.077524,0.922091,-3.00337072e-04,1.37758398e-05,-4.43626535e-06,-5.45743120e-07,2.62060306e-04,-7.80874062e-06,2.56235248e-06,2.99919609e-07,6.31943121e-01,9.32302688e-02,2.08375037e-02,2.99888029e+00,5.40258309e-07,8.882e-16,3.109e-15
0.4100,19.413895,0.967949,19.379749,0.819365,1.595466,0.437327,1.835926,-0.996345,0.861483,-2.67357859e-04,2.36232169e-05,-3.37609973e-06,-3.11488288e-07,2.38492566e-04,-1.39407036e-05,1.99249918e-06,1.81205621e-07,6.31940950e-01,9.32273951e-02,2.08677668e-02,2.99885632e+00,5.56797040e-07,5.551e-16,3.109e-15
0.4200,19.419561,0.990388,19.383806,0.838903,1.595538,0.437004,1.835942,-0.889991,0.785081,-2.33297353e-04,2.98483804e-05,1.37237437e-06,8.84509504e-07,2.14053381e-04,-1.78890512e-05,-7.30830307e-07,-4.84897651e-07,6.31946054e-01,9.32262318e-02,2.08605981e-02,2.99885907e+00,5.73969516e-07,4.823e-16,4.441e-16
0.4300,19.425254,1.012830,19.387853,0.858444,1.595625,0.436688,1.835948,-0.760900,0.694360,-1.98293039e-04,3.15130868e-05,4.58413438e-06,-6.61864335e-07,1.88838395e-04,-1.90598544e-05,-2.61139278e-06,3.64439770e-07,6.31955247e-01,9.32260418e-02,2.08321529e-02,2.99887708e+00,5.88391643e-07,5.586e-16,8.882e-16
0.4400,19.430974,1.035275,19.391889,0.877987,1.595709,0.436369,1.835955,-0.636902,0.604987,-1.62483803e-04,2.83808119e-05,2.76968929e-06,-1.29730645e-07,1.62947636e-04,-1.72851211e-05,-1.60541094e-06,8.11517674e-08,6.31963537e-01,9.32256557e-02,2.08080347e-02,2.99889208e+00,6.02429765e-07,3.973e-16,5.551e-16
0.4500,19.436719,1.057723,19.395915,0.897533,1.595791,0.436049,1.835965,-0.507559,0.511401,-1.26011163e-04,2.09492323e-05,-2.03490270e-06,7.97743019e-07,1.36483934e-04,-1.28475038e-05,1.15728998e-06,-4.38082015e-07,6.31970993e-01,9.32250743e-02,2.07882283e-02,2.99890401e+00,6.22064963e-07,3.886e-16,1.332e-15
0.4600,19.442491,1.080173,19.399931,0.917080,1.595852,0.435719,1.835987,-0.349673,0.400572,-8.90183398e-05,1.03714792e-05,-4.55132198e-06,-7.44020159e-07,1.09552780e-04,-6.43517713e-06,2.64160898e-06,4.10963331e-07,6.31972781e-01,9.32231716e-02,2.07973377e-02,2.99889532e+00,6.43173982e-07,4.441e-16,3.553e-15
0.4700,19.448289,1.102626,19.403936,0.936630,1.595903,0.435383,1.836015,-0.176299,0.279727,-5.16496058e-05,-1.72261102e-06,-2.05692601e-06,4.61134253e-08,8.22620097e-05,9.64967959e-07,1.24153288e-06,-1.55137153e-08,6.31971580e-01,9.32205704e-02,2.08217409e-02,2.99887573e+00,6.66112389e-07,3.886e-16,1.776e-15
0.4800,19.454114,1.125082,19.407930,0.956182,1.595968,0.435055,1.836034,0.004781,0.153817,-1.40531901e-05,-1.34791809e-05,2.67004230e-06,6.84901928e-07,5.47192163e-05,8.21799297e-06,-1.48293599e-06,-3.76898267e-07,6.31974461e-01,9.32189178e-02,2.08254315e-02,2.99887087e+00,6.90942751e-07,4.892e-16,8.882e-16
0.4900,19.459964,1.147540,19.411914,0.975736,1.596032,0.434726,1.836054,0.176065,0.033327,2.36213890e-05,-2.31034780e-05,4.44436250e-06,-7.91785611e-07,2.70326553e-05,1.42157338e-05,-2.54314297e-06,4.38255094e-07,6.31977120e-01,9.32172196e-02,2.08301380e-02,2.99886531e+00,7.11197851e-07,6.106e-16,3.553e-15
0.5000,19.465840,1.170002,19.415888,0.995293,1.596087,0.434393,1.836079,0.310078,-0.065833,6.12262348e-05,-2.91327212e-05,1.36159447e-06,2.09051206e-07,-6.87768573e-07,1.80469095e-05,-7.99727782e-07,-1.05503810e-07,6.31977353e-01,9.32149582e-02,2.08471794e-02,2.99885097e+00,7.29025919e-07,3.331e-16,3.997e-15
0.5100,19.471743,1.192465,19.419850,1.014852,1.596139,0.434058,1.836106,0.425452,-0.153662,9.86134931e-05,-3.06594230e-05,-3.15936517e-06,5.52306001e-07,-2.83323244e-05,1.91347655e-05,1.81336383e-06,-3.04480457e-07,6.31976434e-01,9.32124269e-02,2.08701478e-02,2.99883240e+00,7.46185678e-07,1.317e-15,1.776e-15
0.5200,19.477671,1.214931,19.423803,1.034414,1.596178,0.433716,1.836141,0.541271,-0.241011,1.35636729e-04,-2.74674791e-05,-4.16690454e-06,-8.04929812e-07,-5.57913383e-05,1.73242209e-05,2.43406035e-06,4.46838637e-07,6.31971876e-01,9.32090562e-02,2.09114906e-02,2.99880080e+00,7.61210564e-07,1.703e-15,2.665e-15
0.5300,19.483625,1.237400,19.427744,1.053978,1.596225,0.433377,1.836171,0.648068,-0.322804,1.72150725e-04,-2.00628674e-05,-5.99438149e-07,3.53579640e-07,-8.29560791e-05,1.29036249e-05,4.06738128e-07,-1.85589123e-07,6.31969728e-01,9.32062607e-02,2.09402645e-02,2.99877823e+00,7.79695466e-07,1.740e-15,2.220e-15
0.5400,19.489605,1.259871,19.431675,1.073544,1.596302,0.433051,1.836183,0.748146,-0.400105,2.08009502e-04,-9.59477041e-06,3.59765322e-06,4.05972971e-07,-1.09720779e-04,6.55797975e-06,-2.02673952e-06,-2.24745407e-07,6.31975496e-01,9.32053308e-02,2.09282151e-02,2.99878479e+00,8.01121433e-07,4.909e-16,1.332e-15
0.5500,19.495611,1.282345,19.435596,1.093112,1.596388,0.432729,1.836189,0.831401,-0.467219,2.43070089e-04,2.32417143e-06,3.83497703e-06,-7.85702735e-07,-1.35981058e-04,-7.36081628e-07,-2.20561563e-06,4.37092403e-07,6.31983771e-01,9.32050134e-02,2.09027715e-02,2.99880104e+00,8.21692710e-07,7.303e-16,2.220e-15
0.5600,19.501644,1.304822,19.439506,1.112682,1.596479,0.432407,1.836192,0.890301,-0.520050,2.77194421e-04,1.38667844e-05,-1.03174361e-07,4.75051713e-07,-1.61633568e-04,-7.86020357e-06,4.06523707e-08,-2.53299951e-07,6.31993278e-01,9.32050033e-02,2.08706270e-02,2.99882216e+00,8.43257107e-07,4.996e-16,4.441e-15
0.5700,19.507702,1.327302,19.443405,1.132255,1.596574,0.432085,1.836193,0.958419,-0.577645,3.10247978e-04,2.32704636e-05,-3.87179228e-06,2.53087905e-07,-1.86577619e-04,-1.37265056e-05,2.23313011e-06,-1.40880967e-07,6.32003703e-01,9.32052223e-02,2.08335069e-02,2.99884690e+00,8.61359371e-07,7.477e-16,4.441e-15
0.5800,19.513786,1.349785,19.447294,1.151829,1.596664,0.431760,1.836197,1.051667,-0.649569,3.42101464e-04,2.91068508e-05,-3.35836583e-06,-7.36262606e-07,-2.10714819e-04,-1.74432526e-05,1.97897573e-06,4.11034671e-07,6.32012387e-01,9.32050534e-02,2.08048929e-02,2.99886568e+00,8.74105232e-07,1.076e-15,2.220e-15
0.5900,19.519896,1.372270,19.451173,1.171405,1.596767,0.431440,1.836193,1.160159,-0.730575,3.72629878e-04,3.04980723e-05,8.29622672e-07,5.70240643e-07,-2.33950347e-04,-1.84508972e-05,-4.17507256e-07,-3.06653766e-07,6.32024938e-01,9.32058001e-02,2.07563051e-02,2.99889877e+00,8.86691754e-07,4.996e-16,1.332e-15
0.6000,19.526032,1.394759,19.455041,1.190984,1.596889,0.431129,1.836177,1.282318,-0.819477,4.01711573e-04,2.72480074e-05,4.07928913e-06,9.96975234e-08,-2.56194223e-04,-1.66068289e-05,-2.31694851e-06,-5.67749116e-08,6.32042527e-01,9.32077342e-02,2.06818496e-02,2.99895036e+00,8.97731753e-07,6.557e-16,2.220e-15
0.6100,19.532194,1.417250,19.458899,1.210564,1.597004,0.430814,1.836166,1.398987,-0.905303,4.29232261e-04,1.98713540e-05,2.85312452e-06,-6.60853890e-07,-2.77359472e-04,-1.22041874e-05,-1.65123220e-06,3.70409688e-07,6.32058085e-01,9.32092046e-02,2.06175985e-02,2.99899476e+00,9.09090251e-07,3.331e-16,2.220e-15
0.6200,19.538382,1.439745,19.462747,1.230146,1.597108,0.430493,1.836160,1.502673,-0.983544,4.55085473e-04,9.51218278e-06,-1.46086101e-06,6.37166593e-07,-2.97362508e-04,-5.92537312e-06,8.24979390e-07,-3.44345902e-07,6.32070816e-01,9.32100115e-02,2.05678970e-02,2.99902875e+00,9.24847633e-07,6.297e-16,1.776e-15
0.6300,19.544596,1.462242,19.466584,1.249730,1.597199,0.430167,1.836163,1.617400,-1.067427,4.79171227e-04,-2.23424562e-06,-4.11891438e-06,-4.75429025e-08,-3.16124551e-04,1.26310159e-06,2.38872339e-06,2.46731547e-08,6.32079744e-01,9.32099232e-02,2.05377722e-02,2.99904874e+00,9.39705450e-07,1.121e-15,2.220e-15
0.6400,19.550836,1.484742,19.470410,1.269316,1.597274,0.429833,1.836176,1.739236,-1.154788,5.01397307e-04,-1.35665825e-05,-2.23691953e-06,-5.63706001e-07,-3.33571308e-04,8.25979136e-06,1.34319483e-06,3.18025824e-07,6.32084262e-01,9.32088024e-02,2.05301929e-02,2.99905259e+00,9.52723585e-07,2.463e-16,2.220e-15
0.6500,19.557101,1.507245,19.474226,1.288904,1.597358,0.429503,1.836183,1.849520,-1.234756,5.21677538e-04,-2.27545221e-05,2.08083601e-06,6.74719473e-07,-3.49634554e-04,1.39963784e-05,-1.14150899e-06,-3.66058385e-07,6.32091244e-01,9.32082523e-02,2.05102151e-02,2.99906528e+00,9.64790142e-07,3.886e-16,8.882e-16
0.6600,19.563392,1.529751,19.478031,1.308494,1.597449,0.429178,1.836186,1.940241,-1.302131,5.39931761e-04,-2.84031172e-05,4.09355286e-06,-1.83854117e-07,-3.64252605e-04,1.76006657e-05,-2.33730346e-06,9.99170439e-08,6.32100545e-01,9.32082457e-02,2.04784328e-02,2.99908639e+00,9.71221735e-07,5.482e-16,4.441e-16
0.6700,19.569709,1.552259,19.481826,1.328086,1.597531,0.428848,1.836194,1.991812,-1.345562,5.56089463e-04,-2.96629582e-05,1.62927564e-06,-4.50466510e-07,-3.77368499e-04,1.85303519e-05,-9.52808441e-07,2.56352763e-07,6.32107152e-01,9.32076157e-02,2.04602661e-02,2.99909781e+00,9.75420078e-07,6.106e-16,5.329e-15
0.6800,19.576051,1.574771,19.485610,1.347680,1.597610,0.428516,1.836204,2.009972,-1.368037,5.70089025e-04,-2.63583533e-05,-2.57240108e-06,6.83408713e-07,-3.88930901e-04,1.66541948e-05,1.47238033e-06,-3.71813799e-07,6.32112806e-01,9.32067629e-02,2.04469904e-02,2.99910573e+00,9.81163168e-07,1.688e-15,1.776e-15
0.6900,19.582419,1.597284,19.489384,1.367276,1.597685,0.428182,1.836216,2.023851,-1.386035,5.81876785e-04,-1.90121171e-05,-3.90534568e-06,-3.04059632e-07,-3.98895012e-04,1.22700151e-05,2.27929695e-06,1.66750569e-07,6.32117465e-01,9.32056837e-02,2.04386756e-02,2.99911013e+00,9.86468029e-07,1.247e-15,2.665e-15
0.7000,19.588813,1.619801,19.493147,1.386875,1.597764,0.427848,1.836226,2.031521,-1.398949,5.91408008e-04,-8.76254313e-06,-9.45726755e-07,-3.26425701e-07,-4.07222215e-04,6.05780965e-06,6.04859252e-07,1.88556978e-07,6.32122910e-01,9.32048021e-02,2.04260816e-02,2.99911767e+00,9.94758436e-07,6.453e-16,8.882e-16
0.7100,19.595232,1.642320,19.496899,1.406475,1.597868,0.427527,1.836221,2.026932,-1.403437,5.98645036e-04,2.81194492e-06,3.02795274e-06,6.64361964e-07,-4.13881495e-04,-1.02643855e-06,-1.69600144e-06,-3.62650728e-07,6.32135473e-01,9.32055979e-02,2.03769751e-02,2.99915136e+00,1.00532222e-06,4.441e-16,3.109e-15
0.7200,19.601677,1.664842,19.500641,1.426077,1.597987,0.427211,1.836206,2.011671,-1.400356,6.03558445e-04,1.39362377e-05,3.66586707e-06,-4.04929472e-07,-4.18848940e-04,-7.89755324e-06,-2.10499008e-06,2.22672741e-07,6.32152167e-01,9.32073782e-02,2.03064936e-02,2.99920046e+00,1.01306073e-06,4.146e-16,2.665e-15
