t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_R1,eta_R2,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.1000,19.251348,0.273642,19.248746,0.214947,1.594281,0.447665,1.834796,-1.406054,1.040775,-3.83604750e-04,3.13559044e-05,2.88349567e-04,-1.88083672e-05,6.32061229e-01,9.33311221e-02,1.96199416e-02,2.99983541e+00,1.66082800e-07,4.528e-16,2.665e-15
0.1100,19.256191,0.296001,19.253129,0.234405,1.594351,0.447341,1.834815,-1.508557,1.118766,-4.11604431e-04,3.36072974e-05,3.09849194e-04,-2.03258071e-05,6.32065306e-01,9.33296740e-02,1.96185628e-02,2.99983394e+00,1.74324291e-07,4.996e-16,8.882e-16
0.1200,19.261061,0.318362,19.257503,0.253865,1.594418,0.447017,1.834834,-1.587997,1.182110,-4.37916296e-04,3.07400831e-05,3.30166924e-04,-1.87023739e-05,6.32068923e-01,9.33281142e-02,1.96196372e-02,2.99983067e+00,1.81813923e-07,1.422e-15,3.553e-15
0.1300,19.265959,0.340727,19.261866,0.273329,1.594480,0.446692,1.834856,-1.645578,1.231420,-4.62437293e-04,2.32126610e-05,3.49223416e-04,-1.41984214e-05,6.32071160e-01,9.33262239e-02,1.96279147e-02,2.99982217e+00,1.90988073e-07,3.140e-16,4.885e-15
0.1400,19.270883,0.363094,19.266218,0.292794,1.594534,0.446363,1.834883,-1.684935,1.268814,-4.85071230e-04,1.21939121e-05,3.66944500e-04,-7.51337423e-06,6.32071255e-01,9.33238224e-02,1.96473152e-02,2.99980559e+00,2.02759970e-07,1.044e-15,3.997e-15
0.1500,19.275834,0.385464,19.270560,0.312263,1.594579,0.446031,1.834917,-1.711520,1.297550,-5.05729220e-04,-6.18252842e-07,3.83261425e-04,3.22855398e-07,6.32068730e-01,9.33207956e-02,1.96803155e-02,2.99977913e+00,2.16005304e-07,4.476e-16,3.109e-15
0.1600,19.280812,0.407837,19.274892,0.331734,1.594612,0.445695,1.834956,-1.731717,1.321486,-5.24330141e-04,-1.32584901e-05,3.98111071e-04,8.10851662e-06,6.32063463e-01,9.33171142e-02,1.97275583e-02,2.99974235e+00,2.28255154e-07,9.610e-16,1.332e-15
0.1700,19.285816,0.430212,19.279213,0.351207,1.594637,0.445356,1.835002,-1.751823,1.344457,-5.40801062e-04,-2.37954672e-05,4.11436135e-04,1.46543004e-05,6.32055711e-01,9.33128390e-02,1.97877383e-02,2.99969620e+00,2.37179908e-07,1.070e-15,3.109e-15
0.1800,19.290848,0.452590,19.283523,0.370684,1.594654,0.445014,1.835051,-1.777051,1.369661,-5.55077650e-04,-3.06269221e-05,4.23185290e-04,1.89649957e-05,6.32046071e-01,9.33081121e-02,1.98577827e-02,2.99964291e+00,2.41986895e-07,4.996e-16,3.553e-15
0.1900,19.295906,0.474970,19.287823,0.390163,1.594666,0.444672,1.835103,-1.810699,1.399148,-5.67104508e-04,-3.27232662e-05,4.33313340e-04,2.03907779e-05,6.32035395e-01,9.33031361e-02,1.99332981e-02,2.99958569e+00,2.43911829e-07,1.235e-15,3.997e-15
0.2000,19.300990,0.497352,19.292112,0.409645,1.594679,0.444329,1.835156,-1.853635,1.433485,-5.76835451e-04,-2.97826987e-05,4.41781363e-04,1.87251351e-05,6.32024663e-01,9.32981441e-02,2.00092182e-02,2.99952820e+00,2.45522208e-07,5.551e-16,2.220e-15
0.2100,19.306101,0.519737,19.296390,0.429130,1.594695,0.443988,1.835206,-1.904144,1.471659,-5.84233694e-04,-2.22744722e-05,4.48556854e-04,1.42346787e-05,6.32014836e-01,9.32933651e-02,2.00805539e-02,2.99947405e+00,2.49250025e-07,1.011e-15,2.665e-15
0.2200,19.311239,0.542125,19.300658,0.448618,1.594717,0.443649,1.835252,-1.958185,1.511219,-5.89271963e-04,-1.13641380e-05,4.53613871e-04,7.61655377e-06,6.32006713e-01,9.32889900e-02,2.01431317e-02,2.99942623e+00,2.56019968e-07,8.240e-16,1.776e-15
0.2300,19.316403,0.564515,19.304916,0.468108,1.594747,0.443314,1.835294,-2.010000,1.548646,-5.91932522e-04,1.26734143e-06,4.56933168e-04,-1.09762240e-07,6.32000817e-01,9.32851441e-02,2.01942067e-02,2.99938672e+00,2.64776404e-07,6.817e-16,5.329e-15
0.2400,19.321594,0.586908,19.309163,0.487601,1.594786,0.442983,1.835330,-2.052999,1.579883,-5.92207131e-04,1.36825447e-05,4.58502325e-04,-7.75948255e-06,6.31997321e-01,9.32818693e-02,2.02328545e-02,2.99935618e+00,2.73178713e-07,1.787e-16,3.109e-15
0.2500,19.326812,0.609303,19.313399,0.507097,1.594833,0.442654,1.835361,-2.080756,1.600953,-5.90096955e-04,2.39847247e-05,4.58315852e-04,-1.41641738e-05,6.31996025e-01,9.32791192e-02,2.02600807e-02,2.99933389e+00,2.79046857e-07,2.776e-16,2.220e-15
0.2600,19.332056,0.631701,19.317625,0.526595,1.594886,0.442328,1.835388,-2.088002,1.608561,-5.85612444e-04,3.06075560e-05,4.56375265e-04,-1.83502076e-05,6.31996398e-01,9.32767679e-02,2.02786317e-02,2.99931785e+00,2.81702120e-07,1.546e-15,3.553e-15
0.2700,19.337327,0.654102,19.321840,0.546095,1.594943,0.442003,1.835413,-2.071420,1.600600,-5.78773187e-04,3.25532387e-05,4.52689125e-04,-1.96867486e-05,6.31997658e-01,9.32746306e-02,2.02925394e-02,2.99930518e+00,2.82416173e-07,4.129e-16,2.220e-15
0.2800,19.342625,0.676505,19.326045,0.565598,1.595000,0.441678,1.835438,-2.030164,1.576468,-5.69607774e-04,2.95427715e-05,4.47273024e-04,-1.79807899e-05,6.31998907e-01,9.32724935e-02,2.03064694e-02,2.99929251e+00,2.83710995e-07,5.933e-16,3.109e-15
0.2900,19.347949,0.698911,19.330240,0.585104,1.595053,0.441352,1.835465,-1.965984,1.537164,-5.58153664e-04,2.20557667e-05,4.40149529e-04,-1.35049222e-05,6.31999265e-01,9.32701477e-02,2.03249790e-02,2.99927656e+00,2.87928473e-07,4.441e-16,2.665e-15
0.3000,19.353300,0.721320,19.334424,0.604612,1.595101,0.441023,1.835496,-1.882974,1.485144,-5.44457067e-04,1.12541619e-05,4.31348064e-04,-6.95385949e-06,6.31998013e-01,9.32674224e-02,2.03517952e-02,2.99925464e+00,2.95913792e-07,2.184e-15,4.441e-15
0.3100,19.358677,0.743732,19.338597,0.624123,1.595141,0.440690,1.835531,-1.786958,1.423947,-5.28572821e-04,-1.19806061e-06,4.20904756e-04,6.63357236e-07,6.31994708e-01,9.32642119e-02,2.03892254e-02,2.99922509e+00,3.06583351e-07,2.156e-15,1.332e-15
0.3200,19.364081,0.766146,19.342760,0.643636,1.595172,0.440355,1.835571,-1.684623,1.357677,-5.10564285e-04,-1.33911781e-05,4.08862232e-04,8.17875724e-06,6.31989253e-01,9.32604928e-02,2.04377866e-02,2.99918756e+00,3.17622997e-07,5.499e-16,3.109e-15
0.3300,19.369511,0.788562,19.346913,0.663152,1.595197,0.440016,1.835616,-1.582522,1.290388,-4.90503187e-04,-2.34625848e-05,3.95269386e-04,1.44445087e-05,6.31981913e-01,9.32563282e-02,2.04961085e-02,2.99914303e+00,3.26897249e-07,4.111e-16,4.885e-15
0.3400,19.374967,0.810981,19.351055,0.682670,1.595217,0.439676,1.835663,-1.486114,1.225494,-4.68469458e-04,-2.98812954e-05,3.80181126e-04,1.85082078e-05,6.31973281e-01,9.32518589e-02,2.05611233e-02,2.99909372e+00,3.33736437e-07,3.591e-16,3.109e-15
0.3500,19.380450,0.833402,19.355186,0.702191,1.595236,0.439335,1.835711,-1.398971,1.165274,-4.44550993e-04,-3.16806425e-05,3.63658104e-04,1.97576222e-05,6.31964188e-01,9.32472828e-02,2.06285140e-02,2.99904275e+00,3.39346909e-07,1.150e-15,3.553e-15
0.3600,19.385959,0.855826,19.359306,0.721715,1.595256,0.438994,1.835758,-1.322289,1.110561,-4.18843362e-04,-2.86038075e-05,3.45766453e-04,1.80128939e-05,6.31955577e-01,9.32428251e-02,2.06933541e-02,2.99899365e+00,3.46110046e-07,1.020e-15,3.997e-15
0.3700,19.391494,0.878252,19.363416,0.741241,1.595282,0.438655,1.835802,-1.254757,1.060656,-3.91449435e-04,-2.11402805e-05,3.26577511e-04,1.35523216e-05,6.31948368e-01,9.32387050e-02,2.07508409e-02,2.99894987e+00,3.56189789e-07,2.914e-16,2.665e-15
0.3800,19.397056,0.900681,19.367516,0.760770,1.595315,0.438320,1.835840,-1.192822,1.013470,-3.62478937e-04,-1.04481098e-05,3.06167560e-04,7.06804376e-06,6.31943317e-01,9.32351030e-02,2.07970124e-02,2.99891426e+00,3.70270895e-07,3.886e-16,1.332e-15
0.3900,19.402644,0.923112,19.371605,0.780302,1.595359,0.437987,1.835873,-1.131299,0.965894,-3.32047942e-04,1.82573002e-06,2.84617557e-04,-4.41331871e-07,6.31940903e-01,9.32321343e-02,2.08293341e-02,2.99888861e+00,3.87167165e-07,7.199e-16,8.882e-16
0.4000,19.408258,0.945546,19.375683,0.799836,1.595413,0.437659,1.835899,-1.064221,0.914318,-3.00278303e-04,1.37989915e-05,2.62012870e-04,-7.82450037e-06,6.31941264e-01,9.32298325e-02,2.08470672e-02,2.99887346e+00,4.04522704e-07,6.939e-17,2.220e-15
0.4100,19.413898,0.967982,19.379751,0.819372,1.595477,0.437333,1.835919,-0.985821,0.855223,-2.67297057e-04,2.36427715e-05,2.38442992e-04,-1.39539575e-05,6.31944176e-01,9.32281452e-02,2.08513594e-02,2.99886799e+00,4.20186349e-07,1.521e-15,9.992e-16
0.4200,19.419565,0.990422,19.383808,0.838910,1.595549,0.437010,1.835935,-0.891478,0.785769,-2.33235807e-04,2.98608389e-05,2.14001246e-04,-1.78981687e-05,6.31949094e-01,9.32269430e-02,2.08450462e-02,2.99887015e+00,4.33447812e-07,3.175e-16,1.776e-15
0.4300,19.425258,1.012864,19.387855,0.858451,1.595625,0.436689,1.835948,-0.778476,0.704271,-1.98230115e-04,3.15170166e-05,1.88784460e-04,-1.90631217e-05,6.31955238e-01,9.32260407e-02,2.08321939e-02,2.99887705e+00,4.45411735e-07,2.550e-16,3.109e-15
0.4400,19.430978,1.035308,19.391891,0.877994,1.595703,0.436367,1.835959,-0.646490,0.610503,-1.62418904e-04,2.83760686e-05,1.62892601e-04,-1.72817565e-05,6.31961714e-01,9.32252257e-02,2.08174584e-02,2.99888534e+00,4.58297447e-07,1.063e-15,1.332e-15
0.4500,19.436723,1.057756,19.395917,0.897540,1.595779,0.436044,1.835972,-0.497691,0.505774,-1.25943904e-04,2.09368971e-05,1.36428392e-04,-1.28378131e-05,6.31967655e-01,9.32242914e-02,2.08053599e-02,2.99889177e+00,4.74084350e-07,1.001e-15,4.885e-15
0.4600,19.442495,1.080207,19.399933,0.917087,1.595851,0.435719,1.835987,-0.336477,0.392776,-8.89491179e-05,1.03534009e-05,1.09496880e-04,-6.42071246e-06,6.31972355e-01,9.32230694e-02,2.07995848e-02,2.99889371e+00,4.93303581e-07,5.464e-16,4.441e-15
0.4700,19.448293,1.102660,19.403938,0.936637,1.595916,0.435391,1.836006,-0.168864,0.275218,-5.15803292e-05,-1.74446807e-06,8.22049817e-05,9.81366943e-07,6.31975375e-01,9.32214547e-02,2.08024211e-02,2.99888949e+00,5.14684577e-07,1.004e-15,2.220e-15
0.4800,19.454118,1.125116,19.407932,0.956189,1.595975,0.435059,1.836029,-0.001636,0.157315,-1.39846225e-05,-1.35017060e-05,5.46610078e-05,8.23363774e-06,6.31976613e-01,9.32194225e-02,2.08144110e-02,2.99887873e+00,5.35858048e-07,8.344e-16,3.109e-15
0.4900,19.459968,1.147574,19.411916,0.975744,1.596029,0.434726,1.836056,0.158620,0.043187,2.36900839e-05,-2.31226694e-05,2.69741768e-05,1.42286541e-05,6.31976316e-01,9.32170313e-02,2.08342720e-02,2.99886236e+00,5.54695480e-07,8.119e-16,1.776e-15
0.5000,19.465844,1.170035,19.415890,0.995300,1.596079,0.434390,1.836084,0.306450,-0.063706,6.12955149e-05,-2.91452952e-05,-7.45872338e-07,1.80554023e-05,6.31975045e-01,9.32144141e-02,2.08590967e-02,2.99884245e+00,5.70495154e-07,3.452e-16,3.553e-15
0.5100,19.471747,1.192499,19.419852,1.014859,1.596128,0.434054,1.836112,0.438279,-0.161042,9.86835386e-05,-3.06632567e-05,-2.83895568e-05,1.91377168e-05,6.31973582e-01,9.32117576e-02,2.08848005e-02,2.99882194e+00,5.84320932e-07,9.315e-16,2.220e-15
0.5200,19.477675,1.214965,19.423805,1.034421,1.596181,0.433718,1.836139,0.552882,-0.247925,1.35706699e-04,-2.74623046e-05,-5.58478072e-05,1.73209937e-05,6.31972817e-01,9.32092734e-02,2.09067504e-02,2.99880416e+00,5.98302648e-07,4.996e-16,4.441e-16
0.5300,19.483629,1.237433,19.427746,1.053985,1.596239,0.433385,1.836162,0.651485,-0.324970,1.72218790e-04,-2.00502908e-05,-8.30125011e-05,1.28941575e-05,6.31973604e-01,9.32071654e-02,2.09204779e-02,2.99879231e+00,6.14317716e-07,2.463e-16,8.882e-16
0.5400,19.489609,1.259905,19.431677,1.073551,1.596306,0.433054,1.836180,0.737493,-0.394141,2.08075463e-04,-9.57670608e-06,-1.09776869e-04,6.54377806e-06,6.31976633e-01,9.32055986e-02,2.09223692e-02,2.99878897e+00,6.32833333e-07,1.343e-15,1.776e-15
0.5500,19.495616,1.282379,19.435598,1.093119,1.596383,0.432727,1.836192,0.815891,-0.458395,2.43134874e-04,2.34553780e-06,-1.36035877e-04,-7.52385471e-07,6.31982325e-01,9.32046737e-02,2.09102235e-02,2.99879572e+00,6.52588264e-07,8.153e-16,4.441e-15
0.5600,19.501648,1.304856,19.439508,1.112689,1.596470,0.432403,1.836198,0.892403,-0.521173,2.77258337e-04,1.38884552e-05,-1.61686586e-04,-7.87591116e-06,6.31990765e-01,9.32044113e-02,2.08835945e-02,2.99881290e+00,6.71295224e-07,1.318e-15,4.441e-16
0.5700,19.507706,1.327335,19.443407,1.132262,1.596567,0.432083,1.836197,0.972545,-0.585819,3.10310982e-04,2.32892305e-05,-1.86628502e-04,-1.37391412e-05,6.32001689e-01,9.32047493e-02,2.08438617e-02,2.99883951e+00,6.86944525e-07,4.996e-16,5.329e-15
0.5800,19.513790,1.349818,19.447296,1.151836,1.596671,0.431764,1.836192,1.060716,-0.655021,3.42162394e-04,2.91193981e-05,-2.10763913e-04,-1.74512360e-05,6.32014525e-01,9.32055513e-02,2.07940214e-02,2.99887342e+00,6.98940095e-07,1.110e-16,4.441e-16
0.5900,19.519900,1.372304,19.451175,1.171412,1.596780,0.431447,1.836185,1.159462,-0.730352,3.72687206e-04,3.05018604e-05,-2.33998235e-04,-1.84535055e-05,6.32028479e-01,9.32066282e-02,2.07382311e-02,2.99891166e+00,7.08403273e-07,2.151e-16,3.109e-15
0.6000,19.526037,1.394792,19.455043,1.190991,1.596890,0.431130,1.836177,1.269035,-0.811986,4.01765643e-04,2.72427788e-05,-2.56240354e-04,-1.66034646e-05,6.32042653e-01,9.32077655e-02,2.06811805e-02,2.99895085e+00,7.17473213e-07,7.841e-16,4.441e-15
0.6100,19.532199,1.417284,19.458901,1.210571,1.596997,0.430811,1.836170,1.387299,-0.898632,4.29283996e-04,1.98585129e-05,-2.77402988e-04,-1.21949681e-05,6.32056182e-01,9.32087567e-02,2.06273874e-02,2.99898775e+00,7.28022697e-07,7.667e-16,1.332e-15
0.6200,19.538387,1.439778,19.462749,1.230153,1.597100,0.430490,1.836166,1.510012,-0.987691,4.55135039e-04,9.49390454e-06,-2.97403040e-04,-5.91160347e-06,6.32068360e-01,9.32094331e-02,2.05805261e-02,2.99901971e+00,7.40547759e-07,8.899e-16,2.220e-15
0.6300,19.544601,1.462276,19.466586,1.249737,1.597196,0.430166,1.836165,1.631427,-1.075619,4.79218370e-04,-2.25517693e-06,-3.16161971e-04,1.27927890e-06,6.32078750e-01,9.32096889e-02,2.05428914e-02,2.99904507e+00,7.53881478e-07,1.237e-15,1.776e-15
0.6400,19.550840,1.484776,19.470412,1.269323,1.597285,0.429839,1.836169,1.745123,-1.158433,5.01440706e-04,-1.35875285e-05,-3.33606153e-04,8.27547287e-06,6.32087237e-01,9.32094966e-02,2.05150759e-02,2.99906339e+00,7.65893480e-07,1.762e-15,1.332e-15
0.6500,19.557106,1.507279,19.474228,1.288911,1.597368,0.429509,1.836177,1.844948,-1.232281,5.21716140e-04,-2.27727249e-05,-3.49667216e-04,1.40088432e-05,6.32094050e-01,9.32089094e-02,2.04959089e-02,2.99907550e+00,7.74756918e-07,2.880e-16,3.109e-15
0.6600,19.563397,1.529785,19.478033,1.308501,1.597446,0.429177,1.836187,1.925906,-1.294000,5.39966368e-04,-2.84153258e-05,-3.64282365e-04,1.76083836e-05,6.32099714e-01,9.32080522e-02,2.04826634e-02,2.99908337e+00,7.80034926e-07,1.240e-15,2.220e-15
0.6700,19.569714,1.552293,19.481828,1.328093,1.597523,0.428845,1.836199,1.984885,-1.341561,5.56120915e-04,-2.96668431e-05,-3.77394669e-04,1.85325181e-05,6.32104969e-01,9.32071010e-02,2.04715000e-02,2.99908976e+00,7.82950202e-07,3.782e-16,2.665e-15
0.6800,19.576056,1.574804,19.485612,1.347687,1.597602,0.428513,1.836209,2.021083,-1.374349,5.70117357e-04,-2.63532766e-05,-3.88953304e-04,1.66505506e-05,6.32110651e-01,9.32062546e-02,2.04580801e-02,2.99909778e+00,7.85685547e-07,1.119e-15,2.220e-15
0.6900,19.582424,1.597318,19.489386,1.367284,1.597685,0.428183,1.836216,2.036094,-1.393226,5.81901557e-04,-1.89990548e-05,-3.98913752e-04,1.22610214e-05,6.32117557e-01,9.32057036e-02,2.04382549e-02,2.99911043e+00,7.90132908e-07,3.331e-16,2.220e-15
0.7000,19.588818,1.619834,19.493149,1.386882,1.597776,0.427855,1.836219,2.033625,-1.400367,5.91427911e-04,-8.74413203e-06,-4.07237948e-04,6.04441105e-06,6.32126322e-01,9.32055993e-02,2.04087253e-02,2.99913007e+00,7.96828636e-07,1.665e-16,1.332e-15
0.7100,19.595237,1.642354,19.496901,1.406482,1.597874,0.427531,1.836217,2.018902,-1.398909,5.98659590e-04,2.83266836e-06,-4.13894397e-04,-1.04232366e-06,6.32137316e-01,9.32060304e-02,2.03675708e-02,2.99915809e+00,8.04697576e-07,9.402e-16,2.220e-15
0.7200,19.601682,1.664876,19.500643,1.426084,1.597981,0.427209,1.836209,1.997844,-1.392448,6.03568783e-04,1.39566951e-05,-4.18858232e-04,-7.91304029e-06,6.32150586e-01,9.32070081e-02,2.03145648e-02,2.99919468e+00,8.11749022e-07,4.996e-16,4.441e-15
0.7300,19.608152,1.687401,19.504375,1.445688,1.598096,0.426891,1.836198,1.976142,-1.384476,6.06136906e-04,2.29294845e-05,-4.22111261e-04,-1.35188610e-05,6.32165841e-01,9.32084634e-02,2.02512278e-02,2.99923874e+00,8.16307897e-07,9.645e-16,1.776e-15
0.7400,19.614648,1.709929,19.508096,1.465293,1.598216,0.426574,1.836182,1.958384,-1.377839,6.06354769e-04,2.83880617e-05,-4.23641979e-04,-1.70082759e-05,6.32182499e-01,9.32102571e-02,2.01806115e-02,2.99928809e+00,8.18053670e-07,4.319e-16,1.776e-15
0.7500,19.621170,1.732460,19.511807,1.484901,1.598338,0.426258,1.836166,1.947352,-1.374299,6.04222692e-04,2.95119436e-05,-4.23445568e-04,-1.78564645e-05,6.32199765e-01,9.32121997e-02,2.01068485e-02,2.99933975e+00,8.18258011e-07,3.643e-16,3.109e-15
0.7600,19.627717,1.754994,19.515507,1.504510,1.598459,0.425941,1.836150,1.943602,-1.374268,5.99750542e-04,2.61464112e-05,-4.21523890e-04,-1.59441968e-05,6.32216757e-01,9.32140799e-02,2.00345400e-02,2.99939040e+00,8.19087069e-07,9.905e-16,3.109e-15
0.7700,19.634290,1.777531,19.519197,1.524121,1.598576,0.425623,1.836136,1.945398,-1.376746,5.92957690e-04,1.88235390e-05,-4.17885478e-04,-1.15744583e-05,6.32232629e-01,9.32156952e-02,1.99680761e-02,2.99943686e+00,8.22384149e-07,1.615e-15,1.776e-15
0.7800,19.640889,1.800071,19.522876,1.543733,1.598687,0.425302,1.836127,1.948992,-1.379490,5.83872899e-04,8.67816799e-06,-4.12545512e-04,-5.42450267e-06,6.32246699e-01,9.32168819e-02,1.99109944e-02,2.99947656e+00,8.28650154e-07,1.405e-16,7.772e-16
0.7900,19.647513,1.822614,19.526545,1.563347,1.598788,0.424978,1.836122,1.949220,-1.379368,5.72534126e-04,-2.72791928e-06,-4.05525800e-04,1.55908940e-06,6.32258547e-01,9.32175387e-02,1.98654732e-02,2.99950792e+00,8.36817539e-07,1.370e-16,2.665e-15
0.8000,19.654162,1.845159,19.530204,1.582964,1.598881,0.424651,1.836123,1.940317,-1.372848,5.58988277e-04,-1.36463878e-05,-3.96854733e-04,8.30608705e-06,6.32268073e-01,9.32176409e-02,1.98320332e-02,2.99953053e+00,8.44943271e-07,2.533e-16,8.882e-16
0.8100,19.660837,1.867707,19.533851,1.602582,1.598966,0.424320,1.836129,1.916824,-1.356560,5.43290902e-04,-2.24103075e-05,-3.86567230e-04,1.37866068e-05,6.32275506e-01,9.32172423e-02,1.98094919e-02,2.99954524e+00,8.51406134e-07,2.325e-16,1.332e-15
0.8200,19.667537,1.890258,19.537489,1.622202,1.599045,0.423988,1.836138,1.874446,-1.327824,5.25505877e-04,-2.76886136e-05,-3.74704641e-04,1.71683021e-05,6.32281366e-01,9.32164661e-02,1.97951752e-02,2.99955399e+00,8.55901118e-07,3.955e-16,2.220e-15
0.8300,19.674262,1.912812,19.541115,1.641824,1.599121,0.423655,1.836150,1.810740,-1.285077,5.05705064e-04,-2.86882318e-05,-3.61314621e-04,1.79427556e-05,6.32286374e-01,9.32154841e-02,1.97853531e-02,2.99955946e+00,8.59648319e-07,8.188e-16,1.776e-15
0.8400,19.681012,1.935368,19.544731,1.661447,1.599196,0.423322,1.836161,1.725514,-1.228136,4.83967980e-04,-2.52731783e-05,-3.46450963e-04,1.60018858e-05,6.32291342e-01,9.32144897e-02,1.97758354e-02,2.99956469e+00,8.64699320e-07,7.667e-16,3.997e-15
0.8500,19.687788,1.957926,19.548337,1.681073,1.599274,0.422990,1.836171,1.620891,-1.158245,4.60381473e-04,-1.79827602e-05,-3.30173377e-04,1.16528887e-05,6.32297039e-01,9.32136669e-02,1.97626348e-02,2.99957257e+00,8.72754589e-07,1.636e-15,2.220e-15
0.8600,19.694588,1.980487,19.551932,1.700701,1.599356,0.422661,1.836178,1.501015,-1.077908,4.35039407e-04,-7.94648837e-06,-3.12547232e-04,5.56967464e-06,6.32304075e-01,9.32131613e-02,1.97425982e-02,2.99958537e+00,8.84189218e-07,1.457e-16,1.332e-15
0.8700,19.701414,2.003051,19.555516,1.720331,1.599445,0.422334,1.836181,1.371461,-0.990538,4.08042366e-04,3.29088320e-06,-2.93643259e-04,-1.31153224e-06,6.32312801e-01,9.32130570e-02,1.97139074e-02,2.99960442e+00,8.97856678e-07,3.539e-16,1.776e-15
0.8800,19.708266,2.025618,19.559089,1.739962,1.599540,0.422011,1.836181,1.238428,-0.899963,3.79497341e-04,1.40070977e-05,-2.73537214e-04,-7.93626145e-06,6.32323254e-01,9.32133633e-02,1.96763721e-02,2.99962986e+00,9.11779447e-07,5.516e-16,1.332e-15
0.8900,19.715142,2.048187,19.562653,1.759595,1.599640,0.421689,1.836177,1.107842,-0.809883,3.49517409e-04,2.25663309e-05,-2.52309524e-04,-1.32933645e-05,6.32335149e-01,9.32140125e-02,1.96314697e-02,2.99966063e+00,9.24314217e-07,7.234e-16,4.441e-16
0.9000,19.722043,2.070759,19.566205,1.779230,1.599743,0.421369,1.836171,0.984509,-0.723341,3.18221386e-04,2.76688778e-05,-2.30044919e-04,-1.65693305e-05,6.32347924e-01,9.32148699e-02,1.95821269e-02,2.99969461e+00,9.35104309e-07,5.048e-16,1.776e-15
0.9100,19.728970,2.093334,19.569748,1.798867,1.599846,0.421050,1.836165,0.871446,-0.642307,2.85733424e-04,2.85484822e-05,-2.06832050e-04,-1.72718007e-05,6.32360816e-01,9.32157537e-02,1.95322784e-02,2.99972896e+00,9.45262274e-07,1.041e-15,4.441e-16
