point_id,anchor,geometry_class,mu,m_t_kg,omega_t_dps,omega_hat,lambda_scale,alpha,w_plus_dps,H_c_Nms,dT_J,eps_P,eps_H,lever_m,target_Ibar,w_plus_analytic_dps,H_analytic_Nms,delta_analytic
11,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.274274985703e-01,6.371374928516e-02,1.000000000000e+00,1.000000000000e+00,8.700986422372e-02,2.303884271379e-03,5.506440820027e-05,0.000000000000e+00,2.648616708448e-16,2.430428410384e-01,2.184721193066e-02,7.816521476920e-03,4.858884180855e-05,9.101651112014e-01
12,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.623776739189e-01,8.118883695944e-02,2.000000000000e-01,0.000000000000e+00,2.460469077598e-02,4.635786519615e-04,5.739993274537e-05,0.000000000000e+00,1.604955340683e-16,4.860856820767e-02,2.184721193066e-02,8.939550320052e-03,6.191554570093e-05,6.366729254416e-01
13,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.623776739189e-01,8.118883695944e-02,2.000000000000e-01,1.000000000000e+00,2.460854357979e-02,4.582984728863e-04,5.722207548043e-05,0.000000000000e+00,0.000000000000e+00,4.860856820767e-02,2.184721193066e-02,8.939550320052e-03,6.191554570093e-05,6.367298092605e-01
14,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.623776739189e-01,8.118883695944e-02,5.000000000000e-01,0.000000000000e+00,5.010017803416e-02,1.163940327390e-03,5.699274612492e-05,0.000000000000e+00,2.566631529871e-16,1.215214205192e-01,2.184721193066e-02,9.383636274598e-03,6.191554570093e-05,8.127025363423e-01
15,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.623776739189e-01,8.118883695944e-02,5.000000000000e-01,1.000000000000e+00,5.011866530301e-02,1.149953815636e-03,5.656822334338e-05,0.000000000000e+00,3.272434383613e-17,1.215214205192e-01,2.184721193066e-02,9.383636274598e-03,6.191554570093e-05,8.127716247457e-01
16,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.623776739189e-01,8.118883695944e-02,1.000000000000e+00,0.000000000000e+00,8.774602281416e-02,2.334678725005e-03,5.571483737250e-05,0.000000000000e+00,2.566192424562e-16,2.430428410384e-01,2.184721193066e-02,9.960397793251e-03,6.191554570093e-05,8.864860483267e-01
17,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.623776739189e-01,8.118883695944e-02,1.000000000000e+00,1.000000000000e+00,8.776053202651e-02,2.300847362712e-03,5.493651847909e-05,0.000000000000e+00,1.345093098956e-16,2.430428410384e-01,2.184721193066e-02,9.960397793251e-03,6.191554570093e-05,8.865048152825e-01
18,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.069138081115e-01,1.034569040557e-01,2.000000000000e-01,0.000000000000e+00,2.692547709581e-02,4.637129645122e-04,5.745074137925e-05,0.000000000000e+00,1.605322707382e-16,4.860856820767e-02,2.184721193066e-02,1.139144535628e-02,7.889743111285e-05,5.769268891414e-01
19,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.069138081115e-01,1.034569040557e-01,2.000000000000e-01,1.000000000000e+00,2.704156485956e-02,4.584948661085e-04,5.722478620919e-05,0.000000000000e+00,1.632684558291e-16,4.860856820767e-02,2.184721193066e-02,1.139144535628e-02,7.889743111285e-05,5.787431158130e-01
20,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.069138081115e-01,1.034569040557e-01,5.000000000000e-01,0.000000000000e+00,5.119695635533e-02,1.162442251789e-03,5.704484999716e-05,0.000000000000e+00,1.283446606506e-16,1.215214205192e-01,2.184721193066e-02,1.195733297966e-02,7.889743111285e-05,7.664444562550e-01
21,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.069138081115e-01,1.034569040557e-01,5.000000000000e-01,1.000000000000e+00,5.160275903624e-02,1.149478919782e-03,5.650743530943e-05,0.000000000000e+00,0.000000000000e+00,1.215214205192e-01,2.184721193066e-02,1.195733297966e-02,7.889743111285e-05,7.682811306415e-01
22,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.069138081115e-01,1.034569040557e-01,1.000000000000e+00,0.000000000000e+00,8.828340966146e-02,2.332643045746e-03,5.576887094304e-05,0.000000000000e+00,2.566313176390e-16,2.430428410384e-01,2.184721193066e-02,1.269228575559e-02,7.889743111285e-05,8.562324925570e-01
23,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.069138081115e-01,1.034569040557e-01,1.000000000000e+00,1.000000000000e+00,8.917845282157e-02,2.301869991259e-03,5.478887298716e-05,0.000000000000e+00,1.343823920658e-16,2.430428410384e-01,2.184721193066e-02,1.269228575559e-02,7.889743111285e-05,8.576754209788e-01
24,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.636650898730e-01,1.318325449365e-01,2.000000000000e-01,0.000000000000e+00,3.034452252580e-02,4.648365315507e-04,5.753292109409e-05,0.000000000000e+00,1.605778909702e-16,4.860856820767e-02,2.184721193066e-02,1.451583386851e-02,1.005370229033e-04,5.216324838802e-01
25,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.636650898730e-01,1.318325449365e-01,2.000000000000e-01,1.000000000000e+00,3.063582482650e-02,4.606505990446e-04,5.724610256364e-05,1.653413558550e-18,4.037679384903e-17,4.860856820767e-02,2.184721193066e-02,1.451583386851e-02,1.005370229033e-04,5.261810657714e-01
26,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.636650898730e-01,1.318325449365e-01,5.000000000000e-01,0.000000000000e+00,5.296352612708e-02,1.160911537303e-03,5.712869535293e-05,0.000000000000e+00,1.283600872331e-16,1.215214205192e-01,2.184721193066e-02,1.523693031170e-02,1.005370229033e-04,7.123127664284e-01
27,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.636650898730e-01,1.318325449365e-01,5.000000000000e-01,1.000000000000e+00,5.405735604465e-02,1.152312698402e-03,5.644963604378e-05,0.000000000000e+00,2.587032899465e-16,1.215214205192e-01,2.184721193066e-02,1.523693031170e-02,1.005370229033e-04,7.181340075324e-01
28,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.636650898730e-01,1.318325449365e-01,1.000000000000e+00,0.000000000000e+00,8.918166802416e-02,2.330236266144e-03,5.585524571172e-05,0.000000000000e+00,2.566466836884e-16,2.430428410384e-01,2.184721193066e-02,1.617346224975e-02,1.005370229033e-04,8.186458875678e-01
29,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.636650898730e-01,1.318325449365e-01,1.000000000000e+00,1.000000000000e+00,9.169741517636e-02,2.311099596707e-03,5.462561020691e-05,0.000000000000e+00,1.450771736727e-16,2.430428410384e-01,2.184721193066e-02,1.617346224975e-02,1.005370229033e-04,8.236213941403e-01
30,,G1_slender,5.000000000000e-02,1.200000000000e+00,3.359818286284e-01,1.679909143142e-01,2.000000000000e-01,0.000000000000e+00,3.522505643489e-02,4.678020925306e-04,5.766595207925e-05,0.000000000000e+00,3.137408348642e-19,4.860856820767e-02,2.184721193066e-02,1.849716399526e-02,1.281118134228e-04,4.748861785515e-01
31,,G1_slender,5.000000000000e-02,1.200000000000e+00,3.359818286284e-01,1.679909143142e-01,2.000000000000e-01,1.000000000000e+00,3.576760820381e-02,4.664426168579e-04,5.730226958933e-05,0.000000000000e+00,0.000000000000e+00,4.860856820767e-02,2.184721193066e-02,1.849716399526e-02,1.281118134228e-04,4.828515261669e-01
32,,G1_slender,5.000000000000e-02,1.200000000000e+00,3.359818286284e-01,1.679909143142e-01,5.000000000000e-01,0.000000000000e+00,5.575404855170e-02,1.159577568936e-03,5.726387342465e-05,0.000000000000e+00,2.567560275168e-16,1.215214205192e-01,2.184721193066e-02,1.941603915510e-02,1.281118134228e-04,6.517555288008e-01
33,,G1_slender,5.000000000000e-02,1.200000000000e+00,3.359818286284e-01,1.679909143142e-01,5.000000000000e-01,1.000000000000e+00,5.797801765765e-02,1.161459148614e-03,5.640790961817e-05,0.000000000000e+00,1.435899877771e-16,1.215214205192e-01,2.184721193066e-02,1.941603915510e-02,1.281118134228e-04,6.651137803685e-01
34,,G1_slender,5.000000000000e-02,1.200000000000e+00,3.359818286284e-01,1.679909143142e-01,1.000000000000e+00,0.000000000000e+00,9.066209172936e-02,2.327474347305e-03,5.599376134062e-05,0.000000000000e+00,1.283340633491e-16,2.430428410384e-01,2.184721193066e-02,2.060943837707e-02,1.281118134228e-04,7.726785475170e-01
35,,G1_slender,5.000000000000e-02,1.200000000000e+00,3.359818286284e-01,1.679909143142e-01,1.000000000000e+00,1.000000000000e+00,9.596722442031e-02,2.335557601702e-03,5.445796513485e-05,0.000000000000e+00,2.642573154097e-16,2.430428410384e-01,2.184721193066e-02,2.060943837707e-02,1.281118134228e-04,7.852450302532e-01
36,,G1_slender,5.000000000000e-02,1.200000000000e+00,4.281332398719e-01,2.140666199360e-01,2.000000000000e-01,0.000000000000e+00,4.198890363909e-02,4.740205835083e-04,5.788144157775e-05,0.000000000000e+00,1.255523832075e-18,4.860856820767e-02,2.184721193066e-02,2.357047338561e-02,1.632496792177e-04,4.386499445613e-01
37,,G1_slender,5.000000000000e-02,1.200000000000e+00,4.281332398719e-01,2.140666199360e-01,2.000000000000e-01,1.000000000000e+00,4.287117066651e-02,4.785714613195e-04,5.742093805426e-05,0.000000000000e+00,7.893629831888e-17,4.860856820767e-02,2.184721193066e-02,2.357047338561e-02,1.632496792177e-04,4.502022450247e-01
38,,G1_slender,5.000000000000e-02,1.200000000000e+00,4.281332398719e-01,2.140666199360e-01,5.000000000000e-01,0.000000000000e+00,6.005818909967e-02,1.158882221182e-03,5.748213884999e-05,0.000000000000e+00,2.568047967924e-16,1.215214205192e-01,2.184721193066e-02,2.474137301678e-02,1.632496792177e-04,5.880433062056e-01
39,,G1_slender,5.000000000000e-02,1.200000000000e+00,4.281332398719e-01,2.140666199360e-01,5.000000000000e-01,1.000000000000e+00,6.401398800706e-02,1.181872130414e-03,5.640657894009e-05,6.606447385738e-18,6.351044834741e-17,1.215214205192e-01,2.184721193066e-02,2.474137301678e-02,1.632496792177e-04,6.135005209479e-01
40,,G1_slender,5.000000000000e-02,1.200000000000e+00,4.281332398719e-01,2.140666199360e-01,1.000000000000e+00,0.000000000000e+00,9.306646179377e-02,2.324451895722e-03,5.621646547476e-05,0.000000000000e+00,1.283455994321e-16,2.430428410384e-01,2.184721193066e-02,2.626209179329e-02,1.632496792177e-04,7.178135787360e-01
41,,G1_slender,5.000000000000e-02,1.200000000000e+00,4.281332398719e-01,2.140666199360e-01,1.000000000000e+00,1.000000000000e+00,1.029036188860e-01,2.386648612179e-03,5.430993428042e-05,1.329752422984e-17,1.802194870019e-16,2.430428410384e-01,2.184721193066e-02,2.626209179329e-02,1.632496792177e-04,7.447894245355e-01
42,,G1_slender,5.000000000000e-02,1.200000000000e+00,5.455594781169e-01,2.727797390584e-01,2.000000000000e-01,0.000000000000e+00,5.113179204653e-02,4.857424869765e-04,5.823068181323e-05,0.000000000000e+00,1.607963008748e-16,4.860856820767e-02,2.184721193066e-02,3.003526463647e-02,2.080249826512e-04,4.125911994413e-01
43,,G1_slender,5.000000000000e-02,1.200000000000e+00,5.455594781169e-01,2.727797390584e-01,2.000000000000e-01,1.000000000000e+00,5.245700818192e-02,5.011358814091e-04,5.764862807199e-05,4.111899285494e-19,4.607318866207e-16,4.860856820767e-02,2.184721193066e-02,3.003526463647e-02,2.080249826512e-04,4.274308490430e-01
44,,G1_slender,5.000000000000e-02,1.200000000000e+00,5.455594781169e-01,2.727797390584e-01,5.000000000000e-01,0.000000000000e+00,6.651203993254e-02,1.159629631325e-03,5.783498124647e-05,0.000000000000e+00,2.568678048777e-16,1.215214205192e-01,2.184721193066e-02,3.152731274723e-02,2.080249826512e-04,5.259908915859e-01
45,,G1_slender,5.000000000000e-02,1.200000000000e+00,5.455594781169e-01,2.727797390584e-01,5.000000000000e-01,1.000000000000e+00,7.295798632632e-02,1.221335123205e-03,5.648906030238e-05,0.000000000000e+00,1.231329025874e-16,1.215214205192e-01,2.184721193066e-02,3.152731274723e-02,2.080249826512e-04,5.678702999529e-01
46,,G1_slender,5.000000000000e-02,1.200000000000e+00,5.455594781169e-01,2.727797390584e-01,1.000000000000e+00,0.000000000000e+00,9.690555825101e-02,2.321410607830e-03,5.657526561225e-05,0.000000000000e+00,1.283621353768e-16,2.430428410384e-01,2.184721193066e-02,3.346512664443e-02,2.080249826512e-04,6.546624646881e-01
47,,G1_slender,5.000000000000e-02,1.200000000000e+00,5.455594781169e-01,2.727797390584e-01,1.000000000000e+00,1.000000000000e+00,1.137052250142e-01,2.481960687295e-03,5.422781401012e-05,0.000000000000e+00,3.035669101167e-16,2.430428410384e-01,2.184721193066e-02,3.346512664443e-02,2.080249826512e-04,7.056852344274e-01
48,,G1_slender,5.000000000000e-02,1.200000000000e+00,6.951927961776e-01,3.475963980888e-01,2.000000000000e-01,0.000000000000e+00,6.325506650799e-02,5.063903795875e-04,5.879692055265e-05,0.000000000000e+00,1.257072581180e-18,4.860856820767e-02,2.184721193066e-02,3.827318641522e-02,2.650810317938e-04,3.949388005087e-01
49,,G1_slender,5.000000000000e-02,1.200000000000e+00,6.951927961776e-01,3.475963980888e-01,2.000000000000e-01,1.000000000000e+00,6.514695749684e-02,5.398951009910e-04,5.806294408081e-05,0.000000000000e+00,1.466373419232e-16,4.860856820767e-02,2.184721193066e-02,3.827318641522e-02,2.650810317938e-04,4.125099945446e-01
50,,G1_slender,5.000000000000e-02,1.200000000000e+00,6.951927961776e-01,3.475963980888e-01,5.000000000000e-01,0.000000000000e+00,7.589309500876e-02,1.163227659232e-03,5.840591545883e-05,0.000000000000e+00,2.569509327227e-16,1.215214205192e-01,2.184721193066e-02,4.017446600024e-02,2.650810317938e-04,4.706439894750e-01
51,,G1_slender,5.000000000000e-02,1.200000000000e+00,6.951927961776e-01,3.475963980888e-01,5.000000000000e-01,1.000000000000e+00,8.572989673221e-02,1.291328097353e-03,5.673084891336e-05,0.000000000000e+00,0.000000000000e+00,1.215214205192e-01,2.184721193066e-02,4.017446600024e-02,2.650810317938e-04,5.313832451505e-01
52,,G1_slender,5.000000000000e-02,1.200000000000e+00,6.951927961776e-01,3.475963980888e-01,1.000000000000e+00,0.000000000000e+00,1.029089511366e-01,2.318855752943e-03,5.715428136482e-05,0.000000000000e+00,2.567645356209e-16,2.430428410384e-01,2.184721193066e-02,4.264377377638e-02,2.650810317938e-04,5.856164764541e-01
53,,G1_slender,5.000000000000e-02,1.200000000000e+00,6.951927961776e-01,3.475963980888e-01,1.000000000000e+00,1.000000000000e+00,1.298277788080e-01,2.646833548871e-03,5.429612149721e-05,0.000000000000e+00,4.683000368674e-16,2.430428410384e-01,2.184721193066e-02,4.264377377638e-02,2.650810317938e-04,6.715358287115e-01
54,,G1_slender,5.000000000000e-02,1.200000000000e+00,8.858667904101e-01,4.429333952050e-01,2.000000000000e-01,0.000000000000e+00,7.911010883761e-02,5.408519185286e-04,5.971528343742e-05,0.000000000000e+00,1.610379579750e-16,4.860856820767e-02,2.184721193066e-02,4.877056407207e-02,3.377861279992e-04,3.835103403513e-01
55,,G1_slender,5.000000000000e-02,1.200000000000e+00,8.858667904101e-01,4.429333952050e-01,2.000000000000e-01,1.000000000000e+00,8.172126692661e-02,6.022294741235e-04,5.879253121844e-05,0.000000000000e+00,1.367247118072e-16,4.860856820767e-02,2.184721193066e-02,4.877056407207e-02,3.377861279992e-04,4.032084192249e-01
56,,G1_slender,5.000000000000e-02,1.200000000000e+00,8.858667904101e-01,4.429333952050e-01,5.000000000000e-01,0.000000000000e+00,8.911280541417e-02,1.172064026891e-03,5.933043269858e-05,0.000000000000e+00,1.285318038199e-16,1.215214205192e-01,2.184721193066e-02,5.119331708808e-02,3.377861279992e-04,4.255223270085e-01
57,,G1_slender,5.000000000000e-02,1.200000000000e+00,8.858667904101e-01,4.429333952050e-01,5.000000000000e-01,1.000000000000e+00,1.033846234578e-01,1.407470302156e-03,5.726089948676e-05,1.340550274854e-17,1.080151885286e-16,1.215214205192e-01,2.184721193066e-02,5.119331708808e-02,3.377861279992e-04,5.048265846906e-01
58,,G1_slender,5.000000000000e-02,1.200000000000e+00,8.858667904101e-01,4.429333952050e-01,1.000000000000e+00,0.000000000000e+00,1.120606442370e-01,2.317751214009e-03,5.808989193730e-05,0.000000000000e+00,2.568211365092e-16,2.430428410384e-01,2.184721193066e-02,5.433989421922e-02,3.377861279992e-04,5.150849382562e-01
59,,G1_slender,5.000000000000e-02,1.200000000000e+00,8.858667904101e-01,4.429333952050e-01,1.000000000000e+00,1.000000000000e+00,1.529472985819e-01,2.914817364483e-03,5.466399830652e-05,2.690552259901e-17,2.086578737649e-16,2.430428410384e-01,2.184721193066e-02,5.433989421922e-02,3.377861279992e-04,6.447149134174e-01
60,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.128837891685e+00,5.644189458423e-01,2.000000000000e-01,0.000000000000e+00,9.965212183743e-02,5.955862995895e-04,6.120512044097e-05,0.000000000000e+00,1.612011233285e-16,4.860856820767e-02,2.184721193066e-02,6.214710983567e-02,4.304324134269e-04,3.763593921557e-01
61,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.128837891685e+00,5.644189458423e-01,2.000000000000e-01,1.000000000000e+00,1.031744132826e-01,6.967885933772e-04,6.004963544962e-05,6.660671825060e-18,0.000000000000e+00,4.860856820767e-02,2.184721193066e-02,6.214710983567e-02,4.304324134269e-04,3.976499806649e-01
62,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.128837891685e+00,5.644189458423e-01,5.000000000000e-01,0.000000000000e+00,1.072311371816e-01,1.190060322538e-03,6.082838975932e-05,0.000000000000e+00,2.571683349587e-16,1.215214205192e-01,2.184721193066e-02,6.523436340051e-02,4.304324134269e-04,3.916471920834e-01
63,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.128837891685e+00,5.644189458423e-01,5.000000000000e-01,1.000000000000e+00,1.271639660467e-01,1.589167691631e-03,5.829671944270e-05,0.000000000000e+00,9.579154916401e-17,1.215214205192e-01,2.184721193066e-02,6.523436340051e-02,4.304324134269e-04,4.870059071881e-01
64,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.128837891685e+00,5.644189458423e-01,1.000000000000e+00,0.000000000000e+00,1.256063818317e-01,2.319840279192e-03,5.960327622752e-05,0.000000000000e+00,1.284380593096e-16,2.430428410384e-01,2.184721193066e-02,6.924396792931e-02,4.304324134269e-04,4.487225336837e-01
65,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.128837891685e+00,5.644189458423e-01,1.000000000000e+00,1.000000000000e+00,1.849730757801e-01,3.326537162857e-03,5.558878670552e-05,0.000000000000e+00,2.278238264054e-17,2.430428410384e-01,2.184721193066e-02,6.924396792931e-02,4.304324134269e-04,6.256538004936e-01
66,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.438449888288e+00,7.192249441438e-01,2.000000000000e-01,0.000000000000e+00,1.261035883785e-01,6.784644644402e-04,6.362252552177e-05,0.000000000000e+00,3.782347075089e-18,4.860856820767e-02,2.184721193066e-02,7.919250749734e-02,5.484892574657e-04,3.720043298081e-01
67,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.438449888288e+00,7.192249441438e-01,2.000000000000e-01,1.000000000000e+00,1.307806444408e-01,8.331771798193e-04,6.218317200522e-05,0.000000000000e+00,0.000000000000e+00,4.860856820767e-02,2.184721193066e-02,7.919250749734e-02,5.484892574657e-04,3.944630886632e-01
68,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.438449888288e+00,7.192249441438e-01,5.000000000000e-01,0.000000000000e+00,1.315091028191e-01,1.223413493583e-03,6.325659297560e-05,0.000000000000e+00,2.573526964175e-16,1.215214205192e-01,2.184721193066e-02,8.312651748954e-02,5.484892574657e-04,3.679029382182e-01
69,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.438449888288e+00,7.192249441438e-01,5.000000000000e-01,1.000000000000e+00,1.585883960741e-01,1.858717081140e-03,6.020183142638e-05,0.000000000000e+00,1.654600133375e-16,1.215214205192e-01,2.184721193066e-02,8.312651748954e-02,5.484892574657e-04,4.758348053995e-01
70,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.438449888288e+00,7.192249441438e-01,1.000000000000e+00,0.000000000000e+00,1.450385796136e-01,2.328160780290e-03,6.205323471558e-05,0.000000000000e+00,2.569553715274e-16,2.430428410384e-01,2.184721193066e-02,8.823585624315e-02,5.484892574657e-04,3.916387179313e-01
71,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.438449888288e+00,7.192249441438e-01,1.000000000000e+00,1.000000000000e+00,2.281468365927e-01,3.927980561322e-03,5.750768340507e-05,1.053838660153e-16,1.550918839295e-16,2.430428410384e-01,2.184721193066e-02,8.823585624315e-02,5.484892574657e-04,6.132497054926e-01
72,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.832980710832e+00,9.164903554162e-01,2.000000000000e-01,0.000000000000e+00,1.600308596853e-01,7.985093295534e-04,6.754561200723e-05,0.000000000000e+00,1.615903984813e-16,4.860856820767e-02,2.184721193066e-02,1.009130313590e-01,6.989261407154e-04,3.694151768138e-01
73,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.832980710832e+00,9.164903554162e-01,2.000000000000e-01,1.000000000000e+00,1.661732631588e-01,1.022134908420e-03,6.576514906364e-05,0.000000000000e+00,3.734071456689e-16,4.860856820767e-02,2.184721193066e-02,1.009130313590e-01,6.989261407154e-04,3.927240192511e-01
74,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.832980710832e+00,9.164903554162e-01,5.000000000000e-01,0.000000000000e+00,1.634971500259e-01,1.281431644582e-03,6.719417149667e-05,0.000000000000e+00,2.575472063248e-16,1.215214205192e-01,2.184721193066e-02,1.059260418855e-01,6.989261407154e-04,3.521230072281e-01
75,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.832980710832e+00,9.164903554162e-01,5.000000000000e-01,1.000000000000e+00,1.995745885048e-01,2.240892612028e-03,6.357968998077e-05,0.000000000000e+00,1.428297405643e-16,1.215214205192e-01,2.184721193066e-02,1.059260418855e-01,6.989261407154e-04,4.692408353232e-01
76,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.832980710832e+00,9.164903554162e-01,1.000000000000e+00,0.000000000000e+00,1.720940673330e-01,2.347842564633e-03,6.602194007157e-05,0.000000000000e+00,1.285453591382e-16,2.430428410384e-01,2.184721193066e-02,1.124367444527e-01,6.989261407154e-04,3.466553136013e-01
77,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.832980710832e+00,9.164903554162e-01,1.000000000000e+00,1.000000000000e+00,2.852155461299e-01,4.770399980879e-03,6.115523040179e-05,0.000000000000e+00,2.720680965197e-16,2.430428410384e-01,2.184721193066e-02,1.124367444527e-01,6.989261407154e-04,6.057832541796e-01
78,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.335721469090e+00,1.167860734545e+00,2.000000000000e-01,0.000000000000e+00,2.034391004984e-01,9.659029065542e-04,7.391297465316e-05,0.000000000000e+00,2.528115155480e-18,4.860856820767e-02,2.184721193066e-02,1.285909515922e-01,8.906240979677e-04,3.679142737202e-01
79,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.335721469090e+00,1.167860734545e+00,2.000000000000e-01,1.000000000000e+00,2.114432252016e-01,1.276314655220e-03,7.173132212164e-05,0.000000000000e+00,3.075878352837e-16,4.860856820767e-02,2.184721193066e-02,1.285909515922e-01,8.906240979677e-04,3.918417037499e-01
80,,G1_slender,5.000000000000e-02,1.200000000000e+00,2.335721469090e+00,1.167860734545e+00,5.000000000000e-01,0.000000000000e+00,2.051494563819e-01,1.377196902162e-03,7.358118997807e-05,0.000000000000e+00,2.577618929205e-16,1.215214205192e-01,2.184721193066e-02,1.349789055093e-01,8.906240979677e-04,3.420459995859e-01
