organization,title,url,retrieved_on,source_sha256,source_status
SAE International,"AMS 4045 Aluminum Alloy, Sheet and Plate, 5.6Zn - 2.5Mg - 1.6Cu - 0.23Cr (7075; -T6 Sheet, -T651 Plate), Solution and Precipitation Heat Treated",https://www.sae.org/standards/content/ams4045/,2026-08-21,null,ISSUING_BODY_PUBLIC_CATALOG_PAGE_SPEC_TEXT_PAYWALLED_NOT_LOCALLY_HASH_ARCHIVED
SAE International,"AMS 4911 Titanium Alloy, Sheet, Strip, and Plate, 6Al - 4V, Annealed",https://www.sae.org/standards/content/ams4911/,2026-08-21,null,ISSUING_BODY_PUBLIC_CATALOG_PAGE_SPEC_TEXT_PAYWALLED_NOT_LOCALLY_HASH_ARCHIVED
SAE International,"AMS 5737 Steel, Corrosion and Heat-Resistant, Bars, Wire, Forgings, and Tubing 15Cr - 25.5Ni - 1.2Mo - 2.1Ti - 0.006B - 0.30V Consumable Electrode Melted 1650 F (899 C) Solution and Precipitation Heat Treated",https://www.sae.org/standards/content/ams5737/,2026-08-21,null,ISSUING_BODY_PUBLIC_CATALOG_PAGE_SPEC_TEXT_PAYWALLED_NOT_LOCALLY_HASH_ARCHIVED
US Department of Defense (legacy federal specification),"QQ-A-250/11F Federal Specification Sheet, Aluminum Alloy 6061, Plate and Sheet (Notice 2; canceled 21 Jun 2005 per Notice 3)",https://everyspec.com/FED_SPECS/Q/QQ-A-250-11F_NOTICE-2_22778/,2026-08-21,null,GOVERNMENT_SPEC_PUBLIC_MIRROR_NOT_LOCALLY_HASH_ARCHIVED
US Department of Defense,"MIL-A-8625F Anodic Coatings for Aluminum and Aluminum Alloys (superseded by MIL-PRF-8625F w/Amendment 2, 23 Nov 2020)",https://everyspec.com/MIL-SPECS/MIL-SPECS-MIL-A/MIL-A-8625F_2377/,2026-08-21,null,GOVERNMENT_SPEC_PUBLIC_MIRROR_NOT_LOCALLY_HASH_ARCHIVED
US Department of Defense,"MIL-DTL-5541F Chemical Conversion Coatings on Aluminum and Aluminum Alloys (11 Jul 2006, superseding MIL-C-5541E)",https://everyspec.com/MIL-SPECS/MIL-SPECS-MIL-DTL/MIL-DTL-5541F_10200/,2026-08-21,null,GOVERNMENT_SPEC_PUBLIC_MIRROR_NOT_LOCALLY_HASH_ARCHIVED
US Department of Defense,"MIL-PRF-46010F Lubricant, Solid Film, Heat Cured, Corrosion Inhibiting (10 Aug 2000; NATO code S-1738)",https://everyspec.com/MIL-PRF/MIL-PRF-030000-79999/MIL-PRF-46010F_17102/,2026-08-21,null,GOVERNMENT_SPEC_PUBLIC_MIRROR_NOT_LOCALLY_HASH_ARCHIVED
ASTM International,"ASTM F593-17 Standard Specification for Stainless Steel Bolts, Hex Cap Screws, and Studs",https://store.astm.org/f0593-17.html,2026-08-21,null,ISSUING_BODY_PUBLIC_CATALOG_PAGE_SPEC_TEXT_PAYWALLED_NOT_LOCALLY_HASH_ARCHIVED
iTeh Standards (public preview host),"ASTM F593-17 public preview pages (scope and alloy group table)",https://cdn.standards.iteh.ai/samples/97347/f93f9fe0f0674cbb8c62e448b5b28e52/ASTM-F593-17.pdf,2026-08-21,null,PUBLIC_PREVIEW_SCOPE_VERIFICATION_NOT_LOCALLY_HASH_ARCHIVED
NASA Goddard Space Flight Center (Thermal and Fluids Analysis Workshop),"TFAWS 2014 Short Course - Thermal Testing (Eric W. Grob)",https://tfaws.nasa.gov/wp-content/uploads/Thermal_Testing_TFAWS_2014.pdf,2026-08-21,null,AGENCY_PUBLIC_TRAINING_PDF_NOT_LOCALLY_HASH_ARCHIVED
NASA Goddard Space Flight Center,"GSFC-STD-1000F Rules for the Design, Development, Verification, and Operation of Flight Systems (golden rule 4.27 test temperature margins)",https://everyspec.com/NASA/NASA-GSFC/GSFC-STD/download.php?spec=GSFC-STD-1000F_ADMIN-CHGS.045194.pdf,2026-08-21,null,AGENCY_STANDARD_PUBLIC_MIRROR_NOT_LOCALLY_HASH_ARCHIVED
NASA,"NASA-STD-7002B Payload Test Requirements (thermal vacuum test levels at least 10 degC above/below maximum expected temperature range for flight)",https://standards.nasa.gov/sites/default/files/standards/NASA/B/0/nasa-std-7002b.pdf,2026-08-21,null,AGENCY_STANDARD_PUBLIC_PDF_NOT_LOCALLY_HASH_ARCHIVED
