"item_id","domain","artifact","path","exists","bytes","sha256","verification_status","frontier_status","machine_state","authority_basis","next_action"
"MPI-005","FRAMES","E21 bridged single-consumer gate V2","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/05_e21_bridged/E21_BRIDGED_ARM_PLACEMENT_GATE_V2.json","true","11939","7F670C69C6EDCF6CBF783DC22843C9EF53FD82FA88313E913C855FEB0A47E707","VERIFIED","HOLD","CANDIDATE_HOLD_PASS_INVARIANTS; next=false","MPI engineering evidence plus ODR-GPT-01 bridge confirmation","Rebind in a new versioned terminal interface; do not edit this candidate"
"MPI-006","MASS_INERTIA","Nine-configuration bridged mass ledger","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/06_mass_propagation/SYSTEM_MASS_PROPERTIES_BRIDGED_V1.yaml","true","232338","E5D13A8D105B78C703EFA963BCF73714586E564F9951228AFBA9AF81ECB71528","VERIFIED","HOLD","Engineering candidate; mass/inertia inconsistencies=0","MPI scoped evidence","Promote only through new terminal handoff/gate, not by renaming"
"MPI-007","DIGITAL_INTERFACE","MECH dynamics interface V6 candidate","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/07_rebind/MECH_DYNAMICS_INTERFACE_V6_CANDIDATE.yaml","true","10208","4C52A68AA6E0749A2425D9E8CDB6C9F4477F5D4047C9D6C0BA6F0D95E97D184D","VERIFIED","HOLD","CANDIDATE_ONLY; next=false","MPI engineering evidence","Formal terminal rebind after Full-Flex and harness fields close"
"MPI-008","EMBODIED_CONTRACT","Embodied mechanical contract R3 candidate","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/07_rebind/EMBODIED_MECHANICAL_CONTRACT_R3_CANDIDATE.yaml","true","11352","F3D6EC1D370FB26215A259391D5026CA4C261C7C4880AE6FD70AE2C0F0DDFC56","VERIFIED","HOLD","CANDIDATE_ONLY; next=false","MPI engineering evidence","Complete flexibility/harness/failure-state content before terminal handoff"
"SOLAR-001","SOLAR_R2","Solar R2 STEP","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/SOLAR_ARRAY_R2_CANDIDATE_V1.step","true","131834","21FF77B882DBFAB87B3E77DD56817EFC7F321C68E30AFEDCDDBB4D79B9915795","VERIFIED","CURRENT","Geometry hash stable","Frozen Solar R2 geometry","Keep byte-frozen"
"SOLAR-002","SOLAR_R2","Solar R2 FCStd","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd","true","23733","9D4D249A5D4EED7BDD8F3C08EC96737884A19523782112B1E72AD9EA0A1B65AB","VERIFIED","CURRENT","Geometry hash stable","Frozen Solar R2 geometry","Keep byte-frozen"
"SOLAR-003","SOLAR_R2_CM","Solar R2 build report V1","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/SOLAR_ARRAY_R2_BUILD_REPORT_V1.json","true","11019","6160C1D0970B7EA19075B4A83C988C16CA2F1AFCA782BCAD90A89B14F17E6586","VERIFIED","SUPERSEDED","Self-reference hash drift; geometry pins match","Historical CM evidence","Use V2 CM-only reissue; preserve V1 unchanged"
"SOLAR-004","SOLAR_R2_CM","Solar R2 build report V2","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/SOLAR_ARRAY_R2_BUILD_REPORT_V2.json","true","16118","4286EA2BBD84FB8EC33DDADE329534DA29194650AD22429245ECF8757B9AED1C","VERIFIED","CURRENT","SELF_REFERENCE_EXCLUDED; payload and geometry hashes verified","ODR-GPT-05 rebind after independent technical check","Consume as CM-only reissue; no geometry change"
"FLEX-001","R2_FULL_FLEX","Round1 HF flexible model","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/r2_full_flex_closure/round1/01_hf_model/SOLAR_R2_HF_FLEX_MODEL_V1.json","true","493448","9A953E383A905A372A554FB2DCBFC1DAFE53EDEBCB1C472E6684BCFDFF0CA62B","VERIFIED","SUPERSEDED","Preliminary HF artifact","Historical Full-Flex evidence","Use Round2 only as a failed baseline; audit the concurrent Round3 correction independently"
"FLEX-002","R2_FULL_FLEX","Round2 HF validation gate","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/r2_full_flex_closure/round2_hf_model/R2_FULLFLEX_HF_VALIDATION_GATE_V1.json","true","12563","F8A6B35E93C5C5636F8087619D348C34127E166DA0F7CFBBDE4086D7B9E25F48","VERIFIED","HOLD","FAIL preserved; VALIDATOR_AND_REFERENCE_IMPLEMENTATION_DEFECTS_CONFIRMED; constrained-field 0.534399107 kg is not proven physical mass loss","Current failed machine Gate plus independent read-only red-team correction","Round3 must correct fixed-root mass validator, psi/dpsi L2 mix, EI×1e9 rigid-limit test, nullspace scaling, 0.1149/0.1154 datum conflict and Gate coverage; no PASS credit before independent audit"
"FLEX-003","R2_ROM","Round3 five-mode ROM candidate landing","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/r2_full_flex_closure/round3_hf_rom_v2/R2_FIVE_MODE_ROM_V2.json","true","","","PARTIAL","HOLD","ROUND3_IN_PROGRESS_NOT_AUDITED; no PASS or release credit","Concurrent isolated Round3 output; hash intentionally not pinned while writer is active","Audit only after writer completion and stable manifest; do not consume as PASS"
"FLEX-004","R2_COUPLED","Rigid vs Legacy R1 vs Solar R2 coupled diagnostics","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/r2_full_flex_closure","false","","","PARTIAL","HOLD","Required comparison/gate artifact not found","Terminal handover requirement","Run only after HF and ROM closure"
"FLEX-005","R2_UNCERTAINTY","Round3 R2 flexibility validity-envelope candidate landing","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/r2_full_flex_closure/round3_hf_rom_v2/R2_FLEXIBILITY_VALIDITY_ENVELOPE_V2.json","true","","","PARTIAL","HOLD","ROUND3_IN_PROGRESS_NOT_AUDITED; no PASS or release credit","Concurrent isolated Round3 output; hash intentionally not pinned while writer is active","Audit only after writer completion and stable manifest; do not consume as PASS"
"FLEX-006","E15","ANCF certification gate","30_simulation/e15_ancf_certification/results/gate_summary.json","true","1585","AAB4D609E219279C2563C8A38743AC1784BBF16DE399D5B8798439B0AC2DCA80","VERIFIED","HOLD","REPEAT_ANCF_CERTIFICATION; max cross-solver difference 5.637349%","Scientific Gate SSOT","Rerun only against closed R2 full-flex coupled model"
"ROUTEC-001","ROUTE_C","Pre-CAD parametric search gate C1.5","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/08_route_c/02_pre_cad_parametric_guided_route_search/03_gate/ROUTE_C_PRECAD_PARAMETRIC_SEARCH_GATE_V1.json","true","17306","B43745081B4D0F2250993EBDB89074054B4A755C8A21555F9A42F0C392BCADCF","VERIFIED","HOLD","UNKNOWN_FAIL_CLOSED; CAD entry=false","Diagnostic method evidence","Retain method only; no CAD"
"ROUTEC-002","ROUTE_C","C2 physical capability registry","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/route_c_prep/ROUTE_C_C2_01_REGISTRY_SKELETON_V1.yaml","true","19773","6264A0A45F6A497787F3D96205CEF7799A19A225CD23CEA66D5AD31E335A3E8E","VERIFIED","HOLD","13/13 fields null/HOLD; 0 AVAILABLE","ODR-GPT-03","Continue RFI-E/F/G only; never guess values"
"ROUTEC-003","ROUTE_C","Existing C2 admission evaluation","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/route_c_prep/ROUTE_C_C2_ADMISSION_GATE_V1.yaml","true","16376","0AE3888EDBE9A2DCD85792AA0E8800432911E4ED1C11D48C2206B60BED2521B8","VERIFIED","STALE","ROUTE_C_CAD_AUTHORIZED=false; 13 null facts independently agree","Embedded prior authority provenance not consumed","Use ODR-GPT-03 plus registry as current authority; rebuild gate after traceable RFI inputs"
"ROUTEC-004","NOMENCLATURE","Functional topology alias register","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/route_c_prep/TOPOLOGY_ALIAS_REGISTER_V1.yaml","true","19800","D25D09AA27DD50D43491B291161B1A34720AAB1CED8119858B6990D3C632EE3E","VERIFIED","CURRENT","7 functional canonical entries; M1/M2 legacy aliases","ODR-GPT-06 rebind after independent structure check","Use canonical functional names; never consume M1/M2 as topology IDs"
"HANDOFF-001","EMBODIED_HANDOFF","Historical R2 handoff gate","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp13_embodied_contract/MECHANICAL_TO_EMBODIED_HANDOFF_GATE_R2.json","true","33959","AE6165EAFC02551D92B73707D41FE0D4A5A78704FBEA65D1FA49D10C7C9F5B22","VERIFIED","SUPERSEDED","PASS historical 11/11","Historical gate preserved","Do not modify; terminal handoff requires new 12-item evaluation"
"HANDOFF-002","EMBODIED_HANDOFF","Existing harness-aware handoff V2","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/MECHANICAL_TO_EMBODIED_HANDOFF_GATE_V2.json","true","54345","13722965D5C558D3439A7CB1E77ABBF3C2094B88E9D62F80D664D0C4C90D4E21","VERIFIED","HOLD","FAIL 11/12; failing check G12","Current pre-terminal handoff evidence","Rebuild after Full-Flex and mission harness closure"
"CONTRACT-001","EMBODIED_CONTRACT","Embodied mechanical contract R2","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp13_embodied_contract/EMBODIED_MECHANICAL_CONTRACT_R2.yaml","true","95903","5DDA627794A4B29D087D7489BECC7A98ED632BC6EAC0413CD9F7226C03AE1E7C","VERIFIED","STALE","Pre-bridge/current-harness terminal content incomplete","Historical contract authority","Preserve; supersede only with completed versioned contract"
"ADV-001","MPI_ADVERSARIAL","MPI Red Team round2","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/redteam_round2/RED_TEAM_ROUND2_EXECUTION_V1.json","true","20011","E49F66F0AFD7335587D26EB85CBF1970B4B6CCB1E2ACCA08860CA4D64A477724","VERIFIED","CURRENT","Survived within bridge scope; low findings registered","MPI validation evidence","Retain; does not cover Full-Flex/harness/terminal package"
"ADV-002","M7_ADVERSARIAL","M7 Red Team V1","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/12_release/M7_RED_TEAM_REPORT_V1.json","true","241774","3A8D61418288B50765E0D3546F713031DE4BE86242778FECD22FBA4D78CAFDF1","VERIFIED","STALE","Pre-terminal frontier","Historical adversarial evidence","Run a new terminal Red Team only after technical closure"
"ADV-003","M7_ADVERSARIAL","M7 Falsifier V1","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/12_release/M7_FALSIFIER_REPORT_V1.json","true","11231","293B2CE511AC52B492857B8A2DBC8982B98A52AD2CFC40CF14064B0C2B70566F","VERIFIED","STALE","Pre-terminal frontier","Historical falsifier evidence","Run after new terminal Red Team findings exist"
"REL-001","LEGACY_RELEASE","M7 mechanical release gate V1","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/12_release/MECHANICAL_ENGINEERING_RELEASE_GATE_V1.json","true","48538","2D9C8580701BD087A2DB52F57AE9ED23A919DEBC7476727467214411F952859E","VERIFIED","SUPERSEDED","Historical candidate shape; next=false","Historical M7 evidence","Do not treat as terminal release"
"REL-002","TERMINAL_RELEASE","MECHANICAL_ENGINEERING_RELEASE_V1","20_engineering/MECHANICAL_ENGINEERING_RELEASE_V1","false","","","PARTIAL","HOLD","Not generated","ODR-GPT record explicitly issues no release","Generate only after all terminal criteria pass; not in this A0/CM task"
