case_id,target_type,tumble_rate_deg_s,approach_velocity_m_s,arm_speed_scale,pose_error_deg,inertia_scale,reaction_aware,clearance_threshold_m,base_limit_deg
C0071,target_satellite_v0,0.5,0.01,0.5,3.0,1.2,0,0.1,5.0
C0072,target_satellite_v0,0.5,0.01,0.5,3.0,1.2,1,0.1,5.0
C0073,target_satellite_v0,0.5,0.01,1.0,1.0,0.8,0,0.1,5.0
C0074,target_satellite_v0,0.5,0.01,1.0,1.0,0.8,1,0.1,5.0
C0075,target_satellite_v0,0.5,0.01,1.0,1.0,1.0,0,0.1,5.0
C0076,target_satellite_v0,0.5,0.01,1.0,1.0,1.0,1,0.1,5.0
C0077,target_satellite_v0,0.5,0.01,1.0,1.0,1.2,0,0.1,5.0
C0078,target_satellite_v0,0.5,0.01,1.0,1.0,1.2,1,0.1,5.0
C0079,target_satellite_v0,0.5,0.01,1.0,2.0,0.8,0,0.1,5.0
C0080,target_satellite_v0,0.5,0.01,1.0,2.0,0.8,1,0.1,5.0
C0081,target_satellite_v0,0.5,0.01,1.0,2.0,1.0,0,0.1,5.0
C0082,target_satellite_v0,0.5,0.01,1.0,2.0,1.0,1,0.1,5.0
C0083,target_satellite_v0,0.5,0.01,1.0,2.0,1.2,0,0.1,5.0
C0084,target_satellite_v0,0.5,0.01,1.0,2.0,1.2,1,0.1,5.0
C0085,target_satellite_v0,0.5,0.01,1.0,3.0,0.8,0,0.1,5.0
C0086,target_satellite_v0,0.5,0.01,1.0,3.0,0.8,1,0.1,5.0
C0087,target_satellite_v0,0.5,0.01,1.0,3.0,1.0,0,0.1,5.0
C0088,target_satellite_v0,0.5,0.01,1.0,3.0,1.0,1,0.1,5.0
C0089,target_satellite_v0,0.5,0.01,1.0,3.0,1.2,0,0.1,5.0
C0090,target_satellite_v0,0.5,0.01,1.0,3.0,1.2,1,0.1,5.0
C0091,target_satellite_v0,0.5,0.01,1.5,1.0,0.8,0,0.1,5.0
C0092,target_satellite_v0,0.5,0.01,1.5,1.0,0.8,1,0.1,5.0
C0093,target_satellite_v0,0.5,0.01,1.5,1.0,1.0,0,0.1,5.0
C0094,target_satellite_v0,0.5,0.01,1.5,1.0,1.0,1,0.1,5.0
C0095,target_satellite_v0,0.5,0.01,1.5,1.0,1.2,0,0.1,5.0
C0096,target_satellite_v0,0.5,0.01,1.5,1.0,1.2,1,0.1,5.0
C0097,target_satellite_v0,0.5,0.01,1.5,2.0,0.8,0,0.1,5.0
C0098,target_satellite_v0,0.5,0.01,1.5,2.0,0.8,1,0.1,5.0
C0099,target_satellite_v0,0.5,0.01,1.5,2.0,1.0,0,0.1,5.0
C0100,target_satellite_v0,0.5,0.01,1.5,2.0,1.0,1,0.1,5.0
C0101,target_satellite_v0,0.5,0.01,1.5,2.0,1.2,0,0.1,5.0
C0102,target_satellite_v0,0.5,0.01,1.5,2.0,1.2,1,0.1,5.0
C0103,target_satellite_v0,0.5,0.01,1.5,3.0,0.8,0,0.1,5.0
C0104,target_satellite_v0,0.5,0.01,1.5,3.0,0.8,1,0.1,5.0
C0105,target_satellite_v0,0.5,0.01,1.5,3.0,1.0,0,0.1,5.0
C0106,target_satellite_v0,0.5,0.01,1.5,3.0,1.0,1,0.1,5.0
C0107,target_satellite_v0,0.5,0.01,1.5,3.0,1.2,0,0.1,5.0
C0108,target_satellite_v0,0.5,0.01,1.5,3.0,1.2,1,0.1,5.0
C0109,target_satellite_v0,0.5,0.02,0.5,1.0,0.8,0,0.1,5.0
C0110,target_satellite_v0,0.5,0.02,0.5,1.0,0.8,1,0.1,5.0
C0111,target_satellite_v0,0.5,0.02,0.5,1.0,1.0,0,0.1,5.0
C0112,target_satellite_v0,0.5,0.02,0.5,1.0,1.0,1,0.1,5.0
C0113,target_satellite_v0,0.5,0.02,0.5,1.0,1.2,0,0.1,5.0
C0114,target_satellite_v0,0.5,0.02,0.5,1.0,1.2,1,0.1,5.0
C0115,target_satellite_v0,0.5,0.02,0.5,2.0,0.8,0,0.1,5.0
C0116,target_satellite_v0,0.5,0.02,0.5,2.0,0.8,1,0.1,5.0
C0117,target_satellite_v0,0.5,0.02,0.5,2.0,1.0,0,0.1,5.0
C0118,target_satellite_v0,0.5,0.02,0.5,2.0,1.0,1,0.1,5.0
C0119,target_satellite_v0,0.5,0.02,0.5,2.0,1.2,0,0.1,5.0
C0120,target_satellite_v0,0.5,0.02,0.5,2.0,1.2,1,0.1,5.0
C0121,target_satellite_v0,0.5,0.02,0.5,3.0,0.8,0,0.1,5.0
C0122,target_satellite_v0,0.5,0.02,0.5,3.0,0.8,1,0.1,5.0
C0123,target_satellite_v0,0.5,0.02,0.5,3.0,1.0,0,0.1,5.0
C0124,target_satellite_v0,0.5,0.02,0.5,3.0,1.0,1,0.1,5.0
C0125,target_satellite_v0,0.5,0.02,0.5,3.0,1.2,0,0.1,5.0
C0126,target_satellite_v0,0.5,0.02,0.5,3.0,1.2,1,0.1,5.0
C0127,target_satellite_v0,0.5,0.02,1.0,1.0,0.8,0,0.1,5.0
C0128,target_satellite_v0,0.5,0.02,1.0,1.0,0.8,1,0.1,5.0
C0129,target_satellite_v0,0.5,0.02,1.0,1.0,1.0,0,0.1,5.0
C0130,target_satellite_v0,0.5,0.02,1.0,1.0,1.0,1,0.1,5.0
C0131,target_satellite_v0,0.5,0.02,1.0,1.0,1.2,0,0.1,5.0
C0132,target_satellite_v0,0.5,0.02,1.0,1.0,1.2,1,0.1,5.0
C0133,target_satellite_v0,0.5,0.02,1.0,2.0,0.8,0,0.1,5.0
C0134,target_satellite_v0,0.5,0.02,1.0,2.0,0.8,1,0.1,5.0
C0135,target_satellite_v0,0.5,0.02,1.0,2.0,1.0,0,0.1,5.0
C0136,target_satellite_v0,0.5,0.02,1.0,2.0,1.0,1,0.1,5.0
C0137,target_satellite_v0,0.5,0.02,1.0,2.0,1.2,0,0.1,5.0
C0138,target_satellite_v0,0.5,0.02,1.0,2.0,1.2,1,0.1,5.0
C0139,target_satellite_v0,0.5,0.02,1.0,3.0,0.8,0,0.1,5.0
C0140,target_satellite_v0,0.5,0.02,1.0,3.0,0.8,1,0.1,5.0
C0141,target_satellite_v0,0.5,0.02,1.0,3.0,1.0,0,0.1,5.0
C0142,target_satellite_v0,0.5,0.02,1.0,3.0,1.0,1,0.1,5.0
C0143,target_satellite_v0,0.5,0.02,1.0,3.0,1.2,0,0.1,5.0
C0144,target_satellite_v0,0.5,0.02,1.0,3.0,1.2,1,0.1,5.0
C0145,target_satellite_v0,0.5,0.02,1.5,1.0,0.8,0,0.1,5.0
C0146,target_satellite_v0,0.5,0.02,1.5,1.0,0.8,1,0.1,5.0
C0147,target_satellite_v0,0.5,0.02,1.5,1.0,1.0,0,0.1,5.0
C0148,target_satellite_v0,0.5,0.02,1.5,1.0,1.0,1,0.1,5.0
C0149,target_satellite_v0,0.5,0.02,1.5,1.0,1.2,0,0.1,5.0
C0150,target_satellite_v0,0.5,0.02,1.5,1.0,1.2,1,0.1,5.0
C0151,target_satellite_v0,0.5,0.02,1.5,2.0,0.8,0,0.1,5.0
C0152,target_satellite_v0,0.5,0.02,1.5,2.0,0.8,1,0.1,5.0
C0153,target_satellite_v0,0.5,0.02,1.5,2.0,1.0,0,0.1,5.0
C0154,target_satellite_v0,0.5,0.02,1.5,2.0,1.0,1,0.1,5.0
C0155,target_satellite_v0,0.5,0.02,1.5,2.0,1.2,0,0.1,5.0
C0156,target_satellite_v0,0.5,0.02,1.5,2.0,1.2,1,0.1,5.0
C0157,target_satellite_v0,0.5,0.02,1.5,3.0,0.8,0,0.1,5.0
C0158,target_satellite_v0,0.5,0.02,1.5,3.0,0.8,1,0.1,5.0
C0159,target_satellite_v0,0.5,0.02,1.5,3.0,1.0,0,0.1,5.0
C0160,target_satellite_v0,0.5,0.02,1.5,3.0,1.0,1,0.1,5.0
C0161,target_satellite_v0,0.5,0.02,1.5,3.0,1.2,0,0.1,5.0
C0162,target_satellite_v0,0.5,0.02,1.5,3.0,1.2,1,0.1,5.0
C0163,target_satellite_v0,1.0,0.005,0.5,1.0,0.8,0,0.1,5.0
C0164,target_satellite_v0,1.0,0.005,0.5,1.0,0.8,1,0.1,5.0
C0165,target_satellite_v0,1.0,0.005,0.5,1.0,1.0,0,0.1,5.0
C0166,target_satellite_v0,1.0,0.005,0.5,1.0,1.0,1,0.1,5.0
C0167,target_satellite_v0,1.0,0.005,0.5,1.0,1.2,0,0.1,5.0
C0168,target_satellite_v0,1.0,0.005,0.5,1.0,1.2,1,0.1,5.0
C0169,target_satellite_v0,1.0,0.005,0.5,2.0,0.8,0,0.1,5.0
C0170,target_satellite_v0,1.0,0.005,0.5,2.0,0.8,1,0.1,5.0
C0171,target_satellite_v0,1.0,0.005,0.5,2.0,1.0,0,0.1,5.0
C0172,target_satellite_v0,1.0,0.005,0.5,2.0,1.0,1,0.1,5.0
C0173,target_satellite_v0,1.0,0.005,0.5,2.0,1.2,0,0.1,5.0
C0174,target_satellite_v0,1.0,0.005,0.5,2.0,1.2,1,0.1,5.0
C0175,target_satellite_v0,1.0,0.005,0.5,3.0,0.8,0,0.1,5.0
C0176,target_satellite_v0,1.0,0.005,0.5,3.0,0.8,1,0.1,5.0
C0177,target_satellite_v0,1.0,0.005,0.5,3.0,1.0,0,0.1,5.0
C0178,target_satellite_v0,1.0,0.005,0.5,3.0,1.0,1,0.1,5.0
C0179,target_satellite_v0,1.0,0.005,0.5,3.0,1.2,0,0.1,5.0
C0180,target_satellite_v0,1.0,0.005,0.5,3.0,1.2,1,0.1,5.0
C0181,target_satellite_v0,1.0,0.005,1.0,1.0,0.8,0,0.1,5.0
C0182,target_satellite_v0,1.0,0.005,1.0,1.0,0.8,1,0.1,5.0
C0183,target_satellite_v0,1.0,0.005,1.0,1.0,1.0,0,0.1,5.0
C0184,target_satellite_v0,1.0,0.005,1.0,1.0,1.0,1,0.1,5.0
C0185,target_satellite_v0,1.0,0.005,1.0,1.0,1.2,0,0.1,5.0
C0186,target_satellite_v0,1.0,0.005,1.0,1.0,1.2,1,0.1,5.0
C0187,target_satellite_v0,1.0,0.005,1.0,2.0,0.8,0,0.1,5.0
C0188,target_satellite_v0,1.0,0.005,1.0,2.0,0.8,1,0.1,5.0
C0189,target_satellite_v0,1.0,0.005,1.0,2.0,1.0,0,0.1,5.0
C0190,target_satellite_v0,1.0,0.005,1.0,2.0,1.0,1,0.1,5.0
C0191,target_satellite_v0,1.0,0.005,1.0,2.0,1.2,0,0.1,5.0
C0192,target_satellite_v0,1.0,0.005,1.0,2.0,1.2,1,0.1,5.0
C0193,target_satellite_v0,1.0,0.005,1.0,3.0,0.8,0,0.1,5.0
C0194,target_satellite_v0,1.0,0.005,1.0,3.0,0.8,1,0.1,5.0
C0195,target_satellite_v0,1.0,0.005,1.0,3.0,1.0,0,0.1,5.0
C0196,target_satellite_v0,1.0,0.005,1.0,3.0,1.0,1,0.1,5.0
C0197,target_satellite_v0,1.0,0.005,1.0,3.0,1.2,0,0.1,5.0
C0198,target_satellite_v0,1.0,0.005,1.0,3.0,1.2,1,0.1,5.0
C0199,target_satellite_v0,1.0,0.005,1.5,1.0,0.8,0,0.1,5.0
C0200,target_satellite_v0,1.0,0.005,1.5,1.0,0.8,1,0.1,5.0
C0201,target_satellite_v0,1.0,0.005,1.5,1.0,1.0,0,0.1,5.0
C0202,target_satellite_v0,1.0,0.005,1.5,1.0,1.0,1,0.1,5.0
C0203,target_satellite_v0,1.0,0.005,1.5,1.0,1.2,0,0.1,5.0
C0204,target_satellite_v0,1.0,0.005,1.5,1.0,1.2,1,0.1,5.0
C0205,target_satellite_v0,1.0,0.005,1.5,2.0,0.8,0,0.1,5.0
C0206,target_satellite_v0,1.0,0.005,1.5,2.0,0.8,1,0.1,5.0
C0207,target_satellite_v0,1.0,0.005,1.5,2.0,1.0,0,0.1,5.0
C0208,target_satellite_v0,1.0,0.005,1.5,2.0,1.0,1,0.1,5.0
C0209,target_satellite_v0,1.0,0.005,1.5,2.0,1.2,0,0.1,5.0
C0210,target_satellite_v0,1.0,0.005,1.5,2.0,1.2,1,0.1,5.0
C0211,target_satellite_v0,1.0,0.005,1.5,3.0,0.8,0,0.1,5.0
C0212,target_satellite_v0,1.0,0.005,1.5,3.0,0.8,1,0.1,5.0
C0213,target_satellite_v0,1.0,0.005,1.5,3.0,1.0,0,0.1,5.0
C0214,target_satellite_v0,1.0,0.005,1.5,3.0,1.0,1,0.1,5.0
C0215,target_satellite_v0,1.0,0.005,1.5,3.0,1.2,0,0.1,5.0
C0216,target_satellite_v0,1.0,0.005,1.5,3.0,1.2,1,0.1,5.0
C0217,target_satellite_v0,1.0,0.01,0.5,1.0,0.8,0,0.1,5.0
C0218,target_satellite_v0,1.0,0.01,0.5,1.0,0.8,1,0.1,5.0
C0219,target_satellite_v0,1.0,0.01,0.5,1.0,1.0,0,0.1,5.0
C0220,target_satellite_v0,1.0,0.01,0.5,1.0,1.0,1,0.1,5.0
C0221,target_satellite_v0,1.0,0.01,0.5,1.0,1.2,0,0.1,5.0
C0222,target_satellite_v0,1.0,0.01,0.5,1.0,1.2,1,0.1,5.0
C0223,target_satellite_v0,1.0,0.01,0.5,2.0,0.8,0,0.1,5.0
C0224,target_satellite_v0,1.0,0.01,0.5,2.0,0.8,1,0.1,5.0
C0225,target_satellite_v0,1.0,0.01,0.5,2.0,1.0,0,0.1,5.0
C0226,target_satellite_v0,1.0,0.01,0.5,2.0,1.0,1,0.1,5.0
C0227,target_satellite_v0,1.0,0.01,0.5,2.0,1.2,0,0.1,5.0
C0228,target_satellite_v0,1.0,0.01,0.5,2.0,1.2,1,0.1,5.0
C0229,target_satellite_v0,1.0,0.01,0.5,3.0,0.8,0,0.1,5.0
C0230,target_satellite_v0,1.0,0.01,0.5,3.0,0.8,1,0.1,5.0
C0231,target_satellite_v0,1.0,0.01,0.5,3.0,1.0,0,0.1,5.0
C0232,target_satellite_v0,1.0,0.01,0.5,3.0,1.0,1,0.1,5.0
C0233,target_satellite_v0,1.0,0.01,0.5,3.0,1.2,0,0.1,5.0
C0234,target_satellite_v0,1.0,0.01,0.5,3.0,1.2,1,0.1,5.0
C0235,target_satellite_v0,1.0,0.01,1.0,1.0,0.8,0,0.1,5.0
C0236,target_satellite_v0,1.0,0.01,1.0,1.0,0.8,1,0.1,5.0
C0237,target_satellite_v0,1.0,0.01,1.0,1.0,1.0,0,0.1,5.0
C0238,target_satellite_v0,1.0,0.01,1.0,1.0,1.0,1,0.1,5.0
C0239,target_satellite_v0,1.0,0.01,1.0,1.0,1.2,0,0.1,5.0
C0240,target_satellite_v0,1.0,0.01,1.0,1.0,1.2,1,0.1,5.0
C0241,target_satellite_v0,1.0,0.01,1.0,2.0,0.8,0,0.1,5.0
C0242,target_satellite_v0,1.0,0.01,1.0,2.0,0.8,1,0.1,5.0
C0243,target_satellite_v0,1.0,0.01,1.0,2.0,1.0,0,0.1,5.0
C0244,target_satellite_v0,1.0,0.01,1.0,2.0,1.0,1,0.1,5.0
C0245,target_satellite_v0,1.0,0.01,1.0,2.0,1.2,0,0.1,5.0
C0246,target_satellite_v0,1.0,0.01,1.0,2.0,1.2,1,0.1,5.0
C0247,target_satellite_v0,1.0,0.01,1.0,3.0,0.8,0,0.1,5.0
C0248,target_satellite_v0,1.0,0.01,1.0,3.0,0.8,1,0.1,5.0
C0249,target_satellite_v0,1.0,0.01,1.0,3.0,1.0,0,0.1,5.0
C0250,target_satellite_v0,1.0,0.01,1.0,3.0,1.0,1,0.1,5.0
C0251,target_satellite_v0,1.0,0.01,1.0,3.0,1.2,0,0.1,5.0
C0252,target_satellite_v0,1.0,0.01,1.0,3.0,1.2,1,0.1,5.0
C0253,target_satellite_v0,1.0,0.01,1.5,1.0,0.8,0,0.1,5.0
C0254,target_satellite_v0,1.0,0.01,1.5,1.0,0.8,1,0.1,5.0
C0255,target_satellite_v0,1.0,0.01,1.5,1.0,1.0,0,0.1,5.0
C0256,target_satellite_v0,1.0,0.01,1.5,1.0,1.0,1,0.1,5.0
C0257,target_satellite_v0,1.0,0.01,1.5,1.0,1.2,0,0.1,5.0
C0258,target_satellite_v0,1.0,0.01,1.5,1.0,1.2,1,0.1,5.0
C0259,target_satellite_v0,1.0,0.01,1.5,2.0,0.8,0,0.1,5.0
C0260,target_satellite_v0,1.0,0.01,1.5,2.0,0.8,1,0.1,5.0
C0261,target_satellite_v0,1.0,0.01,1.5,2.0,1.0,0,0.1,5.0
C0262,target_satellite_v0,1.0,0.01,1.5,2.0,1.0,1,0.1,5.0
C0263,target_satellite_v0,1.0,0.01,1.5,2.0,1.2,0,0.1,5.0
C0264,target_satellite_v0,1.0,0.01,1.5,2.0,1.2,1,0.1,5.0
C0265,target_satellite_v0,1.0,0.01,1.5,3.0,0.8,0,0.1,5.0
C0266,target_satellite_v0,1.0,0.01,1.5,3.0,0.8,1,0.1,5.0
C0267,target_satellite_v0,1.0,0.01,1.5,3.0,1.0,0,0.1,5.0
C0268,target_satellite_v0,1.0,0.01,1.5,3.0,1.0,1,0.1,5.0
C0269,target_satellite_v0,1.0,0.01,1.5,3.0,1.2,0,0.1,5.0
C0270,target_satellite_v0,1.0,0.01,1.5,3.0,1.2,1,0.1,5.0
C0271,target_satellite_v0,1.0,0.02,0.5,1.0,0.8,0,0.1,5.0
C0272,target_satellite_v0,1.0,0.02,0.5,1.0,0.8,1,0.1,5.0
C0273,target_satellite_v0,1.0,0.02,0.5,1.0,1.0,0,0.1,5.0
C0274,target_satellite_v0,1.0,0.02,0.5,1.0,1.0,1,0.1,5.0
C0275,target_satellite_v0,1.0,0.02,0.5,1.0,1.2,0,0.1,5.0
C0276,target_satellite_v0,1.0,0.02,0.5,1.0,1.2,1,0.1,5.0
C0277,target_satellite_v0,1.0,0.02,0.5,2.0,0.8,0,0.1,5.0
C0278,target_satellite_v0,1.0,0.02,0.5,2.0,0.8,1,0.1,5.0
C0279,target_satellite_v0,1.0,0.02,0.5,2.0,1.0,0,0.1,5.0
C0280,target_satellite_v0,1.0,0.02,0.5,2.0,1.0,1,0.1,5.0
C0281,target_satellite_v0,1.0,0.02,0.5,2.0,1.2,0,0.1,5.0
C0282,target_satellite_v0,1.0,0.02,0.5,2.0,1.2,1,0.1,5.0
C0283,target_satellite_v0,1.0,0.02,0.5,3.0,0.8,0,0.1,5.0
C0284,target_satellite_v0,1.0,0.02,0.5,3.0,0.8,1,0.1,5.0
C0285,target_satellite_v0,1.0,0.02,0.5,3.0,1.0,0,0.1,5.0
C0286,target_satellite_v0,1.0,0.02,0.5,3.0,1.0,1,0.1,5.0
C0287,target_satellite_v0,1.0,0.02,0.5,3.0,1.2,0,0.1,5.0
C0288,target_satellite_v0,1.0,0.02,0.5,3.0,1.2,1,0.1,5.0
C0289,target_satellite_v0,1.0,0.02,1.0,1.0,0.8,0,0.1,5.0
C0290,target_satellite_v0,1.0,0.02,1.0,1.0,0.8,1,0.1,5.0
C0291,target_satellite_v0,1.0,0.02,1.0,1.0,1.0,0,0.1,5.0
C0292,target_satellite_v0,1.0,0.02,1.0,1.0,1.0,1,0.1,5.0
C0293,target_satellite_v0,1.0,0.02,1.0,1.0,1.2,0,0.1,5.0
C0294,target_satellite_v0,1.0,0.02,1.0,1.0,1.2,1,0.1,5.0
C0295,target_satellite_v0,1.0,0.02,1.0,2.0,0.8,0,0.1,5.0
C0296,target_satellite_v0,1.0,0.02,1.0,2.0,0.8,1,0.1,5.0
C0297,target_satellite_v0,1.0,0.02,1.0,2.0,1.0,0,0.1,5.0
C0298,target_satellite_v0,1.0,0.02,1.0,2.0,1.0,1,0.1,5.0
C0299,target_satellite_v0,1.0,0.02,1.0,2.0,1.2,0,0.1,5.0
C0300,target_satellite_v0,1.0,0.02,1.0,2.0,1.2,1,0.1,5.0
C0301,target_satellite_v0,1.0,0.02,1.0,3.0,0.8,0,0.1,5.0
C0302,target_satellite_v0,1.0,0.02,1.0,3.0,0.8,1,0.1,5.0
C0303,target_satellite_v0,1.0,0.02,1.0,3.0,1.0,0,0.1,5.0
C0304,target_satellite_v0,1.0,0.02,1.0,3.0,1.0,1,0.1,5.0
C0305,target_satellite_v0,1.0,0.02,1.0,3.0,1.2,0,0.1,5.0
C0306,target_satellite_v0,1.0,0.02,1.0,3.0,1.2,1,0.1,5.0
C0307,target_satellite_v0,1.0,0.02,1.5,1.0,0.8,0,0.1,5.0
C0308,target_satellite_v0,1.0,0.02,1.5,1.0,0.8,1,0.1,5.0
C0309,target_satellite_v0,1.0,0.02,1.5,1.0,1.0,0,0.1,5.0
C0310,target_satellite_v0,1.0,0.02,1.5,1.0,1.0,1,0.1,5.0
C0311,target_satellite_v0,1.0,0.02,1.5,1.0,1.2,0,0.1,5.0
C0312,target_satellite_v0,1.0,0.02,1.5,1.0,1.2,1,0.1,5.0
C0313,target_satellite_v0,1.0,0.02,1.5,2.0,0.8,0,0.1,5.0
C0314,target_satellite_v0,1.0,0.02,1.5,2.0,0.8,1,0.1,5.0
C0315,target_satellite_v0,1.0,0.02,1.5,2.0,1.0,0,0.1,5.0
C0316,target_satellite_v0,1.0,0.02,1.5,2.0,1.0,1,0.1,5.0
C0317,target_satellite_v0,1.0,0.02,1.5,2.0,1.2,0,0.1,5.0
C0318,target_satellite_v0,1.0,0.02,1.5,2.0,1.2,1,0.1,5.0
C0319,target_satellite_v0,1.0,0.02,1.5,3.0,0.8,0,0.1,5.0
C0320,target_satellite_v0,1.0,0.02,1.5,3.0,0.8,1,0.1,5.0
C0321,target_satellite_v0,1.0,0.02,1.5,3.0,1.0,0,0.1,5.0
