[11:32:39] SW_CLEARED {"before": 0, "after": 0, "locks_swept": 0, "avail_mb": 6179}
[sw_session_connect] SW_CONNECT: {"mode": "launched"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:32] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:32] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:33] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:33] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:34] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:34] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:35] IDM_STAGE {"stage": "TOP_LEVEL", "n": 94, "avail_mb": 4632}
[r2b3_STOWED_ENGINEERING_CANDIDATE] DOC_CLOSE: {"title": "F3R2_SPACE_EMBODIED_ROBOT_OPERATIONAL_BASELINE.SLDASM"}
[11:34:42] SW_KILLED {"locks_swept": 0, "avail_mb": 4764}

STOWED_ENGINEERING_CANDIDATE     MEASURED
   top-level pairs=94  leaf pairs=0  real=94  arm=0  vol=0 mm3
      TOP_LEVEL  92605.902127 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
      TOP_LEVEL  41602.790605 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
      TOP_LEVEL  22535.251113 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
      TOP_LEVEL  22535.250817 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
      TOP_LEVEL  10223.293576 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
      TOP_LEVEL  10223.293576 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
      TOP_LEVEL   9008.516416 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
      TOP_LEVEL        8640.0 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
      TOP_LEVEL        8640.0 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
      TOP_LEVEL   8627.794653 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
      TOP_LEVEL   8226.330445 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
      TOP_LEVEL   8147.292741 mm3  UNNAMED_BY_API                 <-> UNNAMED_BY_API                 real=True 
