id,path,sha256,strict_json,parse_error,verdict_field,source_verdict,next_stage_authorized,next_stage_type_check,release_credit,release_credit_type_check,navigation_does_not_override_source
odr60_option_a_execution_closure,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_EXECUTION_CLOSURE_V1/results/ODR60_OPTION_A_EXECUTION_CLOSURE_GATE_V1.json,869A248050FD39347D5D502F6174E284943901BA9F3C40A2D4337B4B6FF5A01A,PASS,,verdict,ODR60_OPTION_A_EXECUTION_CLOSURE_CANDIDATE_BUILT__MOUNT_AND_ARM_FRAME_LEDGER_CLOSED__SCENE_VALUES_CLEARANCE_MOTION_ORACLE_HOLD__NO_QUERY_OR_SEARCH_AUTHORITY,false,PASS,false,PASS,true
sim10_gate,30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json,4DBD8C91FF3455D5E5997A995AC385F02BBC1D2E379BBFE5C0563D41834DFC67,PASS,,verdict,SIM10_GATES_PASS,,NOT_PRESENT,,NOT_PRESENT,true
sim11_gate,30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json,9309F5325271BF5EFDAA7ECAC2BCF20B4FECA3FCA771D22391A7D7D576F9366F,PASS,,verdict,SIM11_GATES_PASS_WITH_PROVISIONAL_PARAMS,true,PASS,,NOT_PRESENT,true
sim12_gate,30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json,A416C13481119BBDC61764D518A1ABEBC159A78BBD78FAC132803069713DACD8,PASS,,verdict,SIM12_PHASE1_GATES_PASS,,NOT_PRESENT,,NOT_PRESENT,true
e15_gate,30_simulation/e15_ancf_certification/results/gate_summary.json,AAB4D609E219279C2563C8A38743AC1784BBF16DE399D5B8798439B0AC2DCA80,PASS,,,NO_TOP_LEVEL_VERDICT_FIELD,,NOT_PRESENT,,NOT_PRESENT,true
e22_gate,30_simulation/e22_r2_full_flex_coupled_diagnostics/results/E22_R2_FULL_FLEX_COUPLED_GATE_V1.json,472ADA4A7ABF98BBD5F72B0459400704A86FAF2B13DACCD562025C0CC356AA5E,PASS,,technical_verdict,HOLD_R2_HF_TO_ROM_DYNAMIC_VALIDATION_FAILED,false,PASS,false,PASS,true
e23_gate,30_simulation/e23_r2_full_flex_coupled_recert/results/E23_R2_FULL_FLEX_COUPLED_GATE_V1.json,1AD4993FD9DF7B5FCAB93E5AE8A6A9103C470D5CD56F2993E635B27B7C9EB2DE,PASS,,technical_verdict,PASS_WITH_DECLARED_PROVISIONAL_PHYSICS,false,PASS,false,PASS,true
r2_dynamics_engineering,30_simulation/r2_dynamics_engineering_closure/results/R2_DYNAMICS_ENGINEERING_GATE_V1.json,C847DD680814864E8095223A42E4E4D53B903C6F6371E3DC47BAFEBAF478EB1A,PASS,,technical_verdict,R2_DYNAMICS_ENGINEERING_HOLD__DG1_UNIT_METRIC_DG2_INDEPENDENT_CONSERVATION_DG3_DG4_DG5_OPEN__NO_RELEASE_CREDIT,false,PASS,false,PASS,true
r2_8dof_constrained_dynamics,30_simulation/r2_dynamics_engineering_closure/results/R2_8DOF_CONSTRAINED_DYNAMICS_GATE_V1.json,6FC6F5EC0DF12C06F13C6E0F34C1660B67EADF0EBBB6835B62993488B984ED64,PASS,,technical_verdict,R2_8DOF_CONSTRAINED_DYNAMICS_HOLD__UNIT_METRIC_AND_INDEPENDENT_CONSERVATION_UNBOUND,false,PASS,false,PASS,true
pb_g0,30_simulation/dynamics_control_prebind_r1/10_verification/PB_G0_GATE.json,DA2BBE1381A08B21CFDB648A658F3092B8E888C6106723ABAB10F96D4C260C74,PASS,,verdict,PB_G0_HOLD_PARTIAL_AUTHORITY__DIAGNOSTIC_PREBIND_ONLY__NO_RELEASE_CREDIT,false,PASS,false,PASS,true
pb_g1,30_simulation/dynamics_control_prebind_r1/10_verification/PB_G1_GATE.json,7AD34FCF94825E6B3B8DF860BAFBF7726243655461E10C4F83258B39F9A6ECC0,PASS,,verdict,PB_G1_HOLD_NOT_AUTHORIZED_BY_PB_G0__PB00_DIAGNOSTIC_CHARACTERIZATION_AVAILABLE__NO_RELEASE_CREDIT,false,PASS,false,PASS,true
ctrl01_gate,30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,AB1FD26978F4250E32E3090A3CD6DC7D41DC1F1B0182861C41BA9AF44D0D8F96,PASS,,verdict,REPEAT,false,PASS,,NOT_PRESENT,true
ctrl02_gate,30_simulation/control_02_base_attitude/results/control_02_gate_check.json,240FA708B53646A024BB0FD2D67085188DD7C81685515B69C4CDC5DC50EDFC5E,PASS,,verdict,PASS,,NOT_PRESENT,,NOT_PRESENT,true
safe00_gate,30_simulation/safety_00_runtime_gate/results/safety_00_gate_check.json,FF56929DD8352E447AFDB8B7D17C5EF0B248883C66BC4F00C16C50C6F4C46EEE,PASS,,verdict,PASS,false,PASS,,NOT_PRESENT,true
sim13_20_of_20,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_20_OF_20_GATE_V1.json,4A813F2EE3B0585D63FA591415AB3B256F112D056BA89C879E02D7BCD068B6E4,PASS,,verdict,SIM13_NC_REGISTRY_20_OF_20_PASS__PENDING_OWNER_REVIEW__NO_RELEASE_CREDIT,false,PASS,false,PASS,true
sim13_post_terminal_addendum,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/sim13_post_terminal_handoff_addendum_v1/SIM13_POST_TERMINAL_HANDOFF_ADDENDUM_GATE_V1.json,144E09124CE293E8A6598346331DF21886861D1A74B770CB9CCF251644BA6E5C,PASS,,verdict,SIM13_POST_TERMINAL_BACKEND_SUBSCOPE_20_OF_20_PASS__FULL_TMG6_NOT_REISSUED__ABORT_ONLY__NO_RELEASE_CREDIT,false,PASS,false,PASS,true
ctrl_r2_predevelopment,30_simulation/control_r2_integrated_candidate/results/CTRL_R2_PREDEVELOPMENT_GATE_V1.json,ED4D8B7774C61317576DF03B8DDA1591BA1178B895DDC5FA7544EAD9A7E59ABE,PASS,,verdict,CONTROL_PREDEVELOPMENT_CANDIDATE_BUILT__CURRENT_REPLAY_HOLD__INTEGRATED_RELEASE_HOLD,false,PASS,false,PASS,true
r2_control_engineering,30_simulation/r2_control_engineering_closure/results/R2_CONTROL_ENGINEERING_GATE_V1.json,2740B33E7958B4AF2232ED0A2A51CEA830470D1C98D5BA46C39C43279A02ADCE,PASS,,technical_verdict,HOLD_TASK_SPACE_UNIT_METRIC_UNBOUND__CONTROL_ENGINEERING_INCOMPLETE__NO_RELEASE_CREDIT,false,PASS,false,PASS,true
r2_dynamics_control_system,30_simulation/r2_dynamics_control_system_closure/results/R2_DYNAMICS_CONTROL_SYSTEM_GATE_V1.json,55490805D934A8806E58CDA25C398BD15AEF49F4624F1F8CC08FCB75F2634B03,PASS,,technical_verdict,R2_DYNAMICS_CONTROL_SYSTEM_HOLD__MECHANICAL_DYNAMICS_CONTROL_SAFE_SIM13_GATES_OPEN__NO_PATH_SEARCH__NO_RELEASE_CREDIT,false,PASS,false,PASS,true
current_frontier_odr60_ctrl,30_simulation/control_r2_integrated_candidate/results/CURRENT_FRONTIER_ODR60_CTRL_V1.json,F1495589BAC0B47B0265765FA89EA0977B4A280660DC6786309B973DDE8CC566,PASS,,,NO_TOP_LEVEL_VERDICT_FIELD,,NOT_PRESENT,,NOT_PRESENT,true
