id,track,priority,status,publication_dependency,task,completion_evidence,source
PUB-11,PUBLICATION,P1,OPEN,YES,替换活跃入口本机绝对路径与localhost链接,发布副本相对路径或root resolver；跨目录执行及链接检查；冻结回执原字节+映射保留,ABSOLUTE_FG_PATH_REFERENCES.csv
PUB-12,PUBLICATION,P1,OPEN,YES,审核完整发布候选后再创建/推送公开仓库,最终清单和扫描回执可审阅；已知限制随版本；实际发布动作另执行,README.md
ENG-01,ENGINEERING,P1,OPEN,DISCLOSE_UNTIL_DONE,完成R7水平AUX支架与STOP位置,支撑/铜皮/端子/工具/装入路径检查；本机三态几何复验；保持最小改动和不倾斜,ENGINEERING_AUDIT.md
ENG-02,ENGINEERING,P1,OPEN,DISCLOSE_UNTIL_DONE,把R5E候选实施为受控原理图与PCB ECO,器件/阈值/有效电容/载流SOA/保护配合；ERC/DRC/网络差异；候选与已实现明确区分,ENGINEERING_AUDIT.md
ENG-03,ENGINEERING,P1,OPEN,DISCLOSE_UNTIL_DONE,落实真实线束端接和连接器,两端MPN/针号/回流/屏蔽/线径/切长/应力释放；导通绝缘与动态包络验证,ENGINEERING_AUDIT.md
ENG-04,ENGINEERING,P1,OPEN,DISCLOSE_UNTIL_DONE,闭合地面电源、STOP、驱动负载和回生时序,候选实际电流、峰值/持续时序、保护与停止/再生合同；限能试验门槛冻结,ENGINEERING_AUDIT.md
ENG-05,ENGINEERING,P1,OPEN,DISCLOSE_UNTIL_DONE,绑定当前布局热路径与热辐射边界,MAIN/Q201热、全部耗散、绝缘垫MPN/压力、辐射光学边界同版；FE/试验达到温限,ENGINEERING_AUDIT.md
ENG-06,ENGINEERING,P1,OPEN,DISCLOSE_UNTIL_DONE,校核支承、公差和紧固工艺,0.5mm间隙、1.072mm余肉、P60耳台、R07输入有明确公差/载荷/材料/预紧验证,ENGINEERING_AUDIT.md
ENG-07,ENGINEERING,P1,OPEN,DISCLOSE_UNTIL_DONE,闭合逐件质量/质心/惯量与归属,现行BOM-CAD同版mass_owner去重；设备/线缆/紧固件/推进干湿质量有来源；未知保留null,ENGINEERING_AUDIT.md
ENG-08,ENGINEERING,P1,OPEN,DISCLOSE_UNTIL_DONE,获取推进与ADCS受控接口并重建可达性账,9项OEM缺口、轮轴、喷口位置方向/单向推力/最小脉冲/并发；捕后COM与故障工况可达性,ENGINEERING_AUDIT.md
ENG-09,ENGINEERING,P2,OPEN,DISCLOSE_UNTIL_DONE,冻结B601实物修订与候选驱动器合同,七节点版本/控制手册/额定与峰值电流、制动回生、延迟、寿命；地面与飞行证据分开,ENGINEERING_AUDIT.md
ENG-10,ENGINEERING,P2,OPEN,DISCLOSE_UNTIL_DONE,闭合轨道能源、粒子辐射与环境分支,任务轨道/寿命/食区/太阳翼/电池退化；TID/SEE、真空放气、热循环和振动资格按任务验证,ENGINEERING_AUDIT.md
RES-01,RESEARCH,P1,OPEN,DISCLOSE_UNTIL_DONE,将R6H数字身体绑定到研究plant,geometry→link→plant同源哈希与坐标单位，质量/惯量区间、FK核对，不借用旧R2质量信用,RESEARCH_AUDIT.md
RES-02,RESEARCH,P2,OPEN,DISCLOSE_UNTIL_DONE,汇合有界力矩驱动臂柔模型与执行器资源,独立P/H/能量/外功、退化/步长/跨求解器；源pin及假设一致；父Gate新版本重发,RESEARCH_AUDIT.md
RES-03,RESEARCH,P2,OPEN,DISCLOSE_UNTIL_DONE,完成接触保持释放合同与目标组合体,attachment SE(3)、6D保持能力、C08/C09输入、B4G原始时序和能量缺口闭合；旧失败不清除,RESEARCH_AUDIT.md
RES-04,RESEARCH,P3,OPEN,DISCLOSE_UNTIL_DONE,建立完整任务控制与当前源树SAFE,目标相对轨迹、资源/碰撞/线束约束和单位门槛；UNKNOWN不ALLOW；非ABORT有独立证据,RESEARCH_AUDIT.md
RES-05,RESEARCH,P4,OPEN,DISCLOSE_UNTIL_DONE,建立确定性具身决策基线与学习数据协议,统一Gate集合、对照/消融、OOD、false-ALLOW、数据隔离和种子；RL/VLA只作候选层,RESEARCH_AUDIT.md
RES-06,RESEARCH,P4,OPEN,DISCLOSE_UNTIL_DONE,完成论文主张与证据闭合,主张绑定适用构型/模型/数据/Gate/哈希；保留sim12重发和已知负结果；查新更新后再谈首次,RESEARCH_AUDIT.md
