path,files,bytes,GiB
20_engineering/F3_MECHANICAL_TERMINAL_AUDIT_20260806,29,331911,0.000309
20_engineering/F3_P5_structural_closure_candidate,126,371708,0.000346
20_engineering/F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1,57,1137200,0.001059
20_engineering/F5R2_TERMINAL_CLOSURE_V1,1,18577,1.7e-05
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2,3461,1269436361,1.182255
20_engineering/SERVICE_STAR_AUX_STOP_INSTALLATION_R7_20260921,156,42277319,0.039374
20_engineering/SERVICE_STAR_B601_INTERFACE_R3_20260920,129,84062663,0.078289
20_engineering/SERVICE_STAR_CORE_INSTALLATION_R6H_20260920,157,68011610,0.063341
20_engineering/SERVICE_STAR_CORE_INSTALLATION_R6_20260920,113,56120270,0.052266
20_engineering/SERVICE_STAR_DIGITAL_PROTOTYPE_R1_20260919,1123,1373743409,1.279398
20_engineering/SERVICE_STAR_ELECTRICAL_UPDATE_R5E_20260920,137,20062516,0.018685
20_engineering/SERVICE_STAR_HARDWARE_COMPACT_20260921,960,150447159,0.140115
20_engineering/SERVICE_STAR_INTERNAL_HARNESS_ORBIT_R2_20260919,75,6449251,0.006006
20_engineering/SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920,105,39678772,0.036954
20_engineering/SERVICE_STAR_POWER_THERMAL_LAYOUT_R5_20260920,91,15818676,0.014732
20_engineering/WP05_SW_20260907,2550,750890237,0.699321
20_engineering/_MFINAL_G0_SMOKE_20260809T171756_D6A2,1,3605,3e-06
20_engineering/_MFINAL_G0_SMOKE_20260809T172004_E7B3,1,3587,3e-06
20_engineering/_MFINAL_G0_SMOKE_20260809T172113_F9C1,1,4926,5e-06
20_engineering/_MFINAL_G0_SMOKE_20260809T172210_G2D8,1,5118,5e-06
20_engineering/_MFINAL_G0_SMOKE_20260809T172334_H5E7,1,4321,4e-06
20_engineering/_MFINAL_G0_SMOKE_20260809T172433_J4A6,1,5208,5e-06
20_engineering/_MFINAL_G0_SMOKE_20260809T172524_K8B4,1,3639,3e-06
20_engineering/_MFINAL_G0_SMOKE_20260809T172606_L3F9,1,3623,3e-06
20_engineering/_MFINAL_G0_SMOKE_20260809T172653_M7C5,1,5256,5e-06
20_engineering/_MFINAL_G0_SMOKE_20260809T172928_P4E8,6,26521,2.5e-05
20_engineering/_MFINAL_G0_SMOKE_20260811T201200_R1A2,4,22854,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260811T214500_R2B3,4,22677,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260812T062200_R3C4,4,22678,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260812T065500_R4D5,4,22637,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260812T142000_R5E6,4,22636,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260813T135300_R2BG0,4,22702,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260813T143700_R2BG1,4,22713,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260813T151800_R2BG2,4,22713,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260813T155100_R2BG3,4,22698,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260813T163800_R2BG4,4,22696,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260813T181900_R2BP,4,22700,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260813T190500_R2BQ,4,22699,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260813T193900_R2BR,4,22693,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260813T203000_R2BS,4,22684,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260813T214900_L1E1,4,22671,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260813T230800_L1E2,4,22634,2.1e-05
20_engineering/_MFINAL_G0_SMOKE_20260820T090000_V5RA,4,22870,2.1e-05
20_engineering/cad,3504,4255023180,3.962799
20_engineering/config,32,128348,0.00012
20_engineering/design_inputs,37,317024,0.000295
20_engineering/design_review,39,181343,0.000169
20_engineering/parameter_registry,5,15173,1.4e-05
20_engineering/service_robot_wp01_20260905,4641,2672302235,2.488775
20_engineering/service_robot_wp02_20260905,1745,129200555,0.120327
20_engineering/service_robot_wp03_spacecraft_body_r1,8785,3479961193,3.240966
20_engineering/stage1_spacecraft_layout,57,29295937,0.027284
20_engineering/system_design,9,73404,6.8e-05
30_simulation,4945,484691299,0.451404
30_simulation/asm_00_interface_preflight,12,75290,7e-05
30_simulation/common,4,35207,3.3e-05
30_simulation/control_01_end_effector_tracking,33,3454118,0.003217
30_simulation/control_02_base_attitude,32,1250585,0.001165
30_simulation/control_r2_integrated_candidate,19,198759,0.000185
30_simulation/current_r2_digital_host_capture_data_v1,2997,382408042,0.356145
30_simulation/dynamics_control_prebind_r1,35,2887956,0.00269
30_simulation/e15_ancf_certification,18,121623,0.000113
30_simulation/e15_core_coverage,13,168466,0.000157
30_simulation/e16_sync_capture,25,1883247,0.001754
30_simulation/e17_b601_mission_trajectory_candidates,16,882165,0.000822
30_simulation/e18_b601_mission_input_branches,16,671454,0.000625
30_simulation/e19_b601_mission_branch_diagnostic_evaluation,21,1633728,0.001522
30_simulation/e20_b601_independent_mass_branch_coupled_diagnostics,22,423145,0.000394
30_simulation/e21_m7_r2_arm_placement_rigid_coupled_diagnostics,20,728329,0.000678
30_simulation/e22_r2_full_flex_coupled_diagnostics,16,653310,0.000608
30_simulation/e23_r2_full_flex_coupled_recert,16,661556,0.000616
30_simulation/module_cards,2,27764,2.6e-05
30_simulation/r2_control_engineering_closure,60,1164958,0.001085
30_simulation/r2_dynamics_control_system_closure,8,60657,5.6e-05
30_simulation/r2_dynamics_engineering_closure,177,4793942,0.004465
30_simulation/r2_mujoco_free_floating_precontact_v1,24,2555885,0.00238
30_simulation/safety_00_runtime_gate,30,130458,0.000121
30_simulation/sim_01_free_flight,3,324907,0.000303
30_simulation/sim_02_target_tumble,3,324395,0.000302
30_simulation/sim_03_arm_reaction,3,293624,0.000273
30_simulation/sim_04_capture_corridor,9,726555,0.000677
30_simulation/sim_05_free_floating_arm,16,327073,0.000305
30_simulation/sim_06_capture_impulse,16,298509,0.000278
30_simulation/sim_07_ancf_flexible,12,1135720,0.001058
30_simulation/sim_08_detumble_actuator_budget,7,407769,0.00038
30_simulation/sim_09_grasp_evaluator,30,768612,0.000716
30_simulation/sim_10_mission_feasibility,15,16502423,0.015369
30_simulation/sim_11_coupled_dynamics,81,3296564,0.00307
30_simulation/sim_12_strategy_feasibility,6,76963,7.2e-05
30_simulation/sim_13_physics_gated_embodied_grasping,935,44663875,0.041596
30_simulation/sim_13_viability_extension_r1,150,8133797,0.007575
30_simulation/sim_14_m4_digital_prototype_grasping,20,124042,0.000116
30_simulation/sim_15_m5_geometry_gated_grasping,22,405211,0.000377
40_evidence,226,880458846,0.819991
40_evidence/artifacts,106,879389501,0.818995
40_evidence/c1_evidence,110,1003394,0.000934
40_evidence/tables,9,64226,6e-05
50_literature,89,500166575,0.465816
50_literature/pdf,44,499899941,0.465568
50_literature/references,44,265230,0.000247
70_tools,7661,572569563,0.533247
70_tools/current_authority_index,3,29346,2.7e-05
70_tools/legacy_f3r2_root_scripts,10,773421,0.00072
70_tools/mechanical_asset_index,5,132600,0.000123
70_tools/preauthorization_readiness,8,230047,0.000214
70_tools/project_visualization,29,298038,0.000278
70_tools/research_dashboard,15,234568,0.000218
70_tools/research_env,1,13424,1.3e-05
70_tools/runtime_wp09_kicad,7589,570854755,0.53165
80_third_party,20310,5184084839,4.828055
80_third_party/external,2384,2265486508,2.109899
80_third_party/vendor,17925,2918595819,2.718154
