path,depth,owner_domain,primary_role,secondary_roles,responsibility,disposition,physical_move_executed,physical_move_allowed_by_this_plan,classification_scope,nested_mixed_contents,reference_guard,navigation_group,evidence_basis,confidence
10_research/research_os_02,2,10_research,HISTORICAL_RETAIN,,早期阶段规划/合同，按原日期阅读并保留来源,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,HISTORICAL_RETAIN,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/research_questions,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/rom,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/sim_12,2,10_research,IMMUTABLE_EVIDENCE,,冻结合同/研究治理/原始审阅或图示记录；不按历史字样删,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/space_embodied_robotics,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/theory_graph,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/vla,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
20_engineering,1,20_engineering,CURRENT_DESIGN,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,现行硬件入口及大量上游/历史设计；必须按子目录角色区分,KEEP_CURRENT_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,CURRENT_DESIGN,20_engineering/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
20_engineering/_MFINAL_G0_SMOKE_20260809T171756_D6A2,2,20_engineering,IMMUTABLE_EVIDENCE,,旧会话/连接回执，已有历史消费者；27目录按一组索引，原位保留,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,20_engineering/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
20_engineering/_MFINAL_G0_SMOKE_20260809T172004_E7B3,2,20_engineering,IMMUTABLE_EVIDENCE,,旧会话/连接回执，已有历史消费者；27目录按一组索引，原位保留,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,20_engineering/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
20_engineering/_MFINAL_G0_SMOKE_20260809T172113_F9C1,2,20_engineering,IMMUTABLE_EVIDENCE,,旧会话/连接回执，已有历史消费者；27目录按一组索引，原位保留,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,20_engineering/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
20_engineering/_MFINAL_G0_SMOKE_20260809T172210_G2D8,2,20_engineering,IMMUTABLE_EVIDENCE,,旧会话/连接回执，已有历史消费者；27目录按一组索引，原位保留,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,20_engineering/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
20_engineering/_MFINAL_G0_SMOKE_20260809T172334_H5E7,2,20_engineering,IMMUTABLE_EVIDENCE,,旧会话/连接回执，已有历史消费者；27目录按一组索引，原位保留,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,20_engineering/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
20_engineering/_MFINAL_G0_SMOKE_20260809T172433_J4A6,2,20_engineering,IMMUTABLE_EVIDENCE,,旧会话/连接回执，已有历史消费者；27目录按一组索引，原位保留,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,20_engineering/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
20_engineering/_MFINAL_G0_SMOKE_20260809T172524_K8B4,2,20_engineering,IMMUTABLE_EVIDENCE,,旧会话/连接回执，已有历史消费者；27目录按一组索引，原位保留,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,20_engineering/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
20_engineering/_MFINAL_G0_SMOKE_20260809T172606_L3F9,2,20_engineering,IMMUTABLE_EVIDENCE,,旧会话/连接回执，已有历史消费者；27目录按一组索引，原位保留,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,20_engineering/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
20_engineering/_MFINAL_G0_SMOKE_20260809T172653_M7C5,2,20_engineering,IMMUTABLE_EVIDENCE,,旧会话/连接回执，已有历史消费者；27目录按一组索引，原位保留,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,20_engineering/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
20_engineering/_MFINAL_G0_SMOKE_20260809T172928_P4E8,2,20_engineering,IMMUTABLE_EVIDENCE,,旧会话/连接回执，已有历史消费者；27目录按一组索引，原位保留,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,20_engineering/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
