pair_id,sub_stack,layer,z_interval_S_mm,od_or_thickness,bearing_face_or_note
E2P-H04,bay(-z 舱内),plug_engagement,"[103.25, 105.05]",,端塞内承压；尖 z=105.05 让 M4 螺钉包络 0.1
E2P-H05,bay(+z 舱内),head,"[-100.15, -96.15]",7,头下面 → 垫圈
E2P-H05,bay(+z 舱内),washer,"[-101.15, -100.15]",7,纵梁内底面 z=-101.15（承压环 OD7，剪力板隙 0.5）
E2P-H05,bay(+z 舱内),inner_wall,"[-103.15, -101.15]",2,纵梁管内壁（Ø4.5 既有孔）
E2P-H05,bay(+z 舱内),plug_engagement,"[-105.05, -103.25]",,端塞内承压；尖 z=-105.05 让 M4 螺钉包络 0.1
E2P-H05,wing(-z 翼侧),outer_wall,"[-113.15, -111.15]",2,纵梁管外壁（Ø4.5 既有孔）
E2P-H05,wing(-z 翼侧),plug_engagement,"[-111.05, -109.25]",,端塞内承压；顶 z=-109.25 让 M4 螺钉包络 0.1
E2P-H05,wing(-z 翼侧),headless_pin,"[-112.95, -109.25]",4.4,无头压装销；底 z=-112.95 距翼根叉垫板顶面(-113.15) 0.2；保持=压配候选+垫板物理止动(REGISTERED_SECONDARY)
E2P-H06,bay(+z 舱内),head,"[-100.15, -96.15]",7,头下面 → 垫圈
E2P-H06,bay(+z 舱内),washer,"[-101.15, -100.15]",7,纵梁内底面 z=-101.15（承压环 OD7，剪力板隙 0.5）
E2P-H06,bay(+z 舱内),inner_wall,"[-103.15, -101.15]",2,纵梁管内壁（Ø4.5 既有孔）
E2P-H06,bay(+z 舱内),plug_engagement,"[-105.05, -103.25]",,端塞内承压；尖 z=-105.05 让 M4 螺钉包络 0.1
E2P-H06,wing(-z 翼侧),outer_wall,"[-113.15, -111.15]",2,纵梁管外壁（Ø4.5 既有孔）
E2P-H06,wing(-z 翼侧),plug_engagement,"[-111.05, -109.25]",,端塞内承压；顶 z=-109.25 让 M4 螺钉包络 0.1
E2P-H06,wing(-z 翼侧),headless_pin,"[-112.95, -109.25]",4.4,无头压装销；底 z=-112.95 距翼根叉垫板顶面(-113.15) 0.2；保持=压配候选+垫板物理止动(REGISTERED_SECONDARY)
E2P-H07,bay(+z 舱内),head,"[-100.15, -96.15]",7,头下面 → 垫圈
E2P-H07,bay(+z 舱内),washer,"[-101.15, -100.15]",7,纵梁内底面 z=-101.15（承压环 OD7，剪力板隙 0.5）
E2P-H07,bay(+z 舱内),inner_wall,"[-103.15, -101.15]",2,纵梁管内壁（Ø4.5 既有孔）
E2P-H07,bay(+z 舱内),plug_engagement,"[-105.05, -103.25]",,端塞内承压；尖 z=-105.05 让 M4 螺钉包络 0.1
E2P-H07,wing(-z 翼侧),outer_wall,"[-113.15, -111.15]",2,纵梁管外壁（Ø4.5 既有孔）
E2P-H07,wing(-z 翼侧),plug_engagement,"[-111.05, -109.25]",,端塞内承压；顶 z=-109.25 让 M4 螺钉包络 0.1
E2P-H07,wing(-z 翼侧),headless_pin,"[-112.95, -109.25]",4.4,无头压装销；底 z=-112.95 距翼根叉垫板顶面(-113.15) 0.2；保持=压配候选+垫板物理止动(REGISTERED_SECONDARY)
E2P-H08,bay(+z 舱内),head,"[-100.15, -96.15]",7,头下面 → 垫圈
E2P-H08,bay(+z 舱内),washer,"[-101.15, -100.15]",7,纵梁内底面 z=-101.15（承压环 OD7，剪力板隙 0.5）
E2P-H08,bay(+z 舱内),inner_wall,"[-103.15, -101.15]",2,纵梁管内壁（Ø4.5 既有孔）
E2P-H08,bay(+z 舱内),plug_engagement,"[-105.05, -103.25]",,端塞内承压；尖 z=-105.05 让 M4 螺钉包络 0.1
E2P-H08,wing(-z 翼侧),outer_wall,"[-113.15, -111.15]",2,纵梁管外壁（Ø4.5 既有孔）
E2P-H08,wing(-z 翼侧),plug_engagement,"[-111.05, -109.25]",,端塞内承压；顶 z=-109.25 让 M4 螺钉包络 0.1
E2P-H08,wing(-z 翼侧),headless_pin,"[-112.95, -109.25]",4.4,无头压装销；底 z=-112.95 距翼根叉垫板顶面(-113.15) 0.2；保持=压配候选+垫板物理止动(REGISTERED_SECONDARY)
