role,path,exists,bytes,sha256,registered_sha256,identity,note
F4R1_C3_INTERNAL_STRUCTURE,20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\CA_A_R1_INTERNAL_STRUCTURE_V2.step,True,273455,E0A1644A1956FFD192F5EDE04D8141DF020871BE78ECCCDCFC3F56F0B355F561,,RECORDED_NO_PRIOR_REGISTRATION,"prior internal secondary structure candidate, 32 parts 1244.9 g"
A1_STOW_LAYOUT,20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_stow_layout_r1\A1_STOW_LAYOUT_R1.json,True,1670,19D724CF3F82BE41F2338FA0901A37A8B9B36D55249E5D1356627470AC519306,,RECORDED_NO_PRIOR_REGISTRATION,
A2_JOINT_REOPT,20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_stow_layout_r1\A2_JOINT_REOPT_R1.json,True,875,E463D3E9DFFFFACD9CB57E69064C51642549372DE18474FB3A6F0A416FB9CFE2,,RECORDED_NO_PRIOR_REGISTRATION,
A2B_SUBSETS,20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_stow_layout_r1\A2B_EXACTNESS_AND_SUBSETS_R1.json,True,2978,6F1F99C28C8C814FF8E2731ECC30F8AED77C15CAC3D43D3C5BB016FDCC0993C6,,RECORDED_NO_PRIOR_REGISTRATION,
L0_ACCEPTED_MESH,20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\base_link.STL,True,3898684,22641C079014FE968702393F61E7F7F1A8F80C6C1DF45A61E31545F6EAFF3B65,,RECORDED_NO_PRIOR_REGISTRATION,"collision+visual source, FORBIDDEN to modify"
L0_ACCEPTED_MESH,20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_left.STL,True,2119684,C4E0DE70F776B3573D975A6EAAA746CCCBE57C2D5BB12501DA8889979D3AF268,,RECORDED_NO_PRIOR_REGISTRATION,"collision+visual source, FORBIDDEN to modify"
L0_ACCEPTED_MESH,20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_link.STL,True,2676384,A826E164D420A6922E8AD5EE27813F39FA809F6E4FDF39B42FD8A59E7D12E847,,RECORDED_NO_PRIOR_REGISTRATION,"collision+visual source, FORBIDDEN to modify"
L0_ACCEPTED_MESH,20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_right.STL,True,2119684,615B119C0BB97A032BADD5882144E4A2A50C905A3E071AF1FA28B83BFE9B1B65,,RECORDED_NO_PRIOR_REGISTRATION,"collision+visual source, FORBIDDEN to modify"
L0_ACCEPTED_MESH,20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link1.STL,True,499084,9DB637A63D37BC2C6398EA5B8BA32FB54122C637D5D77DC134C8782839B654CD,,RECORDED_NO_PRIOR_REGISTRATION,"collision+visual source, FORBIDDEN to modify"
L0_ACCEPTED_MESH,20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link2.STL,True,5992184,DEF0D9D82343DCCC1EFF0D9D5572ECA49B3C134DB9807CA12302B99D153DF65E,,RECORDED_NO_PRIOR_REGISTRATION,"collision+visual source, FORBIDDEN to modify"
L0_ACCEPTED_MESH,20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link3.STL,True,4209984,CA14D73B5D63F352051F440F4CABC3989567F25EE9D19E7DD749F2D6F0D0561D,,RECORDED_NO_PRIOR_REGISTRATION,"collision+visual source, FORBIDDEN to modify"
L0_ACCEPTED_MESH,20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link4.STL,True,2579684,061909364F20BB387F9FF82CB80E506AF959142F9FBB4A39DC86FC8244EE768A,,RECORDED_NO_PRIOR_REGISTRATION,"collision+visual source, FORBIDDEN to modify"
L0_ACCEPTED_MESH,20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link5.STL,True,2119384,3A32006227C1F9DBC70E77E07055C61E3F195F1054D4D2EB480262F0873BF001,,RECORDED_NO_PRIOR_REGISTRATION,"collision+visual source, FORBIDDEN to modify"
L0_ACCEPTED_MESH,20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link6.STL,True,1248184,C586A7D0B8345D2CD32EAB7DFD2E334ABA56E83F582A6298D41BBF718F2EBEF1,,RECORDED_NO_PRIOR_REGISTRATION,"collision+visual source, FORBIDDEN to modify"
