input_id,path,role,authority_class,immutable_in_m3,notes
M3-IN-020,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/03_wp2_mass_interface/SYSTEM_MASS_PROPERTIES_AUTHORITY_V2.yaml,Predecessor mass working authority,CONTROLLED_WORKING_AUTHORITY,true,Unknowns fail closed
M3-IN-021,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/03_wp2_mass_interface/CONFIGURATION_MASS_INERTIA.csv,Nine-configuration mass gap register,CONTROLLED_WORKING_AUTHORITY,true,System values remain null
M3-IN-022,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/03_wp2_mass_interface/M3R_MASS_RULING.json,M3R active mass ruling,OWNER_FROZEN_DIGITAL_BUDGET,true,0.7619 kg active budget
M3-IN-023,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/02_wp1_loads/AUTHORIZED_MECHANICAL_LOADS_V1.yaml,Load authority and gaps,CONTROLLED_WORKING_AUTHORITY,true,Authorized flight load count remains zero
M3-IN-024,30_simulation/sim_13_physics_gated_embodied_grasping/evidence/SIM13_ENVIRONMENT_BOOTSTRAP_GATE.json,Sim13 production bootstrap gate,PRODUCTION_GATE,true,Bootstrap only not contact physics or training
M3-IN-025,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/03_wp2_mass_interface/SIM13_INTERFACE_IMPACT_ASSESSMENT.json,Read-only V2 impact assessment,CONTROLLED_WORKING_ASSESSMENT,true,Production V1 remains unchanged
M3-IN-026,20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_A_INTERFACE_RING_REVB.step,Pinned M3R Stage A Rev B source geometry,HASH_BOUND_NEUTRAL_GEOMETRY,true,Source used by M3R V2 builder equivalence check
M3-IN-027,20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_B_LOAD_ADAPTER_REVB2.step,Pinned M3R Stage B Rev B2 source geometry,HASH_BOUND_NEUTRAL_GEOMETRY,true,Source used by M3R V2 builder equivalence check
M3-IN-028,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_M6_PATTERN_AUTHORITY.json,M3R spacecraft-side M6 pattern record,COMPETITION_CANDIDATE_AUTHORITY,true,Live mating structure remains HOLD
M3-IN-029,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_M8_PATTERN_AUTHORITY.json,M3R legacy M8 disposition record,COMPETITION_CANDIDATE_AUTHORITY,true,Legacy unused pattern omitted
M3-IN-030,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_TSM_FRAME_TO_FLANGE_TRANSFORM.json,M3R transform record,AS_BUILT_COMPETITION_AUTHORITY,true,Not OEM flange authority
M3-IN-031,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_BOM_CANDIDATE.csv,M3R source candidate BOM,ENGINEERING_CANDIDATE,true,Fasteners and manufacturing remain HOLD
M3-IN-032,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/03_wp2_mass_interface/B601_EQUIVALENT_INERTIA_RECOMPUTED.yaml,B601 zero-joint equivalent inertia,DERIVED_ACCEPTED_URDF,true,Standalone digital scope only
M3-IN-033,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/08_bom/V5_NATIVE_BOM_SEED.csv,System material and process candidate seed,LOCAL_DIGITAL_BOM_CANDIDATE,true,No material approval credit
M3-IN-034,20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/09_bom/MFINAL_PROVISIONAL_BOM.csv,Gripper and system provisional BOM seed,LOCAL_PROVISIONAL_BOM,true,No physical material authority
M3-IN-035,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/SYSTEM_FRAME_TREE.yaml,Current frame-tree working authority,HASH_BOUND_FRAME_AUTHORITY,true,Root-to-M-frame still HOLD
M3-IN-036,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/03_wp2_mass_interface/MECHANICAL_INTERFACE_CONTROL_DOCUMENT_V2.yaml,Predecessor mechanical interface working control,CONTROLLED_WORKING_AUTHORITY,true,System tolerance and frame gap source
M3-IN-037,20_engineering/cad/freecad_authoritative/B601_BASE_ADAPTER.step,B601 base adapter neutral reference,LOCAL_NEUTRAL_GEOMETRY_CANDIDATE,true,Not OEM ICD or flight interface
M3-IN-038,20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_A_INTERFACE_RING_REVB.FCStd,Pinned M3R Stage A FreeCAD source,HASH_BOUND_NEUTRAL_CONTAINER,true,Reference container only
M3-IN-039,20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_B_LOAD_ADAPTER_REVB2.FCStd,Pinned M3R Stage B FreeCAD source,HASH_BOUND_NEUTRAL_CONTAINER,true,Reference container only
M3-IN-040,20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_TWO_STAGE_ADAPTER_REVB2.step,Pinned M3R two-stage assembly reference,HASH_BOUND_NEUTRAL_GEOMETRY,true,Reference assembly only
M3-IN-041,20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/10_validation/MFINAL_INDEPENDENT_VALIDATION.json,V4 independent validation source,DERIVED_VALIDATION,true,Supports geometry lineage only
M3-IN-042,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_COLLISION_MESH.stl,Current Sim13 collision mesh,HASH_BOUND_SIMULATION_ASSET,true,Production V1 remains unchanged
