line_id,item,category,mass_kg,source,status
TOTAL-DESIGN-POINT,TOTAL_DESIGN_POINT (Reading A: equipment sub-allocated inside FRZ-BUS lump; ESPA-class per ODR-F4R1-01),structure,31.022864807342987,"= SUBTOTAL-FROZEN-C01; ODR_F4R1_01_SIGNED.md clause 4",TOTAL_REGISTERED_ODR
TOTAL-DESIGN-POINT-READING-B,"TOTAL_DESIGN_POINT additive upper bound (Reading B: FRZ-BUS read as pure structure, equipment added)",structure,36.659864807342987,"= SUBTOTAL-FROZEN-C01 + SUBTOTAL-EQUIPMENT-NEW + SUBTOTAL-SECONDARY-NEW",TOTAL_DECLARED_BOUND
TOTAL-CDS-VARIANT,TOTAL_CDS_VARIANT_24KG base (structure replaced by ST-STRUCT-REAL; drops FRZ-BUS proxy),structure,15.356651407342986,"= ST-STRUCT-REAL + EQ-SEC-STRUCT + FRZ-B601 + FRZ-M3R + FRZ-BRIDGE + FRZ-SOLAR-L + FRZ-SOLAR-R + SUBTOTAL-EQUIPMENT-NEW",TOTAL_CDS_VARIANT
MARGIN-CDS-15PCT,system margin 15 pct (B1 R2 / VMMO),margin,2.303497711051448,"computed: 0.15 * TOTAL-CDS-VARIANT",MARGIN
TOTAL-CDS-VARIANT-MARGINED,TOTAL_CDS_VARIANT_24KG incl margin (must be <= 24.00 kg),structure,17.660149118394435,"= TOTAL-CDS-VARIANT + MARGIN-CDS-15PCT",TOTAL_CDS_VARIANT
RECON-V3R2-FRZ-BUS,delta vs V3 R2 bus_primary_structure,structure,0.0,"reconciliation: identical reference",RECON_EXPLAINED
RECON-V3R2-FRZ-B601,delta vs V3 R2 b601 arm,arm,0.0,"reconciliation: identical reference",RECON_EXPLAINED
RECON-V3R2-FRZ-M3R,delta vs V3 R2 m3r,structure,0.0,"reconciliation: identical reference",RECON_EXPLAINED
RECON-V3R2-FRZ-BRIDGE,delta vs V3 R2 load_bridge,structure,0.0,"reconciliation: identical reference",RECON_EXPLAINED
RECON-V3R2-FRZ-SOLAR,delta vs V3 R2 solar L+R,panel,0.0,"reconciliation: identical reference",RECON_EXPLAINED
RECON-NEW-ROWS,new C1 rows not present in V3 R2 (C-ISS-04 gap closure),avionics,5.637,"declared: SUBTOTAL-EQUIPMENT-NEW + SUBTOTAL-SECONDARY-NEW; additive only under Reading B / CDS variant",RECON_EXPLAINED
RECON-UNEXPLAINED-COUNT,unexplained delta rows vs V3 R2,margin,0.0,"machine check in compute_c1_checks.py",RECON_EXPLAINED
