asset_id,name,path,root,type,language_or_tool,classification,latest_valid_result,input_config,seed_if_any,model_hash_if_recorded,project_dependency,notes
A-SIM10,"sim_10 mission feasibility boundary ((mu; omega; geometry; lambda; alpha) existence scan; 4 fail-closed gates)",30_simulation/sim_10_mission_feasibility/,A,capture,Python (numpy/scipy),PROJECT_AUTHORITY,"results/sim_10_gate_check.json SIM10_GATES_PASS 2026-07-18 (docs/sim_10_任务可行域报告_20260718.md); 9002 physics points: 6323 WHEELS_ONLY / 1858 INFEASIBLE_RATE / 730 THRUSTER_REQUIRED / 91 INFEASIBLE_RESOURCE; verdict=VERIFIED+FROZEN","20_engineering/config/mission_feasibility/scan_v0.yaml (zero hardcode); thresholds SHA-256 bound to frozen registry; read-only imports common/capture_impulse.py + sim_08 artifacts",deterministic_no_rng,threshold registry SHA-256 lock (R gate),TRUE,"CURRENT mission-feasibility authority (rigid-body boundary). Anchors: debris mu=6.25 omega+=3.0633 dps INFEASIBLE_RATE; satellite mu=0.917 1.3872 dps WHEELS_ONLY_FEASIBLE. flex_status=UNKNOWN_NOT_IN_CRITERIA (flex not in criteria)."
A-SIM11,sim_11 coupled dynamics (floating-base tree multibody: central rigid + 2x FFR panels + B601 6R; capture with finite contact bandwidth),30_simulation/sim_11_coupled_dynamics/,A,multibody,Python (numpy/scipy; Kane assembly; reduced/full integration; Radau/BDF),PROJECT_AUTHORITY,"results/sim_11_gate_check.json SIM11_GATES_PASS_WITH_PROVISIONAL_PARAMS v1.1 2026-07-18 (v1.0 was SIM11_GATES_FAIL:G4_convergence @ git 6c0035b; v1.1 fixed via finite contact bandwidth T_c=20 ms PROVISIONAL); tests 27 asserts; verdict=LIMITED+FROZEN","20_engineering/config/coupled_scene/coupled_model_v0.yaml + scene_A1/A2 YAML cards + geometry SSOTs (T_SM consistency assert vs sim_05)",deterministic_no_rng,config-driven; artifacts hashed per run,TRUE,"CURRENT TOP OF THE DYNAMICS MAINLINE (Route A). Owns: system-level coupled dynamics, flexible Delassus capture solver (rigid limit == sim_06), contact_window.py v1.1 finite-bandwidth contact model. PROVISIONAL: panel modal params (placeholder), contact T_c=20 ms (awaits B601 gripper measurement). Re-run triggers BLOCKED (measured panel modes / gripper T_c)."
A-SIM12,sim_12 strategy feasibility Phase 1 (16-case Strategy Proof Set: 4 tasks x 4 strategies S1/S2/S3a/S4),30_simulation/sim_12_strategy_feasibility/,A,momentum,Python (numpy; read-only import of sim_10 feasibility_core),PROJECT_AUTHORITY,"results/sim_12_gate_check.json SIM12_PHASE1_GATES_PASS (GS1 conservation max eps_H 3.85e-16; GS2 differentiation; GS3 claim audit); momentum ledger recomputed 2026-07-18 @ git 2d26ddc; verdict=VERIFIED+FROZEN","20_engineering/config/strategy_feasibility/strategies_v0.yaml; thresholds/registry hash inherited from sim_10",deterministic_no_rng,inherits sim_10 registry hash lock,TRUE,"Strategy-selection authority for Phase 1 only. Momentum ledger semantics arbitrated by 10_research/sim_12/momentum_ledger.md. Impulse-Momentum Decoupling Effect wording discipline enforced. FLEX not in criteria."
A-CTRL01,CTRL-01 end-effector tracking baseline (C0/C1/C2/C3 + MATCH5 resolved-rate comparison on sim_11 plant),30_simulation/control_01_end_effector_tracking/,A,multibody,Python (numpy/scipy; DOP853 rtol 1e-11 on reduced zero-momentum manifold),VALIDATION_CASE,"results/control_01_gate_check.json verdict=REPEAT, next=false (CTRL-01-R remediation 2026-07-19; 18 scenarios, A2/D/E/F unclosed); NEGATIVE_RESULT+FROZEN; tests_are_not_gate=true","20_engineering/config/control_scene/*.yaml; plant = read-only sim_11 CoupledModel via fast_plant.py equal-output path (worst normalized error ~1e-16)",deterministic_no_rng,results/artifacts_sha256.json + loop7_evidence_manifest.json,TRUE,"Negative-result control campaign: frozen-gain closed-loop anchors exceed limits; strict 6D nullspace is zero (5D approach has 1-D nullspace). Design constraint input to ASM-01 phase-switching decision. Not a dynamics truth source."
A-CTRL02,CTRL-02 base attitude reaction suppression + post-capture momentum-level terminal feasibility,30_simulation/control_02_base_attitude/,A,attitude,Python (numpy/scipy),PROJECT_ACTIVE,"results/control_02_gate_check.json module PASS (LIMITED): Stage A two-segment A1 lands endpoint exactly, A2 peak reaction -> numerical zero; Stage B transient 16 rows: 7 STABILIZED / 9 NOT_STABILIZED_WITHIN_WINDOW; ~2026-07-19/20; verdict=LIMITED+FROZEN (external wording PASS_WITH_PROVISIONAL_SCOPE)","20_engineering/config/attitude_stab/attitude_stab_v0.yaml PROVISIONAL actuator params (wheel 0.01 N.m/axis, thruster min pulse 20 ms); reads sim_05 anchor M1 + sim_12 four cases verbatim",deterministic_no_rng,gc0_momentum_ledger.json + hash audits (autocrlf_false_hash_audit.json),TRUE,"Control-layer attitude evidence with PROVISIONAL actuator model (model_fidelity=PROVISIONAL_L1_MOMENTUM_ACTUATOR). Does not support hardware-valid or closed-loop claims. W1-R12 wheel-torque conflict (0.033>0.01) logged as interface blocker for ASM-02."
A-SAFE00,SAFE-00 runtime safety gate (fail-closed decision core consuming frozen sim evidence),30_simulation/safety_00_runtime_gate/,A,other,Python (stdlib + HMAC-SHA256),PROJECT_AUTHORITY,"results/safety_00_gate_check.json verdict=PASS, next_stage_authorized=false, review_status=PENDING_REVIEW; UNKNOWN->ALLOW=0, bypass successes=0, false stops=0; verdict=VERIFIED+FROZEN","20_engineering/config/safety_gate/*.yaml+schemas; nominal binding A_low-S1_passive -> sim_12 strategy_results.csv + strategies_v0.yaml + scan_v0.yaml 24 kg reference",deterministic_no_rng (run_gates bit-identical on repeat),CANONICAL_JSON_SHA256_V1 gate json + RAW_BYTES_SHA256_FROZEN threshold registry,TRUE,"THE runtime safety authority: only ALLOW/MODIFY/UNKNOWN/ABORT decision core; binds capture requests to frozen sim_12/sim_10 evidence per call. PASS != execution authorization (module evidence separated from execution authorization). Production calls must inject >=32-byte HMAC key else degrade to UNKNOWN/ABORT."
A-E15ANCF,e15 ANCF certification (candidate-level Radau/BDF cross-solver + discretization certification of ANCF branch),30_simulation/e15_ancf_certification/,A,flexible,Python (numpy/scipy),VALIDATION_CASE,"results/gate_summary.json verdict=REPEAT_ANCF_CERTIFICATION: max cross-solver relative difference 5.637% > 5% threshold (all_lt_5pct=false); discretization trends gate_pass=true; NEGATIVE_RESULT+FROZEN","config/certification_v1.yaml; read-only calls frozen commit 6c15395 models/evidence",deterministic_no_rng,results/run_manifest.json + source_inventory.json,TRUE,"Open certification gap: ANCF cross-solver difference 5.637% not closed => L2 ANCF spot-check conclusions in ASM-01 may not be cited as certified until GR5 re-passed. UNKNOWN fail-closed (no zero-filling)."
A-E15CORE,e15 core safety coverage (72-case core evidence coverage audit),30_simulation/e15_core_coverage/,A,capture,Python,VALIDATION_CASE,"results/core_gate_check.json: coverage gate P0_A_CORE_COVERAGE_PASS (72/72, evidence_missing=0) BUT science verdict REPEAT_CORE_NO_SAFE_CANDIDATE (66 geometry-invalid, 6 CORE_UNSAFE, 0 safe); NEGATIVE_RESULT+FROZEN","config/threshold_registry_core_v1.yaml",deterministic_no_rng,manifest_sha256=14b6442f41fac6b95695732a1e812028305d8023705f6b92885538b2a8e0cb58,TRUE,"Coverage PASS is NOT a science PASS: no safe core candidate exists. ancf_executed=false. Negative result preserved frozen; feeds e16 upstream rejection chain."
A-E16,"e16 sync capture (216-case rigid synchronized-capture fast scan; P0-C)",30_simulation/e16_sync_capture/,A,capture,Python (numpy),PROJECT_ACTIVE,"results/gate_check.json overall=PASS_WITH_GEOMETRY_AND_FLEX_LIMITATIONS, campaign P0-C-216-rigid-sync-20260714 (2026-07-14); 216/216 terminal accounting; 18 dynamics-valid, 198 upstream-rejected N/A; formal safe=0; verdict=LIMITED+FROZEN","config/experiment_v1.yaml; two-stage rigid capture (6D Delassus impulse + plastic joint lock) frozen from E1.5",deterministic_no_rng,independent-rerun row-summary sha256=bd972b6908a821f0c4ade06e80b1cb066cdc13f46e9b6c50c2f23a1504eac0f0,TRUE,"Offline scan only (sync capture NOT real-time); ANCF not run; all flex evidence UNKNOWN => safe_claim_permitted=false. Alpha paired comparison covers only 6 complete dynamic blocks (design point, not population inference)."
A-ASM00,ASM-00 interface SSOT preflight (fail-closed AG0 gate + RF-1/2/3 classification + 9-criterion success evaluator contract),30_simulation/asm_00_interface_preflight/,A,other,Python,VALIDATION_CASE,"results/asm_00_gate_check.json raw ASM00_AG0_BLOCKED_BY_INTERFACE / external ASM00_BLOCKED_BY_MISSING_PARAMETERS; LOCAL_ONLY_UNTRACKED; status=BLOCKED (no physics solve, no Monte Carlo)","contracts/assembly_success_evaluator_v1.yaml + config/preflight_contract.yaml",deterministic_no_rng,none,TRUE,"Assembly-simulation entry gate is BLOCKED by missing interface parameters (RF-1/2/3 red flags; HAG-A + interface SSOT v1 absent). MIGRATION_NOTICE.md documents path-lock exception. No ASM-01/ASM-02 implementation exists."
A-URDF-B601,"accepted B601 arm URDF (arm_b601_v1; gripper merged into link6 in sim parsers)",20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,A,multibody,URDF (XML),PROJECT_AUTHORITY,"loaded by sim_05/sim_11/CTRL chains; mass rollup 4.695556 kg matches spec 4.6956±0.001 (sim_05 test_mass_rollup); file present and hash-verified 2026-08-08; verdict=VERIFIED",n/a (model data),n/a,raw sha256=1bc2b7483cd8025d08ba6eadfd9e1f3b0477121714e7cf4ddc1794d9e471c164 (matches CM ACCEPTED_URDF raw; norm 408147dd...),TRUE,"ONLY copy in repo. CM SSOT path drift: PROJECT_LIBRARY_INDEX/ASSET_AUTHORITY_MATRIX cite 20_engineering/cad/B5_1R1_B601_interface_native_rework_candidate/00_BASELINE/AUTHORITIES/accepted_urdf/arm_b601_v1.urdf which does NOT exist in worktree; same-hash file lives here. See PL1-C NEW_CONTRADICTION-01 (path drift, content identical)."
A-GEO-ARM,geometry SSOT arm_b601_v1.yaml,20_engineering/config/geometry/arm_b601_v1.yaml,A,multibody,YAML config,PROJECT_AUTHORITY,"consumed by sim_05/sim_11 config loaders; CM3-fixed hardware_step now repo-relative to 80_third_party/vendor/reBot-DevArm/; frozen checkout 2026-08-04; verdict=operational",n/a,n/a,none,TRUE,"Arm geometry/mount SSOT (T_SM nominal_frozen_v1, D-2). Note in file confirms CM3 repaired broken F:/Robotic arm absolute path to repo-relative vendor path."
A-GEO-FLEX,flexible appendage SSOT flexible_appendage_v1.yaml,20_engineering/config/geometry/flexible_appendage_v1.yaml,A,flexible,YAML config,PROJECT_AUTHORITY,"consumed by sim_07a and sim_11 FFR panel; mass closure m_bus+2*m_panel==24 kg enforced by mass_split_check.py; verdict=operational (stiffness PROVISIONAL: D-4 first-mode frequency assignment, NOT measured)",n/a,n/a,none,TRUE,"Flexible panel truth source: L=0.2 m, m_panel=0.3483933 kg, EI cases f1=0.7/1.0/1.3 Hz, zeta=0.01 TBD-literature. ANCF excitation interface MUST come from capture_impulse junction_couple, never scalar dT."
A-MASSLEDGER,mass/inertia budget ledger v1,20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/mass_inertia_budget_v1.csv,A,other,CSV ledger,PROJECT_AUTHORITY,"read by common/rigid_body.py and all sims; rows: servicer_12U_v0 24 kg, target_debris 150 kg, target_satellite 22 kg, adapter 1.2 kg, bus_v1 23.3032134 kg, panel 0.3483933 kg; confidence=low (build123d block model); verdict=usable_for_v0/usable_for_ancf_v1",n/a,n/a,none,TRUE,"Single mass/CoM/inertia ledger for the whole sim chain. Blocking rule: any object missing mass/cg/inertia/frame/refpoint is blocking_TBD and barred from downstream dynamics (mass_inertia_budget_notes.md)."
A-COUPLED-CFG,coupled scene model card coupled_model_v0.yaml (+scene_A1/scene_A2),20_engineering/config/coupled_scene/,A,multibody,YAML config,PROJECT_AUTHORITY,"loaded by sim_11 config_loader with T_SM consistency assertion vs sim_05 frozen constants; PROVISIONAL_PARAMS=true for panel modal/contact fields; verdict=operational-with-provisional-fields",n/a,n/a,none,TRUE,"Zero-hardcode parameter card for the mainline coupled model. Replacement path for placeholder panel modes: measured Yang Heng numerical case -> swap YAML -> rerun all sim_11 gates (currently BLOCKED)."
B-EXUDYN,EXUDYN (Gerstmayr multibody + ANCF Python/C++ library),REFLIB1_EXUDYN/EXUDYN/,B,flexible,Python/C++,REFERENCE_IMPLEMENTATION,"checkout head b428cda78ef7 (2025-11-11), 2383 files 135.9 MB, license EXUDYN-GENERAL-BSD-LIKE; no project run of this checkout; verdict=library-intact (provenance per REFLIB1 REFERENCE_INDEX.json)",n/a (upstream repo),n/a_upstream,git head b428cda78ef745e2092e7d202e72d84881bf4667,FALSE,"Gap addressed: V3 ANCF independent verification / e15 follow-up. Allowed use CODE_REUSE_WITH_NOTICE (BSD-like, keep copyright). Project runtime does NOT read this checkout (verified zero references in ROOT A code/config)."
B-SPART,SPART (NPS-SRL MATLAB toolkit: URDF -> kinematics/Jacobians/dynamics incl. floating base),REFLIB1_SPART/SPART/,B,multibody,MATLAB/Simulink,REFERENCE_IMPLEMENTATION,"checkout head 1365c7e6f345 (2018-02-14), 134 files, LGPL-3; no project run; tool_stack_decision: SPART=LATER (second rigid cross-validator behind Pinocchio); verdict=library-intact",URDF_models/ + examples/ upstream,n/a_upstream,git head 1365c7e6f345 (prefix per REFERENCE_INDEX.json),FALSE,"Allowed use AS_INDEPENDENT_TOOL_ONLY (copyleft: source must NOT be merged into project deliverables). Docs captured at REFLIB2_03 docs/spart_documentation_v0.2.0.pdf. Zero runtime references from ROOT A."
B-SPACEDYN,SpaceDyn v2r1 (Tohoku SRL MATLAB/C++ space-robot dynamics; Yoshida GJM lineage),REFLIB1_SpaceDyn/SpaceDyn/,B,freefloating,MATLAB/C++,REFERENCE_IMPLEMENTATION,"checkout head 57e5d608cb95 (2024-05-31), 214 files, NO LICENSE (default all-rights-reserved); tool_stack_decision: SpaceDyn=AUDIT_ONLY (formula/frame/momentum-decomposition audit); verdict=library-intact",n/a,n/a_upstream,git head 57e5d608cb95 (prefix),FALSE,"TEXT_AND_METHOD_REFERENCE_ONLY: read methods, do NOT copy code/data into deliverables. Historical algorithmic reference for GJM/RNS; zero runtime references from ROOT A."
B-SPACEDYN-PY,"SpaceDyn_python (Python port of SpaceDyn; WIP)",REFLIB1_SpaceDyn_python/SpaceDyn_python/,B,freefloating,Python,REFERENCE_IMPLEMENTATION,"checkout head 09ca449bd8d8 (2021-10-27), 9 files, MIT; upstream README says work-in-progress; verdict=library-intact",n/a,n/a_upstream,git head 09ca449bd8d8 (prefix),FALSE,"Small WIP port with added control/humanoid functions; audit-grade only. Zero runtime references from ROOT A."
B-DEBRI-CAPTURE,MATLAB_space_debri_capturing_sim (SRL 2D/3D debris capture sim on SpaceDyn: IK + contact force + contact determination),REFLIB1_MATLAB_space_debri_capturing_sim/MATLAB_space_debri_capturing_sim/,B,capture,MATLAB (+Blender python),REFERENCE_IMPLEMENTATION,"checkout head 5a65450f1750 (2024-12-10), 251 files 427.8 MB, MIT; no project run; verdict=library-intact",n/a,n/a_upstream,git head 5a65450f1750 (prefix),FALSE,"Gap addressed: V2 contact/capture (dual-arm servicer testbed, DAR arm control). CODE_REUSE_WITH_NOTICE. Zero runtime references from ROOT A."
B-SPACEDYN-DEMO,spacedyn_freefloating_demo (project-authored isolated MATLAB wrapper: free-floating base + planar 2R arm momentum exchange),REFLIB1_spacedyn_freefloating_demo/spacedyn_freefloating_demo/,B,freefloating,MATLAB (wraps SpaceDyn v2r1 path),TEACHING_CASE,"own RUNTIME_STATUS_20260729.md + RUNTIME_STATUS_20260730.md + tests/TestSpaceDynDemo.m; outputs/ dir present; README scope: DEMO_ONLY synthetic cuboid params; verdict=teaching-evidence-only (not B601/12U/hardware/contact/flexible/HIL/flight validation)","build_demo_model.m synthetic DEMO_ONLY parameters (SI)",deterministic (demo),none recorded in README,FALSE,"Teaching/smoke evidence wrapper inside ROOT B; adds upstream SpaceDyn src to MATLAB path only for run duration. Explicitly NOT validation of anything project-side. Note: internal path reference F:\space_robotics_references\SpaceDyn predates ROOT B rename."
B-SPACEROS-DEMOS,"spaceros_demos (Space ROS example demos: canadarm2; curiosity_rover; lunar rovers; nav2; ros_trick; space_robots)",REFLIB1_spaceros_demos/spaceros_demos/,B,other,ROS2 (Docker),REFERENCE_IMPLEMENTATION,"checkout head c5e4784255bc (2026-07-07), 363 files, Apache-2.0; no project run; verdict=library-intact",per-demo Dockerfile/build.sh/run.sh,n/a_upstream,git head c5e4784255bc (prefix),FALSE,"ROS2/Space ROS engineering reference (post-competition per crosswalk REPO-space-ros: no root LICENSE on space-ros itself, manual check needed). Zero runtime references from ROOT A."
B-SRB,"space_robotics_bench (AndrejOrsula SRB: parallelized Isaac-based space robotics RL environments; Gymnasium API + ROS 2 interface)",REFLIB1_space_robotics_bench/space_robotics_bench/,B,other,Python/Rust/Isaac Sim/ROS2,REFERENCE_IMPLEMENTATION,"checkout head 7528ff81f1ac (2025-10-28), 662 files, Apache-2.0; no project run; verdict=library-intact",n/a,n/a_upstream,git head 7528ff81f1ac (prefix),FALSE,"Closest upstream match to a future Isaac/RL training bench; tool_stack_decision assigns Isaac Sim=LATER (Wave C+). Zero runtime references from ROOT A."
B-BASILISK,Basilisk (AVSLab astrodynamics/ADCS simulation framework),REFLIB2_03_space_dynamics/03_space_dynamics/repos/basilisk/,B,attitude,Python/C++ (Basilisk),REFERENCE_IMPLEMENTATION,"clone log 2026-08-03 (REFLIB2 manifest REPO-basilisk); tool_stack_decision: Basilisk=NEXT (exactly ONE servicer ADCS anchor: mass/inertia, wheels/thrusters, momentum ledger, region classification vs CTRL-02/sim_10 frozen case); verdict=library-intact, never run by project",n/a,n/a_upstream,none recorded beyond clone log,FALSE,"Crosswalk: independent validation candidate for whole-spacecraft+panel+wheels+post-capture stack. Contract forbids rewriting CTRL-02 frozen inputs/thresholds to fit Basilisk. Zero runtime references from ROOT A."
B-ANCF-BEAM,ANCF_beam (rserban MATLAB gradient-deficient ANCF beam element),REFLIB2_06_flexible_multibody/06_flexible_multibody/repos/ANCF_beam/,B,flexible,MATLAB,REFERENCE_IMPLEMENTATION,"repo snapshot (upstream 2018-05-10 per REFLIB2 manifest); NO root LICENSE -> read-method-only; used as self-check reference for e15 ANCF implementation; verdict=library-intact",ancf_params.m upstream,n/a_upstream,none recorded,FALSE,"Crosswalk REPO-ANCF_beam: read_only_method_only (mass matrix / elastic force terms of the gradient-deficient element). Copyright reserved by default; no copying. Zero runtime references from ROOT A."
B-NASA-ISAAC,isaac (NASA ISAAC integrated software framework for Astrobee-class free-flyers),REFLIB2_04_robotics_software/04_robotics_software/repos/isaac/,B,other,C++/ROS,THIRD_PARTY,"clone per REFLIB2 manifest REPO-isaac (upstream 2024-08-01); crosswalk: architecture_reference for task planning/anomaly detection/replanning; post-competition; verdict=library-intact",n/a,n/a_upstream,none recorded,FALSE,"Cascading dependency on Astrobee; high integration cost. Not a dynamics truth source. Zero runtime references from ROOT A."
B-INTBALL2-ISAAC,int-ball2_isaac_sim (sd-robotics ROS 2 + Isaac Sim free-flying platform example),REFLIB2_04_robotics_software/04_robotics_software/repos/int-ball2_isaac_sim/,B,other,Isaac Sim/ROS2,THIRD_PARTY,"clone per REFLIB2 manifest REPO-int-ball2_isaac_sim (upstream 2025-11-13); crosswalk: post_competition Isaac Sim platform example; verdict=library-intact",n/a,n/a_upstream,none recorded,FALSE,"Isaac Sim hardware/license threshold unevaluated; cabin-internal platform. Citable=no per crosswalk. Zero runtime references from ROOT A."
