urdf_link,urdf_joint,component_name2,native_path,native_sha256,step_path,visual_mesh_path,collision_mesh_path,control_frame,camera_frame,authority_level,status,notes
,,B601_INTERFACE_STAGE_A_REV_B2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/adapter/B601_INTERFACE_STAGE_A_REV_B2.SLDPRT,FC84FBBA450A3C975B1AFA798CF37C492AB2680251BA906FBC1FA383800C1978,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_A_INTERFACE_RING_REVB.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_A_INTERFACE_RING_REVB.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_A_INTERFACE_RING_REVB.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,B601_LOAD_ADAPTER_STAGE_B_REV_B2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/adapter/B601_LOAD_ADAPTER_STAGE_B_REV_B2.SLDPRT,AC85890EF29FCC3D5C6FAD87E0255BBAC03256B9EA9FA561092B6CF6CB1BE085,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_B_LOAD_ADAPTER_REVB2.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_B_LOAD_ADAPTER_REVB2.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_B_LOAD_ADAPTER_REVB2.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,LEFT_WING_ROOT_THREE_WEB_CLEVIS,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/LEFT_WING_ROOT_THREE_WEB_CLEVIS.SLDPRT,AC60E3A07C84F21CF6E20D01533333345713EE3B28F9966BAAC4B452A4FCE673,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_ROOT_THREE_WEB_CLEVIS_LEFT.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_ROOT_THREE_WEB_CLEVIS_LEFT.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_ROOT_THREE_WEB_CLEVIS_LEFT.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,RIGHT_WING_ROOT_THREE_WEB_CLEVIS,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/RIGHT_WING_ROOT_THREE_WEB_CLEVIS.SLDPRT,2D8121989230723A9D29C43672D8534D719D2AF7A64C110D0B0D16EAA31B1894,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_ROOT_THREE_WEB_CLEVIS_RIGHT.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_ROOT_THREE_WEB_CLEVIS_RIGHT.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_ROOT_THREE_WEB_CLEVIS_RIGHT.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,WING_HINGE_AXIAL_SPACER,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/WING_HINGE_AXIAL_SPACER.SLDPRT,821B9484AB4B7B11A59A0136EDD4C537D37C317AC45830A5C1252ECD0A31577D,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_HINGE_AXIAL_SPACER.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_HINGE_AXIAL_SPACER.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_HINGE_AXIAL_SPACER.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,WING_HARNESS_GROMMET,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/WING_HARNESS_GROMMET.SLDPRT,300A486B9E620A4301E9402577736BF0D71002C3F86499C6285E51A23AEAE4A4,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_HARNESS_GROMMET.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_HARNESS_GROMMET.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_HARNESS_GROMMET.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,WING_MECHANICAL_STOP_PAD,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/WING_MECHANICAL_STOP_PAD.SLDPRT,F968A76B57987450814A02B260E654EA98E7E170449CD83DEAF7E7DDAEE2B445,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_STOP_PAD.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_STOP_PAD.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/wing_root/V4_WING_STOP_PAD.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,G07_PRIMARY_SUPPORT_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G07_PRIMARY_SUPPORT_V2.SLDPRT,BBD45CCFA724453ABE1AC92E30F59545B454D24D6462671EB655D5753D2FD964,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G07_PRIMARY_SUPPORT.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G07_PRIMARY_SUPPORT.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G07_PRIMARY_SUPPORT.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,G07_PAD_CARRIER_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G07_PAD_CARRIER_V2.SLDPRT,EF9DE629FCD9DB0148CC21AECC365E75761C6350DA8DBC46C3220EBB9A0BB4E2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G07_PAD_CARRIER.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G07_PAD_CARRIER.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G07_PAD_CARRIER.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,G07_PTFE_CONTACT_PAD_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G07_PTFE_CONTACT_PAD_V2.SLDPRT,F8C70F2EF3753CE609A12061C75B069D3C487E90D51E5593752DB5C4078BD83C,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G07_CONTACT_PAD.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G07_CONTACT_PAD.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G07_CONTACT_PAD.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,G08_PRIMARY_SUPPORT_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G08_PRIMARY_SUPPORT_V2.SLDPRT,C52244E9B262E8C8C448AE1DCEFF1A3F9A2FC6AC16253BF8DF844B59AB56E8E8,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G08_PRIMARY_SUPPORT.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G08_PRIMARY_SUPPORT.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G08_PRIMARY_SUPPORT.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,G08_PAD_CARRIER_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G08_PAD_CARRIER_V2.SLDPRT,79831ABACEEAE25B796C2D886E818801DDC259DB7EF459D69C2FAE1BA24A47E1,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G08_PAD_CARRIER.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G08_PAD_CARRIER.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G08_PAD_CARRIER.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,G08_VMQ_CONTACT_PAD_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G08_VMQ_CONTACT_PAD_V2.SLDPRT,37D847B73F2D748E1905AB8C482052C0ED3986D4C4644D8BC188F42E5825D821,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G08_CONTACT_PAD.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G08_CONTACT_PAD.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_G08_CONTACT_PAD.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,MID_BACKUP_SUPPORT_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/MID_BACKUP_SUPPORT_V2.SLDPRT,5CE735DC17CEB0EC89C83FA5760AB095DDC33C18455A5D1F24E298A6081E9A57,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_MID_BACKUP_SUPPORT.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_MID_BACKUP_SUPPORT.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_MID_BACKUP_SUPPORT.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,MID_PAD_CARRIER_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/MID_PAD_CARRIER_V2.SLDPRT,DB7FD70A606E305932FC1682E2BFE85F8C47F1F34AC1C46C6B572B74E98ED277,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_MID_PAD_CARRIER.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_MID_PAD_CARRIER.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_MID_PAD_CARRIER.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
