asset_id,component_name2,native_path,native_sha256,collision_class,authority_level,path,role,urdf_link,triangles,deflection_mm,frame,posed_by,authoritative,authority_note
Central_Boss,Central_Boss,,,ARM_MOUNT_INTERFACE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Central_Boss.stl,ARM_MOUNT_INTERFACE,,288,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Deck_Front_Bay,Deck_Front_Bay,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Deck_Front_Bay.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Deck_Mid_Bay,Deck_Mid_Bay,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Deck_Mid_Bay.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Deck_Rear_Bay,Deck_Rear_Bay,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Deck_Rear_Bay.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Front_End_Frame,Front_End_Frame,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Front_End_Frame.stl,BUS_STRUCTURE,,96,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Front_Transverse_Frame,Front_Transverse_Frame,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Front_Transverse_Frame.stl,BUS_STRUCTURE,,96,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Fwd_Saddle,Fwd_Saddle,,,SADDLE_PLACEHOLDER,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Fwd_Saddle.stl,SADDLE_PLACEHOLDER,,28,0.5,spacecraft_assembly_frame,static,False,"placeholder block, not a real support"
HDRM_Base_1_Left,HDRM_Base_1_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Base_1_Left.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Base_1_Right,HDRM_Base_1_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Base_1_Right.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Base_2_Left,HDRM_Base_2_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Base_2_Left.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Base_2_Right,HDRM_Base_2_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Base_2_Right.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Rod_1_Left,HDRM_Rod_1_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Rod_1_Left.stl,BUS_STRUCTURE,,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Rod_1_Right,HDRM_Rod_1_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Rod_1_Right.stl,BUS_STRUCTURE,,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Rod_2_Left,HDRM_Rod_2_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Rod_2_Left.stl,BUS_STRUCTURE,,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Rod_2_Right,HDRM_Rod_2_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Rod_2_Right.stl,BUS_STRUCTURE,,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hard_Stop_Left,Hard_Stop_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hard_Stop_Left.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hard_Stop_Right,Hard_Stop_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hard_Stop_Right.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Harness_Passage,Harness_Passage,,,ARM_MOUNT_INTERFACE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Harness_Passage.stl,ARM_MOUNT_INTERFACE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Harness_Service_Loop_Left,Harness_Service_Loop_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Harness_Service_Loop_Left.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Harness_Service_Loop_Right,Harness_Service_Loop_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Harness_Service_Loop_Right.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Ear_1_Left,Hinge_Ear_1_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Ear_1_Left.stl,BUS_STRUCTURE,,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Ear_1_Right,Hinge_Ear_1_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Ear_1_Right.stl,BUS_STRUCTURE,,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Ear_2_Left,Hinge_Ear_2_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Ear_2_Left.stl,BUS_STRUCTURE,,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Ear_2_Right,Hinge_Ear_2_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Ear_2_Right.stl,BUS_STRUCTURE,,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Pin_Left,Hinge_Pin_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Pin_Left.stl,BUS_STRUCTURE,,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Pin_Right,Hinge_Pin_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Pin_Right.stl,BUS_STRUCTURE,,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Launch_Lock_Interface_Reference,Launch_Lock_Interface_Reference,,,REFERENCE_ONLY,L3_REFERENCE_ONLY,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Launch_Lock_Interface_Reference.stl,REFERENCE_ONLY,,48,0.5,spacecraft_assembly_frame,static,False,REFERENCE ONLY -- must never be used as physical collision evidence
Load_Bridge_Left,Load_Bridge_Left,,,ARM_MOUNT_INTERFACE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Load_Bridge_Left.stl,ARM_MOUNT_INTERFACE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Load_Bridge_Right,Load_Bridge_Right,,,ARM_MOUNT_INTERFACE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Load_Bridge_Right.stl,ARM_MOUNT_INTERFACE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Load_Spreading_Frame,Load_Spreading_Frame,,,ARM_MOUNT_INTERFACE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Load_Spreading_Frame.stl,ARM_MOUNT_INTERFACE,,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Longerons_4X,Longerons_4X,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Longerons_4X.stl,BUS_STRUCTURE,,96,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Maintenance_Access_Cover,Maintenance_Access_Cover,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Maintenance_Access_Cover.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Mid_Saddle,Mid_Saddle,,,SADDLE_PLACEHOLDER,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Mid_Saddle.stl,SADDLE_PLACEHOLDER,,28,0.5,spacecraft_assembly_frame,static,False,"placeholder block, not a real support"
Mid_Transverse_Frame_,Mid_Transverse_Frame_,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Mid_Transverse_Frame_.stl,BUS_STRUCTURE,,192,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Rear_End_Frame,Rear_End_Frame,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Rear_End_Frame.stl,BUS_STRUCTURE,,96,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Release_Clearance_Envelope,Release_Clearance_Envelope,,,REFERENCE_ONLY,L3_REFERENCE_ONLY,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Release_Clearance_Envelope.stl,REFERENCE_ONLY,,12,0.5,spacecraft_assembly_frame,static,False,REFERENCE ONLY -- must never be used as physical collision evidence
Root_Base_Left,Root_Base_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Root_Base_Left.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Root_Base_Right,Root_Base_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Root_Base_Right.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Root_Node_Spine_Left,Root_Node_Spine_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Root_Node_Spine_Left.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Root_Node_Spine_Right,Root_Node_Spine_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Root_Node_Spine_Right.stl,BUS_STRUCTURE,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Spacecraft_Flange,Spacecraft_Flange,,,ARM_MOUNT_INTERFACE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Spacecraft_Flange.stl,ARM_MOUNT_INTERFACE,,304,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Torsion_Spring_1_Left,Torsion_Spring_1_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Torsion_Spring_1_Left.stl,BUS_STRUCTURE,,288,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Torsion_Spring_1_Right,Torsion_Spring_1_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Torsion_Spring_1_Right.stl,BUS_STRUCTURE,,288,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Torsion_Spring_2_Left,Torsion_Spring_2_Left,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Torsion_Spring_2_Left.stl,BUS_STRUCTURE,,288,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Torsion_Spring_2_Right,Torsion_Spring_2_Right,,,BUS_STRUCTURE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Torsion_Spring_2_Right.stl,BUS_STRUCTURE,,288,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
WING_L_DEPLOYED,WING_L_DEPLOYED,,,SOLAR_WING,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\WING_L_DEPLOYED.stl,SOLAR_WING,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
WING_R_DEPLOYED,WING_R_DEPLOYED,,,SOLAR_WING,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\WING_R_DEPLOYED.stl,SOLAR_WING,,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
B601_INTERFACE_STAGE_A_REV_B2,B601_INTERFACE_STAGE_A_REV_B2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/adapter/B601_INTERFACE_STAGE_A_REV_B2.SLDPRT,FC84FBBA450A3C975B1AFA798CF37C492AB2680251BA906FBC1FA383800C1978,ARM_MOUNT_INTERFACE,L1_NATIVE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/adapter/B601_INTERFACE_STAGE_A_REV_B2.SLDPRT,ARM_MOUNT_INTERFACE,,,,spacecraft_assembly_frame,V5_native_import,True_for_native_identity,native part identity is L1; native interference/clearance still pending top-assembly Loop2
B601_LOAD_ADAPTER_STAGE_B_REV_B2,B601_LOAD_ADAPTER_STAGE_B_REV_B2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/adapter/B601_LOAD_ADAPTER_STAGE_B_REV_B2.SLDPRT,AC85890EF29FCC3D5C6FAD87E0255BBAC03256B9EA9FA561092B6CF6CB1BE085,ARM_MOUNT_INTERFACE,L1_NATIVE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/adapter/B601_LOAD_ADAPTER_STAGE_B_REV_B2.SLDPRT,ARM_MOUNT_INTERFACE,,,,spacecraft_assembly_frame,V5_native_import,True_for_native_identity,native part identity is L1; native interference/clearance still pending top-assembly Loop2
LEFT_WING_ROOT_THREE_WEB_CLEVIS,LEFT_WING_ROOT_THREE_WEB_CLEVIS,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/LEFT_WING_ROOT_THREE_WEB_CLEVIS.SLDPRT,AC60E3A07C84F21CF6E20D01533333345713EE3B28F9966BAAC4B452A4FCE673,WING_ROOT_INTERFACE,L1_NATIVE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/LEFT_WING_ROOT_THREE_WEB_CLEVIS.SLDPRT,WING_ROOT_INTERFACE,,,,spacecraft_assembly_frame,V5_native_import,True_for_native_identity,native part identity is L1; native interference/clearance still pending top-assembly Loop2
RIGHT_WING_ROOT_THREE_WEB_CLEVIS,RIGHT_WING_ROOT_THREE_WEB_CLEVIS,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/RIGHT_WING_ROOT_THREE_WEB_CLEVIS.SLDPRT,2D8121989230723A9D29C43672D8534D719D2AF7A64C110D0B0D16EAA31B1894,WING_ROOT_INTERFACE,L1_NATIVE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/RIGHT_WING_ROOT_THREE_WEB_CLEVIS.SLDPRT,WING_ROOT_INTERFACE,,,,spacecraft_assembly_frame,V5_native_import,True_for_native_identity,native part identity is L1; native interference/clearance still pending top-assembly Loop2
WING_HINGE_AXIAL_SPACER,WING_HINGE_AXIAL_SPACER,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/WING_HINGE_AXIAL_SPACER.SLDPRT,821B9484AB4B7B11A59A0136EDD4C537D37C317AC45830A5C1252ECD0A31577D,EXTERNAL_MECHANICAL,L1_NATIVE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/WING_HINGE_AXIAL_SPACER.SLDPRT,EXTERNAL_MECHANICAL,,,,spacecraft_assembly_frame,V5_native_import,True_for_native_identity,native part identity is L1; native interference/clearance still pending top-assembly Loop2
