clamp_id,cad_part_name,host_link,type,frame,x_mm,y_mm,z_mm,axis_dx,axis_dy,axis_dz,bore_radius_mm,retained_radius_mm,install_allowance_mm,colocation_budget_mm,fastener_interface,note
CF-L4-01,RC-CLP-L4-01,link4,FIXED,link4_frame,-82.491,-90.800,11.891,-0.707106781,0.000000000,-0.707106781,6.000,5.000,0.500,0.500,2xM3 on external split conduit; torque HOLD,link4 external turn-1 clamp
GS-L4-HIGH-E1,RC-GSP-L4-HIGH-E1,link4,GUIDE_SUPPORT,link4_frame,-87.899,-89.771,-121.987,0.591163851,0.056842678,-0.804545966,11.000,9.500,0.500,1.000,2xM3 on V9 high-bypass guide,conduit-axis support E1; not a cable clamp
GS-L4-HIGH-E2,RC-GSP-L4-HIGH-E2,link4,GUIDE_SUPPORT,link4_frame,142.886,-66.745,-212.567,0.131122378,0.108102730,-0.985454576,11.000,9.500,0.500,1.000,2xM3 on V9 high-bypass guide,conduit-axis support E2; not a cable clamp
CF-J5-F,RC-CLP-J5-FIX,link4,FIXED,link4_frame,136.177,-65.800,-226.242,-0.840764331,0.000000000,-0.541401274,6.000,5.000,0.500,0.500,2xM3 on V9 high-bypass guide,V9 external J5 wrap entry fixed clamp
CM-J5-M,RC-CLP-J5-MOV,link5,MOVING,link5_frame,2.459,101.339,-28.300,0.884751199,-0.466063639,0.000000000,6.000,5.000,0.500,0.500,2xM3 on link5 derived pad,J5 wrap exit moving clamp
GS-J5-HIGH-W2,RC-GSP-J5-HIGH-W2,link5,GUIDE_SUPPORT,link5_frame,174.004,10.973,-44.409,0.625613573,-0.329556759,-0.707106781,11.000,9.500,0.500,1.000,2xM3 on V9 high-return guide,conduit-axis support W2; not a cable clamp
GS-J5-HIGH-W3,RC-GSP-J5-HIGH-W3,link5,GUIDE_SUPPORT,link5_frame,172.836,8.125,-123.590,-0.676885046,0.204515610,-0.707106781,11.000,9.500,0.500,1.000,2xM3 on V9 high-return guide,conduit-axis support W3; not a cable clamp
GS-J5-HIGH-A6,RC-GSP-J5-HIGH-A6,link5,GUIDE_SUPPORT,link5_frame,35.210,50.007,-122.538,-0.655018246,0.210598069,0.725671793,11.000,9.500,0.500,1.000,2xM3 on V9 high-return guide,conduit-axis support A6; not a cable clamp
CM-J6-F,RC-CLP-J6-FIX,link5,FIXED,link5_frame,28.092,55.000,40.000,0.057777843,0.000000000,0.998329465,6.000,5.000,0.500,0.500,2xM3 on link5 end pad,J6 helix entry fixed clamp
CM-J6-M,RC-CLP-J6-MOV,link6,MOVING,link6_frame,55.000,-0.000,39.400,0.000000000,0.998329465,0.057777843,6.000,5.000,0.500,0.500,2xM3 on link6 derived pad,J6 helix exit moving clamp
CF-WR-SR,RC-SR-WRIST,link6,STRAIN_RELIEF,link6_frame,51.555,54.971,124.457,-0.042042454,0.000772567,0.999115526,6.000,5.000,0.500,0.500,2xM3 on link6 wrist pad,wrist strain relief
CF-WR-PL,RC-PLT-WRIST-SPLIT,link6,CONNECTOR_PLATE,link6_frame,50.000,55.000,161.400,,,,,,,,4xM3 on RC-PLT-WRIST-SPLIT,wrist connector split plate; not a cable clamp
