"domain","item","current_status","verdict","authority_path","json_key_or_row_locator","sha256","last_verified","what_it_proves","what_it_does_not_prove","open_blocker","blocker_owner","internally_closable","external_input_required","competition_relevance","claim_ceiling","next_minimum_action"
"memory","红线1：Wang 2026 momentum feedforward compensation（AA 245:1035-1054）","LIMITED","REDLINE_BASELINE_ONLY","01_project/competition/文献查新裁决_claim边界_20260823.md","§1 表 row1 + §2 表 row1","3be39f02c15ab7783d48e3cdcf58a5d2dd17a461725cf18a2c7048f8d7db3088","2026-08-27","DOI 题录核验通过；该方向禁作核心创新，S3a 定位不变（候选策略类）","地面实验数字 50次/96%/94% 已核验（裁决原文：未核验，引用前必须读原文）","阅读卡未建（须 09-01 前完成）","PI","yes","no","叙事红线：related work 划线依据","baseline/工具层引用","精读原文并建阅读卡"
"memory","红线2：Lu 2026 一体化框架（AST 177:112197）","LIMITED","REDLINE_NO_FIRST_FRAMEWORK_CLAIM","01_project/competition/文献查新裁决_claim边界_20260823.md","§1 表 row2 + §2 表 row2 + §4.2","3be39f02c15ab7783d48e3cdcf58a5d2dd17a461725cf18a2c7048f8d7db3088","2026-08-27","DOI 题录核验通过；""首次结构-接触-任务一体化框架""类声称禁用；Paper 1 须坚持 feasibility/decision paper","摘要级方法描述（cone complementarity、多时间尺度积分）已核验","精读+引言对位未完成","PI","yes","no","叙事红线","禁作框架新颖性声称","精读引言/框架图/结论"
"memory","红线3：Ma 2026 多模态视觉+RL 自主抓取（Sci Rep，OA）","VERIFIED","REDLINE_FULLTEXT_READ","01_project/competition/文献查新裁决_claim边界_20260823.md","§1 表 row3（全文页已读，perception-informed RL-ISC，纯仿真）+ §2 表 row3","3be39f02c15ab7783d48e3cdcf58a5d2dd17a461725cf18a2c7048f8d7db3088","2026-08-27","视觉+RL+非合作抓取被钉在控制层且 simulation-only；禁用为具身智能论文一号贡献","无（全文已读）","无","—","yes","no","叙事红线","决策层差异（physics verifier+fail-closed）才是合法差异","OA 全文阅读卡入库"
"memory","红线4：Cai 2026 data-driven robust MPC post-capture","LIMITED","REDLINE_ABSTRACT_ONLY","01_project/competition/文献查新裁决_claim边界_20260823.md","§1 表 row4 + §2 表 row4 + §4.3（Cai 组 2023 起系统性占位）","3be39f02c15ab7783d48e3cdcf58a5d2dd17a461725cf18a2c7048f8d7db3088","2026-08-27","post-capture 控制层不独立成 novelty；该方向整体放弃作创新","全文细节（订阅制无全文，引用以摘要为限）","无全文访问","—","no","yes（订阅全文，可选）","叙事红线","转 pre-capture feasibility constraint 表述","引用限摘要级"
"memory","红线5：Mao 2026 Koopman/model-free FFSR 控制（FITEE 27(7)）","VERIFIED","REDLINE_TOOL_LAYER","01_project/competition/文献查新裁决_claim边界_20260823.md","§1 表 row5 + §2 表 row5","3be39f02c15ab7783d48e3cdcf58a5d2dd17a461725cf18a2c7048f8d7db3088","2026-08-27","DOI 题录核验通过；控制层实现工具/比较基线，不作主创新","全文方法细节","无","—","yes","no","叙事红线","工具层/baseline","题录入库"
"memory","红线6：RL detumbling under inertia uncertainties（AA 246:734-744）","VERIFIED","REDLINE_CROSSREF_VERIFIED","01_project/competition/文献查新裁决_claim边界_20260823.md","§1 表 row6 + §5.2（Crossref 确认 2026-08-23）","3be39f02c15ab7783d48e3cdcf58a5d2dd17a461725cf18a2c7048f8d7db3088","2026-08-27","题录核验通过；未知惯量自适应/学习消旋不作核心 novelty","全文内容","无","—","yes","no","叙事红线","不作核心 novelty","题录入库"
"memory","绿线五项（主推方向）","VERIFIED","GREENLINE_WITHIN_SEARCH_SCOPE","01_project/competition/文献查新裁决_claim边界_20260823.md","§3 表（F_i/∂F_i；pre-capture→post-capture infeasibility 判据；SAFE/UNKNOWN/UNSAFE fail-closed；binding-gate selector；embodied candidate+physics veto）","3be39f02c15ab7783d48e3cdcf58a5d2dd17a461725cf18a2c7048f8d7db3088","2026-08-27","本轮（08-23 补检索）未见直接覆盖，五项均有机器证据锚点","穷尽性证明；08-23 之后文献","检索截止后未再查新","PI","yes","no","核心叙事绿线","检索范围内未见（须附截止日期与范围）","引用附 2026-07-18 截止+08-23 补检声明"
"memory","momentum prebias=S3a 护栏","VERIFIED","GUARDRAIL_FROZEN","01_project/competition/文献查新裁决_claim边界_20260823.md","§2 表 row1（末列）+ AGENTS.md L44（文献查新护栏节）","3be39f02c15ab7783d48e3cdcf58a5d2dd17a461725cf18a2c7048f8d7db3088","2026-08-27","momentum prebias=sim_12 S3a 候选策略（C1 Dimitrov 2004 祖先线，Wang 2026 推进到实验）；禁止包装成""新抓捕方法""","S3a 本身非法（它是合法候选策略类与绿线锚点）","无","—","yes","no","claim 边界护栏","候选策略类+定量问题（8% 预置换多少边界改善）","材料审校红线词表收录"
"memory","检索截止纪律","VERIFIED","CUTOFF_DISCIPLINE_DECLARED","01_project/competition/sim12_literature_closure.md","§G（E 节存在性结论维持；检索截止 2026-07-18；08-23 补检索后结论不变）+ 文首覆盖度声明（十轮检索 14 篇，""本次检索范围内未见""级）","67ea28a65be42cbc177944c7638e72f142e2745ab9e026c12669ff853d99b845","2026-08-27","存在性结论为""检索范围内未见""级且带截止与范围声明；缺口审计 §6 第3项（2 名独立核查）仍未闭环","穷尽证明","独立核查 2 名未落实","PI","yes","no","叙事合规","未见=检索范围内未见","09-01 前落实独立核查或删除绝对化措辞"
"memory","标题词证据评估：具身智能","LIMITED","TITLE_WORD_UNSUPPORTED_AS_MAIN_CLAIM","PROJECT_CURRENT_STATUS.md","EMBODIED_AI 行（PLANNING LAYER ONLY；VLA=PROTOCOL_DRAFT；Physics Tool=DRAFT_NOT_IMPLEMENTED）+ framework 矩阵 C23/C24 行（NOT_EVALUATED）","cce6517b4cd5ea017281b2d5a0b4c14711458c64af278f3b17cb339e002ada3d","2026-08-27","具身智能层仅有规划/合同草案，无实现无评估；Ma 2026 红线禁用作一号贡献","""具身智能""可作主标题贡献词","证据不足","—","yes","no","高","展示叙事/future work 级","标题收缩去除具身智能主语"
"memory","标题词证据评估：自主抓取","LIMITED","TITLE_WORD_UNSUPPORTED_AS_MAIN_CLAIM","10_research/framework_convergence/claim_evidence_matrix.csv","C25 行（H0_H3_NOT_STARTED）+ PROJECT_ONBOARDING_PACKAGE/01_PROJECT_OVERVIEW.md §2 L-3（感知 PLANNED）","7d296e7a243700895916fbccb00ffa7d7c26f22a3a64f073eb20dd154ad5a0f1","2026-08-27","无感知闭环、无硬件闭环；""自主抓取""整体声称无证据","""自主抓取""作提交标题/主贡献","感知与 H0-H3 未开始","硬件组","no","yes（硬件实测）","高","决策层""物理约束抓捕策略选择""可写","标题改用决策层措辞"
"memory","标题词证据评估：数字孪生","LIMITED","TITLE_WORD_ONLY_OFFLINE_DT2_REPLAY","10_research/framework_convergence/claim_evidence_matrix.csv","C21 行（DT2_SCOPE_LIMITED_OFFLINE_REPLAY；回放早于 sim10-12/SAFE/CTRL/ASM 当前状态）+ contribution_map F1/F2 行（F2 BLOCKED）","7d296e7a243700895916fbccb00ffa7d7c26f22a3a64f073eb20dd154ad5a0f1","2026-08-27","仅 DT0/DT1+旧 campaign 局部 DT2 离线回放存在；无实时孪生/DT3/DT4","""数字孪生""（实时/同步语义）入标题","统一回放链未建","PI","yes","no","中","确定性离线 DT2 证据回放","材料中只写离线回放并注明 command_emitted=false"
"memory","标题词证据评估：在轨装配","PLANNED","TITLE_WORD_FUTURE_EXTENSION_ONLY","10_research/research_state_v4.md","L14-16（Wave A 在 HAG-A 前 PLANNED_NOT_AUTHORIZED）+ framework 矩阵 C26-C29 行（全 NOT_EVALUATED）","1bd051d8636814ffd553831a93fd360fd16177bb339bd1adab2ac58447a1d85c","2026-08-27","装配线全部停留在规划/阻塞态；ASM-01/02 未实施","""在轨装配""进比赛主叙事或标题","RF-1/2/3、HAG-A、目标侧 FFR/AG4、W1-R12/R13","PI+Owner","no","yes（接口实测+人工批准）","高","future extension/路线图级","主叙事剔除装配，仅保留路线图"
"memory","On-Orbit Assembly Wave A 状态原文","PLANNED","PLANNED_NOT_AUTHORIZED_CONFIRMED","10_research/research_state_v4.md","L14-16：""当前唯一候选科学实施主线为 On-Orbit Assembly Wave A；在 HAG-A 前为 PLANNED_NOT_AUTHORIZED，并受 RF-1/2/3、目标侧 FFR/AG4、W1-R12/R13 阻塞""","1bd051d8636814ffd553831a93fd360fd16177bb339bd1adab2ac58447a1d85c","2026-08-27","Wave A 未授权；AGENTS.md L29 同口径","Wave A 已开工或已获 HAG-A","HAG-A 批准缺席","Owner","no","yes（Owner/HAG-A）","中（背景路线图）","规划态引用","维持 HOLD 表述"
"memory","Wave A 阻塞项 RF-1/2/3 原文","HOLD","READY_WITH_INTERFACE_BLOCKERS","10_research/on_orbit_assembly/master_plan.md","最终裁决段 L9-17：RF-1 锥面聚拢 2.14mm<5mm 几何不自洽、RF-2 楔紧边界、RF-3 clearance 语义、SSOT 缺销距/倒角字段、全卡无 MEASURED 出处（ASM-00 LOOP-1 入口判据）；Wave 结构段：Wave A（待批）","dea2436daa5e1acdcb043ac56ed4df31d5dcbe107e715e62bdba9903128d2f04","2026-08-27","装配阻塞为接口参数级，非概念级；verdict 词表强制 _WITH_PROVISIONAL_PARAMS","接口已合格或装配可行","接口实测参数缺席","PI+硬件组","no","yes（接口/夹爪/帆板实测）","低（比赛主线不依赖）","阻塞项原样引用","维持 ASM-00 fail-closed"
"memory","claim-evidence 矩阵冻结态（contribution_map 版）","PENDING_REVIEW","NOT_REFROZEN_AT_CURRENT_STATE","10_research/contribution_map/README.md","L10 last_verified_head=b75352c1c226c0f3e9a4bc9c469b766e06f41616（旧 HEAD；当前主线已过 5c5adde 及 08-25/27 收口）","c6944e4720396406aed3af8125723318d478159071f3e5efb522ee381efa87a7","2026-08-27","C1-C4+F1/F2 claim 状态表存在且措辞边界明确","已对齐 08-23 查新红线与 08-25/08-27 机械/控制收口","矩阵未重冻结","PI","yes","no","高（P0 blocker BLK-MEM-02）","未冻结前 claim 引用以各 Gate JSON 直引为准","append-only 重发冻结版"
"memory","claim ledger 全表（framework_convergence C00-C30）","PENDING_REVIEW","LEDGER_STALE_PRE_0823","10_research/framework_convergence/claim_evidence_matrix.csv","全表 31 行 C00-C30（research_state_v4.md L17 指认为""完整允许/禁止声明""）","7d296e7a243700895916fbccb00ffa7d7c26f22a3a64f073eb20dd154ad5a0f1","2026-08-27","允许/禁止声明全表存在且被研究状态指针引用","已吸收 08-23 查新红/绿线（表内无 Wang/Lu/Ma/Cai/Mao 条目）与 08-25/27 状态","未按查新裁决更新","PI","yes","no","高","同上","把红/绿线并入 forbidden/allowed 列后重冻结"
"memory","论文 claim 矩阵（40_evidence CL01-CL18）","PENDING_REVIEW","LEDGER_STALE_PRE_0823","40_evidence/tables/paper_claim_evidence_matrix.csv","CL01-CL18 全表（CL08 UNSUPPORTED 禁止入论文；CL15/CL17 FUTURE_WORK）","d7ba7f9c73138b9a99abcc7c326bee1c9c6d9a22c49608c38afc36505e47a1d4","2026-08-27","逐 claim 的 confidence/required_qualifier 已登记","同上（mtime 2026-08-04，先于查新裁决）","未按查新裁决更新","PI","yes","no","中","同上","同上"
"memory","COMPETITION_SUBMISSION_SCOPE 更晚冻结包检索","UNKNOWN","NOT_FOUND_NO_LATER_SCOPE_FREEZE","（全仓 grep COMPETITION_SUBMISSION_SCOPE → 0 hits）","grep 全仓零命中","—","2026-08-27","不存在名为 COMPETITION_SUBMISSION_SCOPE 的更晚比赛范围冻结；现行比赛叙事锚仍为 COMPETITION_DEMO_READY（07-20）+ AR7 仲裁 + 08-26/27 机械/控制裁决","证明无需范围冻结（缺口仍在）","比赛提交范围无专门冻结包","Owner","yes","no","高","—","09-01 前由 Owner 签发提交范围冻结（建议）"
"memory","管理默认状态 vs 最新裁决一致性","VERIFIED","DEFAULT_STATES_CONSISTENT_NO_LATER_OVERRIDE","01_project/competition/R2动力学与控制工程闭环阶段裁决_20260827.md","§1 总裁决块（mechanical/dynamics/control/SAFE/Sim13 全 HOLD；M01 NOT EXECUTED；next_stage_authorized=false；release_credit=false）","3eed50dd728ea55ce40cd4a2e46d4343d1f17a4c532baca4c469c8b406c08dce","2026-08-27","MECHANICAL_MAIN_BODY=FROZEN/ACTIVE=ROUTE_C_ONLY/FORMAL release 双 HOLD/RL-VLA DEFER/HIL DEFER/装配 future-only 与 08-27 裁决一致；无更晚 Owner 覆盖","任何 release credit 或下一阶段授权","无","—","yes","no","高","状态板引用","综合裁决直接采用"
"memory","ODR-60 Option A token 同日两裁决措辞冲突","VERIFIED","CONFLICT_RESOLVED_BY_MACHINE_GATE","30_simulation/r2_dynamics_control_system_closure/results/R2_DYNAMICS_CONTROL_SYSTEM_GATE_V1.json","owner_option_a_selection_recorded=true、owner_option_a_selected=true、path_search_executed=false、joint_system_ready=false、technical_verdict=R2_DYNAMICS_CONTROL_SYSTEM_HOLD__…__NO_PATH_SEARCH__NO_RELEASE_CREDIT","55490805d934a8806e58cda25c398bd15aef49f4624f1f8cc08fcb75f2634b03","2026-08-27","机器 Gate 确认分支选择已记录（闭环裁决 §2.1 一致）；预开发裁决 §1""未取得 token""为同日较早措辞，按权威顺序以机器 Gate 为准","路径搜索或执行已授权（path_search_executed=false）","两份裁决文本措辞待统一","PI","yes","no","中（叙事口径）","branch selection recorded, execution not authorized","叙事统一用机器 Gate 口径"
"memory","PROJECT_ONBOARDING_PACKAGE 继承状态","SUPERSEDED","PARTIALLY_SUPERSEDED_DISCIPLINE_STILL_VALID","PROJECT_ONBOARDING_PACKAGE/PROJECT_TRUTH_INDEX.json","_meta.generated_utc=2026-07-29；_meta.files 内 CLAUDE.md sha256=cb851e2f…≠当前 d6cdd83a…、PROJECT_MAP.md 09dd9fa8…≠当前 4dcdad08…（项目现状总览 184cacb0… 仍匹配）","e348749b952527e9fd220a9d28c7c4bc3b2eb4ba8b39af170fc34e820ee0836b","2026-08-27","继承包证据纪律（Level 0-4、测试≠Gate、负结果保留）与 AGENTS.md 真值入口同构；其真值索引哈希与机械主线（B5.1R1 Phase 1）已被 PL1(08-08)→F3R2→Terminal Closure(08-25)→R2 裁决(08-27) supersede","继承包状态页可作 08-27 现行依据","继承包未按当前主线修订","Owner","yes","no","中","历史导航层","答辩材料禁用继承包状态数字，直接引 Gate JSON"
"memory","继承包质量数字尾数差异","LIMITED","TRANSCRIPTION_DISCREPANCY_FLAGGED","PROJECT_ONBOARDING_PACKAGE/01_PROJECT_OVERVIEW.md","L57 ""质量 4.6955559493429862 kg"" vs PROJECT_MODEL_TRUTH_HIERARCHY.yaml L25 ""mass 4.695555949342986 kg""（末位多一个 2）","a373f13a9d47a433f0b670140cde4aab621a70e07d5207e36890a70df5cf9f28","2026-08-27","叙事层存在转录差异；L0 权威（accepted URDF/层级文件）值为 4.695555949342986","URDF 本体有冲突（本域未读 URDF，机械域裁定）","继承包数字未回改","Owner","yes","no","低","以 L0 层级文件为准","赛后回改继承包"
"memory","比赛演示 Gate 17/17","VERIFIED","COMPETITION_DEMO_READY_OFFLINE_ONLY","10_research/competition_convergence/competition_gate_check.json","checks_passed=17、checks_total=17、final_verdict=COMPETITION_DEMO_READY（asm00_external_verdict=ASM00_BLOCKED_BY_MISSING_PARAMETERS 同 JSON 内并置）","8b3cdbdaa09e9048262888f596bacc5a7ec543af55542256e8bce66de15a6200","2026-08-27","离线 DT2 演示链就绪且与装配线解耦","实时/硬件/装配就绪；synthesis §8.4 明确 command_emitted=false、H0/H1/H2 未开始","无 lane 内任务（任何变更自动降级 REPEAT/BLOCKED）","—","yes","no","核心叙事锚","离线回放就绪级","引用时并置 command_emitted=false"
"memory","比赛主叙事脊柱","VERIFIED","SPINE_CAPTURE_TO_SAFE_OFFLINE","01_project/competition/项目现状总览_20260720.md","§四（AR7 仲裁：已闭合链 捕获→可行域→策略→安全门 为主线；装配线做到哪展示到哪；8 月中材料冻结不依赖 Wave A；尚无覆盖 sim10/11/12+SAFE/CTRL/ASM 的统一回放链）","184cacb060fc23319a835f5a27c19ef97c9a145941b6c5b5f9dbb7372fc5e5fc","2026-08-27","唯一比赛叙事脊柱=捕获→可行域→策略→SAFE 离线链","统一回放链存在；装配进主线","统一回放链未建","PI","yes","no","核心叙事","离线脊柱级","09-01 材料沿用该脊柱"
"memory","Sim13 子新父旧（15/20 vs 20/20）","LIMITED","CHILD_RESULT_NEWER__PARENT_GATE_NOT_REISSUED","01_project/competition/Route_C终局Owner系统边界决策包_20260826.md","§2：旧 00_RELEASE_GATE 等保留 15/20 旧快照；较新 SIM13_20_OF_20_GATE_V1 证明 NC registry 20/20、tests 61/61，但 maximum operational state=ABORT_ONLY…MASKED_BY_12_GATE_AUTHORITY；next_stage_authorized=false 与 no-release 结论仍然正确；TMG-6 未重签","9e9a4156c80f558513828597b00d03a9c23fc9f98b0a0322309728da317adabb","2026-08-27","负控/后端 20/20=能安全拒绝错误输入","当前整星可执行抓取；20/20 不得写回 15/20 发布快照","TMG-6 完整重签未做","Owner","yes","no","中（防误读护栏）","负控后端信用级","叙事中 20/20 必须带 ABORT_ONLY 限定"
