net,ref,pin,pinfunction,pintype
/Actual watchdog and contactor driver/RESET_EDGE,U105,6,RESET_Y_6,output
/Actual watchdog and contactor driver/RESET_EDGE,U107,3,1CLK_3,input
/Actual watchdog and contactor driver/RESET_EDGE,U109,2,A_2,input
/Actual watchdog and contactor driver/RESET_N,U109,4,Y_4,output
/Actual watchdog and contactor driver/RESET_N,U111,2,B_2,input
/Actual watchdog and contactor driver/RESET_RC,C102,1,1uF_X7R_16V_10%_1,passive
/Actual watchdog and contactor driver/RESET_RC,R107,2,,passive
/Actual watchdog and contactor driver/RESET_RC,R109,1,100k_1%_1,passive
/Actual watchdog and contactor driver/RESET_RC,U105,1,RESET_A_1,input
/Actual watchdog and contactor driver/RUN_CLEAR_N,U107,13,2CLR_N_13,input
/Actual watchdog and contactor driver/RUN_CLEAR_N,U111,4,Y_4,output
/Actual watchdog and contactor driver/RUN_DRIVE,R111,2,,passive
/Actual watchdog and contactor driver/RUN_DRIVE,R112,1,10k_1%_1,passive
/Actual watchdog and contactor driver/RUN_DRIVE,U112,1,INPUT_1,input
/Actual watchdog and contactor driver/RUN_LATCH,R123,1,47k_1%_1,passive
/Actual watchdog and contactor driver/RUN_LATCH,U107,9,2Q_9,output
/Actual watchdog and contactor driver/RUN_LATCH,U116,2,A_2,input
/Actual watchdog and contactor driver/RUN_LATCH,U119,2,A_2,input
/Actual watchdog and contactor driver/RUN_LEVEL_5V,R111,1,1k_1%_1,passive
/Actual watchdog and contactor driver/RUN_LEVEL_5V,U119,4,Y_4,output
/Actual watchdog and contactor driver/RUN_STATUS_MCU,J102,4,RUN_STATUS_4,passive
/Actual watchdog and contactor driver/RUN_STATUS_MCU,R120,2,,passive
/Actual watchdog and contactor driver/RUN_STATUS_MCU,U116,4,Y_4,open_collector
/Actual watchdog and contactor driver/SAFE_N,U106,4,Y_4,output
/Actual watchdog and contactor driver/SAFE_N,U107,1,1CLR_N_1,input
/Actual watchdog and contactor driver/SAFE_N,U108,1,1CLR_N_1,input
/Actual watchdog and contactor driver/SAFE_N,U111,1,A_1,input
/Actual watchdog and contactor driver/SAFE_N,U117,2,A_2,input
/Actual watchdog and contactor driver/SAFE_STATUS_MCU,J102,5,FAULT_STATUS_N_5,passive
/Actual watchdog and contactor driver/SAFE_STATUS_MCU,R121,2,,passive
/Actual watchdog and contactor driver/SAFE_STATUS_MCU,U117,4,Y_4,open_collector
/Actual watchdog and contactor driver/SENSE_24V,R105,2,,passive
/Actual watchdog and contactor driver/SENSE_24V,R106,1,10k_0.1%_25ppm_1,passive
/Actual watchdog and contactor driver/SENSE_24V,U104,5,SENSE_5,input
/Actual watchdog and contactor driver/START_CONTACT,J103,4,START_NO_RETURN_4,passive
/Actual watchdog and contactor driver/START_CONTACT,R108,1,10k_1%_1,passive
/Actual watchdog and contactor driver/START_EDGE,U105,4,START_Y_4,output
/Actual watchdog and contactor driver/START_EDGE,U107,11,2CLK_11,input
/Actual watchdog and contactor driver/START_RC,C103,1,1uF_X7R_16V_10%_1,passive
/Actual watchdog and contactor driver/START_RC,R108,2,,passive
/Actual watchdog and contactor driver/START_RC,R110,1,100k_1%_1,passive
/Actual watchdog and contactor driver/START_RC,U105,3,START_A_3,input
/Actual watchdog and contactor driver/STOP_5V,C121,1,100nF_X7R_16V_10%_1,passive
/Actual watchdog and contactor driver/STOP_5V,C122,1,1uF_X7R_16V_10%_1,passive
/Actual watchdog and contactor driver/STOP_5V,C129,1,100nF_X7R_16V_10%_1,passive
/Actual watchdog and contactor driver/STOP_5V,J101,2,5V_TEST_OUTPUT_NO_EXT_SUPPLY_2,passive
/Actual watchdog and contactor driver/STOP_5V,R125,1,39R_5%_250ppm/C_2W_1,passive
/Actual watchdog and contactor driver/STOP_5V,U103,5,SENSE_5,input
/Actual watchdog and contactor driver/STOP_5V,U112,3,VDD_TAB_3,power_in
/Actual watchdog and contactor driver/STOP_5V,U119,5,VCC_5,power_in
/Actual watchdog and contactor driver/STOP_5V,U121,3,VOUT_3,power_out
/Actual watchdog and contactor driver/WDI,R103,1,47k_1%_1,passive
/Actual watchdog and contactor driver/WDI,U101,6,WDI_6,input
/Actual watchdog and contactor driver/WDI,U110,2,A_2,input
/Actual watchdog and contactor driver/WDI,U115,4,Y_4,output
/Actual watchdog and contactor driver/WDI_FALL,U108,3,1CLK_3,input
/Actual watchdog and contactor driver/WDI_FALL,U110,4,Y_4,output
WP10_ARM_BUS_PLUS,C301,1,A_1,passive
WP10_ARM_BUS_PLUS,D311,2,K_2,passive
WP10_ARM_BUS_PLUS,D312,2,K_2,passive
WP10_ARM_BUS_PLUS,D313,2,K_2,passive
WP10_ARM_BUS_PLUS,J203,1,ARM_BUS_PLUS_1,passive
WP10_ARM_BUS_PLUS,R305,1,A_1,passive
WP10_ARM_BUS_PLUS,RB301,1,TERMINAL_1_1,passive
WP10_ARM_BUS_PLUS,RB302,1,TERMINAL_1_1,passive
WP10_ARM_BUS_PLUS,RB303,1,TERMINAL_1_1,passive
WP10_ARM_BUS_PLUS,U21,PWR,PWR_PWR,passive
WP10_ARM_BUS_PLUS,U301,10,IN_10,power_in
WP10_ARM_BUS_PLUS,U301,11,IN_11,power_in
WP10_ARM_BUS_PLUS,U301,8,SHDN_8,input
WP10_ARM_BUS_PLUS,U4,VCC_REF,VCC_REF_VCC_REF,passive
WP10_ARM_BUS_PLUS,U7,A1(-),A1(-)_A1(-),passive
WP10_ARM_RETURN,C101,2,,passive
WP10_ARM_RETURN,C102,2,,passive
WP10_ARM_RETURN,C103,2,,passive
WP10_ARM_RETURN,C110,2,,passive
WP10_ARM_RETURN,C111,2,,passive
WP10_ARM_RETURN,C112,2,,passive
WP10_ARM_RETURN,C113,2,,passive
WP10_ARM_RETURN,C114,2,,passive
WP10_ARM_RETURN,C115,2,,passive
WP10_ARM_RETURN,C116,2,,passive
WP10_ARM_RETURN,C117,2,,passive
WP10_ARM_RETURN,C118,2,,passive
WP10_ARM_RETURN,C119,2,,passive
WP10_ARM_RETURN,C120,2,,passive
WP10_ARM_RETURN,C121,2,,passive
WP10_ARM_RETURN,C122,2,,passive
WP10_ARM_RETURN,C123,2,,passive
WP10_ARM_RETURN,C124,2,,passive
WP10_ARM_RETURN,C125,2,,passive
WP10_ARM_RETURN,C126,2,,passive
WP10_ARM_RETURN,C127,2,,passive
WP10_ARM_RETURN,C128,2,,passive
WP10_ARM_RETURN,C129,2,,passive
WP10_ARM_RETURN,C204,2,B_2,passive
WP10_ARM_RETURN,C205,2,B_2,passive
WP10_ARM_RETURN,C206,2,B_2,passive
WP10_ARM_RETURN,C208,2,B_2,passive
WP10_ARM_RETURN,C209,2,B_2,passive
WP10_ARM_RETURN,C210,2,B_2,passive
WP10_ARM_RETURN,C301,2,B_2,passive
WP10_ARM_RETURN,C302,2,B_2,passive
WP10_ARM_RETURN,C303,2,B_2,passive
WP10_ARM_RETURN,C304,2,B_2,passive
WP10_ARM_RETURN,C305,2,B_2,passive
WP10_ARM_RETURN,C306,2,B_2,passive
WP10_ARM_RETURN,C307,2,,passive
WP10_ARM_RETURN,C308,2,,passive
WP10_ARM_RETURN,C311,2,B_2,passive
WP10_ARM_RETURN,C312,2,B_2,passive
WP10_ARM_RETURN,C313,2,B_2,passive
WP10_ARM_RETURN,J101,4,RETURN_4,passive
WP10_ARM_RETURN,J102,3,GND_3,passive
WP10_ARM_RETURN,J203,2,ARM_RETURN_2,passive
WP10_ARM_RETURN,Q101,3,S_3,passive
WP10_ARM_RETURN,Q301,3,S_3,passive
WP10_ARM_RETURN,Q302,3,S_3,passive
WP10_ARM_RETURN,Q303,3,S_3,passive
WP10_ARM_RETURN,R102,2,,passive
WP10_ARM_RETURN,R103,2,,passive
WP10_ARM_RETURN,R106,2,,passive
WP10_ARM_RETURN,R109,2,,passive
WP10_ARM_RETURN,R110,2,,passive
WP10_ARM_RETURN,R112,2,,passive
WP10_ARM_RETURN,R114,2,,passive
WP10_ARM_RETURN,R117,2,,passive
WP10_ARM_RETURN,R118,2,,passive
WP10_ARM_RETURN,R119,2,,passive
WP10_ARM_RETURN,R123,2,,passive
WP10_ARM_RETURN,R124,2,,passive
WP10_ARM_RETURN,R125,2,,passive
WP10_ARM_RETURN,R130,2,,passive
WP10_ARM_RETURN,R302,2,B_2,passive
WP10_ARM_RETURN,R304,2,B_2,passive
WP10_ARM_RETURN,R306,2,B_2,passive
WP10_ARM_RETURN,R309,2,,passive
WP10_ARM_RETURN,R310,2,,passive
WP10_ARM_RETURN,R313,2,B_2,passive
WP10_ARM_RETURN,R316,2,B_2,passive
WP10_ARM_RETURN,R319,2,B_2,passive
WP10_ARM_RETURN,R343,2,B_2,passive
WP10_ARM_RETURN,R346,2,B_2,passive
WP10_ARM_RETURN,R349,2,B_2,passive
WP10_ARM_RETURN,RT311,2,RETURN_2,passive
WP10_ARM_RETURN,RT312,2,RETURN_2,passive
WP10_ARM_RETURN,RT313,2,RETURN_2,passive
WP10_ARM_RETURN,U101,4,GND_4,power_in
WP10_ARM_RETURN,U101,9,EP_9,power_in
WP10_ARM_RETURN,U102,2,GND_2,power_in
WP10_ARM_RETURN,U103,2,GND_2,power_in
WP10_ARM_RETURN,U104,2,GND_2,power_in
WP10_ARM_RETURN,U105,2,GND_2,power_in
WP10_ARM_RETURN,U106,3,GND_3,power_in
WP10_ARM_RETURN,U107,7,GND_7,power_in
WP10_ARM_RETURN,U108,11,2CLK_11,input
WP10_ARM_RETURN,U108,12,2D_12,input
WP10_ARM_RETURN,U108,13,2CLR_N_13,input
WP10_ARM_RETURN,U108,7,GND_7,power_in
WP10_ARM_RETURN,U109,3,GND_3,power_in
WP10_ARM_RETURN,U110,3,GND_3,power_in
WP10_ARM_RETURN,U111,3,GND_3,power_in
WP10_ARM_RETURN,U112,2,GND_2,power_in
WP10_ARM_RETURN,U112,4,GND_4,power_in
WP10_ARM_RETURN,U113,3,GND_3,power_in
WP10_ARM_RETURN,U114,3,GND_3,power_in
WP10_ARM_RETURN,U115,3,GND_3,power_in
WP10_ARM_RETURN,U116,3,GND_3,power_in
WP10_ARM_RETURN,U117,3,GND_3,power_in
WP10_ARM_RETURN,U118,3,GND_3,power_in
WP10_ARM_RETURN,U119,1,OE_N_1,input
WP10_ARM_RETURN,U119,3,GND_3,power_in
WP10_ARM_RETURN,U120,2,GND_2,power_in
WP10_ARM_RETURN,U121,2,GND_2,power_in
WP10_ARM_RETURN,U202,6,-VOUT_6,passive
WP10_ARM_RETURN,U203,5,-VOUT_5,passive
WP10_ARM_RETURN,U203,6,-SENSE_6,passive
WP10_ARM_RETURN,U204,5,OV_5,input
WP10_ARM_RETURN,U204,7,GND_7,power_in
WP10_ARM_RETURN,U21,RET,RET_RET,passive
WP10_ARM_RETURN,U22,J101.4,J101.4_J101.4,passive
WP10_ARM_RETURN,U301,13,GND_EP_13,power_in
WP10_ARM_RETURN,U301,5,GND_5,power_in
WP10_ARM_RETURN,U302,2,GND_2,power_in
WP10_ARM_RETURN,U302,3,INA+_3,input
WP10_ARM_RETURN,U303,4,GND_4,power_in
WP10_ARM_RETURN,U304,2,GND_2,power_in
WP10_ARM_RETURN,U311,2,GND_2,power_in
WP10_ARM_RETURN,U312,2,GND_2,power_in
WP10_ARM_RETURN,U313,2,GND_2,power_in
WP10_ARM_RETURN,U4,RET_REF,RET_REF_RET_REF,passive
WP10_AUX_FUSED,F202,2,B_2,passive
WP10_AUX_FUSED,U202,1,+VIN_1,power_in
WP10_BAT_PROTECTED_PLUS,F201,1,A_1,passive
WP10_BAT_PROTECTED_PLUS,F202,1,A_1,passive
WP10_BAT_PROTECTED_PLUS,J200,1,PROTECTED_PLUS_1,passive
WP10_BRAKE_12V,C302,1,A_1,passive
WP10_BRAKE_12V,C304,1,A_1,passive
WP10_BRAKE_12V,C305,1,A_1,passive
WP10_BRAKE_12V,C308,1,,passive
WP10_BRAKE_12V,R301,1,A_1,passive
WP10_BRAKE_12V,R303,1,A_1,passive
WP10_BRAKE_12V,R304,1,A_1,passive
WP10_BRAKE_12V,R307,1,A_1,passive
WP10_BRAKE_12V,R308,1,,passive
WP10_BRAKE_12V,U301,2,OUT_2,power_out
WP10_BRAKE_12V,U301,3,OUT_3,passive
WP10_BRAKE_12V,U302,5,VDD_5,power_in
WP10_BRAKE_12V,U303,1,V+_1,power_in
WP10_BRAKE_12V,U304,1,EN_1,input
WP10_BRAKE_12V,U304,5,VCC_5,power_in
WP10_BRAKE_BIAS_ADJ,R301,2,B_2,passive
WP10_BRAKE_BIAS_ADJ,R302,1,A_1,passive
WP10_BRAKE_BIAS_ADJ,U301,4,ADJ_4,input
WP10_BRAKE_BIAS_CT,C303,1,A_1,passive
WP10_BRAKE_BIAS_CT,U301,7,CT_7,input
WP10_BRAKE_BIAS_PG,R303,2,B_2,passive
WP10_BRAKE_BIAS_PG,U301,6,PWRGD_6,open_collector
WP10_BRAKE_BIAS_READY,R310,1,,passive
WP10_BRAKE_BIAS_READY,U303,6,IN+_6,input
WP10_BRAKE_BIAS_READY,U304,4,OUT_4,output
WP10_BRAKE_BRANCH_1,D311,1,A1_1,passive
WP10_BRAKE_BRANCH_1,D311,3,A2_3,passive
WP10_BRAKE_BRANCH_1,Q301,2,D_2,passive
WP10_BRAKE_BRANCH_1,RB301,2,TERMINAL_2_2,passive
WP10_BRAKE_BRANCH_2,D312,1,A1_1,passive
WP10_BRAKE_BRANCH_2,D312,3,A2_3,passive
WP10_BRAKE_BRANCH_2,Q302,2,D_2,passive
WP10_BRAKE_BRANCH_2,RB302,2,TERMINAL_2_2,passive
WP10_BRAKE_BRANCH_3,D313,1,A1_1,passive
WP10_BRAKE_BRANCH_3,D313,3,A2_3,passive
WP10_BRAKE_BRANCH_3,Q303,2,D_2,passive
WP10_BRAKE_BRANCH_3,RB303,2,TERMINAL_2_2,passive
WP10_BRAKE_GATE_1,Q301,1,G_1,passive
WP10_BRAKE_GATE_1,R311,2,B_2,passive
WP10_BRAKE_GATE_1,R312,2,B_2,passive
WP10_BRAKE_GATE_1,R313,1,A_1,passive
WP10_BRAKE_GATE_2,Q302,1,G_1,passive
WP10_BRAKE_GATE_2,R314,2,B_2,passive
WP10_BRAKE_GATE_2,R315,2,B_2,passive
WP10_BRAKE_GATE_2,R316,1,A_1,passive
WP10_BRAKE_GATE_3,Q303,1,G_1,passive
WP10_BRAKE_GATE_3,R317,2,B_2,passive
WP10_BRAKE_GATE_3,R318,2,B_2,passive
WP10_BRAKE_GATE_3,R319,1,A_1,passive
WP10_BRAKE_GATE_SINK,R312,1,A_1,passive
WP10_BRAKE_GATE_SINK,R315,1,A_1,passive
WP10_BRAKE_GATE_SINK,R318,1,A_1,passive
WP10_BRAKE_GATE_SINK,U303,3,N_OUT_3,output
WP10_BRAKE_GATE_SOURCE,R311,1,A_1,passive
WP10_BRAKE_GATE_SOURCE,R314,1,A_1,passive
WP10_BRAKE_GATE_SOURCE,R317,1,A_1,passive
WP10_BRAKE_GATE_SOURCE,U303,2,P_OUT_2,output
WP10_BRAKE_OV_DIV,C306,1,A_1,passive
WP10_BRAKE_OV_DIV,R305,2,B_2,passive
WP10_BRAKE_OV_DIV,R306,1,A_1,passive
WP10_BRAKE_OV_DIV,U302,4,INB-_4,input
WP10_BRAKE_OV_N,R307,2,B_2,passive
WP10_BRAKE_OV_N,U302,6,OUTB_6,open_collector
WP10_BRAKE_OV_N,U303,5,IN-_5,input
WP10_BRAKE_READY_DELAY,C307,1,,passive
WP10_BRAKE_READY_DELAY,U304,6,CDELAY_6,passive
WP10_BRAKE_READY_DIV,R308,2,,passive
WP10_BRAKE_READY_DIV,R309,1,,passive
WP10_BRAKE_READY_DIV,U304,3,IN_3,input
WP10_BRAKE_STOP_3V3,C110,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C111,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C112,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C113,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C114,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C115,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C116,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C117,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C118,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C119,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C120,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C123,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C124,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C125,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C126,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C127,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C128,1,100nF_X7R_16V_10%_1,passive
WP10_BRAKE_STOP_3V3,C311,1,A_1,passive
WP10_BRAKE_STOP_3V3,C312,1,A_1,passive
WP10_BRAKE_STOP_3V3,C313,1,A_1,passive
WP10_BRAKE_STOP_3V3,J101,1,3V3_TEST_OUTPUT_NO_EXT_SUPPLY_1,passive
WP10_BRAKE_STOP_3V3,J103,1,RESET_FEED_1,passive
WP10_BRAKE_STOP_3V3,J103,3,START_FEED_3,passive
WP10_BRAKE_STOP_3V3,R101,1,10k_1%_1,passive
WP10_BRAKE_STOP_3V3,R124,1,24R_5%_250ppm/C_2W_1,passive
WP10_BRAKE_STOP_3V3,R341,1,A_1,passive
WP10_BRAKE_STOP_3V3,R344,1,A_1,passive
WP10_BRAKE_STOP_3V3,R347,1,A_1,passive
WP10_BRAKE_STOP_3V3,U101,1,VDD_1,power_in
WP10_BRAKE_STOP_3V3,U101,5,SET1_5,input
WP10_BRAKE_STOP_3V3,U102,3,MR_N_3,input
WP10_BRAKE_STOP_3V3,U102,5,SENSE_5,input
WP10_BRAKE_STOP_3V3,U102,6,VDD_6,power_in
WP10_BRAKE_STOP_3V3,U103,3,MR_N_3,input
WP10_BRAKE_STOP_3V3,U103,6,VDD_6,power_in
WP10_BRAKE_STOP_3V3,U104,3,MR_N_3,input
WP10_BRAKE_STOP_3V3,U104,6,VDD_6,power_in
WP10_BRAKE_STOP_3V3,U105,5,VCC_5,power_in
WP10_BRAKE_STOP_3V3,U106,5,VCC_5,power_in
WP10_BRAKE_STOP_3V3,U107,10,2PRE_N_10,input
WP10_BRAKE_STOP_3V3,U107,14,VCC_14,power_in
WP10_BRAKE_STOP_3V3,U107,4,1PRE_N_4,input
WP10_BRAKE_STOP_3V3,U108,10,2PRE_N_10,input
WP10_BRAKE_STOP_3V3,U108,14,VCC_14,power_in
WP10_BRAKE_STOP_3V3,U108,2,1D_2,input
WP10_BRAKE_STOP_3V3,U108,4,1PRE_N_4,input
WP10_BRAKE_STOP_3V3,U109,5,VCC_5,power_in
WP10_BRAKE_STOP_3V3,U110,5,VCC_5,power_in
WP10_BRAKE_STOP_3V3,U111,5,VCC_5,power_in
WP10_BRAKE_STOP_3V3,U113,5,VCC_5,power_in
WP10_BRAKE_STOP_3V3,U114,5,VCC_5,power_in
WP10_BRAKE_STOP_3V3,U115,5,VCC_5,power_in
WP10_BRAKE_STOP_3V3,U116,5,VCC_5,power_in
WP10_BRAKE_STOP_3V3,U117,5,VCC_5,power_in
WP10_BRAKE_STOP_3V3,U118,5,VCC_5,power_in
WP10_BRAKE_STOP_3V3,U120,3,VOUT_3,power_out
WP10_BRAKE_STOP_3V3,U311,5,VDD_5,power_in
WP10_BRAKE_STOP_3V3,U312,5,VDD_5,power_in
WP10_BRAKE_STOP_3V3,U313,5,VDD_5,power_in
WP10_BRAKE_TEMP_1,R341,2,B_2,passive
WP10_BRAKE_TEMP_1,R342,1,A_1,passive
WP10_BRAKE_TEMP_1,RT311,1,SENSOR_1,passive
WP10_BRAKE_TEMP_1,U311,3,INA+_3,input
WP10_BRAKE_TEMP_2,R344,2,B_2,passive
WP10_BRAKE_TEMP_2,R345,1,A_1,passive
WP10_BRAKE_TEMP_2,RT312,1,SENSOR_1,passive
WP10_BRAKE_TEMP_2,U312,3,INA+_3,input
WP10_BRAKE_TEMP_3,R347,2,B_2,passive
WP10_BRAKE_TEMP_3,R348,1,A_1,passive
WP10_BRAKE_TEMP_3,RT313,1,SENSOR_1,passive
WP10_BRAKE_TEMP_3,U313,3,INA+_3,input
WP10_BRAKE_TEMP_OPEN_1,R342,2,B_2,passive
WP10_BRAKE_TEMP_OPEN_1,R343,1,A_1,passive
WP10_BRAKE_TEMP_OPEN_1,U311,4,INB-_4,input
WP10_BRAKE_TEMP_OPEN_2,R345,2,B_2,passive
WP10_BRAKE_TEMP_OPEN_2,R346,1,A_1,passive
WP10_BRAKE_TEMP_OPEN_2,U312,4,INB-_4,input
WP10_BRAKE_TEMP_OPEN_3,R348,2,B_2,passive
WP10_BRAKE_TEMP_OPEN_3,R349,1,A_1,passive
WP10_BRAKE_TEMP_OPEN_3,U313,4,INB-_4,input
WP10_BRAKE_THERMAL_FAULT_N,R101,2,,passive
WP10_BRAKE_THERMAL_FAULT_N,U101,7,WDO_N_7,open_collector
WP10_BRAKE_THERMAL_FAULT_N,U101,8,ENOUT_8,open_collector
WP10_BRAKE_THERMAL_FAULT_N,U102,1,RESET_N_1,open_collector
WP10_BRAKE_THERMAL_FAULT_N,U103,1,RESET_N_1,open_collector
WP10_BRAKE_THERMAL_FAULT_N,U104,1,RESET_N_1,open_collector
WP10_BRAKE_THERMAL_FAULT_N,U106,2,A_2,input
WP10_BRAKE_THERMAL_FAULT_N,U311,1,OUTA_1,open_collector
WP10_BRAKE_THERMAL_FAULT_N,U311,6,OUTB_6,open_collector
WP10_BRAKE_THERMAL_FAULT_N,U312,1,OUTA_1,open_collector
WP10_BRAKE_THERMAL_FAULT_N,U312,6,OUTB_6,open_collector
WP10_BRAKE_THERMAL_FAULT_N,U313,1,OUTA_1,open_collector
WP10_BRAKE_THERMAL_FAULT_N,U313,6,OUTB_6,open_collector
WP10_CHB_ENABLE,J201,1,CHB_ENABLE_1,passive
WP10_CHB_ENABLE,Q204,3,D_3,passive
WP10_CHB_ENABLE,R219,2,B_2,passive
WP10_CHB_ENABLE,U203,2,NEGATIVE_ENABLE_2,passive
WP10_CHB_ENABLE_GATE,Q204,1,G_1,passive
WP10_CHB_ENABLE_GATE,R217,2,B_2,passive
WP10_CHB_ENABLE_GATE,R218,1,A_1,passive
WP10_CHB_ENABLE_GATE,U206,1,RESET_N_1,open_collector
WP10_CHB_LOCAL_PLUS,C204,1,A_1,passive
WP10_CHB_LOCAL_PLUS,C205,1,A_1,passive
WP10_CHB_LOCAL_PLUS,C208,1,A_1,passive
WP10_CHB_LOCAL_PLUS,Q202,3,S_3,passive
WP10_CHB_LOCAL_PLUS,U203,8,+SENSE_8,passive
WP10_CHB_LOCAL_PLUS,U203,9,+VOUT_9,power_out
WP10_CHB_LOCAL_PLUS,U204,2,A_2,input
WP10_HS_OVLO,R205,2,B_2,passive
WP10_HS_OVLO,R206,1,A_1,passive
WP10_HS_OVLO,U201,4,OVLO_4,input
WP10_HS_PGD,R214,2,B_2,passive
WP10_HS_PGD,R221,1,A_1,passive
WP10_HS_PGD,TP201,1,PGD_1,passive
WP10_HS_PGD,U201,8,PGD_8,open_collector
WP10_HS_POWER_LIMIT,R207,1,A_1,passive
WP10_HS_POWER_LIMIT,U201,7,PWR_7,passive
WP10_HS_TIMER,C201,1,A_1,passive
WP10_HS_TIMER,U201,6,TIMER_6,passive
WP10_HS_UVLO,J202,1,UVLO_1,passive
WP10_HS_UVLO,R203,2,B_2,passive
WP10_HS_UVLO,R204,1,A_1,passive
WP10_HS_UVLO,U201,3,UVLO_3,input
WP10_INPUT_RETURN,C201,2,B_2,passive
WP10_INPUT_RETURN,C202,2,B_2,passive
WP10_INPUT_RETURN,C203,2,MINUS_2,passive
WP10_INPUT_RETURN,C211,2,B_2,passive
WP10_INPUT_RETURN,C212,2,B_2,passive
WP10_INPUT_RETURN,C213,2,B_2,passive
