ref,pin,net,pin_type
U117,4,/Actual watchdog and contactor driver/SAFE_STATUS_MCU,open_collector
R105,2,/Actual watchdog and contactor driver/SENSE_24V,passive
R106,1,/Actual watchdog and contactor driver/SENSE_24V,passive
U104,5,/Actual watchdog and contactor driver/SENSE_24V,input
J103,4,/Actual watchdog and contactor driver/START_CONTACT,passive
R108,1,/Actual watchdog and contactor driver/START_CONTACT,passive
U105,4,/Actual watchdog and contactor driver/START_EDGE,output
U107,11,/Actual watchdog and contactor driver/START_EDGE,input
C103,1,/Actual watchdog and contactor driver/START_RC,passive
R108,2,/Actual watchdog and contactor driver/START_RC,passive
R110,1,/Actual watchdog and contactor driver/START_RC,passive
U105,3,/Actual watchdog and contactor driver/START_RC,input
C121,1,/Actual watchdog and contactor driver/STOP_5V,passive
C122,1,/Actual watchdog and contactor driver/STOP_5V,passive
C129,1,/Actual watchdog and contactor driver/STOP_5V,passive
J101,2,/Actual watchdog and contactor driver/STOP_5V,passive
R125,1,/Actual watchdog and contactor driver/STOP_5V,passive
U103,5,/Actual watchdog and contactor driver/STOP_5V,input
U112,3,/Actual watchdog and contactor driver/STOP_5V,power_in
U119,5,/Actual watchdog and contactor driver/STOP_5V,power_in
U121,3,/Actual watchdog and contactor driver/STOP_5V,power_out
R103,1,/Actual watchdog and contactor driver/WDI,passive
U101,6,/Actual watchdog and contactor driver/WDI,input
U110,2,/Actual watchdog and contactor driver/WDI,input
U115,4,/Actual watchdog and contactor driver/WDI,output
U108,3,/Actual watchdog and contactor driver/WDI_FALL,input
U110,4,/Actual watchdog and contactor driver/WDI_FALL,output
C301,1,WP10_ARM_BUS_PLUS,passive
D311,2,WP10_ARM_BUS_PLUS,passive
D312,2,WP10_ARM_BUS_PLUS,passive
D313,2,WP10_ARM_BUS_PLUS,passive
J203,1,WP10_ARM_BUS_PLUS,passive
R305,1,WP10_ARM_BUS_PLUS,passive
RB301,1,WP10_ARM_BUS_PLUS,passive
RB302,1,WP10_ARM_BUS_PLUS,passive
RB303,1,WP10_ARM_BUS_PLUS,passive
U21,PWR,WP10_ARM_BUS_PLUS,passive
U301,10,WP10_ARM_BUS_PLUS,power_in
U301,11,WP10_ARM_BUS_PLUS,power_in
U301,8,WP10_ARM_BUS_PLUS,input
U4,VCC_REF,WP10_ARM_BUS_PLUS,passive
U7,A1(-),WP10_ARM_BUS_PLUS,passive
C101,2,WP10_ARM_RETURN,passive
C102,2,WP10_ARM_RETURN,passive
C103,2,WP10_ARM_RETURN,passive
C110,2,WP10_ARM_RETURN,passive
C111,2,WP10_ARM_RETURN,passive
C112,2,WP10_ARM_RETURN,passive
C113,2,WP10_ARM_RETURN,passive
C114,2,WP10_ARM_RETURN,passive
C115,2,WP10_ARM_RETURN,passive
C116,2,WP10_ARM_RETURN,passive
C117,2,WP10_ARM_RETURN,passive
C118,2,WP10_ARM_RETURN,passive
C119,2,WP10_ARM_RETURN,passive
C120,2,WP10_ARM_RETURN,passive
C121,2,WP10_ARM_RETURN,passive
C122,2,WP10_ARM_RETURN,passive
C123,2,WP10_ARM_RETURN,passive
C124,2,WP10_ARM_RETURN,passive
C125,2,WP10_ARM_RETURN,passive
C126,2,WP10_ARM_RETURN,passive
C127,2,WP10_ARM_RETURN,passive
C128,2,WP10_ARM_RETURN,passive
C129,2,WP10_ARM_RETURN,passive
C204,2,WP10_ARM_RETURN,passive
C205,2,WP10_ARM_RETURN,passive
C206,2,WP10_ARM_RETURN,passive
C208,2,WP10_ARM_RETURN,passive
C209,2,WP10_ARM_RETURN,passive
C210,2,WP10_ARM_RETURN,passive
C301,2,WP10_ARM_RETURN,passive
C302,2,WP10_ARM_RETURN,passive
C303,2,WP10_ARM_RETURN,passive
C304,2,WP10_ARM_RETURN,passive
C305,2,WP10_ARM_RETURN,passive
C306,2,WP10_ARM_RETURN,passive
C307,2,WP10_ARM_RETURN,passive
C308,2,WP10_ARM_RETURN,passive
C311,2,WP10_ARM_RETURN,passive
C312,2,WP10_ARM_RETURN,passive
C313,2,WP10_ARM_RETURN,passive
J101,4,WP10_ARM_RETURN,passive
J102,3,WP10_ARM_RETURN,passive
J203,2,WP10_ARM_RETURN,passive
Q101,3,WP10_ARM_RETURN,passive
Q301,3,WP10_ARM_RETURN,passive
Q302,3,WP10_ARM_RETURN,passive
Q303,3,WP10_ARM_RETURN,passive
R102,2,WP10_ARM_RETURN,passive
R103,2,WP10_ARM_RETURN,passive
R106,2,WP10_ARM_RETURN,passive
R109,2,WP10_ARM_RETURN,passive
R110,2,WP10_ARM_RETURN,passive
R112,2,WP10_ARM_RETURN,passive
R114,2,WP10_ARM_RETURN,passive
R117,2,WP10_ARM_RETURN,passive
R118,2,WP10_ARM_RETURN,passive
R119,2,WP10_ARM_RETURN,passive
R123,2,WP10_ARM_RETURN,passive
R124,2,WP10_ARM_RETURN,passive
R125,2,WP10_ARM_RETURN,passive
R130,2,WP10_ARM_RETURN,passive
R302,2,WP10_ARM_RETURN,passive
R304,2,WP10_ARM_RETURN,passive
R306,2,WP10_ARM_RETURN,passive
R309,2,WP10_ARM_RETURN,passive
R310,2,WP10_ARM_RETURN,passive
R313,2,WP10_ARM_RETURN,passive
R316,2,WP10_ARM_RETURN,passive
R319,2,WP10_ARM_RETURN,passive
R343,2,WP10_ARM_RETURN,passive
R346,2,WP10_ARM_RETURN,passive
R349,2,WP10_ARM_RETURN,passive
RT311,2,WP10_ARM_RETURN,passive
RT312,2,WP10_ARM_RETURN,passive
RT313,2,WP10_ARM_RETURN,passive
U101,4,WP10_ARM_RETURN,power_in
U101,9,WP10_ARM_RETURN,power_in
U102,2,WP10_ARM_RETURN,power_in
U103,2,WP10_ARM_RETURN,power_in
U104,2,WP10_ARM_RETURN,power_in
U105,2,WP10_ARM_RETURN,power_in
U106,3,WP10_ARM_RETURN,power_in
U107,7,WP10_ARM_RETURN,power_in
U108,11,WP10_ARM_RETURN,input
U108,12,WP10_ARM_RETURN,input
U108,13,WP10_ARM_RETURN,input
U108,7,WP10_ARM_RETURN,power_in
U109,3,WP10_ARM_RETURN,power_in
U110,3,WP10_ARM_RETURN,power_in
U111,3,WP10_ARM_RETURN,power_in
U112,2,WP10_ARM_RETURN,power_in
U112,4,WP10_ARM_RETURN,power_in
U113,3,WP10_ARM_RETURN,power_in
U114,3,WP10_ARM_RETURN,power_in
U115,3,WP10_ARM_RETURN,power_in
U116,3,WP10_ARM_RETURN,power_in
U117,3,WP10_ARM_RETURN,power_in
U118,3,WP10_ARM_RETURN,power_in
U119,1,WP10_ARM_RETURN,input
U119,3,WP10_ARM_RETURN,power_in
U120,2,WP10_ARM_RETURN,power_in
U121,2,WP10_ARM_RETURN,power_in
U202,6,WP10_ARM_RETURN,passive
U203,5,WP10_ARM_RETURN,passive
U203,6,WP10_ARM_RETURN,passive
U204,5,WP10_ARM_RETURN,input
U204,7,WP10_ARM_RETURN,power_in
U21,RET,WP10_ARM_RETURN,passive
U22,J101.4,WP10_ARM_RETURN,passive
U301,13,WP10_ARM_RETURN,power_in
U301,5,WP10_ARM_RETURN,power_in
U302,2,WP10_ARM_RETURN,power_in
U302,3,WP10_ARM_RETURN,input
U303,4,WP10_ARM_RETURN,power_in
U304,2,WP10_ARM_RETURN,power_in
U311,2,WP10_ARM_RETURN,power_in
U312,2,WP10_ARM_RETURN,power_in
U313,2,WP10_ARM_RETURN,power_in
U4,RET_REF,WP10_ARM_RETURN,passive
F202,2,WP10_AUX_FUSED,passive
U202,1,WP10_AUX_FUSED,power_in
F201,1,WP10_BAT_PROTECTED_PLUS,passive
F202,1,WP10_BAT_PROTECTED_PLUS,passive
J200,1,WP10_BAT_PROTECTED_PLUS,passive
J204,1,WP10_BAT_PROTECTED_PLUS,passive
C302,1,WP10_BRAKE_12V,passive
C304,1,WP10_BRAKE_12V,passive
C305,1,WP10_BRAKE_12V,passive
C308,1,WP10_BRAKE_12V,passive
R301,1,WP10_BRAKE_12V,passive
R303,1,WP10_BRAKE_12V,passive
R304,1,WP10_BRAKE_12V,passive
R307,1,WP10_BRAKE_12V,passive
R308,1,WP10_BRAKE_12V,passive
U301,2,WP10_BRAKE_12V,power_out
U301,3,WP10_BRAKE_12V,passive
U302,5,WP10_BRAKE_12V,power_in
U303,1,WP10_BRAKE_12V,power_in
U304,1,WP10_BRAKE_12V,input
U304,5,WP10_BRAKE_12V,power_in
R301,2,WP10_BRAKE_BIAS_ADJ,passive
R302,1,WP10_BRAKE_BIAS_ADJ,passive
U301,4,WP10_BRAKE_BIAS_ADJ,input
C303,1,WP10_BRAKE_BIAS_CT,passive
U301,7,WP10_BRAKE_BIAS_CT,input
R303,2,WP10_BRAKE_BIAS_PG,passive
U301,6,WP10_BRAKE_BIAS_PG,open_collector
R310,1,WP10_BRAKE_BIAS_READY,passive
U303,6,WP10_BRAKE_BIAS_READY,input
U304,4,WP10_BRAKE_BIAS_READY,output
D311,1,WP10_BRAKE_BRANCH_1,passive
D311,3,WP10_BRAKE_BRANCH_1,passive
Q301,2,WP10_BRAKE_BRANCH_1,passive
RB301,2,WP10_BRAKE_BRANCH_1,passive
D312,1,WP10_BRAKE_BRANCH_2,passive
D312,3,WP10_BRAKE_BRANCH_2,passive
Q302,2,WP10_BRAKE_BRANCH_2,passive
RB302,2,WP10_BRAKE_BRANCH_2,passive
D313,1,WP10_BRAKE_BRANCH_3,passive
D313,3,WP10_BRAKE_BRANCH_3,passive
Q303,2,WP10_BRAKE_BRANCH_3,passive
RB303,2,WP10_BRAKE_BRANCH_3,passive
Q301,1,WP10_BRAKE_GATE_1,passive
R311,2,WP10_BRAKE_GATE_1,passive
R312,2,WP10_BRAKE_GATE_1,passive
R313,1,WP10_BRAKE_GATE_1,passive
Q302,1,WP10_BRAKE_GATE_2,passive
R314,2,WP10_BRAKE_GATE_2,passive
R315,2,WP10_BRAKE_GATE_2,passive
R316,1,WP10_BRAKE_GATE_2,passive
Q303,1,WP10_BRAKE_GATE_3,passive
R317,2,WP10_BRAKE_GATE_3,passive
R318,2,WP10_BRAKE_GATE_3,passive
R319,1,WP10_BRAKE_GATE_3,passive
R312,1,WP10_BRAKE_GATE_SINK,passive
R315,1,WP10_BRAKE_GATE_SINK,passive
R318,1,WP10_BRAKE_GATE_SINK,passive
U303,3,WP10_BRAKE_GATE_SINK,output
R311,1,WP10_BRAKE_GATE_SOURCE,passive
R314,1,WP10_BRAKE_GATE_SOURCE,passive
R317,1,WP10_BRAKE_GATE_SOURCE,passive
U303,2,WP10_BRAKE_GATE_SOURCE,output
C306,1,WP10_BRAKE_OV_DIV,passive
R305,2,WP10_BRAKE_OV_DIV,passive
R306,1,WP10_BRAKE_OV_DIV,passive
U302,4,WP10_BRAKE_OV_DIV,input
R307,2,WP10_BRAKE_OV_N,passive
U302,6,WP10_BRAKE_OV_N,open_collector
U303,5,WP10_BRAKE_OV_N,input
C307,1,WP10_BRAKE_READY_DELAY,passive
U304,6,WP10_BRAKE_READY_DELAY,passive
R308,2,WP10_BRAKE_READY_DIV,passive
R309,1,WP10_BRAKE_READY_DIV,passive
U304,3,WP10_BRAKE_READY_DIV,input
C110,1,WP10_BRAKE_STOP_3V3,passive
C111,1,WP10_BRAKE_STOP_3V3,passive
C112,1,WP10_BRAKE_STOP_3V3,passive
C113,1,WP10_BRAKE_STOP_3V3,passive
C114,1,WP10_BRAKE_STOP_3V3,passive
C115,1,WP10_BRAKE_STOP_3V3,passive
C116,1,WP10_BRAKE_STOP_3V3,passive
C117,1,WP10_BRAKE_STOP_3V3,passive
C118,1,WP10_BRAKE_STOP_3V3,passive
C119,1,WP10_BRAKE_STOP_3V3,passive
C120,1,WP10_BRAKE_STOP_3V3,passive
C123,1,WP10_BRAKE_STOP_3V3,passive
C124,1,WP10_BRAKE_STOP_3V3,passive
C125,1,WP10_BRAKE_STOP_3V3,passive
C126,1,WP10_BRAKE_STOP_3V3,passive
C127,1,WP10_BRAKE_STOP_3V3,passive
C128,1,WP10_BRAKE_STOP_3V3,passive
C311,1,WP10_BRAKE_STOP_3V3,passive
C312,1,WP10_BRAKE_STOP_3V3,passive
C313,1,WP10_BRAKE_STOP_3V3,passive
J101,1,WP10_BRAKE_STOP_3V3,passive
J103,1,WP10_BRAKE_STOP_3V3,passive
J103,3,WP10_BRAKE_STOP_3V3,passive
R101,1,WP10_BRAKE_STOP_3V3,passive
R124,1,WP10_BRAKE_STOP_3V3,passive
R341,1,WP10_BRAKE_STOP_3V3,passive
R344,1,WP10_BRAKE_STOP_3V3,passive
R347,1,WP10_BRAKE_STOP_3V3,passive
U101,1,WP10_BRAKE_STOP_3V3,power_in
U101,5,WP10_BRAKE_STOP_3V3,input
U102,3,WP10_BRAKE_STOP_3V3,input
U102,5,WP10_BRAKE_STOP_3V3,input
U102,6,WP10_BRAKE_STOP_3V3,power_in
U103,3,WP10_BRAKE_STOP_3V3,input
U103,6,WP10_BRAKE_STOP_3V3,power_in
U104,3,WP10_BRAKE_STOP_3V3,input
U104,6,WP10_BRAKE_STOP_3V3,power_in
U105,5,WP10_BRAKE_STOP_3V3,power_in
U106,5,WP10_BRAKE_STOP_3V3,power_in
U107,10,WP10_BRAKE_STOP_3V3,input
U107,14,WP10_BRAKE_STOP_3V3,power_in
U107,4,WP10_BRAKE_STOP_3V3,input
U108,10,WP10_BRAKE_STOP_3V3,input
U108,14,WP10_BRAKE_STOP_3V3,power_in
U108,2,WP10_BRAKE_STOP_3V3,input
U108,4,WP10_BRAKE_STOP_3V3,input
U109,5,WP10_BRAKE_STOP_3V3,power_in
U110,5,WP10_BRAKE_STOP_3V3,power_in
U111,5,WP10_BRAKE_STOP_3V3,power_in
U113,5,WP10_BRAKE_STOP_3V3,power_in
U114,5,WP10_BRAKE_STOP_3V3,power_in
U115,5,WP10_BRAKE_STOP_3V3,power_in
U116,5,WP10_BRAKE_STOP_3V3,power_in
U117,5,WP10_BRAKE_STOP_3V3,power_in
U118,5,WP10_BRAKE_STOP_3V3,power_in
U120,3,WP10_BRAKE_STOP_3V3,power_out
U311,5,WP10_BRAKE_STOP_3V3,power_in
U312,5,WP10_BRAKE_STOP_3V3,power_in
U313,5,WP10_BRAKE_STOP_3V3,power_in
R341,2,WP10_BRAKE_TEMP_1,passive
R342,1,WP10_BRAKE_TEMP_1,passive
RT311,1,WP10_BRAKE_TEMP_1,passive
U311,3,WP10_BRAKE_TEMP_1,input
R344,2,WP10_BRAKE_TEMP_2,passive
R345,1,WP10_BRAKE_TEMP_2,passive
RT312,1,WP10_BRAKE_TEMP_2,passive
U312,3,WP10_BRAKE_TEMP_2,input
R347,2,WP10_BRAKE_TEMP_3,passive
R348,1,WP10_BRAKE_TEMP_3,passive
RT313,1,WP10_BRAKE_TEMP_3,passive
U313,3,WP10_BRAKE_TEMP_3,input
R342,2,WP10_BRAKE_TEMP_OPEN_1,passive
R343,1,WP10_BRAKE_TEMP_OPEN_1,passive
U311,4,WP10_BRAKE_TEMP_OPEN_1,input
R345,2,WP10_BRAKE_TEMP_OPEN_2,passive
R346,1,WP10_BRAKE_TEMP_OPEN_2,passive
U312,4,WP10_BRAKE_TEMP_OPEN_2,input
R348,2,WP10_BRAKE_TEMP_OPEN_3,passive
R349,1,WP10_BRAKE_TEMP_OPEN_3,passive
U313,4,WP10_BRAKE_TEMP_OPEN_3,input
R101,2,WP10_BRAKE_THERMAL_FAULT_N,passive
U101,7,WP10_BRAKE_THERMAL_FAULT_N,open_collector
U101,8,WP10_BRAKE_THERMAL_FAULT_N,open_collector
U102,1,WP10_BRAKE_THERMAL_FAULT_N,open_collector
U103,1,WP10_BRAKE_THERMAL_FAULT_N,open_collector
U104,1,WP10_BRAKE_THERMAL_FAULT_N,open_collector
U106,2,WP10_BRAKE_THERMAL_FAULT_N,input
U311,1,WP10_BRAKE_THERMAL_FAULT_N,open_collector
U311,6,WP10_BRAKE_THERMAL_FAULT_N,open_collector
U312,1,WP10_BRAKE_THERMAL_FAULT_N,open_collector
U312,6,WP10_BRAKE_THERMAL_FAULT_N,open_collector
U313,1,WP10_BRAKE_THERMAL_FAULT_N,open_collector
U313,6,WP10_BRAKE_THERMAL_FAULT_N,open_collector
J201,1,WP10_CHB_ENABLE,passive
Q204,3,WP10_CHB_ENABLE,passive
R219,2,WP10_CHB_ENABLE,passive
U203,2,WP10_CHB_ENABLE,passive
Q204,1,WP10_CHB_ENABLE_GATE,passive
R217,2,WP10_CHB_ENABLE_GATE,passive
R218,1,WP10_CHB_ENABLE_GATE,passive
U206,1,WP10_CHB_ENABLE_GATE,open_collector
C204,1,WP10_CHB_LOCAL_PLUS,passive
C205,1,WP10_CHB_LOCAL_PLUS,passive
C208,1,WP10_CHB_LOCAL_PLUS,passive
Q202,3,WP10_CHB_LOCAL_PLUS,passive
U203,8,WP10_CHB_LOCAL_PLUS,passive
U203,9,WP10_CHB_LOCAL_PLUS,power_out
U204,2,WP10_CHB_LOCAL_PLUS,input
R205,2,WP10_HS_OVLO,passive
R206,1,WP10_HS_OVLO,passive
U201,4,WP10_HS_OVLO,input
R214,2,WP10_HS_PGD,passive
R221,1,WP10_HS_PGD,passive
TP201,1,WP10_HS_PGD,passive
U201,8,WP10_HS_PGD,open_collector
R207,1,WP10_HS_POWER_LIMIT,passive
U201,7,WP10_HS_POWER_LIMIT,passive
C201,1,WP10_HS_TIMER,passive
U201,6,WP10_HS_TIMER,passive
J202,1,WP10_HS_UVLO,passive
R203,2,WP10_HS_UVLO,passive
R204,1,WP10_HS_UVLO,passive
U201,3,WP10_HS_UVLO,input
C201,2,WP10_INPUT_RETURN,passive
C202,2,WP10_INPUT_RETURN,passive
C203,2,WP10_INPUT_RETURN,passive
C211,2,WP10_INPUT_RETURN,passive
C212,2,WP10_INPUT_RETURN,passive
C213,2,WP10_INPUT_RETURN,passive
D201,1,WP10_INPUT_RETURN,passive
D202,1,WP10_INPUT_RETURN,passive
J200,2,WP10_INPUT_RETURN,passive
J201,2,WP10_INPUT_RETURN,passive
J202,2,WP10_INPUT_RETURN,passive
J205,1,WP10_INPUT_RETURN,passive
J207,1,WP10_INPUT_RETURN,passive
Q204,2,WP10_INPUT_RETURN,passive
R204,2,WP10_INPUT_RETURN,passive
R206,2,WP10_INPUT_RETURN,passive
R207,2,WP10_INPUT_RETURN,passive
R212,2,WP10_INPUT_RETURN,passive
R213,2,WP10_INPUT_RETURN,passive
R216,2,WP10_INPUT_RETURN,passive
R218,2,WP10_INPUT_RETURN,passive
R220,2,WP10_INPUT_RETURN,passive
U201,5,WP10_INPUT_RETURN,power_in
U202,2,WP10_INPUT_RETURN,power_in
U203,4,WP10_INPUT_RETURN,power_in
U205,13,WP10_INPUT_RETURN,power_in
U205,5,WP10_INPUT_RETURN,power_in
U205,7,WP10_INPUT_RETURN,passive
U206,2,WP10_INPUT_RETURN,power_in
U1,X1.TFM.1,WP10_LEGACY_051,passive
U1,X1.TFM.3,WP10_LEGACY_051,passive
U11,BLOCKED_POS,WP10_LEGACY_051,passive
U1,X1.TFM.10,WP10_LEGACY_052,passive
U1,X1.TFM.12,WP10_LEGACY_052,passive
U13,RET,WP10_LEGACY_052,passive
U1,X1.TFM.11,WP10_LEGACY_053,passive
U1,X1.TFM.9,WP10_LEGACY_053,passive
U13,BLOCKED_POS,WP10_LEGACY_053,passive
U1,X1.TFM.13,WP10_LEGACY_054,passive
U1,X1.TFM.15,WP10_LEGACY_054,passive
U14,BLOCKED_POS,WP10_LEGACY_054,passive
U1,X1.TFM.14,WP10_LEGACY_055,passive
U1,X1.TFM.16,WP10_LEGACY_055,passive
U14,RET,WP10_LEGACY_055,passive
U1,X1.TFM.17,WP10_LEGACY_056,passive
U1,X1.TFM.19,WP10_LEGACY_056,passive
U1,X1.TFM.21,WP10_LEGACY_056,passive
U1,X1.TFM.23,WP10_LEGACY_056,passive
U15,BLOCKED_POS,WP10_LEGACY_056,passive
U1,X1.TFM.18,WP10_LEGACY_057,passive
U1,X1.TFM.20,WP10_LEGACY_057,passive
U1,X1.TFM.22,WP10_LEGACY_057,passive
U1,X1.TFM.24,WP10_LEGACY_057,passive
U15,RET,WP10_LEGACY_057,passive
U1,X1.TFM.2,WP10_LEGACY_058,passive
U1,X1.TFM.4,WP10_LEGACY_058,passive
U11,RET,WP10_LEGACY_058,passive
U1,X1.TFM.25,WP10_LEGACY_059,passive
U1,X1.TFM.27,WP10_LEGACY_059,passive
U1,X1.TFM.29,WP10_LEGACY_059,passive
U16,BLOCKED_POS,WP10_LEGACY_059,passive
U1,X1.TFM.26,WP10_LEGACY_060,passive
U1,X1.TFM.28,WP10_LEGACY_060,passive
U1,X1.TFM.30,WP10_LEGACY_060,passive
U16,RET,WP10_LEGACY_060,passive
U1,X1.TFM.5,WP10_LEGACY_061,passive
U1,X1.TFM.7,WP10_LEGACY_061,passive
U12,BLOCKED_POS,WP10_LEGACY_061,passive
U1,X1.TFM.6,WP10_LEGACY_062,passive
U1,X1.TFM.8,WP10_LEGACY_062,passive
U12,RET,WP10_LEGACY_062,passive
U2,PBAT2.1,WP10_LEGACY_063,power_out
U5,P4.5,WP10_LEGACY_063,passive
U2,PBAT2.10,WP10_LEGACY_064,passive
U5,P5.4,WP10_LEGACY_064,passive
U2,PBAT2.11,WP10_LEGACY_065,passive
U5,P5.3,WP10_LEGACY_065,passive
U2,PBAT2.12,WP10_LEGACY_066,passive
U5,P5.1,WP10_LEGACY_066,passive
U2,PBAT2.2,WP10_LEGACY_067,passive
U5,P4.6,WP10_LEGACY_067,passive
U2,PBAT2.3,WP10_LEGACY_068,passive
U5,P4.7,WP10_LEGACY_068,passive
U2,PBAT2.4,WP10_LEGACY_069,passive
U5,P4.8,WP10_LEGACY_069,passive
U2,PBAT2.5,WP10_LEGACY_070,power_out
U5,P4.1,WP10_LEGACY_070,passive
U2,PBAT2.6,WP10_LEGACY_071,passive
U5,P4.2,WP10_LEGACY_071,passive
U2,PBAT2.7,WP10_LEGACY_072,passive
U5,P4.3,WP10_LEGACY_072,passive
U2,PBAT2.8,WP10_LEGACY_073,passive
U5,P4.4,WP10_LEGACY_073,passive
U2,PBAT2.9,WP10_LEGACY_074,passive
U5,P5.2,WP10_LEGACY_074,passive
U21,H,WP10_LEGACY_075,passive
U3,H,WP10_LEGACY_075,passive
U4,CANH_REF,WP10_LEGACY_075,passive
U21,L,WP10_LEGACY_076,passive
U3,L,WP10_LEGACY_076,passive
U4,CANL_REF,WP10_LEGACY_076,passive
U5,P14.6,WP10_LEGACY_077,passive
U6,RBF_JUMPER,WP10_LEGACY_077,passive
U5,P14.7,WP10_LEGACY_078,passive
U6,DEARM_JUMPER,WP10_LEGACY_078,passive
J105,2,WP10_LEGACY_079,passive
R115,1,WP10_LEGACY_079,passive
U22,J105.2,WP10_LEGACY_079,passive
U7,T1,WP10_LEGACY_079,passive
J104,2,WP10_LEGACY_080,passive
Q101,2,WP10_LEGACY_080,passive
U22,J104.2,WP10_LEGACY_080,passive
U7,X2(-),WP10_LEGACY_080,passive
U8,P1.1,WP10_LEGACY_081,power_in
U9,TFM.10,WP10_LEGACY_081,power_out
