category,artifact,path,status,sha256,claim_limit
master_skeleton,Stage A native reference geometry,02_MASTER_SKELETON/B51R1_MASTER_SKELETON_V2_STAGE_A_RECOVERY.SLDPRT,PASS_NATIVE_REFERENCE_GEOMETRY_SAME_SESSION_REOPEN,5DEBE5AF52A896CDC3818ADD645725A8E758DB4E5D76F46E3067F9FAA7B5C76B,no final Master Skeleton or cold-process reopen credit
master_skeleton,Stage A readback,02_MASTER_SKELETON/B51R1_MASTER_SKELETON_V2_STAGE_A_READBACK.json,PASS_16_OF_16_FEATURES_3_CONFIGS_ZERO_SOLID_ZERO_EXTERNAL_REFS,7537D17F87EA55911160B63615F590AB235ACB04F51AA797B72F8F2C891D4967,same visible session read-only reopen only
master_skeleton,Stage A readback progress,02_MASTER_SKELETON/B51R1_MASTER_SKELETON_V2_STAGE_A_READBACK_PROGRESS.log,PASS_COMPLETE,1A33A23E4C7808D55DA226661D6B8AE8F0A08516F37ACCF1AD95EEC34C31A55A,readback trace only
master_skeleton,Stage A native builder source,02_MASTER_SKELETON/B51R1_MasterSkeletonNativeBuilder.cs,EXECUTED_STAGE_A_ONLY,035B57437C804E90E9A685BDDEFC8D8BC525683AD83A0138383A6BA21940C185,authoring tool only
master_skeleton,Stage A native builder assembly,02_MASTER_SKELETON/B51R1_MasterSkeletonNativeBuilder.dll,EXECUTED_STAGE_A_ONLY,D24B28D6BBF056213D5A7A97AEF0A2EFD8CAFEE8DCE3047B43EBF102A64F4EAF,authoring tool only
master_skeleton,Stage A readback source,02_MASTER_SKELETON/B51R1_MasterSkeletonStageAReadback.cs,EXECUTED,B45B6796B579C9B6BCC60A0A83B6C7D626429944E7142A29E81C37DE2F47808C,readback tool only
master_skeleton,Stage A readback assembly,02_MASTER_SKELETON/B51R1_MasterSkeletonStageAReadback.dll,EXECUTED,5A4907267A583A25417058BFA57E35467F4AF3165456531397D2EF75740384E4,readback tool only
master_skeleton,Stage B entity-driven builder source,02_MASTER_SKELETON/B51R1_MasterSkeletonStageBBuilder.cs,EXECUTED_HUNG_FAIL_CLOSED,28E12E603097874ABEDF23C7646801D1EE98733592F38DCE7F32243C684CB399,no coordinate-system credit
master_skeleton,Stage B entity-driven builder assembly,02_MASTER_SKELETON/B51R1_MasterSkeletonStageBBuilder.dll,EXECUTED_HUNG_FAIL_CLOSED,23FFD95D46F5E6B582C6B06D686512271B80F28B2D48D400884104F18E424C2C,no coordinate-system credit
master_skeleton,Stage B progress log,02_MASTER_SKELETON/B51R1_MASTER_SKELETON_V2_STAGE_B_BUILD_PROGRESS.log,STOPS_AT_BEGIN_ADD_CS_SPACECRAFT_BODY,5D26B05CB5A675898B98BB65F1E78E6D25982E0D7F53F093A8E29D0CE80A843E,hang localization only
verification,Stage B coordinate API hang incident,07_VERIFICATION/B51R1_MASTER_SKELETON_V2_STAGE_B_COORDINATE_API_HANG_INCIDENT_20260729.json,FAIL_CLOSED,4655C1F553BAD4CF4CA8D568330EC97F462274D3572938063B1CE865C07ACB71,incident and containment evidence only
master_skeleton,single-coordinate diagnostic offline verification,02_MASTER_SKELETON/B51R1_INSERT_COORDINATE_SYSTEM_DIAGNOSTIC_OFFLINE_VERIFICATION.json,HISTORICAL_SUPERSEDED_BY_BLANK_PART_SCOPE,3DD17CBC176D70C7BE8B5F73F7B5DE8866C57CB8343EB49821D4F045A5E71671,offline toolchain readiness only
master_skeleton,single-coordinate diagnostic source,02_MASTER_SKELETON/B51R1_InsertCoordinateSystemSingleDiagnostic.cs,HISTORICAL_SUPERSEDED_BY_BLANK_PART_SCOPE,79A570FC9C9C54E5CE7936AD2BCA693CE9FAFFCA73BF8BF39F26B2BCC8EBABAE,disposable Stage A copy only
master_skeleton,single-coordinate diagnostic assembly,02_MASTER_SKELETON/B51R1_InsertCoordinateSystemSingleDiagnostic.dll,HISTORICAL_SUPERSEDED_BY_BLANK_PART_SCOPE,891E4106F6C7AF9F792C8E72FB5073147558EE9776840840E4B516E7675A5BD5,no native coordinate-system credit
master_skeleton,single-coordinate runner source,02_MASTER_SKELETON/B51R1_InsertCoordinateSystemDiagnosticRunner.cs,HISTORICAL_SUPERSEDED_BY_BLANK_PART_SCOPE,26EE03E12DC7EAF86EC36A06CE0A3623DA99A91FBE72F44157488A037BBB2633,attach-only runner does not launch SolidWorks
master_skeleton,single-coordinate runner executable,02_MASTER_SKELETON/B51R1_InsertCoordinateSystemDiagnosticRunner.exe,HISTORICAL_SUPERSEDED_BY_BLANK_PART_SCOPE,3DB1F0929941673BFDF5ACDBB7AAE7AC08C2CB25661E30839B979CCE13F0FC01,attach-only runner does not launch SolidWorks
master_skeleton,single-coordinate offline verifier,02_MASTER_SKELETON/B51R1_VerifyInsertCoordinateSystemDiagnosticOffline.ps1,HISTORICAL_SUPERSEDED_BY_BLANK_PART_SCOPE,2C80CD1D18F4B0FA674A19ACE839ED40DEB2F73C88B3949A679CE80048E00AB5,does not launch SolidWorks
diagnostic,blank-part single-coordinate CAD brief,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_SINGLE_CS_DIAGNOSTIC_CAD_BRIEF.md,CURRENT_SCOPE_CONTRACT,747D02C828F8DF01FC093FF6F8D5222E7F42DF0EB6A9006C7E2B2F9EB371C81D,blank disposable part only
diagnostic,blank-part diagnostic source,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_BlankSingleCsDiagnostic.cs,EXECUTED_FAIL_CLOSED_FIRST_LAUNCH,4FF43B167922FF172056DB06AF9DE055192ABB6664106B862DB62A0EBD337D96,tool source only no native authoring release
diagnostic,blank-part diagnostic assembly,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_BlankSingleCsDiagnostic.dll,EXECUTED_FAIL_CLOSED_FIRST_LAUNCH,98F579A30A6D778FB9AD0F3FCEDC20597E62CE4202D2F156255573184000BDEC,tool assembly only no native authoring release
diagnostic,blank-part runner source,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_BlankSingleCsDiagnosticRunner.cs,EXECUTED_FAIL_CLOSED_FIRST_LAUNCH,2FEF6C081EF985591730F2C44B66FB5254FB4B5231DF8EB834C094F577D4B07A,attach-only runner source
diagnostic,blank-part runner executable,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_BlankSingleCsDiagnosticRunner.exe,EXECUTED_FAIL_CLOSED_FIRST_LAUNCH,CAE15531D88D66349F604400FA89307EEFDFBF6CF514AE104C7A722DC35AA472,attach-only runner executable
diagnostic,blank-part offline verifier,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_VerifyBlankSingleCsDiagnosticOffline.ps1,PASS_OFFLINE,6E17A46098BBD497A743C1867C9D3F71666ACCE8D98F821E40C14DA3A183355E,does not launch SolidWorks
verification,blank-part tool offline verification,07_VERIFICATION/B51R1_SINGLE_CS_DIAGNOSTIC_TOOL_OFFLINE_VERIFICATION.json,PASS_OFFLINE_COMPILE_REFLECTION_STATIC_ATTACH_ONLY_CHECKS,CC72FDB4C0C29D5451CE1CB25A85ECCAEC44C1C7899D0F12BFAD35B6E4D3F19E,offline readiness only
diagnostic,single-coordinate cold-reopen CAD brief,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_SINGLE_CS_COLD_REOPEN_CAD_BRIEF.md,EXECUTED_SCOPE_CONTRACT,26515C73806B70B2E1CD390BB8773735924494605431969DD3F29CE9AA56BB4B,cold-reopen fixed-target contract only
diagnostic,single-coordinate cold-reopen core source,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_SingleCsColdReopen.cs,EXECUTED_ATTACH_ONLY_COLD_REOPEN_PASS,EC7B42125DEAEFDAFF4F6E156CE01DEE4A543D93F9DBA8246DD58F26A8B24F9B,tool source only no native authoring release
diagnostic,single-coordinate cold-reopen runner source,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_SingleCsColdReopenRunner.cs,EXECUTED_ATTACH_ONLY_COLD_REOPEN_PASS,E121B33578B7620CD3F7F208FCCF5A05624098193A8B77BDB14A1093B329CCC8,attach-only runner source
diagnostic,single-coordinate cold-reopen core assembly,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_SingleCsColdReopen.Core.dll,EXECUTED_ATTACH_ONLY_COLD_REOPEN_PASS,AAEF8D5A3AA16637AFB097DAB7F9B5951A8B578F5F1FCEC733838001230211C4,tool assembly only no native authoring release
diagnostic,single-coordinate cold-reopen runner executable,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_SingleCsColdReopenRunner.exe,EXECUTED_ATTACH_ONLY_COLD_REOPEN_PASS,DBFD9D8859C74E04FD2E7085E0427721BBE9CCBD9ECB56DA9053FE1B8D484F90,attach-only runner executable
diagnostic,single-coordinate cold-reopen offline verifier,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_VerifySingleCsColdReopenOffline.ps1,PASS_OFFLINE,294E7E604B6F18A31B07D16E5107FF34D30FF9CFCB9621CB181C1BD65C60033F,does not launch or attach SolidWorks
verification,cold-reopen tool offline verification V1,07_VERIFICATION/B51R1_SINGLE_CS_COLD_REOPEN_TOOL_OFFLINE_VERIFICATION.json,HISTORICAL_SUPERSEDED_BY_R2,5EEDAFAC6B080322F1D19A7C2189E35CCCCAF6F74F403C7BB7F9CD2C176F8712,offline toolchain readiness only
verification,cold-reopen tool offline verification R2,07_VERIFICATION/B51R1_SINGLE_CS_COLD_REOPEN_TOOL_OFFLINE_VERIFICATION_R2.json,PASS_OFFLINE_TOOL_READY_PRE_RUNTIME,A5A3FAB4AA69A80C7003DA2D48BC4CA7714021F2AD4E3A5200E21FC2729540C5,offline readiness only runtime pass proven separately
diagnostic,blank single-coordinate diagnostic part,00_BASELINE/DIAGNOSTIC_ONLY/B51R1_SINGLE_CS_DIAGNOSTIC_COPY.SLDPRT,SAVED_SINGLE_COORDINATE_SYSTEM_PERSISTENCE_PASS_CONTROLLED_RESERIALIZATION,D55277E924B56F76EFA3682C7628B8FE841172792280E0FE57CDE4A90E3A4ABD,diagnostic persistence only no final Master Skeleton credit
verification,single-coordinate first-launch receipt,07_VERIFICATION/B51R1_SINGLE_CS_DIAGNOSTIC_FIRST_LAUNCH_RECEIPT.json,FAIL_CLOSED_FIRST_LAUNCH,20666BD9B09B5DD6480E4D9ABE25934813524BCA90FA76656C724E9CEFCDAFC4,immutable first-launch receipt no full diagnostic pass
verification,single-coordinate first-launch transform,07_VERIFICATION/B51R1_SINGLE_CS_DIAGNOSTIC_TRANSFORM_FIRST_LAUNCH.json,TRANSFORM_IDENTITY_CONFIRMED_DURING_POSTSAVE_RECOVERY_COLD_REOPEN_PENDING,CE593DD8F9937EEBA9295D602855B99C4075AA8F8859691B38C25935CA8449CC,same-process post-save evidence only
verification,single-coordinate formal gate,07_VERIFICATION/B51R1_SINGLE_CS_DIAGNOSTIC_GATE.json,SINGLE_COORDINATE_SYSTEM_PERSISTENCE_PASS,6D0C27E154E3F1ACA150EA35B2A945EC257D1CB2898A06AB5AC9448A9AF3EC5E,diagnostic persistence only native authoring requires separate authorization
verification,single-coordinate formal transform,07_VERIFICATION/B51R1_SINGLE_CS_DIAGNOSTIC_TRANSFORM.json,SINGLE_COORDINATE_SYSTEM_PERSISTENCE_PASS,C6BFBC3BA85711C4D1EBC6596D6CA92774CDBF7B7352FE561E0986314A2B7104,identity transform persistence only no downstream credit
verification,single-coordinate runtime incident,07_VERIFICATION/B51R1_SINGLE_CS_DIAGNOSTIC_RUNTIME_INCIDENT_20260730.json,CLOSED_AS_EVIDENCE_INCIDENT_WITH_DIAGNOSTIC_GATE_HOLD,083BD990743DC567A8F850BBB575D61E0C7C385C53E42BB6E05B6B828CA5F390,incident consolidation only
review,single-coordinate diagnostic log,08_REVIEWS/B51R1_SINGLE_CS_DIAGNOSTIC_LOG.md,CURRENT_EVIDENCE_LOG_SINGLE_CS_PERSISTENCE_PASS,70B800D2A7155DAA21E5227370AC497F6CD233FC620C472933B1AC87E4CD9D7F,reader-facing diagnostic evidence log no native authoring release
verification,single-coordinate recovery attempt 1 fail receipt,07_VERIFICATION/B51R1_SINGLE_CS_DIAGNOSTIC_POSTSAVE_RECOVERY_FAIL_CLOSED.json,FAIL_CLOSED_POSTSAVE_RECOVERY,C90DE72AD2809E21A098A631BEAE40167DA0E18581EC025DBE8BD2892CF0B989,no diagnostic pass credit
verification,single-coordinate recovery attempt 2 fail receipt,07_VERIFICATION/B51R1_SINGLE_CS_DIAGNOSTIC_POSTSAVE_RECOVERY_ATTEMPT_002_FAIL_CLOSED.json,FAIL_CLOSED_POSTSAVE_RECOVERY_ATTEMPT_002,366349154B2E7FFACD7F825F897CC7E108020AA686FE5743039BA9FC2DDD659B,no diagnostic pass credit
verification,single-coordinate cold-reopen transform,07_VERIFICATION/B51R1_SINGLE_CS_DIAGNOSTIC_TRANSFORM_COLD_REOPEN.json,SINGLE_COORDINATE_SYSTEM_PERSISTENCE_PASS,3BCA317E99629143326020FBCF7D5923680E9E1196A1A423FFEAFA062403C731,exactly one identity CoordSys and zero external references only
verification,single-coordinate cold-reopen receipt,07_VERIFICATION/B51R1_SINGLE_CS_DIAGNOSTIC_COLD_REOPEN_RECEIPT.json,SINGLE_COORDINATE_SYSTEM_PERSISTENCE_PASS,534316819A07D7204764511A4732C99C172311CE26935156AF6AE129DA06CA0D,immutable runtime receipt diagnostic persistence only
review,single-coordinate cold-reopen progress,08_REVIEWS/B51R1_SINGLE_CS_DIAGNOSTIC_COLD_REOPEN_PROGRESS.log,PASS_COMPLETE,24A7ABC64C53492B8B4A014627874F2045539BB3D723073F4D794D1BEE646B2D,runtime trace only
carrier,neutral q0 topology witness,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_Q0_STEP_WITNESS_R2.step,PASS_DETERMINISTIC_WITH_VISUAL_REVIEW_HOLD,9A411E3DA94774C230BA9A7FBAC5F832E99333233E2193CE383998A0C3BE7602,q0 frame topology axis only
carrier,neutral witness gate,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_Q0_STEP_WITNESS_R2_GATE.json,PASS_DETERMINISTIC_WITH_VISUAL_REVIEW_HOLD,89911414FC88C635F69EC355DB6A0AF1D516AF5674210D53EC6AFFCB6AA9E2E2,no native mate or T005 credit
verification,q0 R2 snapshot visual review,07_VERIFICATION/B51R1_CARRIER_Q0_R2_SNAPSHOT_VISUAL_REVIEW_20260730.json,PASS_RENDER_LEGIBILITY_WITH_ENGINEERING_CREDIT_HOLD,C2FCBB9962E13C545484BC1423F071292E63E3BD3E827BC55EB4AF4D13C06F51,render legibility only no native motion interference dimensional H10 T005 or physical credit
carrier,current native architecture contract,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_ARCHITECTURE_CONTRACT.md,CONTRACT_READY_NATIVE_NOT_CREATED,3998412F0FEF3DD6E0305877A4D72831A176DF6538764576608A8510B8D29112,contract only no native motion H10 or T005 credit
carrier,offline configuration consistency gate,04_CONFIGURATION/B51R1_CARRIER_CONFIGURATION_OFFLINE_CONSISTENCY_GATE.json,PASS_OFFLINE_CONFIGURATION_CONSISTENCY_NATIVE_CAD_NOT_CREATED,2A82C41D2E49121D374B496FEEB34FA03E7C57BA85B8EF6782B95AC5D4B4F736,offline contract register and mapping only
carrier,carrier register,04_CONFIGURATION/B51R1_CARRIER_REGISTER.csv,PASS_10_LINK_ROWS_NATIVE_PROPERTIES_PLANNED,D3FD0BA28BAD9F4E0819DCDABD157903921126485BE7BAEA4ACA2B781C41D8FC,properties not written to SLDPRT
carrier,URDF carrier frame mapping,04_CONFIGURATION/B51R1_URDF_CARRIER_FRAME_MAPPING.yaml,PASS_10_CARRIERS_9_JOINTS_6R_1_FIXED_2_INDEPENDENT_P,4D5488A1A95F0CF052194908C6D8F3C79417F4FFA6EC3D06CB598D19AA19EB43,mapping only no native motion credit
control_handoff,mechanics-control handoff contract,04_CONFIGURATION/B51R1_MECH_CONTROL_HANDOFF_CONTRACT.yaml,ABSENT_VERIFIED_NOT_RELEASED,NOT_APPLICABLE_ABSENT,no mechanics-control handoff credit
control_handoff,joint actuation parameter register,04_CONFIGURATION/B51R1_JOINT_ACTUATION_PARAMETER_REGISTER.csv,ABSENT_VERIFIED_NOT_RELEASED,NOT_APPLICABLE_ABSENT,no actuator parameter release credit
control_handoff,joint zero sign limit register,04_CONFIGURATION/B51R1_JOINT_ZERO_SIGN_LIMIT_REGISTER.yaml,ABSENT_VERIFIED_NOT_RELEASED,NOT_APPLICABLE_ABSENT,no joint convention release credit
control_handoff,sensor frame register,04_CONFIGURATION/B51R1_SENSOR_FRAME_REGISTER.yaml,ABSENT_VERIFIED_NOT_RELEASED,NOT_APPLICABLE_ABSENT,no sensor frame release credit
control_handoff,base interface compliance,04_CONFIGURATION/B51R1_BASE_INTERFACE_COMPLIANCE.yaml,ABSENT_VERIFIED_NOT_RELEASED,NOT_APPLICABLE_ABSENT,no compliance model release credit
control_handoff,stow release state machine,04_CONFIGURATION/B51R1_STOW_RELEASE_STATE_MACHINE.yaml,ABSENT_VERIFIED_NOT_RELEASED,NOT_APPLICABLE_ABSENT,no stow-release logic release credit
control_handoff,collision model mapping,04_CONFIGURATION/B51R1_COLLISION_MODEL_MAPPING.yaml,ABSENT_VERIFIED_NOT_RELEASED,NOT_APPLICABLE_ABSENT,no collision model release credit
control_handoff,control model validation matrix,04_CONFIGURATION/B51R1_CONTROL_MODEL_VALIDATION_MATRIX.csv,ABSENT_VERIFIED_NOT_RELEASED,NOT_APPLICABLE_ABSENT,no control validation release credit
carrier,native carrier parts,03_CAD/10_KINEMATIC_CARRIERS/*.SLDPRT,ABSENT_VERIFIED_0_OF_10,NOT_APPLICABLE_ABSENT,no native carrier credit
carrier,native carrier assembly,03_CAD/10_KINEMATIC_CARRIERS/*.SLDASM,ABSENT_VERIFIED,NOT_APPLICABLE_ABSENT,no native carrier assembly credit
carrier,native carrier-chain assembly,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_CHAIN_NATIVE.SLDASM,ABSENT_VERIFIED,NOT_APPLICABLE_ABSENT,no carrier-chain motion or T005 credit
interface_adapter,trade decision,03_CAD/30_INTERFACE_ADAPTER/B51R1_INTERFACE_TRADE_DECISION.json,TRADE_FRAME_READY_WEIGHTED_SCORE_DISABLED_NO_DOWNSELECT,03D8C9826673CD4B05D1C603EA439E58826996FCDE0F057C0BBF8E062F9C2DDE,no concept selected no detailed authoring release
interface_adapter,concept trade matrix,03_CAD/30_INTERFACE_ADAPTER/B51R1_INTERFACE_CONCEPT_TRADE_MATRIX.csv,TRADE_FRAME_READY_NO_SCORE_NO_RANK_NO_DOWNSELECT,FCBCFFB9B8DC2BEF6A776957A8C0356F83CAF9250DFDA16109568506A4D5A6E3,no adapter G07 G08 H10 or load-path credit
master_skeleton,final native Master Skeleton,02_MASTER_SKELETON/B51R1_MASTER_SKELETON_V2.SLDPRT,ABSENT_VERIFIED_HOLD,NOT_APPLICABLE_ABSENT,Stage B and final Master Skeleton hold
assembly,native articulated B601,03_CAD/20_B601_NATIVE_ARTICULATED/B51R1_B601_NATIVE_ARTICULATED.SLDASM,ABSENT_VERIFIED,NOT_APPLICABLE_ABSENT,no articulation or T005 credit
assembly,top native integration,03_CAD/90_TOP_INTEGRATION/B51R1_SPACE_EMBODIED_ROBOT_INTEGRATION.SLDASM,ABSENT_VERIFIED,NOT_APPLICABLE_ABSENT,no integration credit
h10,current status,05_H10/B51R1_H10_PHASE1_STATUS_CURRENT.json,H10_OPEN_0_OF_28,DC25010418B6A49D619C149B60BA2DB9435E5B251EC10FF163240D636C6F6440,no H10 row closed
t005,current readiness,06_T005/B51R1_T005_EXECUTION_READINESS_CURRENT.json,NOT_READY_T005_A_B_C_NOT_RUN,8E43C9DFE82AF1EC5572E1916E7265717505688143D743C5A4466852E576B7F4,no T005 credit
verification,Phase 1 intermediate gate,07_VERIFICATION/B51R1_PHASE1_INTERMEDIATE_GATE_20260729.json,INTERMEDIATE_GATE_SINGLE_CS_PERSISTENCE_PASS_NATIVE_AUTHORING_SEPARATE_AUTHORIZATION_HOLD,D0D0BEA077F4967BFDCA1091869A611D5C49C05DD4F761808693943B5B9E4FFD,native articulation not accepted
delivery,intermediate progress report,09_DELIVERY/B51R1_PHASE1_INTERMEDIATE_PROGRESS_REPORT_20260729.md,CURRENT_SINGLE_CS_PERSISTENCE_PASS_NATIVE_AUTHORING_SEPARATE_AUTHORIZATION_HOLD,D851691C2634F4936E15B7FD64754FE3B96A5E1B750F66309BFF93194E11C119,reader-facing status only
delivery,current mechanical visual gallery,09_DELIVERY/B51R1_PHASE1_CURRENT_MECHANICAL_VISUAL_GALLERY_20260730.md,CURRENT_REFERENCE_AND_SINGLE_CS_PERSISTENCE_EVIDENCE_LAYERED,122C0319BEF58D28BB18A9214925288772ED9EAA547E9000E25C3A408BDD5D36,visual status handoff only no native assembly or drawing credit
delivery,Phase 2 mechanical engineering execution map,09_DELIVERY/B51R1_PHASE2_MECHANICAL_ENGINEERING_EXECUTION_MAP_20260801.md,B51R1_PHASE2_MECHANICAL_ENGINEERING_EXECUTION_MAP_PREPARED_NOT_AUTHORIZED,722773988310A166EE8F006E16C2D1B934D82E68A35B35734AB83EDF8CA3AB90,execution map only no native CAD or downstream Gate credit
delivery,Phase 2A start package README,09_DELIVERY/B51R1_PHASE2A_NATIVE_SKELETON_CARRIER_START_PACKAGE_20260801/README.md,PREPARED_NOT_AUTHORIZED,774E863B751B2DEF924C1479AF577CC61E0657C3CA4D60C38077979A6AD17C31,offline handoff only G1 decisions and S01 authorization still required
delivery,Phase 2A Codex execution prompt,09_DELIVERY/B51R1_PHASE2A_NATIVE_SKELETON_CARRIER_START_PACKAGE_20260801/CODEX_B51R1_PHASE2A_NATIVE_SKELETON_CARRIER_EXECUTION_PROMPT.md,PREPARED_NOT_AUTHORIZED,7599E50F1F5B74B14185501F3044A08C9D2442A096F7B0FD7A5DF0E9588B0DD0,cannot self-authorize or create native CAD
authorization,Phase 2A authorization boundary,09_DELIVERY/B51R1_PHASE2A_NATIVE_SKELETON_CARRIER_START_PACKAGE_20260801/B51R1_PHASE2A_AUTHORIZATION.yaml,G1_HOLD_VISIBLE_LAUNCHES_0,45AAA8C12A09B0E0445790D71E76F0FF44AD33F83EFAEFAA97B02D0D0446CE0B,S01 through S06 remain not authorized
baseline,Phase 2A input lock,09_DELIVERY/B51R1_PHASE2A_NATIVE_SKELETON_CARRIER_START_PACKAGE_20260801/B51R1_PHASE2A_INPUT_LOCK.json,LOCKED_FOR_OFFLINE_REVIEW_ONLY,8DB237A74E7EA132BF1A9C836F6FDCA92B9A3382DB149C662DE2DE4332F2F905,no native-authoring release
engineering,Phase 2 datum reconciliation,09_DELIVERY/B51R1_PHASE2A_NATIVE_SKELETON_CARRIER_START_PACKAGE_20260801/B51R1_PHASE2_DATUM_RECONCILIATION.yaml,HUMAN_DECISION_REQUIRED,326BCB98B70128C167EFEE1C7AEEB314195A0CF3655F300F359CBB4BEB2EEA92,101.65 105.65 110.15 and 113.15 semantics remain unresolved
engineering,Phase 2 feature naming freeze,09_DELIVERY/B51R1_PHASE2A_NATIVE_SKELETON_CARRIER_START_PACKAGE_20260801/B51R1_PHASE2_FEATURE_NAMING_FREEZE.yaml,HUMAN_FREEZE_REQUIRED,7AF7C1F8FC74841A9A5C378FB0B21BD5435275975EEDE206BC005713F66619EB,six feature-name families require adjudication
engineering,Phase 2 acceptance tolerance authority,09_DELIVERY/B51R1_PHASE2A_NATIVE_SKELETON_CARRIER_START_PACKAGE_20260801/B51R1_PHASE2_ACCEPTANCE_TOLERANCE_AUTHORITY.yaml,TBD_HOLD,54807A45451C79DE8BD811CDF0566B9ECD09E0952B3FF85EDFAA5E28EEC2D19B,numeric acceptance limits are not guessed
delivery,Phase 2A expected artifact manifest,09_DELIVERY/B51R1_PHASE2A_NATIVE_SKELETON_CARRIER_START_PACKAGE_20260801/B51R1_PHASE2A_EXPECTED_ARTIFACT_MANIFEST.csv,29_EXPECTED_0_CREATED,31C99FD1569A82ACBC81DB86BE98AEE1601D386906E2D59C014E186040A632D6,future native artifacts only no current CAD credit
