wire_id,active,from_endpoint,from_ref_pin,from_MPN,from_housing,from_contact,to_endpoint,to_ref_pin,to_MPN,to_housing,to_contact,net,identity,voltage_V,current_A,wire_MPN,AWG,cut_length_mm,cut_tolerance_mm,strip_start_mm,strip_end_mm,shield,shield_termination,protection,missing_fields,source,manufacturing_release
A12,False,U1.R-,U23.R-,,,,RB1.B,U18.B,,,,unconnected-(U23-PadR-),RETIRED_NO_REUSE,,,,,,,,,,,,[],"[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""A12""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
C01,True,CAN.H,U3.H,,,,SEP.H,U21.H,,,,WP10_LEGACY_075,OEM_ARM_HARNESS_RETAINED_PIN_CAVITY_UNBOUND,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""C01""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
C02,True,CAN.L,U3.L,,,,SEP.L,U21.L,,,,WP10_LEGACY_076,OEM_ARM_HARNESS_RETAINED_PIN_CAVITY_UNBOUND,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""C02""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
C03,True,SEP.H,U21.H,,,,DM.CANH_REF,U4.CANH_REF,,,,WP10_LEGACY_075,OEM_ARM_HARNESS_RETAINED_PIN_CAVITY_UNBOUND,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""C03""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
C04,True,SEP.L,U21.L,,,,DM.CANL_REF,U4.CANL_REF,,,,WP10_LEGACY_076,OEM_ARM_HARNESS_RETAINED_PIN_CAVITY_UNBOUND,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""C04""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
L01,True,PDU.TFM.9,U9.TFM.9,,SFSD-15-28-G-03.00-S,,OBC.P1.2,U8.P1.2,,510210400,500798000,WP10_LEGACY_082,GROUND_OBC_P1_SHORT_LEAD_CANDIDATE,3.3,,,28,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""L01""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
L02,True,PDU.TFM.10,U9.TFM.10,,SFSD-15-28-G-03.00-S,,OBC.P1.1,U8.P1.1,,510210400,500798000,WP10_LEGACY_081,GROUND_OBC_P1_SHORT_LEAD_CANDIDATE,3.3,,,28,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""L02""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
S01,True,RS_A.orange,U19.orange,,,,RS_B.yellow,U20.yellow,,,,WP10_LEGACY_084,GROUND_RS422_SPLICE_NETWORK_NOT_SINGLE_CUT_WIRE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""S01""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
S02,True,RS_A.red,U19.red,,,,RS_B.white,U20.white,,,,WP10_LEGACY_085,GROUND_RS422_SPLICE_NETWORK_NOT_SINGLE_CUT_WIRE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""S02""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
S03,True,RS_A.yellow,U19.yellow,,,,RS_B.orange,U20.orange,,,,WP10_LEGACY_087,GROUND_RS422_SPLICE_NETWORK_NOT_SINGLE_CUT_WIRE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""S03""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
S04,True,RS_A.white,U19.white,,,,RS_B.red,U20.red,,,,WP10_LEGACY_086,GROUND_RS422_SPLICE_NETWORK_NOT_SINGLE_CUT_WIRE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""S04""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
S05,True,RS_A.black,U19.black,,,,RS_B.black,U20.black,,,,WP10_LEGACY_083,GROUND_RS422_SPLICE_NETWORK_NOT_SINGLE_CUT_WIRE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""S05""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
BP01,True,BPX.PBAT2.1,U2.PBAT2.1,,,,DOCK.P4.5,U5.P4.5,,,,WP10_LEGACY_063,ORBIT_EPS_INTERFACE_REQUIREMENT_NOT_GROUND_ENERGISED,,,,,,,,,,,RAW battery outputs lack short-circuit protection in cited BPX contract; harness protection remains open,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""BP01""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
BP02,True,BPX.PBAT2.2,U2.PBAT2.2,,,,DOCK.P4.6,U5.P4.6,,,,WP10_LEGACY_067,ORBIT_EPS_INTERFACE_REQUIREMENT_NOT_GROUND_ENERGISED,,,,,,,,,,,RAW battery outputs lack short-circuit protection in cited BPX contract; harness protection remains open,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""BP02""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
BP03,True,BPX.PBAT2.3,U2.PBAT2.3,,,,DOCK.P4.7,U5.P4.7,,,,WP10_LEGACY_068,ORBIT_EPS_INTERFACE_REQUIREMENT_NOT_GROUND_ENERGISED,,,,,,,,,,,RAW battery outputs lack short-circuit protection in cited BPX contract; harness protection remains open,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""BP03""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
