endpoint,ref,pin,net,pinfunction,pintype
R313.2,R313,2,WP10_ARM_RETURN,B_2,passive
R316.2,R316,2,WP10_ARM_RETURN,B_2,passive
R319.2,R319,2,WP10_ARM_RETURN,B_2,passive
R343.2,R343,2,WP10_ARM_RETURN,B_2,passive
R346.2,R346,2,WP10_ARM_RETURN,B_2,passive
R349.2,R349,2,WP10_ARM_RETURN,B_2,passive
RT311.2,RT311,2,WP10_ARM_RETURN,RETURN_2,passive
RT312.2,RT312,2,WP10_ARM_RETURN,RETURN_2,passive
RT313.2,RT313,2,WP10_ARM_RETURN,RETURN_2,passive
U101.4,U101,4,WP10_ARM_RETURN,GND_4,power_in
U101.9,U101,9,WP10_ARM_RETURN,EP_9,power_in
U102.2,U102,2,WP10_ARM_RETURN,GND_2,power_in
U103.2,U103,2,WP10_ARM_RETURN,GND_2,power_in
U104.2,U104,2,WP10_ARM_RETURN,GND_2,power_in
U105.2,U105,2,WP10_ARM_RETURN,GND_2,power_in
U106.3,U106,3,WP10_ARM_RETURN,GND_3,power_in
U107.7,U107,7,WP10_ARM_RETURN,GND_7,power_in
U108.11,U108,11,WP10_ARM_RETURN,2CLK_11,input
U108.12,U108,12,WP10_ARM_RETURN,2D_12,input
U108.13,U108,13,WP10_ARM_RETURN,2CLR_N_13,input
U108.7,U108,7,WP10_ARM_RETURN,GND_7,power_in
U109.3,U109,3,WP10_ARM_RETURN,GND_3,power_in
U110.3,U110,3,WP10_ARM_RETURN,GND_3,power_in
U111.3,U111,3,WP10_ARM_RETURN,GND_3,power_in
U112.2,U112,2,WP10_ARM_RETURN,GND_2,power_in
U113.3,U113,3,WP10_ARM_RETURN,GND_3,power_in
U114.3,U114,3,WP10_ARM_RETURN,GND_3,power_in
U115.3,U115,3,WP10_ARM_RETURN,GND_3,power_in
U116.3,U116,3,WP10_ARM_RETURN,GND_3,power_in
U117.3,U117,3,WP10_ARM_RETURN,GND_3,power_in
U118.3,U118,3,WP10_ARM_RETURN,GND_3,power_in
U119.3,U119,3,WP10_ARM_RETURN,GND_3,power_in
U120.2,U120,2,WP10_ARM_RETURN,GND_2,power_in
U121.2,U121,2,WP10_ARM_RETURN,GND_2,power_in
U202.6,U202,6,WP10_ARM_RETURN,-VOUT_6,passive
U203.5,U203,5,WP10_ARM_RETURN,-VOUT_5,passive
U203.6,U203,6,WP10_ARM_RETURN,-SENSE_6,passive
U204.5,U204,5,WP10_ARM_RETURN,OV_5,input
U204.7,U204,7,WP10_ARM_RETURN,GND_7,power_in
U21.RET,U21,RET,WP10_ARM_RETURN,RET_RET,passive
U22.J101.4,U22,J101.4,WP10_ARM_RETURN,J101.4_J101.4,passive
U301.13,U301,13,WP10_ARM_RETURN,GND_EP_13,power_in
U301.5,U301,5,WP10_ARM_RETURN,GND_5,power_in
U302.2,U302,2,WP10_ARM_RETURN,GND_2,power_in
U302.3,U302,3,WP10_ARM_RETURN,INA+_3,input
U303.4,U303,4,WP10_ARM_RETURN,GND_4,power_in
U304.2,U304,2,WP10_ARM_RETURN,GND_2,power_in
U311.2,U311,2,WP10_ARM_RETURN,GND_2,power_in
U312.2,U312,2,WP10_ARM_RETURN,GND_2,power_in
U313.2,U313,2,WP10_ARM_RETURN,GND_2,power_in
U4.RET_REF,U4,RET_REF,WP10_ARM_RETURN,RET_REF_RET_REF,passive
C218.1,C218,1,WP10_AUX_CTR,,passive
U208.9,U208,9,WP10_AUX_CTR,CTR_9,input
C216.1,C216,1,WP10_AUX_DVDT,,passive
U207.12,U207,12,WP10_AUX_DVDT,dVdT_12,passive
C214.1,C214,1,WP10_AUX_FUSED,,passive
D207.2,D207,2,WP10_AUX_FUSED,A2_2,passive
F202.2,F202,2,WP10_AUX_FUSED,B_2,passive
J208.1,J208,1,WP10_AUX_FUSED,+_1,passive
U207.1,U207,1,WP10_AUX_FUSED,IN_1,power_in
U207.2,U207,2,WP10_AUX_FUSED,IN_2,passive
R223.1,R223,1,WP10_AUX_ILIM,,passive
U207.11,U207,11,WP10_AUX_ILIM,ILIM_11,passive
C215.1,C215,1,WP10_AUX_LIMITED,,passive
C219.1,C219,1,WP10_AUX_LIMITED,,passive
D208.1,D208,1,WP10_AUX_LIMITED,K_1,passive
D209.2,D209,2,WP10_AUX_LIMITED,A_2,passive
J209.1,J209,1,WP10_AUX_LIMITED,+_1,passive
R225.1,R225,1,WP10_AUX_LIMITED,,passive
U202.1,U202,1,WP10_AUX_LIMITED,+VIN_1,power_in
U207.15,U207,15,WP10_AUX_LIMITED,OUT_15,passive
U207.16,U207,16,WP10_AUX_LIMITED,OUT_16,power_out
U209.10,U209,10,WP10_AUX_LIMITED,IN_10,power_in
U209.11,U209,11,WP10_AUX_LIMITED,IN_11,power_in
U209.8,U209,8,WP10_AUX_LIMITED,SHDN_8,input
R224.1,R224,1,WP10_AUX_MODE,,passive
U207.6,U207,6,WP10_AUX_MODE,MODE_6,input
C216.2,C216,2,WP10_AUX_PROTECT_RTN,,passive
J210.2,J210,2,WP10_AUX_PROTECT_RTN,RETURN_2,passive
R223.2,R223,2,WP10_AUX_PROTECT_RTN,,passive
R224.2,R224,2,WP10_AUX_PROTECT_RTN,,passive
U207.17,U207,17,WP10_AUX_PROTECT_RTN,EP_RTN_17,passive
U207.3,U207,3,WP10_AUX_PROTECT_RTN,UVLO_3,input
U207.5,U207,5,WP10_AUX_PROTECT_RTN,OVP_5,input
U207.8,U207,8,WP10_AUX_PROTECT_RTN,RTN_8,passive
R229.2,R229,2,WP10_AUX_REMOTE_ADJ,,passive
R230.1,R230,1,WP10_AUX_REMOTE_ADJ,,passive
U209.4,U209,4,WP10_AUX_REMOTE_ADJ,ADJ_4,input
C220.1,C220,1,WP10_AUX_REMOTE_BIAS,,passive
D210.2,D210,2,WP10_AUX_REMOTE_BIAS,A_2,passive
R227.1,R227,1,WP10_AUX_REMOTE_BIAS,,passive
R229.1,R229,1,WP10_AUX_REMOTE_BIAS,,passive
R231.1,R231,1,WP10_AUX_REMOTE_BIAS,,passive
U209.2,U209,2,WP10_AUX_REMOTE_BIAS,OUT_2,power_out
U209.3,U209,3,WP10_AUX_REMOTE_BIAS,OUT_3,passive
J210.1,J210,1,WP10_AUX_RESET,+_1,passive
U207.7,U207,7,WP10_AUX_RESET,SHDN_7,input
C217.1,C217,1,WP10_AUX_SEQ_VDD,,passive
D209.1,D209,1,WP10_AUX_SEQ_VDD,K_1,passive
D210.1,D210,1,WP10_AUX_SEQ_VDD,K_1,passive
U208.1,U208,1,WP10_AUX_SEQ_VDD,VDD_1,power_in
R225.2,R225,2,WP10_AUX_UV_SENSE,,passive
R226.1,R226,1,WP10_AUX_UV_SENSE,,passive
U208.3,U208,3,WP10_AUX_UV_SENSE,SENSE_3,input
F201.1,F201,1,WP10_BAT_PROTECTED_PLUS,A_1,passive
F202.1,F202,1,WP10_BAT_PROTECTED_PLUS,A_1,passive
J200.1,J200,1,WP10_BAT_PROTECTED_PLUS,PROTECTED_PLUS_1,passive
J204.1,J204,1,WP10_BAT_PROTECTED_PLUS,Pin_1_1,passive
C302.1,C302,1,WP10_BRAKE_12V,A_1,passive
C304.1,C304,1,WP10_BRAKE_12V,A_1,passive
C305.1,C305,1,WP10_BRAKE_12V,A_1,passive
C308.1,C308,1,WP10_BRAKE_12V,,passive
R301.1,R301,1,WP10_BRAKE_12V,A_1,passive
R303.1,R303,1,WP10_BRAKE_12V,A_1,passive
R304.1,R304,1,WP10_BRAKE_12V,A_1,passive
R307.1,R307,1,WP10_BRAKE_12V,A_1,passive
R308.1,R308,1,WP10_BRAKE_12V,,passive
U301.2,U301,2,WP10_BRAKE_12V,OUT_2,power_out
U301.3,U301,3,WP10_BRAKE_12V,OUT_3,passive
U302.5,U302,5,WP10_BRAKE_12V,VDD_5,power_in
U303.1,U303,1,WP10_BRAKE_12V,V+_1,power_in
U304.1,U304,1,WP10_BRAKE_12V,EN_1,input
U304.5,U304,5,WP10_BRAKE_12V,VCC_5,power_in
R301.2,R301,2,WP10_BRAKE_BIAS_ADJ,B_2,passive
R302.1,R302,1,WP10_BRAKE_BIAS_ADJ,A_1,passive
U301.4,U301,4,WP10_BRAKE_BIAS_ADJ,ADJ_4,input
C303.1,C303,1,WP10_BRAKE_BIAS_CT,A_1,passive
U301.7,U301,7,WP10_BRAKE_BIAS_CT,CT_7,input
R303.2,R303,2,WP10_BRAKE_BIAS_PG,B_2,passive
U301.6,U301,6,WP10_BRAKE_BIAS_PG,PWRGD_6,open_collector
R310.1,R310,1,WP10_BRAKE_BIAS_READY,,passive
U303.6,U303,6,WP10_BRAKE_BIAS_READY,IN+_6,input
U304.4,U304,4,WP10_BRAKE_BIAS_READY,OUT_4,output
D311.1,D311,1,WP10_BRAKE_BRANCH_1,A1_1,passive
D311.3,D311,3,WP10_BRAKE_BRANCH_1,A2_3,passive
Q301.2,Q301,2,WP10_BRAKE_BRANCH_1,D_2,passive
RB301.2,RB301,2,WP10_BRAKE_BRANCH_1,TERMINAL_2_2,passive
D312.1,D312,1,WP10_BRAKE_BRANCH_2,A1_1,passive
D312.3,D312,3,WP10_BRAKE_BRANCH_2,A2_3,passive
Q302.2,Q302,2,WP10_BRAKE_BRANCH_2,D_2,passive
RB302.2,RB302,2,WP10_BRAKE_BRANCH_2,TERMINAL_2_2,passive
D313.1,D313,1,WP10_BRAKE_BRANCH_3,A1_1,passive
D313.3,D313,3,WP10_BRAKE_BRANCH_3,A2_3,passive
Q303.2,Q303,2,WP10_BRAKE_BRANCH_3,D_2,passive
RB303.2,RB303,2,WP10_BRAKE_BRANCH_3,TERMINAL_2_2,passive
Q301.1,Q301,1,WP10_BRAKE_GATE_1,G_1,passive
R311.2,R311,2,WP10_BRAKE_GATE_1,B_2,passive
R312.2,R312,2,WP10_BRAKE_GATE_1,B_2,passive
R313.1,R313,1,WP10_BRAKE_GATE_1,A_1,passive
Q302.1,Q302,1,WP10_BRAKE_GATE_2,G_1,passive
R314.2,R314,2,WP10_BRAKE_GATE_2,B_2,passive
R315.2,R315,2,WP10_BRAKE_GATE_2,B_2,passive
R316.1,R316,1,WP10_BRAKE_GATE_2,A_1,passive
Q303.1,Q303,1,WP10_BRAKE_GATE_3,G_1,passive
R317.2,R317,2,WP10_BRAKE_GATE_3,B_2,passive
R318.2,R318,2,WP10_BRAKE_GATE_3,B_2,passive
R319.1,R319,1,WP10_BRAKE_GATE_3,A_1,passive
R312.1,R312,1,WP10_BRAKE_GATE_SINK,A_1,passive
R315.1,R315,1,WP10_BRAKE_GATE_SINK,A_1,passive
R318.1,R318,1,WP10_BRAKE_GATE_SINK,A_1,passive
U303.3,U303,3,WP10_BRAKE_GATE_SINK,N_OUT_3,output
R311.1,R311,1,WP10_BRAKE_GATE_SOURCE,A_1,passive
R314.1,R314,1,WP10_BRAKE_GATE_SOURCE,A_1,passive
R317.1,R317,1,WP10_BRAKE_GATE_SOURCE,A_1,passive
U303.2,U303,2,WP10_BRAKE_GATE_SOURCE,P_OUT_2,output
C306.1,C306,1,WP10_BRAKE_OV_DIV,A_1,passive
R305.2,R305,2,WP10_BRAKE_OV_DIV,B_2,passive
R306.1,R306,1,WP10_BRAKE_OV_DIV,A_1,passive
U302.4,U302,4,WP10_BRAKE_OV_DIV,INB-_4,input
R307.2,R307,2,WP10_BRAKE_OV_N,B_2,passive
U302.6,U302,6,WP10_BRAKE_OV_N,OUTB_6,open_collector
U303.5,U303,5,WP10_BRAKE_OV_N,IN-_5,input
C307.1,C307,1,WP10_BRAKE_READY_DELAY,,passive
U304.6,U304,6,WP10_BRAKE_READY_DELAY,CDELAY_6,passive
R308.2,R308,2,WP10_BRAKE_READY_DIV,,passive
R309.1,R309,1,WP10_BRAKE_READY_DIV,,passive
U304.3,U304,3,WP10_BRAKE_READY_DIV,IN_3,input
C110.1,C110,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C112.1,C112,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C113.1,C113,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C114.1,C114,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C115.1,C115,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C116.1,C116,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C117.1,C117,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C118.1,C118,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C119.1,C119,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C120.1,C120,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C123.1,C123,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C124.1,C124,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C125.1,C125,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
