id,domain,release_domain,gap,category,evidence_path,impact,next_minimum_action,external_input_required
BLK-E08,embodied,embodied,Sim13 父级口径不一致：子模块负控制注册表已达 20/20（2026-08-25，PENDING_OWNER_REVIEW），但父 prebind gate 与 AGENTS.md L39 仍记 15/20，父 Gate 未重发,P2_FORMAL_RELEASE_BLOCKER,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_20_OF_20_GATE_V1.json; 30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/results/SIM13_V2_PREBIND_SOURCE_GATE_V1.json（formal_negative_controls 15/20）; AGENTS.md L39,引用口径冲突风险（15/20 vs 20/20）；不构成提交阻断（两种口径下 next_stage_authorized 均为 false）；正式裁决归 sim13 分片,Owner 复核后重发父 Gate 或显式维持 15/20 并登记差异,yes
BLK-MECH-01,route_c,mechanical,"Route-C P01-P13全部仅闭环于DESIGN_CANDIDATE/PROVISIONAL_DERIVED/BOUNDED_DATASHEET_RANGE权威,无MEASURED/AS_BUILT/FLIGHT_QUALIFIED值",P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_PHYSICAL_CAPABILITY_REGISTRY_V2.yaml (authority_rules; counts),正式机械Release的物理输入权威等级不足;初赛提交不依赖该Release,供应商RFI/试验闭环后按受控值升级并复审,yes
BLK-MECH-02,route_c,mechanical,"P08线束扭转恢复力矩物理量UNKNOWN(仅deg/m分配,未零填)",P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_PHYSICAL_CAPABILITY_REGISTRY_V2.yaml (P08); ROUTE_C_MISSION_COVERAGE_GATE_V1.json declared_holds,"关节阻力矩预算含UNKNOWN分量(worst_fraction 0.192不含该项),Release级验证不完整",C5供应商扭转测试后登记受控曲线,yes
BLK-MECH-03,route_c,mechanical,MPI-01..04电气/Owner输入未闭合(载荷图/协议EMC/导体图/确切连接器件号),P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_PHYSICAL_CAPABILITY_REGISTRY_V2.yaml (mpi_mapping.by_mpi),"线束电气定义缺失,正式设计Release与装配电测无法闭合",Owner电气权威提供四类输入,yes
BLK-MECH-04,route_c,mechanical,C6空间环境适用性(TVAC/出气/辐照)与供应商动态弯折寿命未建立(igus/iglidur/护套),P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_PHYSICAL_CAPABILITY_REGISTRY_V2.yaml (declared_downstream_holds),资格级证据缺失,供应商试验与空间环境评定,yes
BLK-MECH-05,route_c,mechanical,M01轨迹权威MISSING;ODR-60 Option A预搜索绑定未闭合(0/9场景绑定、0/11166 clearance策略行、0/150运动证书、0/11166对oracle、内存准入未过),P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_EXECUTION_CLOSURE_V1/results/ODR60_OPTION_A_EXECUTION_CLOSURE_GATE_V1.json (blockers 8项); _work/odr/ODR-60_DECISION_REQUEST.json (current_pre_search_blockers 12项),TMG-4无法重评;线束任务包络证据链停在V9F负见证,按12项清单完成绑定并通过运行时内存准入后执行路径搜索,no
BLK-MECH-06,route_c,mechanical,RC5/TMG-2重开数值符合性规则缺失(ODR-59 owner_rule_present=false);九构型绑定C05 FAIL/C06-C09 HOLD未处置,P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR-59_DECISION_REQUEST.json (legal_current_state; owner_decisions_required 8项),V9F质量回灌(+3.040 kg)无法判定接受/拒绝;TMG-2保持NOT_EVALUATED,Owner定义比较量/覆盖因子/guard band/风险政策后重评,yes
BLK-MECH-07,mech,mechanical,"handoff G12 HARNESS_RATED_OPERATIONAL_ENVELOPE失败(11/12),统一接口重跑仍失败",P2_FORMAL_RELEASE_BLOCKER,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/MECHANICAL_TO_EMBODIED_HANDOFF_GATE_V2.json (checks_failed=[G12]); 20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/17_MECH_TO_EMBODIED_HANDOFF_GATE.json,机械→具身交接无12/12信用;下游Sim13/RL系统接口无法正式消费,TMG-4闭合后按统一合同重跑handoff V2,no
BLK-MECH-08,mech,mechanical,"完整TMG-6未重签:父Gate冻结15/20,后端负控20/20为append-only子域(FULL_TMG6 NOT_REISSUED)",P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/sim13_post_terminal_handoff_addendum_v1/SIM13_POST_TERMINAL_HANDOFF_ADDENDUM_GATE_V1.json (lineage.full_tmg6_reissue_executed=false; remaining_holds),"15/20与20/20两版本并存,综合裁决必须按CHILD_RESULT_NEWER__PARENT_GATE_NOT_REISSUED处理",G12/Owner接受/系统绑定Gate闭合后重发完整TMG-6,no
BLK-MECH-09,mech,mechanical,窄相碰撞资产ABSENT(SIM13 NC19接触抓取Gate所需),P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/14_COLLISION_ASSET_MANIFEST.json (narrow_phase.status=ABSENT),接触抓取验证缺几何输入,构建窄相资产并挂接NC19,no
BLK-MECH-10,mech,mechanical,as-built质量/质心/惯量计量HOLD(EXTERNAL),P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/19_OPEN_QUALIFICATION_HOLDS.csv (HOLD-04),"31.022864807342987 kg仅为设计/URDF账本值,无实物相关",硬件计量后建立as-built相关,yes
BLK-MECH-11,mech,mechanical,硬件接触标定(CT01-CT05)+夹爪闭合时间+F/T传感器标定HOLD(EXTERNAL);T4接触合同AS_BUILT=null,P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/19_OPEN_QUALIFICATION_HOLDS.csv (HOLD-05/06/07); 20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/10_GRIPPER_INTERFACE.yaml (as_built_contact_model null),"接触模型仅有界临时,真实抓取接触结论不可用",硬件测试后替换null并升级T4,yes
BLK-MECH-12,mech,mechanical,SolidWorks原生重集成HOLD;夹爪原生V5 36行pose-induced干涉复测未完成(中性R1修正已PASS),P2_FORMAL_RELEASE_BLOCKER,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json (open_holds[0]); 19_OPEN_QUALIFICATION_HOLDS.csv (HOLD-12),原生CAD链断点保留;36行原生账未重测,原生工具链重集成后复测36行,yes
BLK-MECH-13,mech,mechanical,夹爪对外部目标接触几何/接触基准HOLD(GRIPPER_EXTERNAL_OBJECT_CONTACT_VALIDATION_HOLD),P2_FORMAL_RELEASE_BLOCKER,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json (external_object_gripper_status=HOLD_NO_AUTHORITY_OBJECT_GEOMETRY_OR_CONTACT_DATUM_PROVIDED),真实目标抓取接触验证被阻断,定义接触测试并提供目标几何/接触基准,yes
BLK-MECH-14,mech,mechanical,"01_BASELINE_MANIFEST.json自引用条目陈旧(记4497字节/C7206FAD...,实测4488/7e87ee69...)",P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/01_BASELINE_MANIFEST.json (files[1] vs 实测),"哈希清单自洽性瑕疵;不影响上游pin(00 gate hash_mismatch=0)与CSV(不含01),但正式Release前应修复",按self_reference_policy重发manifest(排除自身)并复核,no
BLK-MECH-15,route_c,mechanical,RC4/RC6收口报告草稿未完成且所指VF别名Gate缺失,P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_RC4_RC6_CHECKPOINT_REPORT_V1.md (§1/6/7/8待填),"文档链存在未完成草稿,审计引用须绕过其待填节",补全或正式作废登记,no
BLK-MECH-16,mech,mechanical,资格类EXTERNAL holds:发射/分离ICD、飞行材料许用值、资格振动、TVAC、飞行HDRM可靠性、M3R as-installed,P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/19_OPEN_QUALIFICATION_HOLDS.csv (HOLD-01/02/03/08/09/10/13),飞行/资格声明不可用(比赛不依赖),外部权威输入,yes
BLK-MEM-09,memory,memory,正式工程 Release 叙事边界：FORMAL_MECHANICAL_RELEASE=HOLD、FORMAL_DYNAMICS_CONTROL_RELEASE=HOLD（00_RELEASE_GATE TERMINAL_CLOSURE_EXECUTED__GATE_A_NOT_PASSED；联合 Gate release_credit=false），比赛叙事不得暗示 formal release,P2_FORMAL_RELEASE_BLOCKER,AGENTS.md Terminal Mechanical Closure 节 L34；01_project/competition/R2动力学与控制工程闭环阶段裁决_20260827.md §1/§5,只影响正式工程 Release，不影响比赛提交；若材料误写将产生 release 越界声称,材料中显式标注 release=HOLD / next_stage_authorized=false,no
BLK-SIM13-01,sim13,sim13,正式 current-system 绑定门未通过:sim13_system_binding_gate_passed=false(addendum $.current_authority);consumer load/contact grasp 均未授权;无正式 current-system URDF(仅 SOURCE_ONLY_BUILDER_EMISSION 候选),P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/sim13_post_terminal_handoff_addendum_v1/SIM13_POST_TERMINAL_HANDOFF_ADDENDUM_GATE_V1.json ($.current_authority.sim13_system_binding_gate_passed=false),正式系统绑定/Release 不可声称;不影响 9-01 合规提交(比赛口径 ABORT_ONLY+诊断证据可陈述),"Owner 接受 Route-C 排除与 TMC-F01 处置后,经授权执行系统绑定门",true
BLK-SIM13-02,sim13,sim13,"MECH_RL_SYSTEM_INTERFACE_V2 实例已存在(19:59 发射,哈希钉一致)但父 Gate 18(17:51)仍记 outstanding;FULL_TMG6_REISSUE_NOT_EXECUTED",P2_FORMAL_RELEASE_BLOCKER,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/interfaces/MECH_RL_SYSTEM_INTERFACE_V2.yaml ($.instance_class); addendum ($.lineage.full_tmg6_reissue_executed=false),父/子状态字面冲突(CHILD_RESULT_NEWER__PARENT_GATE_NOT_REISSUED);正式 Release 引用歧义,Owner 决定并重发 TMG6/父 Gate(不重发则维持双口径披露),true
BLK-SIM13-03,sim13,sim13,NC18 正式化缺口:当前仅有后端级状态演化(零动量约化 8-DOF);力矩驱动生产正向动力学未实现未授权(production_dynamics_gate_passed=false),P2_FORMAL_RELEASE_BLOCKER,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/results/SIM13_V2_PREBIND_SOURCE_GATE_V1.json ($.production_dynamics_gate_passed=false); v3 gate $.gates[DYN-G02]=HOLD_NOT_IMPLEMENTED_OR_AUTHORIZED,正式生产动力学 Release 不可声称,实现力矩驱动 8-DOF 正向动力学并经生产动力学门授权,true
BLK-SIM13-04,sim13,sim13,"NC19 正式化缺口:权威窄相接触仅达合同包络级(BOUNDED_PROVISIONAL,派生非实测几何);真实夹爪物理参数(摩擦/压力/保持力/T_c)未实测;DESIGN_CONTACT_MODEL_V1 AS_BUILT=null",P2_FORMAL_RELEASE_BLOCKER,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_CONTACT_GRASP_GATE_V2.json (verdict 含 BOUNDED_PROVISIONAL); v4_runtime_guard gate $.nc19_status,物理接触验证不可声称;20 ms 接触窗仍 provisional,硬件组实测 B601 夹爪参数→替换占位→重跑接触带宽口径 Gate,true
BLK-SIM13-05,sim13,sim13,"五个后端工作单(WO-NC15/16/18/19/20)子域已 5/5 闭合,但按工作单 after_20_of_20 序列,handoff V2 重跑与接口实例正式化未随父 Gate 完成",P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/SIM13_BACKEND_WORK_ORDERS_V1.json ($.after_20_of_20); addendum ($.backend_subscope.backend_work_orders_closed=5/5; full_tmg6=NOT_REISSUED),工作单尾序未闭环于父级;Release 链不完整,执行 after_20_of_20 序列中的 handoff V2 重跑(受 G12 阻塞),true
BLK-SIM13-06,sim13,sim13,Owner 接受与 Route-C scope disposition 缺席:owner_accepted=false、route_c_exclusion_accepted_for_this_sim_candidate=false、route_c_scope_disposition_pass=false,P2_FORMAL_RELEASE_BLOCKER,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/interfaces/MECH_RL_SYSTEM_INTERFACE_V2.yaml ($.authority.current_values),无 Owner 接受则绑定/消费/接触授权链全部不可启动,Owner 对 Route-C 排除与低内存风险作新鲜单次 run-specific 接受,true
BLK-SIM13-07,sim13,sim13,G12 线束额定运行包络未过(机械 Route-C 线):handoff V2 11/12 FAIL;当前固定外线束 0/75 SAFE、11/11 强制状态 UNSAFE,P2_FORMAL_RELEASE_BLOCKER,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/17_MECH_TO_EMBODIED_HANDOFF_GATE.json ($.current_handoff_gate_v2); AGENTS.md L38,机械→具身移交 FAIL;联合 Gate mechanical_handoff_pass=false,机械 Route-C 任务包络设计(P01-P13 物理输入+路线设计+CAD 分支+谓词评估),true
