id,domain,description,verdict_or_status,authority_path,locator,sha256,retained_as,notes
N-CD11,compdeliv,ASM00 并列负结果: ASM00_BLOCKED_BY_MISSING_PARAMETERS,HOLD,10_research/competition_convergence/competition_gate_check.json,asm00_external_verdict + negative_results.asm00,8b3cdbdaa09e9048262888f596bacc5a7ec543af55542256e8bce66de15a6200,RETAINED_NEGATIVE,不向上改写 demo 链;禁止 ASM-01/02 启动
N-CD12,compdeliv,"演示包口径冻结 2026-07-20,08-25 后系统级 HOLD 增多未反映",LIMITED,01_project/current/HOLD_AND_NEGATIVE_RESULTS_V1.csv,H-01..H-15 对照 competition_execution_report.md §1/§8,667dd3bd8a83c14f611bc9ac411f3753d1496832c91d2b500356a8ac6a134c37,RETAINED_DRIFT_NOTE,答辩引用须带日期与 scope 限定
NEG-ACTUATOR-NULL,ctrl,执行器 152/152 个实测字段全为 null，零填充禁止；无硬件有效执行器速率/力矩/延迟/带宽,HOLD,01_project/competition/R2动力学与控制工程闭环阶段裁决_20260827.md,§3 行98；R2 控制 Gate $.hard_blockers[3],3eed50dd728ea55ce40cd4a2e46d4343d1f17a4c532baca4c469c8b406c08dce,阻断登记,所有硬件有效 claim 禁止
NEG-CTRL01-A2,ctrl,闭环 C1_T1 锚差 0.15504136331859542 deg 超 0.05 门槛；C2_T1 植物保真诊断仅 0.006448 deg，残差归因于冻结增益纯反馈滞后,REPEAT_GENUINE_NEGATIVE,30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,$.gates.GC1_A2_closed_loop_C1_T1_anchor（行19-25）,ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96,预注册负结果（CP6 方案 B 收口）,翻转须换增益=新实验；gains_tuned_on_plant=false 禁止调参
NEG-CTRL01-D-C2,ctrl,C2 对 C1 的 T2 位置增量 -38.26038923416019% 低于 +30% 预注册门槛（v0 -51.9137123236204% 逐字保留）,REPEAT_GENUINE_NEGATIVE,30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,$.gates.GC1_D_incremental_effectiveness（行53-76）,ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96,预注册负结果,前馈在 station-kept T2 上增加关节运动；姿态向 +99.85% 仅作上下文
NEG-CTRL01-D-C3,ctrl,C3 孤立零空间效应真零：C3 vs C2_MATCH5 基率改善 +1.8387128071932317e-05%（门槛 5%）；指令削减 9.98e-06%,REPEAT_GENUINE_NEGATIVE,30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,$.gates.GC1_D.C3_* 字段,ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96,预注册负结果,公平比较器 C2_MATCH5 下的真零；CP6 授权按真零表述
NEG-CTRL01-E-JOINT,ctrl,关节限位余量 -1.4728426913978847 rad（T1 锚含预注册 q2=+60deg 出 URDF 冲突 -1.0476 rad）,REPEAT_GENUINE_NEGATIVE,30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,$.gates.GC1_E_constraints.values.joint_limit_margin_min_rad（行80）,ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96,预注册负结果,T1_anchor_joint_limit_conflict_preregistered=true
NEG-CTRL01-E-RATE,ctrl,关节速度 1.8365906028735075 rad/s、加速度 9.108554855103153 rad/s2 超冻结 PROVISIONAL 档 0.7/2.0,REPEAT_GENUINE_NEGATIVE,10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json,$.repeat_remainder_classification_per_preregistration_item_2.genuine_negative_result_preserved[4]（行82-86）,ef49240d90471f85a6ee9479855077b0b24b90272c38415cfe71aefc3bd80daf,预注册负结果,T3 回撤速率需求+t=0 FOH 瞬态超冻结档
NEG-CTRL01-E-SIGMA,ctrl,task_sigma_min 6.639830276911244e-05 低于 1e-4 门槛（冻结 T1 从奇异伸展位形起步）,REPEAT_GENUINE_NEGATIVE,30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,$.gates.GC1_E.values.task_sigma_min（行81）,ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96,预注册负结果,结构性归因经集成方算术复核
NEG-CTRL01-F,ctrl,C1_T3 与 C1_MATCH5_T3 位置 p95 0.1902 m 超 0.11 m 有界误差界；纯反馈在 T3 峰值 0.3125 m/s 下结构性越界，C2/C3 在 0.0024 m 内,REPEAT_GENUINE_NEGATIVE,30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,$.gates.GC1_F_bounded_error_C1_C2_C3.violations（行271-287）,ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96,预注册负结果,界推导 0.12/1.2+0.01=0.11 m 经集成方算术验证
NEG-CTRL01-REPLAY,ctrl,CTRL-01 当前树重放 7/22：冻结 sim05 默认 URDF 定位指向 pre-REORG 根 CAD 路径+配置/矩阵规范化哈希漂移,HOLD（记录审计，非 Gate）,30_simulation/control_r2_integrated_candidate/results/CTRL_R2_PREDEVELOPMENT_GATE_V1.json,$.criteria[C1].current_replay 与 reproduction（行17-48）,ed4d8b7774c61317576df03b8dda1591ba1178b895ddc5fa7544ead9a7e59abe,当前状态负记录,exact_legacy_reproduction_available=false；NOT_CLAIMED_REORG04_NORMALIZED_HASH_DRIFT
NEG-CTRL02-A1M2,ctrl,A1 两段轨迹在 M2 上峰值劣于 A0（9.2373 vs 8.7281 deg）——A1 非无反作用轨迹,PASS 内保留 honest negative,10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json,$.module_results.CTRL-02.confirmed_metrics.honest_negative_A1_vs_A0_peak_deg_M2（行195）,ef49240d90471f85a6ee9479855077b0b24b90272c38415cfe71aefc3bd80daf,honest negative（claim 边界）,claim_forbidden 含「A1 是无反作用轨迹」
NEG-CTRL02-L0,ctrl,L0 硬件有效稳定性未评估：NOT_EVALUATED_NO_ACTUATOR_DYNAMICS（Stage-B L0 仅动量级终端可行性）,NOT_EVALUATED,30_simulation/control_02_base_attitude/results/control_02_gate_check.json,$.stage_B_scope.L0_stability_status（行1093）,240fa708b53646a024bb0fd2d67085188dd7c81685515b69c4cdc5dc50edfc5e,负结果/范围声明,执行器占位为 PROVISIONAL_L1_MOMENTUM_ACTUATOR
NEG-CTRL02-REPLAY,ctrl,CTRL-02 当前树重放 12/24；且测试管线副作用重写冻结 Gate 后精确恢复被核验（FINAL_STATE_ONLY_AFTER_EXACT_RESTORE）,HOLD（记录审计，非 Gate）,30_simulation/control_r2_integrated_candidate/results/CTRL_R2_PREDEVELOPMENT_GATE_V1.json,$.criteria[C4].current_replay（行67-83）,ed4d8b7774c61317576df03b8dda1591ba1178b895ddc5fa7544ead9a7e59abe,当前状态负记录,重放副作用=治理风险，独立无副作用 replay gate 缺席（remaining_holds）
NEG-CTRL02-W1R12,ctrl,Stage-A A2 隐含轮力矩 0.033/0.021 N·m 超 R5 PROVISIONAL 0.01 N·m 档 3.3x/2.1x；A2 零峰值仅为动量级理想,OPEN_NEW 硬件触发重跑,10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json,$.integration_checks.red_team_completeness.key_findings_this_round[5]（行285）,ef49240d90471f85a6ee9479855077b0b24b90272c38415cfe71aefc3bd80daf,rerun trigger 登记,轮组选型冻结后重评 Stage-A
NEG-CTRL02-W1R13,ctrl,GC7 最坏实现残差 0.0108 dps = 0.05 dps 稳定门槛的 21.5%；硬件最小脉宽增大约 4.6x 则瞬态裁决翻转,OPEN_NEW 硬件触发重跑,10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json,$.integration_checks.red_team_completeness.key_findings_this_round[6]（行286）；CTRL-02 gate $.gates.GC7.quantization_note,ef49240d90471f85a6ee9479855077b0b24b90272c38415cfe71aefc3bd80daf,rerun trigger 登记,B601/执行器实测到货即重跑瞬态层
NEG-PB-G0A,ctrl,PB_G0 权威充分性层 6 项 HOLD（质量/惯量生产权威、目标捕获变换、frame owner、执行器、接触冲突、配置留存）,HOLD,30_simulation/dynamics_control_prebind_r1/10_verification/PB_G0_GATE.json,$.criteria[G0-A1..A6]（行22-50）,da2bbe1381a08b21cfdb648a658f3092b8e888c6106723abab10f96d4c260c74,阻断登记,定位/哈希层 3/3 PASS 不升级为权威充分
NEG-PB-STATES,ctrl,RPO→TASK_READY 与 PREGRASP→compliant/locked capture 交接连续性 NOT_EVALUATED；State transitions remain schema-only,NOT_EVALUATED,30_simulation/dynamics_control_prebind_r1/10_verification/PB_G1_GATE.json,"$.criteria[G1-04,G1-05]（行27-36）；$.authority_dispositions[2]",7ad34fcf94825e6b3b8df860bafbf7726243655461e10c4f83258b39f9a6ecc0,缺口登记,题述六段任务链无可复现链段的直接机器证据
NEG-R2-DLS,ctrl,5D/6D 控制器把 m/s 与 rad/s 直接拼接做 SVD/欧氏残差/DLS；generalized 解预测基座角速度为 naive 的 3.30549x/3.29410x，「最小基座扰动」不成立,RAW_MIXED_UNIT_DIAGNOSTIC_NO_CREDIT,01_project/competition/R2动力学与控制工程闭环阶段裁决_20260827.md,§4 行112-121,3eed50dd728ea55ce40cd4a2e46d4343d1f17a4c532baca4c469c8b406c08dce,红队发现转化的硬阻断,task_space_metric.status=UNBOUND；command_emitted=false
NEG-SAFE00-REPLAY,ctrl,SAFE-00 当前树重放 23/47，HOLD_CURRENT_REPLAY：CURRENT_SOURCE_BINDINGS_DO_NOT_REPRODUCE_FROZEN_SAFE_ALLOW_AND_MODIFY_FIXTURES,HOLD（记录审计，非 Gate）,30_simulation/control_r2_integrated_candidate/results/CTRL_R2_PREDEVELOPMENT_GATE_V1.json,$.criteria[C7].current_replay（行127-138）,ed4d8b7774c61317576df03b8dda1591ba1178b895ddc5fa7544ead9a7e59abe,当前状态负记录,历史冻结 Gate 未变；current_replay_evidence_class=RECORDED_AUDIT_NOT_GATE
NEG-SIM13-ABORT,ctrl,Sim13 最大运行态 ABORT_ONLY；20/20 仅为负控后端信用，生产非 ABORT 仍被 12 门权威遮蔽,LIMITED,30_simulation/r2_dynamics_control_system_closure/results/R2_DYNAMICS_CONTROL_SYSTEM_GATE_V1.json,$.diagnostic_facts_no_credit.sim13_maximum_operational_state（行33）,55490805d934a8806e58cda25c398bd15aef49f4624f1f8cc08fcb75f2634b03,信用边界声明,20/20 不得升级为抓取执行权限（父裁决 §5 明文）
NEG-SUPERVISOR-OP,ctrl,运行 supervisor 未完成：operational_supervisor_complete=false；轮组阈值 MEASUREMENT_PENDING__ZERO_FILL_FORBIDDEN；150kg@3dps 物理否决=ABORT_OR_RECOVERY,HOLD,30_simulation/r2_control_engineering_closure/results/CTRL_R2_SUPERVISOR_ASSESSMENT_V1.json,$.operational_supervisor_complete（行24）；$.wheel_momentum；$.hybrid_capture；$.safe,1779ece775a153e4f85c44cdf87141192a83415a3f73912451f087c4c418e9df,状态登记,状态机枚举完整但均 operational=false
NEG-TASKMETRIC,ctrl,任务空间特征长度/权重矩阵未冻结：CG1 candidate_packaging_pass=false，control_engineering_complete=false,HOLD,30_simulation/r2_control_engineering_closure/results/R2_CONTROL_ENGINEERING_GATE_V1.json,$.criteria[CG1]（行15-21）；$.hard_blockers[1],2740b33e7958b4af2232ed0a2a51cea830470d1c98d5ba46c39c43279a02adce,硬阻断登记,不同但物理等价的单位缩放可翻转守卫
NEG-DYN-01,dyn,e15 legacy ANCF 交叉求解 6 组诊断锚点最大四指标差 5.63735% > 5% 门槛,REPEAT_ANCF_CERTIFICATION,30_simulation/e15_ancf_certification/results/gate_summary.json,$.cross_solver_diagnostic.max_relative_difference=0.05637349419858036; $.overall,aab4d609e219279c2563c8a38743ac1784bbf16de399d5b8798439b0ac2dca80,硬负结果冻结保留,"TMC 处置:legacy 线维持 REPEAT;现行线重认证由 E23 G07/G11 交付(1.81e-05),两条线不得混引"
NEG-DYN-02,dyn,e15 最终候选跨求解器不可用:E1.5 SAFE=0 且无名义 Top-3,REPEAT(final_candidate_cross_solver.gate_pass=false),30_simulation/e15_ancf_certification/results/gate_summary.json,"$.final_candidate_cross_solver.available=false, reason 字段",aab4d609e219279c2563c8a38743ac1784bbf16de399d5b8798439b0ac2dca80,硬负结果冻结保留,明确禁止用低振幅诊断锚点冒充最终候选
NEG-DYN-03,dyn,E1.5 核心覆盖 72 例 0 SAFE(66 几何不可达+6 捕获后超限),REPEAT_CORE_NO_SAFE_CANDIDATE,30_simulation/e15_core_coverage/results/core_gate_check.json,$.scientific_verdict; $.state_counts,761798e52ead35f8bf6200034af088e85f7bb9085c71d0883bf1e70c1cffe3a7,硬负结果冻结保留,是 sim_10/sim_12 fail-closed 判据与 ABORT 策略的存在性源头
NEG-DYN-04,dyn,E22 五模态 ROM 动态重构 3.51% > 1%(G11 FAIL)且三通道比较不完备(G17 FAIL),HOLD 16/18(SUPERSEDED by E23),30_simulation/e22_r2_full_flex_coupled_diagnostics/results/E22_R2_FULL_FLEX_COUPLED_GATE_V1.json,"$.summary.failed=[G11,G17]; key_metrics.hf_to_rom_five_mode_max_relative=0.035058706034330304",472ada4a7abf98bbd5f72b0459400704a86faf2b13daccd562025c0cc356aa5e,不可变历史(lineage),"根因=合同界定的 ROM 维数不足;ROM5 falsifier 792 个 5D 子集全失败,最优 1.083%"
NEG-DYN-05,dyn,"sim_10 X2:设计书'lambda 边界单调'预期在 G1 过渡带被证伪(1.08% 浅坑,亚分辨率)",REFUTED_IN_TRANSITIONAL_BAND(gate 仍 PASS),30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json,$.gates.X2_lambda_boundary_monotonic.design_expectation_status; worst_dip_rel=0.010790032932416973 @mu=0.5141,4dbd8c91ff3455d5e5997a995ac385f02bbc1d2e379bbfe5c0563d41834dfc67,证伪记录入裁决 JSON,幅度亚分辨率不改区域标签;如实记录为科学发现
NEG-DYN-06,dyn,sim_11 v1.0 G4 FAIL 历史:理想冲量 dt=0 对模态能指标不适定(m=2..7 慢收敛尾 +2.86/+1.29/+0.72/~+0.4%),"FAIL(v1.0,git 6c0035b)已修复为有限接触窗",30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json,"$.gates.G4.ideal_impulse_diagnostic (gated=false, physics_note)",9309f5325271bf5efdaa7ecac2bcf20b4feca3fca771d22391a7d7d576f9366f,非 Gate 诊断保留,确诊为模型域边界而非装配缺陷;物理修复=contact_window.py 半正弦等冲量
NEG-DYN-07,dyn,sim_12 B/D 例:碎片@3deg/s 与 @5deg/s 四策略全 INFEASIBLE(RATE)->ABORT,ABORT(REPEAT_CORE 策略空间复现),30_simulation/sim_12_strategy_feasibility/docs/strategy_comparison_report.md,L14-15(B/D 行); L20-21(瓶颈是速率门),5bb7c6a7167710b207980d4b63b6854c18e79c2e0ffba7886251eaf637971b4c,证明集内负结果,'任何本策略集成员都救不了'是核心诚实结论
NEG-DYN-08,dyn,sim_09/E1.5:SAFE=0、UNKNOWN=3、UNSAFE=69,REPEAT_E1_5(NEGATIVE_RESULT+FROZEN),10_research/00_project_architecture/simulation_scenario_map.md,"L101, L127",a5e04c8ac77c75e371b3b9ca29ff32a524cf2c9979d94491c3d7658e70d7878d,冻结历史负结果,当前统一安全门前身;不得复活为当前结论
NEG-DYN-09,dyn,sim_13 V2 正式态 15/20 NC + 5 dependency_hold(NC15/16/18/19/20),HOLD(子模块显式禁止提升),30_simulation/sim_13_physics_gated_embodied_grasping/v4_runtime_guard_diagnostic/results/SIM13_V4_RUNTIME_GUARD_DIAGNOSTIC_GATE_V1.json,technical_verdict: '...CURRENT_V2_FORMAL_NC_REMAINS_15_OF_20__NC19_HOLD__NO_PRODUCTION_OR_RELEASE_CREDIT',not_hashed_read_via_grep,负结果+防提升护栏,V4 证明的是合成夹具上的守卫能力;synthetic contact != 真实夹爪验证
NEG-DYN-10,dyn,"PB-G1:Unified R2 PB-00 仅诊断表征(no credit),状态交接连续性 G1-04/05 未评估",HOLD_NOT_AUTHORIZED_BY_PB_G0,30_simulation/dynamics_control_prebind_r1/10_verification/PB_G1_GATE.json,$.criteria G1-04/05 status=NOT_EVALUATED; $.verdict,7ad34fcf94825e6b3b8df860bafbf7726243655461e10c4f83258b39f9a6ecc0,当前有效 HOLD,E-COMP-02 核心证据;诊断 PASS_DIAGNOSTIC_NO_CREDIT 不得升级
NEG-DYN-11,dyn,R2 8DOF KKT:DG1 单位度量与 DG2 独立全状态守恒未绑定,HOLD 16/18,30_simulation/r2_dynamics_engineering_closure/results/R2_8DOF_CONSTRAINED_DYNAMICS_GATE_V1.json,"$.summary.failed=[DG1,DG2]",6fc6f5ec0df12c06f13c6e0f34c1660b67eadf0ebbb6835b62993488b984ed64,当前有效 HOLD,2026-08-27 02:17 本地最新机器裁决;Unified R2 守恒无当前系统信用
NEG-DYN-12,dyn,e21 记录的 harness 事实:R2_HRN_04 FAIL_REDESIGN_REQUIRED;单一安装消费语义 UNRESOLVED,HOLD(强制),30_simulation/e21_m7_r2_arm_placement_rigid_coupled_diagnostics/results/E21_DIAGNOSTIC_GATE_V1.json,$.mandatory_holds.r2_harness_R2_HRN_04; single_arm_placement_consumption_semantics,b03b7c7af571aa00fe3612756ffbbd99cb834b84377ba8dc2c213355c252616b,当前有效 HOLD(机械域联动),"与 AGENTS.md T3 战略裁决一致:E_HRN 0/75 SAFE,TMG-4 无法诚实判 PASS"
NEG-DYN-13,dyn,sim_14 生产动力学/接触物理/柔体三门 HOLD_NOT_IMPLEMENTED;sim_15 物理接触门 HOLD,HOLD,30_simulation/sim_14_m4_digital_prototype_grasping/evidence/SIM14_DYNAMICS_GRASPING_GATE.json,$.production_dynamics_gate; $.contact_physics_gate; $.flexible_body_gate,14fb22811df5a8fe843a06712a12ff35e476dc00e1150c038c3bf16c8253b4da,当前有效 HOLD,诊断桥接 PASS 不构成生产能力
NEG-DYN-14,dyn,"sim_10 冻结哈希锁对当前树失效(REORG04 路径字符串改写,语义等价但未重钉)",FROZEN_HASH_LOCK_STALE(历史裁决不受影响),20_engineering/config/mission_feasibility/scan_v0.yaml,frozen_inputs 钉 850f49da.../400bcedc... vs 当前 006c6cc5.../75af082a...; git show 284c882 逐行确认为路径前缀,856f1e30de47ca5b3f505f9fe5bd5cd22a75e448ec916b42d9c330f7a62e28ea,负结果(完整性登记),今日重跑 run_gates.py R 门会 FAIL;最小动作=按 REORG04 规则5 重钉+重发 gate
NEG-E01,embodied,Sim13 V1 生产机械/接触/RL 绑定权威被 M7 新证据失效，V1 不得发布非 ABORT 生产动作,SUPERSEDED,30_simulation/sim_13_physics_gated_embodied_grasping/README.md,L3-L21 Current authority 段,e7fa21a26808f5c7eda31e59fa4f06e9c07c6aeb5e53c56427fd6071b9125ff9,historical_bootstrap_regression,保留为历史确定性 V1 运动学 bootstrap/回归用途
NEG-E02,embodied,V4 运行时防护诊断不改变正式负对照：formal V2 NC 仍 15/20，NC15/16/18/19/20 维持 HOLD，NC19 NOT_EXECUTED,HOLD,30_simulation/sim_13_physics_gated_embodied_grasping/v4_runtime_guard_diagnostic/results/SIM13_V4_RUNTIME_GUARD_DIAGNOSTIC_GATE_V1.json,"formal_v2_negative_controls（all_passed=false, passed=15, hold_ids 五项, unchanged_by_v4=true）; diagnostic_claim_boundaries.NC19=NOT_EXECUTED__FORMAL_HOLD",104d6d25d1c4f05b5447639d1d1ccbe464e622241ec23098e14ff44003d885e0,formal_hold_register,四项诊断结果只能写 PASS_DIAGNOSTIC_LOGIC_ONLY，不得累加成 19/20
NEG-E03,embodied,V2 后端负控制注册表 20/20 子结果未升级父 Gate：next_stage_authorized=false、release_credit=false、PENDING_OWNER_REVIEW，最大运行态仍 ABORT_ONLY,PENDING_REVIEW,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_20_OF_20_GATE_V1.json,gate_passed=true; nc_score=20/20; next_stage_authorized=false; review_status=PENDING_OWNER_REVIEW,4a813f2ee3b0585d63fa591415ab3b256f112d056ba89c879e02d7bcd068b6e4,child_registry_pending_owner_review,父 prebind gate（同日 11:09Z）与 AGENTS.md L39 仍记 15/20 → CHILD_RESULT_NEWER__PARENT_GATE_NOT_REISSUED；sim13 分片负责正式裁决
NEG-E04,embodied,e15 交叉求解器 ANCF 认证 REPEAT 硬负结果（最大相对差 5.637349419858036% > 5%）在 sim13 intake 中保留,REPEAT,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/current_system_handoff_intake_v1/results/CURRENT_SYSTEM_HANDOFF_INTAKE_SOURCE_FREEZE_GATE_V1.json,"preserved_hard_negatives.e15（status=REPEAT_ANCF_CERTIFICATION, max_cross_solver_relative_difference=0.05637349419858036）",23903c1af1a6f7382a18e0685ef6a6010926b8c812163900bc3843b7a44be5ce,hard_negative,embodied 侧仅引用登记；e15 归动力学分片裁决
NEG-E05,embodied,机械→embodied harness 交接 G12 FAIL：11/12 通过，released_trajectories=0、safe_key_states=0（要求 8/10）,FAIL,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/current_system_handoff_intake_v1/results/CURRENT_SYSTEM_HANDOFF_INTAKE_SOURCE_FREEZE_GATE_V1.json,"preserved_hard_negatives.harness（handoff_g12=FAIL, handoff_passed=11, handoff_total=12）",23903c1af1a6f7382a18e0685ef6a6010926b8c812163900bc3843b7a44be5ce,hard_negative,SIM13_20_OF_20 gate 记 mech_to_embodied_handoff_g12_harness=NOT_IN_A3_SCOPE...REGISTERED_NOT_FORGED
NEG-E06,embodied,Route-C 物理注册表 0/13 可用（13 项全 HOLD，禁止 Route-B 种子继承），当前系统绑定物理输入缺席,HOLD,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/current_system_handoff_intake_v1/results/CURRENT_SYSTEM_HANDOFF_INTAKE_SOURCE_FREEZE_GATE_V1.json,"preserved_hard_negatives.route_c_physical_registry（available=0, hold=13, non_null=0）",23903c1af1a6f7382a18e0685ef6a6010926b8c812163900bc3843b7a44be5ce,hard_negative,零填充被明确禁止；为 TMG-4/TMG-6 内部阻断在 embodied 侧的表现
NEG-E07,embodied,H0/H1/H2 地面资格链 NOT_STARTED，B601_MOTION=PROHIBITED，HAG-E 授权文件不存在（approvals 目录缺失，2026-08-27 核实）,BLOCKED_EXTERNAL,10_research/competition_convergence/competition_gate_check.json,hardware_component_status 四字段; stop_rules.start_hil=false; hardware_component_plan.md L44-L51 机器状态段,8b3cdbdaa09e9048262888f596bacc5a7ec543af55542256e8bce66de15a6200,stop_state,NOT_STARTED 不是 PASS/REPEAT/BLOCKED 替身；无 H0/H1/H2 Gate JSON，禁止合成空 PASS
NEG-E08,embodied,四条禁止主张登记：已实现空间具身智能/已完成自主捕获/已完成 VLA/已完成安全控制,CONTRACT_FORBIDDEN,20_engineering/config/competition_prototype/prototype_acceptance.yaml,forbidden_claims 列表（L164-L168）,8214139674a9076471f6fa62ef486e33f0d99d4388b6ab814a822dced6ca9969,forbidden_claims_register,任何比赛/论文材料违反即审计事故
NEG-E09,embodied,「Physics Foundation Model」术语裁决为 REJECTED_AS_PREMATURE_LABEL,REJECTED,10_research/space_embodied_robotics/physics_gated_agent_plan.md,§3.2 末段与 §5 逐项裁决表,ecba24564e55ff227aaf785857dff8dd8f380a02322c8c4655b5cf7f550c5d10,rejected_label,无训练对象/泛化协议/独立评价前不得使用该标签
NEG-E10,embodied,Sim13 无任何 RL 训练结果；bootstrap PASS（未来签署）也只表示环境与安全掩码接线，不表示策略已训练或抓取成功,ABSENT,30_simulation/sim_13_physics_gated_embodied_grasping/results/README.md,L5-L7 全文,4cc9fac5219873185ffdf884c9afaf3f142c5ed22c44c980c4e46a9d99edc0e9,absence_note,config/sim13_bootstrap.json training_success_claimed=false 佐证
NEG-MECH-01,mech,"E_HRN固定外置线束已评包络75样本中0 SAFE(75 UNSAFE,0 UNKNOWN),保守盒为空",0/75 SAFE; NOT_RELEASED,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/03_envelope/B601_HARNESS_RATED_ENVELOPE_V1.yaml,E_HRN.sample_counts (SAFE 0/UNSAFE 75/UNKNOWN 0); conservative_box_status EMPTY_NO_OBSERVED_SAFE_SAMPLE,a63a93de5b6b3bee37819379757abe5b9f7fc457641f852e06676b686bc416c6,HARD_NEGATIVE_CURRENT,运行时完整性36/36 PASS；分母为75 map样本，勿与11 probe/10 mandatory混用
