assembly_relative_path,assembly_object_id,component_instance,source_absolute_path,source_relative_path,object_id,parent_id,source_exists,fixed_for_static_review,transform_16
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","gripper_right_visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\links\gripper_right_visual.SLDPRT","03_B601_Visual/links/gripper_right_visual.SLDPRT","b601_gripper_right_visual","arm_b601_visual_reconstruction",true,true,"-3.673205103346576E-06;-0.999999999966269;7.3464102065940315E-06;-0.99999999999325384;3.673205103247455E-06;-2.6984871462320616E-11;0;-7.3464102066435914E-06;-0.99999999997301514;0.21821883999892255;2.7573150649981126E-05;0.19168767161090688;1;0;0;0"
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","link1_visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\links\link1_visual.SLDPRT","03_B601_Visual/links/link1_visual.SLDPRT","b601_link1_visual","arm_b601_visual_reconstruction",true,true,"1;0;0;0;1;0;0;0;1;-8.4159999999999791E-05;0;0.08465;1;0;0;0"
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","link2_visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\links\link2_visual.SLDPRT","03_B601_Visual/links/link2_visual.SLDPRT","b601_link2_visual","arm_b601_visual_reconstruction",true,true,"1;0;0;0;-3.6732051033465765E-06;-0.999999999993254;0;0.999999999993254;-3.6732051033465765E-06;0.019999839999999991;0.031625;0.1402;1;0;0;0"
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","link3_visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\links\link3_visual.SLDPRT","03_B601_Visual/links/link3_visual.SLDPRT","b601_link3_visual","arm_b601_visual_reconstruction",true,true,"1;0;0;0;-3.6732051033465765E-06;-0.999999999993254;0;0.999999999993254;-3.6732051033465765E-06;-0.24400016000000002;0.031625;0.1402;1;0;0;0"
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","link4_visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\links\link4_visual.SLDPRT","03_B601_Visual/links/link4_visual.SLDPRT","b601_link4_visual","arm_b601_visual_reconstruction",true,true,"1;0;0;0;-3.6732051033465765E-06;-0.999999999993254;0;0.999999999993254;-3.6732051033465765E-06;-0.0014001600000000114;0.030000198353086545;0.194200005968594;1;0;0;0"
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","link5_visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\links\link5_visual.SLDPRT","03_B601_Visual/links/link5_visual.SLDPRT","b601_link5_visual","arm_b601_visual_reconstruction",true,true,"1;0;0;0;-0.99999999997301525;7.3464102066435922E-06;0;-7.3464102066435922E-06;-0.99999999997301525;0.076907839999999991;3.3609848030732858E-07;0.2317001161644941;1;0;0;0"
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","link6_visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\links\link6_visual.SLDPRT","03_B601_Visual/links/link6_visual.SLDPRT","b601_link6_visual","arm_b601_visual_reconstruction",true,true,"-3.6732051033465765E-06;7.3464102065940315E-06;0.999999999966269;0;-0.99999999997301525;7.3464102066435922E-06;0.999999999993254;2.6984871462320616E-11;3.673205103247455E-06;0.10059984;4.2242072041584962E-08;0.1917001161655735;1;0;0;0"
"08_Target_Scene_Reference/Target_Scene_Reference.SLDASM","independent_target_scene","Space_Embodied_Robot_V1_0-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\Assembly\Space_Embodied_Robot_V1_0.SLDASM","Assembly/Space_Embodied_Robot_V1_0.SLDASM","space_embodied_robot_v1_0","NONE",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"08_Target_Scene_Reference/Target_Scene_Reference.SLDASM","independent_target_scene","Target_Scene_Reference_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\08_Target_Scene_Reference\Target_Scene_Reference_Visual.SLDPRT","08_Target_Scene_Reference/Target_Scene_Reference_Visual.SLDPRT","target_scene_reference","independent_target_scene",true,true,"1;0;0;0;1;0;0;0;1;1.15;0;0;1;0;0;0"
"10_Review_Overlays/Review_Exploded_V1_0.SLDASM","review_exploded_v1_0","12U_Structured_Bus_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\12U_Structured_Bus_Visual.SLDASM","01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","space_embodied_robot_v1_0",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"10_Review_Overlays/Review_Exploded_V1_0.SLDASM","review_exploded_v1_0","B601_Mount_Module_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\02_Robot_Mount\B601_Mount_Module_Visual.SLDASM","02_Robot_Mount/B601_Mount_Module_Visual.SLDASM","robot_mount_module","space_embodied_robot_v1_0",true,true,"0;0;-1;0;1;0;1;0;0;0.46525000000000005;0;0;1;0;0;0"
"10_Review_Overlays/Review_Exploded_V1_0.SLDASM","review_exploded_v1_0","B601_Visual_Assembly-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\B601_Visual_Assembly.SLDASM","03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","robot_mount_module",true,true,"0;0;-1;0;1;0;1;0;0;0.73525000000000007;0;0;1;0;0;0"
"10_Review_Overlays/Review_Exploded_V1_0.SLDASM","review_exploded_v1_0","Rear_Service_Module_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\07_Rear_Service_Visual\Rear_Service_Module_Visual.SLDPRT","07_Rear_Service_Visual/Rear_Service_Module_Visual.SLDPRT","rear_service_visual","rear_service_bay",true,true,"1;0;0;0;1;0;0;0;1;-0.22;0;0;1;0;0;0"
"10_Review_Overlays/Review_Exploded_V1_0.SLDASM","review_exploded_v1_0","Sensor_Semantic_Reference-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\05_Sensor_Reference\Sensor_Semantic_Reference.SLDPRT","05_Sensor_Reference/Sensor_Semantic_Reference.SLDPRT","sensor_semantic_reference","front_task_bay",true,true,"1;0;0;0;1;0;0;0;1;0.27025;0.15;0.12;1;0;0;0"
"10_Review_Overlays/Review_Exploded_V1_0.SLDASM","review_exploded_v1_0","Solar_Wing_Left_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\04_Solar_Wings\Solar_Wing_Left_Visual.SLDPRT","04_Solar_Wings/Solar_Wing_Left_Visual.SLDPRT","solar_panel_left","space_embodied_robot_v1_0",true,true,"1;0;0;0;1;0;0;0;1;0;0.33315;0;1;0;0;0"
"10_Review_Overlays/Review_Exploded_V1_0.SLDASM","review_exploded_v1_0","Solar_Wing_Right_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\04_Solar_Wings\Solar_Wing_Right_Visual.SLDPRT","04_Solar_Wings/Solar_Wing_Right_Visual.SLDPRT","solar_panel_right","space_embodied_robot_v1_0",true,true,"1;0;0;0;1;0;0;0;1;0;-0.33315;0;1;0;0;0"
"10_Review_Overlays/Review_Safe_Display_V1_0.SLDASM","review_safe_display_v1_0","12U_Structured_Bus_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\12U_Structured_Bus_Visual.SLDASM","01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","space_embodied_robot_v1_0",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"10_Review_Overlays/Review_Safe_Display_V1_0.SLDASM","review_safe_display_v1_0","B601_Mount_Module_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\02_Robot_Mount\B601_Mount_Module_Visual.SLDASM","02_Robot_Mount/B601_Mount_Module_Visual.SLDASM","robot_mount_module","space_embodied_robot_v1_0",true,true,"0;0;-1;0;1;0;1;0;0;0.18525;0;0;1;0;0;0"
"10_Review_Overlays/Review_Safe_Display_V1_0.SLDASM","review_safe_display_v1_0","B601_Visual_Assembly-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\B601_Visual_Assembly.SLDASM","03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","robot_mount_module",true,true,"0;0;-1;0;1;0;1;0;0;0.18525;0;0;1;0;0;0"
"10_Review_Overlays/Review_Safe_Display_V1_0.SLDASM","review_safe_display_v1_0","Rear_Service_Module_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\07_Rear_Service_Visual\Rear_Service_Module_Visual.SLDPRT","07_Rear_Service_Visual/Rear_Service_Module_Visual.SLDPRT","rear_service_visual","rear_service_bay",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"10_Review_Overlays/Review_Safe_Display_V1_0.SLDASM","review_safe_display_v1_0","Sensor_Semantic_Reference-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\05_Sensor_Reference\Sensor_Semantic_Reference.SLDPRT","05_Sensor_Reference/Sensor_Semantic_Reference.SLDPRT","sensor_semantic_reference","front_task_bay",true,true,"1;0;0;0;1;0;0;0;1;0.17025;0.065;0.065;1;0;0;0"
"10_Review_Overlays/Review_Safe_Display_V1_0.SLDASM","review_safe_display_v1_0","Solar_Wing_Left_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\04_Solar_Wings\Solar_Wing_Left_Visual.SLDPRT","04_Solar_Wings/Solar_Wing_Left_Visual.SLDPRT","solar_panel_left","space_embodied_robot_v1_0",true,true,"1;0;0;0;6.1230317691118863E-17;1;0;-1;6.1230317691118863E-17;0;0.11315;0;1;0;0;0"
"10_Review_Overlays/Review_Safe_Display_V1_0.SLDASM","review_safe_display_v1_0","Solar_Wing_Right_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\04_Solar_Wings\Solar_Wing_Right_Visual.SLDPRT","04_Solar_Wings/Solar_Wing_Right_Visual.SLDPRT","solar_panel_right","space_embodied_robot_v1_0",true,true,"1;0;0;0;6.1230317691118863E-17;-1;0;1;6.1230317691118863E-17;0;-0.11315;0;1;0;0;0"
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM","review_three_bay_section_v1_0","12U_Equipment_Decks_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\parts\12U_Equipment_Decks_Visual.SLDPRT","01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","primary_structure",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM","review_three_bay_section_v1_0","12U_Frame_Structure_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\parts\12U_Frame_Structure_Visual.SLDPRT","01_Primary_Structure/parts/12U_Frame_Structure_Visual.SLDPRT","primary_frame_structure","primary_structure",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM","review_three_bay_section_v1_0","B601_Mount_Module_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\02_Robot_Mount\B601_Mount_Module_Visual.SLDASM","02_Robot_Mount/B601_Mount_Module_Visual.SLDASM","robot_mount_module","space_embodied_robot_v1_0",true,true,"0;0;-1;0;1;0;1;0;0;0.18525;0;0;1;0;0;0"
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM","review_three_bay_section_v1_0","B601_Visual_Assembly-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\B601_Visual_Assembly.SLDASM","03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","robot_mount_module",true,true,"0;0;-1;0;1;0;1;0;0;0.18525;0;0;1;0;0;0"
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM","review_three_bay_section_v1_0","Rail_Contact_Reference_Wire-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\parts\Rail_Contact_Reference_Wire.SLDPRT","01_Primary_Structure/parts/Rail_Contact_Reference_Wire.SLDPRT","rail_contact_reference","primary_structure",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM","review_three_bay_section_v1_0","Rear_Service_Module_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\07_Rear_Service_Visual\Rear_Service_Module_Visual.SLDPRT","07_Rear_Service_Visual/Rear_Service_Module_Visual.SLDPRT","rear_service_visual","rear_service_bay",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM","review_three_bay_section_v1_0","Sensor_Semantic_Reference-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\05_Sensor_Reference\Sensor_Semantic_Reference.SLDPRT","05_Sensor_Reference/Sensor_Semantic_Reference.SLDPRT","sensor_semantic_reference","front_task_bay",true,true,"1;0;0;0;1;0;0;0;1;0.17025;0.065;0.065;1;0;0;0"
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM","review_three_bay_section_v1_0","Solar_Wing_Left_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\04_Solar_Wings\Solar_Wing_Left_Visual.SLDPRT","04_Solar_Wings/Solar_Wing_Left_Visual.SLDPRT","solar_panel_left","space_embodied_robot_v1_0",true,true,"1;0;0;0;1;0;0;0;1;0;0.11315;0;1;0;0;0"
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM","review_three_bay_section_v1_0","Solar_Wing_Right_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\04_Solar_Wings\Solar_Wing_Right_Visual.SLDPRT","04_Solar_Wings/Solar_Wing_Right_Visual.SLDPRT","solar_panel_right","space_embodied_robot_v1_0",true,true,"1;0;0;0;1;0;0;0;1;0;-0.11315;0;1;0;0;0"
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM","review_three_bay_section_v1_0","Task_Face_Panel_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\parts\Task_Face_Panel_Visual.SLDPRT","01_Primary_Structure/parts/Task_Face_Panel_Visual.SLDPRT","task_face_panel","primary_structure",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"Assembly/Space_Embodied_Robot_V1_0.SLDASM","space_embodied_robot_v1_0","12U_Structured_Bus_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\12U_Structured_Bus_Visual.SLDASM","01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","space_embodied_robot_v1_0",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"Assembly/Space_Embodied_Robot_V1_0.SLDASM","space_embodied_robot_v1_0","B601_Mount_Module_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\02_Robot_Mount\B601_Mount_Module_Visual.SLDASM","02_Robot_Mount/B601_Mount_Module_Visual.SLDASM","robot_mount_module","space_embodied_robot_v1_0",true,true,"0;0;-1;0;1;0;1;0;0;0.18525;0;0;1;0;0;0"
"Assembly/Space_Embodied_Robot_V1_0.SLDASM","space_embodied_robot_v1_0","B601_Visual_Assembly-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\B601_Visual_Assembly.SLDASM","03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","robot_mount_module",true,true,"0;0;-1;0;1;0;1;0;0;0.18525;0;0;1;0;0;0"
"Assembly/Space_Embodied_Robot_V1_0.SLDASM","space_embodied_robot_v1_0","Rear_Service_Module_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\07_Rear_Service_Visual\Rear_Service_Module_Visual.SLDPRT","07_Rear_Service_Visual/Rear_Service_Module_Visual.SLDPRT","rear_service_visual","rear_service_bay",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"Assembly/Space_Embodied_Robot_V1_0.SLDASM","space_embodied_robot_v1_0","Sensor_Semantic_Reference-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\05_Sensor_Reference\Sensor_Semantic_Reference.SLDPRT","05_Sensor_Reference/Sensor_Semantic_Reference.SLDPRT","sensor_semantic_reference","front_task_bay",true,true,"1;0;0;0;1;0;0;0;1;0.17025;0.065;0.065;1;0;0;0"
"Assembly/Space_Embodied_Robot_V1_0.SLDASM","space_embodied_robot_v1_0","SER_Master_Skeleton_V1_0-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\00_Master_Skeleton\SER_Master_Skeleton_V1_0.SLDPRT","00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","NONE",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"Assembly/Space_Embodied_Robot_V1_0.SLDASM","space_embodied_robot_v1_0","Solar_Wing_Left_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\04_Solar_Wings\Solar_Wing_Left_Visual.SLDPRT","04_Solar_Wings/Solar_Wing_Left_Visual.SLDPRT","solar_panel_left","space_embodied_robot_v1_0",true,true,"1;0;0;0;1;0;0;0;1;0;0.11315;0;1;0;0;0"
"Assembly/Space_Embodied_Robot_V1_0.SLDASM","space_embodied_robot_v1_0","Solar_Wing_Right_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\04_Solar_Wings\Solar_Wing_Right_Visual.SLDPRT","04_Solar_Wings/Solar_Wing_Right_Visual.SLDPRT","solar_panel_right","space_embodied_robot_v1_0",true,true,"1;0;0;0;1;0;0;0;1;0;-0.11315;0;1;0;0;0"
