relative_path,doc_type,object_id,parent_id,status,profile,representation_layer,evidence_state,source_reference,source_sha256,frame_id,semantic_role,mass_owner,mass_contribution,no_dynamics_use,claim_limit,blocked_consumers,manufacturing_authority,execution_authority,target_included,vendor_step_used,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,size_x_m,size_y_m,size_z_m,solid_body_count,feature_count,property_count
"03_B601_Visual/B601_Visual_Assembly.SLDASM","ASSEMBLY","arm_b601_visual_reconstruction","robot_mount_module","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\arm_b601_v1.urdf","1bc2b7483cd8025d08ba6eadfd9e1f3b0477121714e7cf4ddc1794d9e471c164","A0","B601_10_LINK_VISUAL_RECONSTRUCTION","b601_urdf_owner","FALSE_CAD_VISUAL_ONLY","TRUE","engineering_visual_only","DYNAMICS|MANUFACTURING|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.27250014927116395,-0.10000000149011612,-1.7881390812490849E-11,0.30030983999865268,0.10000000149011612,0.28220023829891355,0.57280998926981663,0.20000000298023224,0.28220023831679497,0,28,52
"03_B601_Visual/links/base_link_visual.SLDPRT","PART","b601_base_link_visual","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\base_link.STL","22641c079014fe968702393f61e7f7f1a8f80c6c1df45a61e31545f6eaff3b65","base_link","B601_LINK_VISUAL_SHELL","b601_urdf_owner","FALSE_CAD_VISUAL_ONLY","TRUE","STL_URDF_DERIVED_VISUAL_ONLY","DYNAMICS|MANUFACTURING|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.070000000298023224,-0.10000000149011612,-1.78813942819378E-11,0.070000000298023224,0.10000000149011612,0.082649998366832733,0.14000000059604645,0.20000000298023224,0.082649998384714124,1,25,60
"03_B601_Visual/links/gripper_left_visual.SLDPRT","PART","b601_gripper_left_visual","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_left.STL","c4e0de70f776b3573d975a6eaaa746cccbe57c2d5bb12501da8889979d3af268","gripper_left","B601_LINK_VISUAL_SHELL","b601_urdf_owner","FALSE_CAD_VISUAL_ONLY","TRUE","STL_URDF_DERIVED_VISUAL_ONLY","DYNAMICS|MANUFACTURING|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.058621801435947418,-0.046518225222826004,-0.019606968387961388,0.0342775322496891,0.042091097682714462,0.019606968387961388,0.09289933368563652,0.088609322905540466,0.039213936775922775,1,25,61
"03_B601_Visual/links/gripper_link_visual.SLDPRT","PART","b601_gripper_link_visual","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_link.STL","a826e164d420a6922e8ad5ee27813f39fa809f6e4fdf39b42fd8a59e7d12e847","gripper_link","B601_LINK_VISUAL_SHELL","b601_urdf_owner","FALSE_CAD_VISUAL_ONLY","TRUE","STL_URDF_DERIVED_VISUAL_ONLY","DYNAMICS|MANUFACTURING|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.150709331035614,-0.092034757137298584,-0.038499999791383743,-0.073209322988986969,0.092034757137298584,0.038499999791383743,0.077500008046627045,0.18406951427459717,0.076999999582767487,1,24,60
"03_B601_Visual/links/gripper_right_visual.SLDPRT","PART","b601_gripper_right_visual","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_right.STL","615b119c0bb97a032badd5882144e4a2a50c905a3e071af1fa28b83bfe9b1b65","gripper_right","B601_LINK_VISUAL_SHELL","b601_urdf_owner","FALSE_CAD_VISUAL_ONLY","TRUE","STL_URDF_DERIVED_VISUAL_ONLY","DYNAMICS|MANUFACTURING|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.058621801435947418,-0.042091097682714462,-0.019606968387961388,0.0342775322496891,0.046518225222826004,0.019606968387961388,0.09289933368563652,0.088609322905540466,0.039213936775922775,1,25,61
"03_B601_Visual/links/link1_visual.SLDPRT","PART","b601_link1_visual","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link1.STL","9db637a63d37bc2c6398ea5b8ba32fb54122c637d5d77dc134c8782839b654cd","link1","B601_LINK_VISUAL_SHELL","b601_urdf_owner","FALSE_CAD_VISUAL_ONLY","TRUE","STL_URDF_DERIVED_VISUAL_ONLY","DYNAMICS|MANUFACTURING|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.03841584175825119,-0.038624998182058334,-0.0070999986492097378,0.048565555363893509,0.038624998182058334,0.083919338881969452,0.0869813971221447,0.077249996364116669,0.09101933753117919,1,28,60
"03_B601_Visual/links/link2_visual.SLDPRT","PART","b601_link2_visual","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link2.STL","def0d9d82343dccc1eff0d9d5572eca49b3c134db9807ca12302b99d153df65e","link2","B601_LINK_VISUAL_SHELL","b601_urdf_owner","FALSE_CAD_VISUAL_ONLY","TRUE","STL_URDF_DERIVED_VISUAL_ONLY","DYNAMICS|MANUFACTURING|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.29249998927116394,-0.028500000014901161,-0.065300002694129944,0.028500000014901161,0.02850000374019146,0.0020500000100582838,0.3209999892860651,0.057000003755092621,0.067350002704188228,1,28,60
"03_B601_Visual/links/link3_visual.SLDPRT","PART","b601_link3_visual","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link3.STL","ca14d73b5d63f352051f440f4cabc3989567f25ee9d19e7dd749f2d6f0d0561d","link3","B601_LINK_VISUAL_SHELL","b601_urdf_owner","FALSE_CAD_VISUAL_ONLY","TRUE","STL_URDF_DERIVED_VISUAL_ONLY","DYNAMICS|MANUFACTURING|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.026679547503590584,-0.082499973475933075,-0.071249999105930328,0.27109998464584351,0.022500023245811462,0.008999999612569809,0.29777953214943409,0.10499999672174454,0.080249998718500137,1,28,60
"03_B601_Visual/links/link4_visual.SLDPRT","PART","b601_link4_visual","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link4.STL","061909364f20bb387f9ff82cb80e506af959142f9fbb4a39dc86fc8244ee768a","link4","B601_LINK_VISUAL_SHELL","b601_urdf_owner","FALSE_CAD_VISUAL_ONLY","TRUE","STL_URDF_DERIVED_VISUAL_ONLY","DYNAMICS|MANUFACTURING|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.028033716604113579,-0.087999999523162842,-0.063380002975463867,0.11775152385234833,0.027914844453334808,0.0033799998927861452,0.14578524045646191,0.11591484397649765,0.066760002868250012,1,28,60
"03_B601_Visual/links/link5_visual.SLDPRT","PART","b601_link5_visual","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link5.STL","3a32006227c1f9dbc70e77e07055c61e3f195f1054d4d2eb480262f0873bf001","link5","B601_LINK_VISUAL_SHELL","b601_urdf_owner","FALSE_CAD_VISUAL_ONLY","TRUE","STL_URDF_DERIVED_VISUAL_ONLY","DYNAMICS|MANUFACTURING|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.037807747721672058,-0.038499999791383743,-0.0019999989308416843,0.032192256301641464,0.038499999791383743,0.078039944171905518,0.070000004023313522,0.076999999582767487,0.0800399431027472,1,28,60
"03_B601_Visual/links/link6_visual.SLDPRT","PART","b601_link6_visual","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link6.STL","c586a7d0b8345d2cd32eab7dfd2e334aba56e83f582a6298d41bbf718f2ebef1","link6","B601_LINK_VISUAL_SHELL","b601_urdf_owner","FALSE_CAD_VISUAL_ONLY","TRUE","STL_URDF_DERIVED_VISUAL_ONLY","DYNAMICS|MANUFACTURING|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.0284000001847744,-0.0284000001847744,-0.00049999967450276017,0.0284000001847744,0.0284000001847744,0.008999999612569809,0.0568000003695488,0.0568000003695488,0.0094999992870725691,1,28,60
"04_Solar_Wings/Solar_Wing_Left_Visual.SLDPRT","PART","solar_panel_left","space_embodied_robot_v1_0","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","REF_EVIDENCE","EVIDENCE_BOUND","20_engineering/config/geometry/flexible_appendage_v1.yaml","52fa88084c628ce8845e05de0c0a892bca5347b7146c8d1c6b99093927153786","F_L","LEFT_SOLAR_WING_DISPLAY","servicer_split_owner","FALSE_CAD_VISUAL_ONLY","TRUE","deployed_reference_plus_display_proposals","DEPLOYMENT_DYNAMICS|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.1135,-0.0080000000000000036,-0.008,0.1135,0.2,0.008,0.227,0.20800000000000002,0.016,3,25,56
"04_Solar_Wings/Solar_Wing_Right_Visual.SLDPRT","PART","solar_panel_right","space_embodied_robot_v1_0","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","REF_EVIDENCE","EVIDENCE_BOUND","20_engineering/config/geometry/flexible_appendage_v1.yaml","52fa88084c628ce8845e05de0c0a892bca5347b7146c8d1c6b99093927153786","F_R","RIGHT_SOLAR_WING_DISPLAY","servicer_split_owner","FALSE_CAD_VISUAL_ONLY","TRUE","deployed_reference_plus_display_proposals","DEPLOYMENT_DYNAMICS|GLOBAL_COLLISION|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.1135,-0.2,-0.008,0.1135,0.0080000000000000036,0.008,0.227,0.20800000000000002,0.016,3,25,56
"05_Sensor_Reference/Sensor_Semantic_Reference.SLDPRT","PART","sensor_semantic_reference","front_task_bay","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","SEMANTIC_REFERENCE","UNKNOWN_BLOCKED","A4_SENSOR_UNKNOWN_REGISTER","A4_DESIGN_RECORD","CS_SENSOR_RESERVED","SENSOR_MOUNT_AND_OBSERVATION_REQUIREMENT_REFERENCE","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","semantic_reference_only","PERCEPTION|FOV_VALIDATION|MASS_BUDGET|THERMAL|POWER|VLA","FALSE","FALSE","FALSE","FALSE",0,-0.025,-0.02,0.06,0.025,0.02,0.06,0.05,0.04,0,19,59
"06_End_Effector_Reference/E_Virtual_Reference.SLDPRT","PART","e_virtual_reference","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","SEMANTIC_REFERENCE","DESIGN_PROPOSAL","10_research/space_embodied_robotics/comp_prot_03_a3_g0_evidence_closure/frame_tree_v2_candidate.yaml","ba2034841602eb46f11f20052b55665e85ed2e064427aa80819d4f1c665e15b6","E_virtual","VIRTUAL_TASK_DATUM","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","interface_level_0_reference_only","CONTACT|CONTROL|SAFE|VLA|MANUFACTURING","FALSE","FALSE","FALSE","FALSE",0,-0.04,-0.04,0.07,0.04,0.04,0.07,0.08,0.08,0,20,56
"07_Rear_Service_Visual/Rear_Service_Module_Visual.SLDPRT","PART","rear_service_visual","rear_service_bay","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","A4_DESIGN_RECORD","A4_DESIGN_RECORD","S","REAR_SERVICE_DISPLAY_PLACEHOLDER","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","display_placeholder_only","PROPULSION|RF|THERMAL|POWER|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.19425000000000003,-0.077000000000000013,-0.077000000000000013,-0.17025,0.077000000000000013,0.077,0.024000000000000021,0.15400000000000003,0.15400000000000003,5,32,53
"08_Target_Scene_Reference/Target_Scene_Reference.SLDASM","ASSEMBLY","independent_target_scene","NONE","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","SCENE_REFERENCE","EXCLUDED","A4_SCENE_REFERENCE","A4_DESIGN_RECORD","SCENE","INDEPENDENT_TARGET_SCENE_REVIEW","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","scene_reference_only","CONTACT|RIGID_LOCK|CAPTURE|CONTROL|VLA","FALSE","FALSE","FALSE","FALSE",-0.19425000000000003,-0.31315000000000004,-0.30030983999865268,1.2799999999999998,0.31315000000000004,0.27250014927116395,1.4742499999999998,0.62630000000000008,0.57280998926981663,0,18,47
"08_Target_Scene_Reference/Target_Scene_Reference_Visual.SLDPRT","PART","target_scene_reference","independent_target_scene","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","SCENE_REFERENCE","EXCLUDED","A4_SCENE_REFERENCE","A4_DESIGN_RECORD","TARGET_SCENE","NONCOOPERATIVE_TARGET_SCENE_REFERENCE","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","scene_reference_only","CONTACT|RIGID_LOCK|CAPTURE|CONTROL|VLA|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.13,-0.132,-0.132,0.13,0.132,0.132,0.26,0.264,0.264,1,25,55
"10_Review_Overlays/Review_Exploded_V1_0.SLDASM","ASSEMBLY","review_exploded_v1_0","space_embodied_robot_v1_0","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","SEMANTIC_REFERENCE","DESIGN_PROPOSAL","A4_REVIEW_RECORD","A4_DESIGN_RECORD","REVIEW_SCENE","EXPLODED_HIERARCHY_REVIEW","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","review_only","DYNAMICS|CONTACT|MANUFACTURING|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.41425,-0.53315,-0.30030983999865268,1.0174502382989137,0.53315,0.27250014927116395,1.4317002382989137,1.0663,0.57280998926981663,0,23,45
"10_Review_Overlays/Review_Safe_Display_V1_0.SLDASM","ASSEMBLY","review_safe_display_v1_0","space_embodied_robot_v1_0","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","SEMANTIC_REFERENCE","DESIGN_PROPOSAL","A4_REVIEW_RECORD","A4_DESIGN_RECORD","REVIEW_SCENE","SAFE_DISPLAY_PROPOSAL_REVIEW","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","review_only","DYNAMICS|CONTACT|MANUFACTURING|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.19425000000000003,-0.12115000000000001,-0.30030983999865268,0.46745023829891352,0.12115000000000001,0.27250014927116395,0.66170023829891356,0.24230000000000002,0.57280998926981663,0,23,47
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM","ASSEMBLY","review_three_bay_section_v1_0","space_embodied_robot_v1_0","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","SEMANTIC_REFERENCE","DESIGN_PROPOSAL","A4_REVIEW_RECORD","A4_DESIGN_RECORD","REVIEW_SCENE","THREE_BAY_CUTAWAY_REVIEW","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","review_only","DYNAMICS|CONTACT|MANUFACTURING|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.19425000000000003,-0.31315000000000004,-0.30030983999865268,0.46745023829891352,0.31315000000000004,0.27250014927116395,0.66170023829891356,0.62630000000000008,0.57280998926981663,0,26,45
"Assembly/Space_Embodied_Robot_V1_0.SLDASM","ASSEMBLY","space_embodied_robot_v1_0","NONE","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","A4_B1_INPUT_MANIFEST","A4_DESIGN_RECORD","S","ENGINEERING_VISUAL_TOP_ASSEMBLY","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","ENGINEERING_VISUAL_MECHANICAL_PROTOTYPE_WITH_PHYSICAL_LIMITATIONS","DYNAMICS|CONTACT|MANUFACTURING|FLIGHT|VLA","FALSE","FALSE","FALSE","FALSE",-0.19425000000000003,-0.31315000000000004,-0.30030983999865268,0.46745023829891352,0.31315000000000004,0.27250014927116395,0.66170023829891356,0.62630000000000008,0.57280998926981663,0,24,52
