id,action,role,nominal_size,MPN,material_status,STEP_source,T_S_local
R6H_MAIN_NUT_2,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_NUT_2.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_SPACER_3,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,OD6 ID3.4 L20,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_SPACER_3.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_BOLT_3,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,M3x30,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_BOLT_3.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_WASHER_TOP_3,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_WASHER_TOP_3.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_WASHER_BOTTOM_3,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_WASHER_BOTTOM_3.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_NUT_3,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_NUT_3.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_SPACER_4,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,OD6 ID3.4 L20,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_SPACER_4.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_BOLT_4,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,M3x30,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_BOLT_4.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_WASHER_TOP_4,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_WASHER_TOP_4.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_WASHER_BOTTOM_4,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_WASHER_BOTTOM_4.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_NUT_4,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_NUT_4.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_IF_THERMAL_BRIDGE,ADD,PROJECT_THERMAL_BRIDGE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_IF_THERMAL_BRIDGE.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_IF_TOP_ISOLATION_PAD,ADD,PROJECT_INTERFACE_PAD_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_IF_TOP_ISOLATION_PAD.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
P60_HOST_2_ROD,REPLACE_GEOMETRY,RELOCATED_EXTENDED_NOMINAL_M3_ROD,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\P60_HOST_2_ROD.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
upper_equipment_deck_B,REPLACE_GEOMETRY,LOCAL_MOUNTING_HOLE_CHANGE_ONLY,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\upper_equipment_deck_B.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
P60_TRAY_B,REPLACE_GEOMETRY,LOCAL_BEARING_TAB_AND_HOLE_CHANGE_NEW_MACHINING_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\P60_TRAY_B.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
upper_deck_angle_1_0,REPLACE_GEOMETRY,LOCAL_MOUNTING_HOLE_CHANGE_ONLY,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\upper_deck_angle_1_0.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
P60_HOST_2_BN,REPOSITION_REUSE,SIMPLIFIED_PROXY,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\canonical\C008.step,"[[1.0, 0.0, 0.0, -160.75], [0.0, 1.0, 0.0, 88.825], [0.0, 0.0, 1.0, -17.400000000000002], [0.0, 0.0, 0.0, 1.0]]"
P60_HOST_2_BW,REPOSITION_REUSE,SIMPLIFIED_PROXY,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\canonical\C007.step,"[[1.0, 0.0, 0.0, -161.5], [0.0, 1.0, 0.0, 88.5], [0.0, 0.0, 1.0, -15.0], [0.0, 0.0, 0.0, 1.0]]"
P60_HOST_2_POST,REPOSITION_REUSE,PHYSICAL_GEOMETRY,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\canonical\C009.step,"[[1.0, 0.0, 0.0, -162.0], [0.0, 1.0, 0.0, 88.0], [0.0, 0.0, 1.0, -8.5], [0.0, 0.0, 0.0, 1.0]]"
P60_HOST_2_TN,REPOSITION_REUSE,SIMPLIFIED_PROXY,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\canonical\C008.step,"[[1.0, 0.0, 0.0, -160.75], [0.0, 1.0, 0.0, 88.825], [0.0, 0.0, 1.0, 55.5], [0.0, 0.0, 0.0, 1.0]]"
P60_HOST_2_TW,REPOSITION_REUSE,SIMPLIFIED_PROXY,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\canonical\C007.step,"[[1.0, 0.0, 0.0, -161.5], [0.0, 1.0, 0.0, 88.5], [0.0, 0.0, 1.0, 55.0], [0.0, 0.0, 0.0, 1.0]]"
