wire_id,from_endpoint,to_endpoint,signal,wire_or_mate,status,source,build_approved,physical_test,cut_length_mm
A12,U1.R-,RB1.B,BRAKE-,supplied resistor leads,PIN_DESIGN_PULSE_THERMAL_OPEN,REGEN,False,NOT_EXECUTED,
C01,CAN.H,SEP.H,DM_CANH,OEM GH1.25 two-pin lead,BOTH_CAVITIES_OPEN,DM_PUBLIC,False,NOT_EXECUTED,
C02,CAN.L,SEP.L,DM_CANL,OEM GH1.25 two-pin lead,BOTH_CAVITIES_OPEN,DM_PUBLIC,False,NOT_EXECUTED,
C03,SEP.H,DM.CANH_REF,DM_CANH,OEM XT302+2 signal pair,V4_PIN_OPEN,DM_PUBLIC;DM_2023,False,NOT_EXECUTED,
C04,SEP.L,DM.CANL_REF,DM_CANL,OEM XT302+2 signal pair,V4_PIN_OPEN,DM_PUBLIC;DM_2023,False,NOT_EXECUTED,
L01,PDU.TFM.9,OBC.P1.2,OBC_3V3,Samtec SFSD-15-28-G-03.00-S -> Molex510210400 +500798000; wire/insulation crimp fit pending,GROUND_P1_ONLY; hot loop<=180mOhm; source3.29..3.32V +/-20mV required,PDU;PDU_OPTION;A3200;SFSD;MOLEX,False,NOT_EXECUTED,
L02,PDU.TFM.10,OBC.P1.1,EPS_RET,Samtec SFSD-15-28-G-03.00-S -> Molex510210400 +500798000; wire/insulation crimp fit pending,GROUND_P1_ONLY; hot loop<=180mOhm; source3.29..3.32V +/-20mV required,PDU;A3200;SFSD;MOLEX,False,NOT_EXECUTED,
S01,RS_A.orange,RS_B.yellow,RS_LOOP_1,RS422_GSE_SPLICE_BOARD A1.1 to TP1.1 to B1.1; original FTDI color-ended tails,SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN; DERIVED_GSE_SPLICE_PCB_INLINE; see RS422_PAD_MAP,FTDI,False,NOT_EXECUTED,
S02,RS_A.red,RS_B.white,RS_LOOP_2,RS422_GSE_SPLICE_BOARD A2.1 to TP2.1 to B2.1; original FTDI color-ended tails,SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN; DERIVED_GSE_SPLICE_PCB_INLINE; see RS422_PAD_MAP,FTDI,False,NOT_EXECUTED,
S03,RS_A.yellow,RS_B.orange,RS_LOOP_3,RS422_GSE_SPLICE_BOARD A3.1 to TP3.1 to B3.1; original FTDI color-ended tails,SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN; DERIVED_GSE_SPLICE_PCB_INLINE; see RS422_PAD_MAP,FTDI,False,NOT_EXECUTED,
S04,RS_A.white,RS_B.red,RS_LOOP_4,RS422_GSE_SPLICE_BOARD A4.1 to TP4.1 to B4.1; original FTDI color-ended tails,SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN; DERIVED_GSE_SPLICE_PCB_INLINE; see RS422_PAD_MAP,FTDI,False,NOT_EXECUTED,
S05,RS_A.black,RS_B.black,RS_LOOP_5,RS422_GSE_SPLICE_BOARD A5.1 to TP5.1 to B5.1; original FTDI color-ended tails,SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN; DERIVED_GSE_SPLICE_PCB_INLINE; see RS422_PAD_MAP,FTDI,False,NOT_EXECUTED,
BP01,BPX.PBAT2.1,DOCK.P4.5,EPS_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
BP02,BPX.PBAT2.2,DOCK.P4.6,EPS_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
BP03,BPX.PBAT2.3,DOCK.P4.7,EPS_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
BP04,BPX.PBAT2.4,DOCK.P4.8,EPS_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
BP05,BPX.PBAT2.5,DOCK.P4.1,VBAT_DIRECT_RAW,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; 4 pins total current shared; raw battery no short-circuit protection,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
BP06,BPX.PBAT2.6,DOCK.P4.2,VBAT_DIRECT_RAW,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; 4 pins total current shared; raw battery no short-circuit protection,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
BP07,BPX.PBAT2.7,DOCK.P4.3,VBAT_DIRECT_RAW,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; 4 pins total current shared; raw battery no short-circuit protection,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
BP08,BPX.PBAT2.8,DOCK.P4.4,VBAT_DIRECT_RAW,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; 4 pins total current shared; raw battery no short-circuit protection,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
BP09,BPX.PBAT2.9,DOCK.P5.2,I2C_SCL,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
BP10,BPX.PBAT2.10,DOCK.P5.4,BPX_ENABLE_ACTIVE_HIGH,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
BP11,BPX.PBAT2.11,DOCK.P5.3,I2C_SDA,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
BP12,BPX.PBAT2.12,DOCK.P5.1,EPS_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,
PV0_1,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.1,PV0+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV0_3,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.3,PV0+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV0_RET2,PV_BRANCH_0.RET,ACU.X1.TFM.2,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV0_RET4,PV_BRANCH_0.RET,ACU.X1.TFM.4,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV1_5,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.5,PV1+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV1_7,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.7,PV1+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV1_RET6,PV_BRANCH_1.RET,ACU.X1.TFM.6,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV1_RET8,PV_BRANCH_1.RET,ACU.X1.TFM.8,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV2_9,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.9,PV2+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV2_11,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.11,PV2+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV2_RET10,PV_BRANCH_2.RET,ACU.X1.TFM.10,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV2_RET12,PV_BRANCH_2.RET,ACU.X1.TFM.12,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV3_13,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.13,PV3+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV3_15,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.15,PV3+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV3_RET14,PV_BRANCH_3.RET,ACU.X1.TFM.14,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV3_RET16,PV_BRANCH_3.RET,ACU.X1.TFM.16,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV4_17,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.17,PV4+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV4_19,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.19,PV4+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV4_21,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.21,PV4+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV4_23,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.23,PV4+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV4_RET18,PV_BRANCH_4.RET,ACU.X1.TFM.18,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV4_RET20,PV_BRANCH_4.RET,ACU.X1.TFM.20,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV4_RET22,PV_BRANCH_4.RET,ACU.X1.TFM.22,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV4_RET24,PV_BRANCH_4.RET,ACU.X1.TFM.24,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV5_25,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.25,PV5+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV5_27,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.27,PV5+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV5_29,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.29,PV5+,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; Each parallel string requires separate series blocking diode; cell bypass diode is different,ACU2.3 §3.1,False,NOT_EXECUTED,
PV5_RET26,PV_BRANCH_5.RET,ACU.X1.TFM.26,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV5_RET28,PV_BRANCH_5.RET,ACU.X1.TFM.28,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
PV5_RET30,PV_BRANCH_5.RET,ACU.X1.TFM.30,PV_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_ARRAY_UNBOUND; ,ACU2.3 §3.1,False,NOT_EXECUTED,
RBF,FPP.RBF_JUMPER,DOCK.P14.6,RBF_ACTIVE_LOW,COTS external interface / pin-defined requirement; no cut length,INTERFACE_DEFINED_SWITCH_PART_UNBOUND; Grounded=inhibit; 2Mohm pull-up to VBAT at FPP and 220ohm series near Dock per3.1 §5.1; floating exposed forbidden,Dock3.1 §3–5,False,NOT_EXECUTED,
DEARM,FPP.DEARM_JUMPER,DOCK.P14.7,DEARM_ACTIVE_LOW,COTS external interface / pin-defined requirement; no cut length,INTERFACE_DEFINED_SWITCH_PART_UNBOUND; Grounded=antenna release inhibited; all deployment commands remain disabled,Dock3.1 §3–5,False,NOT_EXECUTED,
K1_COILP,STOP_CONTROL.PROTECTED_24V,K1.X1(+),COIL24,COTS external interface / pin-defined requirement; no cut length,"PIN_DEFINED_CONTROL_HARDWARE_UNBOUND; Main current direction A2→A1. Aux NO mechanically linked is observation, not validated safety mirror contact. Coil source upstream K1. No external flyback diode.",GX11 Rev6 10/23/15 p3–4,False,NOT_EXECUTED,
K1_COILR,K1.X2(-),STOP_CONTROL.RETURN,COIL_RET,COTS external interface / pin-defined requirement; no cut length,"PIN_DEFINED_CONTROL_HARDWARE_UNBOUND; Main current direction A2→A1. Aux NO mechanically linked is observation, not validated safety mirror contact. Coil source upstream K1. No external flyback diode.",GX11 Rev6 10/23/15 p3–4,False,NOT_EXECUTED,
K1_FB1,K1.T1,STOP_MONITOR.INPUT,AUX_NO,COTS external interface / pin-defined requirement; no cut length,"PIN_DEFINED_CONTROL_HARDWARE_UNBOUND; Main current direction A2→A1. Aux NO mechanically linked is observation, not validated safety mirror contact. Coil source upstream K1. No external flyback diode.",GX11 Rev6 10/23/15 p3–4,False,NOT_EXECUTED,
K1_FB2,K1.T2,STOP_MONITOR.REFERENCE,AUX_NO,COTS external interface / pin-defined requirement; no cut length,"PIN_DEFINED_CONTROL_HARDWARE_UNBOUND; Main current direction A2→A1. Aux NO mechanically linked is observation, not validated safety mirror contact. Coil source upstream K1. No external flyback diode.",GX11 Rev6 10/23/15 p3–4,False,NOT_EXECUTED,
