item,component,quantity,source,material,tolerance,finish,fastener_torque,status,release_scope
14,SOLAR_ARRAY_RIGHT,1,V2_2/V5 right wing,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,GEOMETRY_SOURCE_PRESENT;CONFIG_READBACK_HOLD,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
15,LEFT_WING_ROOT_HINGE,1,V5 LEFT_WING_ROOT_TRUE_HINGE,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,NATIVE_SUBASSEMBLY_PRESENT,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
16,RIGHT_WING_ROOT_HINGE,1,V5 RIGHT_WING_ROOT_TRUE_HINGE,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,NATIVE_SUBASSEMBLY_PRESENT,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
17,G07_SUPPORT,1,V5 G07_PRIMARY_SUPPORT_V2,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,NATIVE_SUBASSEMBLY_PRESENT,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
18,G08_SUPPORT,1,V5 G08_PRIMARY_SUPPORT_V2,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,NATIVE_SUBASSEMBLY_PRESENT,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
19,MID_SUPPORT,1,V5 MID_BACKUP_SUPPORT_V2,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,NATIVE_SUBASSEMBLY_PRESENT,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
20,CAMERA_KEEP_OUT,1,V4/V5 envelope,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,KEEP_OUT_ONLY;CAMERA_SELECTION_HOLD,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
21,CABLE_KEEP_OUT,1,V4/V5 OD9 envelope,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,KEEP_OUT_ONLY;HARNESS_SWEEP_HOLD,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
22,TARGET_SATELLITE_22KG,1,sim13 analytic/proxy object,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,SCENARIO_ASSET_NOT_FLIGHT_CAD,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
23,TARGET_DEBRIS_150KG,1,sim13 analytic/proxy object,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,SCENARIO_ASSET_NOT_FLIGHT_CAD,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
