wire_id,change,old_from,old_to,new_from,new_to
PV2_9,UNCHANGED,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.9,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.9
PV2_11,UNCHANGED,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.11,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.11
PV2_RET10,UNCHANGED,PV_BRANCH_2.RET,ACU.X1.TFM.10,PV_BRANCH_2.RET,ACU.X1.TFM.10
PV2_RET12,UNCHANGED,PV_BRANCH_2.RET,ACU.X1.TFM.12,PV_BRANCH_2.RET,ACU.X1.TFM.12
PV3_13,UNCHANGED,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.13,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.13
PV3_15,UNCHANGED,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.15,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.15
PV3_RET14,UNCHANGED,PV_BRANCH_3.RET,ACU.X1.TFM.14,PV_BRANCH_3.RET,ACU.X1.TFM.14
PV3_RET16,UNCHANGED,PV_BRANCH_3.RET,ACU.X1.TFM.16,PV_BRANCH_3.RET,ACU.X1.TFM.16
PV4_17,UNCHANGED,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.17,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.17
PV4_19,UNCHANGED,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.19,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.19
PV4_21,UNCHANGED,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.21,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.21
PV4_23,UNCHANGED,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.23,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.23
PV4_RET18,UNCHANGED,PV_BRANCH_4.RET,ACU.X1.TFM.18,PV_BRANCH_4.RET,ACU.X1.TFM.18
PV4_RET20,UNCHANGED,PV_BRANCH_4.RET,ACU.X1.TFM.20,PV_BRANCH_4.RET,ACU.X1.TFM.20
PV4_RET22,UNCHANGED,PV_BRANCH_4.RET,ACU.X1.TFM.22,PV_BRANCH_4.RET,ACU.X1.TFM.22
PV4_RET24,UNCHANGED,PV_BRANCH_4.RET,ACU.X1.TFM.24,PV_BRANCH_4.RET,ACU.X1.TFM.24
PV5_25,UNCHANGED,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.25,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.25
PV5_27,UNCHANGED,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.27,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.27
PV5_29,UNCHANGED,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.29,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.29
PV5_RET26,UNCHANGED,PV_BRANCH_5.RET,ACU.X1.TFM.26,PV_BRANCH_5.RET,ACU.X1.TFM.26
PV5_RET28,UNCHANGED,PV_BRANCH_5.RET,ACU.X1.TFM.28,PV_BRANCH_5.RET,ACU.X1.TFM.28
PV5_RET30,UNCHANGED,PV_BRANCH_5.RET,ACU.X1.TFM.30,PV_BRANCH_5.RET,ACU.X1.TFM.30
RBF,UNCHANGED,FPP.RBF_JUMPER,DOCK.P14.6,FPP.RBF_JUMPER,DOCK.P14.6
DEARM,UNCHANGED,FPP.DEARM_JUMPER,DOCK.P14.7,FPP.DEARM_JUMPER,DOCK.P14.7
K1_COILP,STOP_BOUNDARY_REPLACED,STOPBOARD.J104.1,K1.X1(+),STOPBOARD.J104.1,K1.X1(+)
K1_COILR,STOP_BOUNDARY_REPLACED,K1.X2(-),STOPBOARD.J104.2,K1.X2(-),STOPBOARD.J104.2
K1_FB1,STOP_BOUNDARY_REPLACED,K1.T1,STOPBOARD.J105.2,K1.T1,STOPBOARD.J105.2
K1_FB2,STOP_BOUNDARY_REPLACED,STOPBOARD.J105.1,K1.T2,STOPBOARD.J105.1,K1.T2
SC_PWR24,UNCHANGED,Q1.2,STOPBOARD.J101.3,Q1.2,STOPBOARD.J101.3
SC_RET,UNCHANGED,PS1.TB2.1,STOPBOARD.J101.4,PS1.TB2.1,STOPBOARD.J101.4
